,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,11.720,11.660,11.840,11.790,12.040,11.890,11.960,11.720,11.980,11.840,11.980,11.970,11.970,11.970,11.970,11.970,11.970,11.970,11.970,12.050,11.970,11.840,11.970,11.970,11.970,12.040,11.970,11.970,11.970,11.970,11.980,11.970,11.960,12.020,12.020,12.210,12.150,12.210,12.280,12.030,12.210,12.220,12.280,12.410,12.350,12.350,12.360,12.390,12.390,12.280,12.320,12.360,12.250,12.430,12.240,12.190,12.190,12.190,12.190,12.390,12.310,12.080,12.460,12.460,12.390,12.390,12.460,12.390,12.390,12.460,12.520,12.070,12.220,12.220,12.530,12.530,12.530,12.530,12.410,12.350,12.350,12.410,12.270,12.270,12.270,12.270,12.220,12.270,12.350,12.410,12.410,12.410,12.350,12.410,12.390,12.220,12.34,12.34,12.34,12.34,12.66,12.66,12.83,12.59,12.52,12.45,12.56,12.56,12.38,12.45,12.39,12.45,12.3,12.45,12.45,12.51,12.45,12.31,12.31,12.31,12.31,12.31,12.31,12.63,12.63,12.7,12.63,12.63,12.57,12.63,12.69,12.63,12.63,12.69,12.69,12.75,12.63,12.69,12.7,12.63,12.63,12.77,12.63,12.64,12.7,12.7,12.7,12.83,12.83,12.69,12.77
1,Beras Medium,10.690,10.730,10.910,10.800,11.040,10.890,11.000,10.710,10.970,10.970,10.970,10.950,10.970,10.970,10.970,11.030,10.970,10.970,10.970,10.950,10.960,10.950,10.960,10.960,10.960,10.960,10.960,10.870,10.510,10.510,10.570,10.570,11.030,11.000,11.060,11.220,11.100,11.310,11.350,11.190,11.370,11.250,11.370,11.440,11.440,11.440,11.420,11.440,11.420,11.350,11.340,11.420,11.250,11.310,11.190,11.250,11.290,11.100,11.220,11.160,11.110,11.450,11.290,11.230,11.250,11.160,11.230,11.160,11.220,11.230,11.160,11.030,11.160,11.160,11.290,11.230,11.290,11.290,11.290,11.290,11.290,11.290,11.090,11.090,11.030,10.850,10.980,10.980,10.860,11.050,10.990,11.180,11.050,10.990,11.110,11.110,11.11,11.09,11.11,11.05,11.18,11.24,10.79,11.05,11.05,10.99,10.92,11.05,10.99,11.12,11.13,10.99,11.13,11.12,11.12,11.12,11.12,11.41,11.34,11.34,11.41,11.41,11.41,11.12,11.12,11.12,11.12,11.06,10.92,11.12,11.18,11.19,11.06,11.12,11.06,11.18,11.06,11.06,11.06,11.12,11.06,11.18,11.12,11.12,11.18,11.12,11.18,11.18,11.12,10.99,11.21
2,Kedelai Biji Kering (Impor),15.310,15.240,15.280,15.240,15.130,15.270,15.420,14.990,15.240,15.240,15.240,15.240,15.110,15.110,15.110,15.460,15.520,15.520,15.460,15.520,15.460,15.320,15.320,15.650,15.650,15.600,15.520,15.520,15.400,15.520,15.910,15.650,15.650,15.650,15.650,15.650,15.900,15.840,15.580,15.160,15.450,15.450,15.450,15.260,15.200,15.070,15.060,15.200,15.060,14.940,14.940,15.000,14.940,14.940,14.940,14.340,15.190,15.190,15.070,15.250,15.370,15.190,15.190,15.190,15.070,15.070,15.070,15.070,15.070,15.070,14.940,15.060,15.060,15.060,14.810,14.670,14.810,14.810,15.060,15.060,15.060,15.060,14.940,14.810,14.940,14.810,14.810,14.810,15.060,14.810,15.060,15.060,15.060,15.200,14.940,14.940,14.94,14.67,14.94,14.94,14.81,14.81,14.68,14.67,14.94,14.81,14.94,14.94,14.94,14.94,14.4,14.94,15.24,14.94,14.94,14.94,14.94,14.69,14.69,14.82,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.54,14.54,14.54,14.54,14.54,14.41,14.41,14.41,14.53,14.53,14.53,14.39,14.53,14.25,14.53,14.53,14.53,14.53,14.53,14.53,14.39,14.65,14.39,14.65
3,Bawang Merah,35.910,36.040,36.210,35.960,36.360,36.210,36.210,36.340,36.180,34.870,35.230,34.870,34.870,35.990,35.450,37.720,37.670,37.040,39.170,40.120,37.230,38.950,39.830,40.770,40.060,40.370,40.140,41.960,39.860,43.550,45.160,44.990,45.590,45.820,45.220,45.460,46.620,44.860,43.500,42.990,42.480,42.990,39.450,37.400,38.190,36.150,36.020,36.320,35.620,34.240,33.940,36.150,34.750,35.270,34.750,34.750,34.470,33.810,33.810,34.530,34.000,34.470,34.470,35.270,36.190,35.790,35.590,35.590,34.100,35.070,35.590,35.070,34.140,35.390,34.800,34.410,34.410,34.800,35.500,36.560,36.190,35.410,33.940,34.820,33.760,33.380,33.010,33.670,34.320,34.220,33.450,33.880,33.570,34.010,33.300,33.860,33.86,32.39,32.04,31.32,33.57,33.57,35.4,35.03,34.33,35.86,37.34,39.35,39.65,41.53,40.37,40.29,40.19,42.13,43.25,41.98,40.74,39.84,39.59,39.98,40.43,39.73,39.07,39.73,40.32,40.32,40.43,42.22,41.95,42.04,42.04,40.14,40.82,41.54,39.59,40.93,40.25,40.74,40.82,40.56,40.14,40.0,39.18,39.59,40.48,40.06,39.48,41.42,40.82,40.82,40.06
4,Bawang Putih Bonggol,24.860,25.830,26.500,26.070,26.210,26.640,25.540,24.670,25.520,25.410,25.540,25.410,25.520,25.410,24.550,25.650,25.990,25.760,24.170,26.890,25.310,25.500,25.760,27.380,25.050,25.260,25.230,25.830,25.840,27.010,27.800,26.340,26.570,26.570,26.340,26.570,26.670,27.050,27.440,28.040,26.820,27.200,26.820,27.180,26.700,26.820,26.820,26.690,26.820,27.310,26.440,27.840,28.140,28.230,28.230,28.510,29.250,29.010,29.120,28.730,28.290,28.840,28.270,29.270,29.670,31.900,29.650,30.490,31.710,30.550,31.100,31.620,31.350,30.810,31.370,31.370,31.370,31.620,30.430,31.370,31.020,31.300,31.070,31.550,30.140,29.620,30.380,29.440,30.720,29.900,30.030,30.140,30.140,30.720,29.620,29.620,29.73,29.06,29.98,30.3,29.47,30.29,30.63,30.37,30.16,30.88,30.99,31.73,32.18,32.46,33.39,33.96,32.11,31.84,31.02,31.62,32.24,31.13,31.36,31.49,31.9,31.33,32.14,31.88,31.27,31.61,31.25,31.94,32.56,33.2,34.04,32.65,32.93,33.38,32.19,33.2,32.39,33.98,33.65,32.46,33.6,34.3,34.82,35.5,34.36,34.42,33.94,36.23,34.72,35.52,34.72
5,Cabai Merah Keriting,44.590,45.060,43.710,44.600,48.530,45.450,44.020,45.590,47.740,47.250,45.190,43.860,42.060,44.630,44.080,43.560,43.910,40.970,40.870,40.830,40.830,41.100,43.330,43.340,44.630,43.950,42.920,44.100,42.930,42.990,39.900,43.630,43.860,43.260,43.310,44.330,46.660,46.680,46.070,45.870,44.790,44.860,44.670,45.700,44.860,48.800,52.250,49.730,50.220,51.740,49.030,50.300,50.650,48.330,48.720,48.720,45.370,44.440,44.440,40.770,41.400,40.630,42.780,42.220,40.640,42.250,44.350,42.780,46.780,42.160,43.230,41.540,40.510,40.510,42.960,42.960,43.410,43.130,39.920,40.250,40.510,43.910,47.120,43.560,39.600,38.510,36.700,36.560,39.090,38.840,37.420,35.100,35.890,35.690,33.780,34.070,34.64,33.13,34.07,33.22,35.41,35.01,35.69,33.78,35.93,39.59,43.35,44.91,49.26,50.47,51.85,52.78,49.5,46.6,37.32,35.1,31.9,31.48,32.75,31.59,32.06,30.72,30.8,29.82,29.53,30.69,31.32,33.3,33.03,34.33,33.3,33.06,32.4,31.18,31.77,31.16,31.53,30.46,29.88,30.46,29.1,29.38,29.38,31.77,30.32,30.65,31.51,30.58,30.58,30.58,31.18
6,Cabai Rawit Merah,71.030,78.720,72.570,69.510,70.490,73.340,72.000,66.930,65.420,64.730,60.950,62.300,60.360,61.630,59.400,57.260,56.740,54.830,58.310,57.370,56.260,58.550,60.430,60.920,58.660,57.530,59.900,60.550,57.830,57.850,57.030,57.720,55.860,56.600,55.040,60.340,63.030,60.130,60.220,60.880,60.340,61.060,62.350,64.900,63.330,69.130,71.110,70.540,69.560,70.480,68.470,71.790,70.520,68.530,69.910,67.270,66.600,67.890,67.140,66.740,66.230,70.810,72.680,71.700,77.850,79.090,79.800,79.000,72.550,75.940,78.040,76.790,75.520,77.420,80.000,79.320,80.610,82.430,81.840,81.840,81.180,81.220,81.800,79.120,73.320,71.450,59.330,57.520,57.050,55.920,52.670,50.730,50.710,48.920,45.110,45.930,44.96,44.78,43.16,42.21,41.32,40.43,40.05,40.05,40.64,42.5,44.2,45.33,44.67,44.67,48.68,44.76,45.37,43.47,39.6,37.62,34.31,33.3,35.15,34.64,34.82,32.12,32.12,31.7,32.75,33.3,33.5,35.77,35.41,36.7,35.19,36.7,35.99,34.91,34.97,36.64,36.23,36.87,37.8,39.19,39.74,42.59,41.58,41.47,41.46,43.5,41.35,44.15,42.93,42.31,42.93
7,Daging Sapi Murni,135.760,136.810,137.070,137.990,137.810,136.360,137.810,137.810,136.810,136.810,136.810,136.810,136.810,136.810,137.450,138.080,138.080,138.080,138.080,137.450,138.080,138.080,138.080,138.080,139.280,137.810,136.810,136.810,136.810,136.810,136.810,136.810,136.160,136.160,136.160,136.810,136.810,136.810,136.810,136.810,136.810,136.810,136.810,135.550,136.810,135.550,135.550,135.550,135.550,135.550,135.550,135.550,135.550,135.550,135.550,135.550,136.810,136.810,136.810,135.550,135.620,135.550,135.550,135.550,136.810,136.810,136.810,136.810,136.810,136.160,137.430,134.200,135.550,135.550,136.810,136.810,136.810,138.710,138.620,138.620,134.820,136.720,138.620,138.620,138.620,138.620,137.990,137.990,138.620,138.620,137.340,138.620,138.620,138.620,139.910,137.340,137.34,135.36,138.62,138.62,137.34,137.34,135.55,136.81,137.43,138.62,141.12,142.34,150.97,156.1,152.91,152.51,151.3,145.43,143.5,142.44,141.79,139.82,139.82,141.12,137.99,137.34,138.62,138.62,138.62,138.62,138.62,138.62,137.34,136.72,137.34,136.72,137.34,136.72,137.99,138.62,137.34,137.34,138.62,138.62,138.62,138.62,138.62,137.34,138.62,138.62,138.62,138.62,137.34,137.34,137.34
8,Daging Ayam Ras,35.930,36.350,35.710,36.060,36.220,36.080,35.400,34.630,35.010,35.140,35.140,35.010,35.010,35.150,35.420,35.420,35.160,34.870,35.010,35.930,35.010,35.010,35.300,35.300,35.300,35.790,35.300,35.010,35.010,34.730,35.010,35.710,34.730,34.730,35.010,35.600,35.290,35.560,35.560,35.420,35.420,35.950,35.420,35.720,35.720,35.720,35.580,35.580,35.710,35.420,35.420,35.420,35.300,35.300,35.300,35.300,35.300,35.560,35.560,35.560,34.670,35.170,35.170,35.030,34.750,34.750,34.750,34.890,34.890,35.150,34.930,36.630,36.090,36.100,35.980,36.100,35.980,36.100,35.990,36.260,36.260,36.260,35.850,35.850,35.850,35.590,35.450,35.300,35.300,35.300,35.300,35.300,35.300,35.300,35.020,35.020,35.02,34.06,35.02,35.02,35.15,35.15,35.8,35.93,36.1,35.85,36.12,37.13,38.33,38.9,40.38,39.43,39.02,38.67,37.69,37.14,37.14,37.39,36.88,36.39,36.89,36.63,36.76,36.62,36.39,36.62,36.02,36.02,35.72,35.72,36.09,36.23,35.86,35.86,36.26,36.26,36.26,36.39,36.39,36.39,36.53,37.01,36.78,37.43,37.4,37.16,37.4,37.4,37.25,37.25,36.63
9,Telur Ayam Ras,28.410,27.990,28.560,28.240,28.410,28.270,28.140,27.710,27.990,27.990,27.870,27.990,27.930,27.750,27.680,27.800,27.680,26.980,27.680,27.240,27.430,27.430,27.430,27.430,27.430,27.350,27.430,27.310,27.430,27.430,27.430,27.370,27.370,27.370,27.430,27.370,27.300,27.240,27.240,27.240,27.240,27.370,27.240,27.240,27.370,26.860,28.040,26.990,26.990,26.740,26.740,26.990,26.490,26.490,26.490,26.490,26.610,26.610,26.300,27.610,26.480,26.300,26.600,26.490,26.490,26.560,26.750,27.000,27.240,27.230,28.390,27.990,28.040,28.350,28.980,29.230,29.230,29.360,29.480,29.360,29.610,29.490,29.860,29.860,29.730,29.360,29.490,29.360,29.230,29.110,28.990,28.610,28.730,28.480,28.230,28.220,28.22,28.06,28.22,27.84,28.1,27.49,27.49,27.3,27.24,27.67,27.48,27.74,27.62,27.68,27.63,28.05,27.85,27.49,27.23,27.48,27.49,27.36,27.36,27.36,27.49,27.8,27.55,27.62,27.86,27.86,27.86,28.3,28.86,29.48,29.49,29.73,30.09,30.85,30.96,31.48,31.48,31.36,31.48,31.36,31.84,31.67,31.74,31.61,31.49,31.49,31.61,31.61,31.56,31.49,31.37
