Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.130,12.060,12.150,12.250,12.180,12.170,12.270,12.310,12.290,12.310,12.340,12.270,12.410,12.360,12.340,12.380,12.390,12.410,12.370,12.420,12.410,12.410,12.360,12.440,12.440,12.350,12.380,12.470,12.470,12.500,12.510,12.660,12.640,12.740,12.590,12.820,12.820,12.790,12.900,12.750,12.810,12.740,12.810,12.710,12.790,12.760,12.800,12.820,12.780,12.700,12.690,12.790,12.660,12.570,12.640,12.530,12.540,12.560,12.500,12.570,12.560,12.580,12.460,12.500,12.510,12.450,12.520,12.490,12.510,12.480,12.550,12.620,12.620,12.610,12.760,12.650,12.630,12.800,12.750,12.730,12.750,12.820,12.740,12.630,12.780,12.720,12.780,12.850,12.840,12.870,12.740,12.770,12.790,12.790,12.710,12.690,12.78,12.69,12.72,12.75,12.69,12.79,12.72,12.7,12.72,12.67,12.71,12.82,12.83,12.79,12.77,12.74,12.68,12.73,12.71,12.68,12.7,12.72,12.7,12.68,12.72,12.75,12.66,12.69,12.62,12.66,12.7,12.67,12.7,12.66,12.62,12.61,12.65,12.71,12.59,12.62,12.68,12.65,12.54,12.64,12.58,12.65,12.65,12.65,12.59,12.68,12.64,12.63,12.71,12.7,12.64
Beras Medium,10.850,10.830,10.890,11.010,10.980,11.010,11.010,11.080,11.070,11.040,11.090,11.030,11.190,11.110,11.120,11.180,11.190,11.180,11.140,11.180,11.180,11.220,11.150,11.300,11.240,11.160,11.190,11.270,11.220,11.220,11.300,11.280,11.260,11.370,11.290,11.500,11.480,11.540,11.530,11.520,11.610,11.510,11.540,11.470,11.460,11.370,11.510,11.400,11.400,11.330,11.320,11.400,11.260,11.140,11.130,11.130,10.960,10.930,10.880,10.930,10.800,11.030,10.810,10.870,10.810,10.810,10.840,10.820,10.740,10.790,10.790,10.860,10.880,10.980,11.100,11.050,11.030,11.100,10.990,11.000,10.980,11.030,10.950,10.930,11.000,10.930,11.020,11.060,11.030,11.010,10.970,11.000,11.030,11.010,10.950,10.970,11.01,10.88,10.97,11.06,11.01,11.08,11.03,11.0,11.01,11.04,11.01,11.17,11.19,11.21,10.91,11.21,11.11,11.04,11.07,11.06,11.02,11.02,11.07,11.01,10.94,11.07,10.9,11.0,10.91,10.93,11.02,10.99,11.0,10.93,11.02,10.98,11.01,11.02,10.96,11.01,11.03,11.05,10.94,11.1,11.07,11.08,11.07,11.02,11.05,11.11,11.01,11.07,11.06,11.02,11.04
Kedelai Biji Kering (Impor),14.710,14.560,14.600,14.660,14.740,14.640,14.640,14.480,14.750,14.570,14.800,14.870,14.860,14.660,14.820,14.740,14.680,14.890,14.710,14.730,14.710,14.670,14.620,14.720,14.710,14.570,14.630,14.520,14.660,14.660,14.720,14.650,14.840,14.800,14.360,14.520,14.760,14.440,14.650,14.600,14.640,14.530,14.430,14.390,14.520,14.530,14.370,14.360,14.390,14.450,14.430,14.380,14.760,14.320,14.420,14.380,14.360,14.490,14.330,14.290,14.440,14.340,14.580,14.400,14.380,14.440,14.460,14.450,14.460,14.310,14.400,14.480,14.440,14.310,14.430,14.420,14.420,14.420,14.470,14.320,14.410,14.280,14.400,14.350,14.360,14.310,14.350,14.240,14.240,14.130,14.190,14.170,14.330,14.190,14.150,14.300,14.41,14.27,14.19,14.18,14.24,14.16,14.08,14.3,14.34,14.23,14.0,14.15,14.13,14.11,14.54,14.31,14.17,14.33,14.27,14.27,14.3,14.04,14.29,14.15,14.24,14.14,13.91,14.14,14.12,14.15,13.02,12.58,12.26,12.24,12.04,12.05,12.17,12.04,11.93,11.9,12.07,12.06,11.89,11.77,11.79,11.37,11.47,11.33,11.33,11.18,11.23,11.16,11.13,11.11,11.11
Bawang Merah,31.630,32.070,32.590,32.530,32.360,32.710,32.710,32.920,33.100,32.640,32.920,33.080,32.770,33.500,33.280,33.890,34.010,34.100,34.620,34.410,34.400,34.980,35.880,35.830,36.360,36.680,36.990,37.050,37.490,38.510,39.350,39.640,39.710,39.860,39.660,40.450,40.720,41.410,41.220,40.450,39.790,39.560,38.760,37.740,36.230,35.790,34.860,34.380,33.970,33.380,31.850,31.550,31.540,30.750,30.540,30.990,30.200,30.170,30.850,30.690,30.880,31.300,30.670,32.300,32.730,33.690,33.400,33.500,33.610,33.950,33.740,33.210,33.150,33.120,32.950,32.750,32.600,32.930,33.030,32.510,31.940,32.250,32.020,31.600,31.730,31.450,31.790,31.140,31.240,31.500,30.440,30.090,30.330,30.300,30.020,29.780,29.99,29.91,29.38,29.59,29.48,29.21,29.31,29.46,29.38,30.46,30.83,31.68,31.6,33.79,33.8,34.13,33.94,34.42,34.84,35.74,36.2,36.45,37.15,36.33,36.9,37.8,38.59,39.13,38.78,39.06,40.08,40.02,40.26,39.31,38.71,39.43,39.14,38.58,37.89,38.09,37.77,37.5,37.02,36.98,36.3,36.25,36.44,36.15,35.62,35.99,35.67,36.25,36.15,35.89,35.31
Bawang Putih Bonggol,21.720,21.470,21.540,21.500,21.250,21.270,21.360,21.790,21.480,21.750,22.240,22.250,22.190,22.450,22.520,22.520,22.620,23.090,23.280,23.520,23.120,23.290,23.750,23.890,23.790,23.910,23.850,24.220,24.340,24.470,24.650,24.700,24.720,24.600,24.440,25.280,24.900,25.020,24.810,24.650,24.830,24.750,25.120,24.830,24.380,24.830,24.560,24.910,24.250,24.960,25.580,25.500,26.180,25.700,26.110,26.060,26.180,26.230,26.300,26.420,26.460,26.450,26.720,27.780,28.120,28.570,29.150,29.060,29.770,29.450,30.320,30.030,29.720,29.860,29.530,29.260,29.390,29.290,29.310,28.940,28.670,28.430,28.510,28.460,28.390,28.200,27.890,28.020,28.030,28.200,27.360,27.690,27.320,27.350,27.560,27.220,27.18,27.23,26.87,26.81,26.84,26.82,26.57,26.71,26.86,26.77,26.85,27.27,27.38,28.17,28.45,28.32,28.33,28.55,28.72,28.71,28.94,28.62,29.35,28.83,28.89,29.37,29.37,29.43,29.43,29.97,30.3,30.92,31.05,31.89,31.52,32.07,32.0,31.88,32.01,31.7,32.06,32.11,32.02,31.68,32.07,32.29,32.04,32.29,32.45,32.51,32.73,33.09,33.39,33.19,32.99
Cabai Merah Keriting,36.130,36.480,36.470,37.560,36.740,36.780,38.170,38.070,38.060,37.540,38.710,38.110,36.780,37.920,35.200,35.820,36.260,35.700,35.290,35.470,33.240,34.710,34.870,34.680,35.040,33.960,35.320,34.520,35.080,35.070,34.940,34.890,34.700,36.370,35.610,35.950,36.160,37.580,37.540,37.080,36.050,36.410,37.920,38.330,38.630,39.160,40.450,40.130,40.370,40.300,41.190,41.100,40.550,40.100,39.760,39.300,35.680,34.040,33.650,32.910,32.320,33.950,33.330,35.300,35.790,34.960,38.030,37.620,37.300,38.430,36.950,37.770,38.050,38.390,39.420,38.540,38.950,40.350,41.370,40.050,40.500,40.730,38.900,38.320,38.240,35.120,34.170,33.840,33.020,31.490,29.620,30.310,29.290,28.980,26.740,27.620,27.37,26.58,26.32,26.99,27.1,27.49,27.65,27.51,28.37,30.76,33.38,35.77,36.96,38.02,39.28,41.73,38.33,38.41,33.81,30.92,29.19,27.66,27.53,27.18,26.67,26.92,25.85,25.28,24.87,25.45,26.82,27.03,28.73,28.6,29.13,29.27,29.53,29.82,29.31,29.9,30.05,27.77,27.14,27.26,26.3,26.7,26.11,26.83,26.02,27.17,26.68,25.67,26.4,26.04,25.54
Cabai Rawit Merah,55.790,58.450,58.860,55.380,54.620,56.540,57.700,57.150,57.440,55.430,53.420,52.810,51.480,49.820,47.150,46.550,46.330,46.370,45.340,45.010,44.780,45.800,48.720,48.940,48.750,49.880,50.100,49.400,50.830,50.500,50.680,49.560,50.610,49.260,51.020,54.350,55.350,56.110,55.420,55.410,55.480,55.850,58.380,57.940,57.880,60.020,61.060,61.150,61.420,61.510,60.540,59.270,61.410,60.070,60.180,60.450,58.620,57.810,59.540,59.590,62.480,63.100,64.200,69.330,69.890,69.970,71.250,72.590,72.440,72.110,74.870,74.520,74.960,77.520,76.290,77.050,75.110,77.500,76.330,75.740,74.670,72.950,74.080,72.370,67.490,56.380,48.840,49.720,47.770,44.940,42.360,40.460,39.270,36.730,34.030,34.060,34.24,32.34,30.29,29.62,28.59,28.07,28.23,28.0,27.77,27.49,28.48,31.46,32.3,34.48,37.49,37.01,35.34,35.2,28.26,24.8,24.89,24.51,24.81,24.18,24.11,24.49,24.17,23.73,24.56,25.24,26.5,26.82,28.14,29.0,28.33,28.84,28.17,28.92,29.33,29.6,30.47,30.51,31.14,32.49,35.11,34.8,35.21,35.44,36.28,36.57,37.8,36.98,37.41,37.1,37.1
Daging Sapi Murni,116.520,115.500,116.510,115.740,115.280,116.970,115.650,116.330,116.000,115.160,115.510,115.150,116.040,116.320,115.250,115.520,114.900,115.110,115.800,115.660,116.930,115.700,115.810,115.630,114.920,115.770,115.550,115.870,116.000,115.180,115.590,115.600,115.390,115.690,115.030,115.640,115.560,116.670,117.200,116.050,114.890,115.370,114.740,114.870,114.230,115.100,114.730,114.880,115.370,115.030,115.240,114.950,114.890,115.000,116.080,115.970,115.410,114.460,115.290,114.820,113.980,115.090,115.340,114.830,114.650,114.280,115.220,115.180,116.130,115.620,115.270,115.200,114.540,115.200,114.710,116.080,115.420,115.160,116.000,115.970,115.320,115.910,115.640,115.420,115.950,115.850,115.960,115.700,115.620,115.870,115.910,115.740,115.380,115.790,116.460,115.910,116.1,114.87,116.07,115.94,115.49,115.6,115.61,117.29,116.01,117.06,117.09,118.36,120.22,122.82,126.22,120.69,119.96,119.93,118.64,118.01,118.31,118.59,117.89,117.51,116.96,117.44,117.56,117.28,117.27,117.2,117.02,117.83,117.46,117.77,116.64,117.65,116.72,115.98,116.64,117.43,116.53,116.53,116.44,116.61,116.64,116.45,116.39,116.69,116.38,116.59,116.69,116.4,116.47,116.61,115.84
Daging Ayam Ras,33.460,32.700,32.920,32.680,32.300,32.430,32.260,32.370,31.960,31.870,31.840,31.660,31.350,31.770,30.930,30.390,30.670,30.490,30.900,30.940,31.120,30.930,31.060,30.650,30.590,30.610,30.500,30.200,30.100,29.880,30.110,30.400,30.000,30.180,30.700,30.860,31.060,31.170,31.170,31.090,31.160,31.460,31.340,31.290,31.010,31.270,31.200,31.270,30.990,30.760,30.950,30.770,30.740,30.850,30.970,31.280,31.120,31.000,31.200,31.160,31.030,30.730,30.770,30.150,30.550,30.490,30.770,30.850,31.110,31.000,31.050,31.310,31.700,32.200,32.370,32.750,32.870,33.420,33.260,33.490,33.530,32.980,32.700,32.730,32.040,31.810,31.530,31.330,31.340,31.340,31.270,31.380,31.350,31.210,31.000,31.040,31.1,31.31,31.6,31.52,31.82,32.35,32.3,32.94,32.62,33.07,33.62,34.6,35.4,37.0,39.24,37.75,37.65,37.93,38.0,38.25,37.73,36.8,36.32,35.43,35.09,34.23,34.09,33.85,33.31,33.44,33.6,34.03,33.72,33.71,34.13,34.35,34.6,34.58,34.44,34.55,34.57,34.95,34.96,34.92,35.37,35.74,35.81,36.35,36.27,36.21,36.4,37.04,35.96,36.06,36.32
Telur Ayam Ras,27.320,27.120,27.160,27.270,27.080,27.250,27.250,27.310,27.260,27.140,27.320,26.920,26.980,27.050,26.850,26.770,26.760,26.660,26.740,26.650,26.830,26.740,26.640,26.500,26.740,26.670,26.570,26.520,26.510,26.260,26.480,26.410,26.170,26.460,26.260,26.180,26.250,26.260,26.250,26.260,26.310,26.280,26.430,26.310,26.350,26.310,26.180,26.160,26.110,26.010,25.910,25.980,25.850,25.890,25.890,26.130,25.870,25.660,25.680,25.740,25.790,25.440,25.550,25.630,25.950,26.200,26.390,26.590,26.490,26.510,26.770,27.000,27.250,28.020,28.200,28.270,28.370,29.030,29.060,29.120,29.120,28.810,29.000,29.130,28.680,28.660,28.530,28.340,28.250,27.870,27.900,27.670,27.510,27.260,27.130,27.050,26.91,26.89,26.58,26.56,26.29,26.36,26.37,26.29,26.16,26.18,26.23,26.45,26.59,26.97,27.2,26.83,26.98,27.06,26.92,26.79,27.06,27.07,27.06,26.93,26.79,26.81,27.23,27.69,27.71,27.79,27.98,28.01,28.2,28.31,28.75,29.32,29.5,29.99,30.11,30.15,30.38,30.36,30.75,30.67,30.38,30.31,30.37,30.62,30.68,30.5,30.51,30.19,30.24,30.08,30.15
