Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.260,12.270,12.170,12.150,12.210,12.200,12.320,12.320,12.320,12.370,12.370,12.370,12.340,12.440,12.460,12.490,12.520,12.610,12.580,12.550,12.630,12.610,12.640,12.620,12.640,12.640,12.640,12.620,12.670,12.720,12.690,12.620,12.640,12.640,12.680,12.610,12.620,12.640,12.640,12.640,12.700,12.680,12.700,12.730,12.730,12.730,12.730,12.710,12.730,12.730,12.710,12.730,12.740,12.710,12.680,12.700,12.700,12.670,12.660,12.670,12.670,12.610,12.610,12.580,12.580,12.580,12.580,12.580,12.580,12.610,12.580,12.550,12.520,12.550,12.550,12.550,12.550,12.550,12.580,12.590,12.580,12.580,12.610,12.640,12.640,12.650,12.600,12.570,12.600,12.570,12.600,12.600,12.600,12.570,12.540,12.540,12.57,12.57,12.54,12.54,12.54,12.54,12.54,12.54,12.6,12.57,12.64,12.6,12.6,12.63,12.490,12.490,12.63,12.54,12.48,12.48,12.48,12.48,12.51,12.48,12.38,12.51,12.57,12.54,12.57,12.6,12.54,12.58,12.58,12.61,12.58,12.61,12.66,12.61,12.61,12.58,12.67,12.67,12.67,12.7,12.76,12.73,12.76,12.71,12.68,12.67,12.69,12.67,12.67,12.7,12.6
Beras Medium,10.820,10.920,10.820,10.840,10.900,10.900,10.900,10.900,10.900,10.900,10.900,10.900,10.930,10.990,11.020,11.050,10.930,10.930,10.930,10.990,11.050,10.990,11.080,11.090,11.050,11.020,11.020,10.960,10.990,11.080,11.100,11.230,11.020,11.080,11.080,11.080,11.100,11.220,11.220,11.190,11.190,11.200,11.250,11.250,11.220,11.250,11.300,11.230,11.250,11.280,11.200,11.250,11.230,11.260,11.200,11.250,11.250,11.250,11.320,11.250,11.250,11.250,11.250,11.160,11.130,11.160,11.100,11.130,11.160,11.190,11.160,11.160,11.160,11.190,11.190,11.190,11.220,11.220,11.190,11.300,11.190,11.190,11.210,11.210,11.210,11.260,11.170,11.170,11.200,11.170,11.170,11.200,11.170,11.170,11.120,11.120,11.12,11.12,11.12,11.16,11.12,11.12,11.12,11.17,11.18,11.19,11.13,11.24,11.29,11.21,11.490,11.190,11.21,11.18,11.18,11.2,11.18,11.18,11.19,11.18,11.12,11.18,11.33,11.35,11.28,11.32,11.27,11.2,11.28,11.31,11.23,11.33,11.35,11.28,11.28,11.23,11.28,11.28,11.28,11.28,11.28,11.28,11.25,11.24,11.21,11.25,11.25,11.25,11.25,11.25,11.33
Kedelai Biji Kering (Impor),14.270,14.080,14.240,14.200,14.220,14.140,14.170,14.170,14.240,14.240,14.240,14.110,14.350,14.370,14.360,14.260,14.110,14.090,14.110,14.150,14.240,14.300,14.240,14.400,14.440,14.480,14.410,14.560,14.480,14.410,14.510,14.510,14.530,14.390,14.570,14.390,14.290,14.270,14.270,14.270,14.270,14.270,14.330,14.390,14.320,14.320,14.320,14.350,14.460,14.450,14.340,14.450,14.280,14.480,14.600,14.510,14.510,14.450,14.290,14.450,14.510,14.480,14.450,14.390,14.330,14.330,14.400,14.400,14.400,14.400,14.460,14.390,14.390,14.370,14.370,14.430,14.430,14.430,14.390,14.380,14.420,14.420,14.420,14.420,14.420,14.290,14.420,14.420,14.420,14.420,14.420,14.420,14.240,14.300,14.190,14.360,14.29,14.29,14.26,14.24,14.22,14.24,14.22,14.22,14.22,14.24,14.49,14.33,14.33,14.33,14.140,14.000,14.29,14.29,14.26,14.49,14.29,14.23,14.43,14.23,14.23,14.23,14.23,14.25,14.28,14.2,13.87,13.79,13.65,13.52,13.38,12.68,12.44,12.49,12.49,12.53,12.48,12.48,12.18,12.18,12.13,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.97,11.85
Bawang Merah,34.890,34.730,34.460,34.030,33.590,34.740,35.000,36.470,37.240,37.520,37.080,37.140,36.250,37.620,38.240,38.220,38.810,38.350,38.540,39.150,38.830,38.560,39.070,40.380,40.290,41.080,41.340,41.340,42.140,42.250,41.900,41.960,41.550,42.140,41.750,41.490,42.020,42.550,42.490,42.440,41.620,41.350,40.480,39.570,38.660,39.790,38.530,38.320,38.460,38.100,38.300,37.280,36.950,35.560,35.500,35.500,35.750,35.550,35.420,35.250,35.330,35.550,35.500,35.270,35.780,35.380,35.980,35.890,35.820,36.480,36.200,35.490,35.100,35.380,35.180,35.310,35.420,34.970,35.580,35.590,35.230,34.910,35.100,35.930,34.650,34.070,33.800,33.630,33.660,33.570,33.330,33.220,33.140,32.550,31.990,31.360,31.66,31.88,31.79,31.78,31.89,32.31,32.51,32.49,33.16,32.83,33.37,34.12,34.92,35.11,36.880,35.590,34.22,35.24,36.79,35.76,38.0,38.56,37.24,37.61,36.21,36.75,38.3,38.52,38.73,39.02,39.4,39.47,39.03,38.69,39.4,38.97,38.78,38.55,37.83,38.04,37.55,37.37,36.96,37.03,37.08,36.1,35.59,35.81,35.88,35.79,35.43,34.68,35.0,34.96,35.05
Bawang Putih Bonggol,24.660,24.000,23.970,24.170,24.310,24.470,24.470,25.020,25.020,25.530,25.660,25.290,26.000,25.710,26.080,26.170,26.440,26.080,26.260,26.420,26.020,25.900,26.200,26.480,26.200,26.570,26.630,27.260,27.110,27.120,27.180,27.390,27.610,27.520,27.560,27.300,27.520,27.000,26.710,26.820,26.940,26.620,27.240,27.240,27.240,27.240,27.180,27.130,27.100,27.530,27.640,27.840,28.160,28.210,28.010,28.070,28.230,28.290,28.640,28.200,28.120,29.110,29.120,28.870,29.280,30.210,30.560,32.120,32.600,32.150,32.040,32.400,32.620,31.790,31.670,32.080,31.950,31.990,32.260,32.200,32.060,31.750,31.440,31.080,31.240,30.640,30.550,30.760,31.570,30.630,30.510,30.750,30.450,30.320,30.390,29.760,29.73,29.84,30.33,30.35,30.07,29.81,30.51,30.5,30.77,30.36,31.25,31.21,32.39,33.03,32.000,31.720,31.8,32.5,33.34,32.68,34.09,34.74,35.14,33.84,33.1,33.58,34.03,33.97,34.86,34.5,34.53,34.37,35.04,35.81,36.18,36.45,35.89,36.17,35.95,36.57,35.56,36.15,35.81,35.69,35.77,35.46,35.42,35.55,34.76,35.05,35.21,35.15,35.09,34.9,35.15
Cabai Merah Keriting,42.700,44.090,44.570,41.980,43.520,43.790,45.110,47.910,48.140,48.570,47.110,46.500,46.180,45.970,43.790,43.560,43.500,41.380,41.560,41.070,41.460,40.940,43.540,44.570,43.980,45.120,45.150,44.320,44.890,44.940,43.740,42.970,43.110,44.210,45.000,44.850,47.020,45.980,45.060,44.540,45.060,44.150,44.120,42.790,42.660,42.860,43.570,43.260,43.130,42.610,43.700,43.700,44.310,43.870,44.020,44.060,43.910,43.000,43.610,42.670,42.960,44.170,44.280,42.490,43.910,43.200,43.350,43.720,43.780,44.120,44.200,43.770,43.900,43.300,43.940,43.940,44.560,42.640,43.600,43.560,43.230,42.850,41.350,41.960,40.530,37.650,37.310,36.370,36.100,35.530,35.380,34.170,33.820,33.440,33.820,32.090,32.56,32.14,33.6,32.72,32.16,32.85,33.41,32.99,33.38,35.92,36.74,39.79,43.08,42.87,42.430,44.600,40.79,40.4,39.06,35.87,33.85,32.17,31.22,30.53,28.61,29.45,28.82,28.41,28.25,27.91,27.7,27.21,27.75,27.35,27.93,26.84,26.37,26.82,26.82,26.93,26.08,25.49,26.02,26.88,26.58,26.18,26.09,26.18,25.28,25.09,25.56,25.47,25.78,25.74,25.43
Cabai Rawit Merah,57.960,59.560,55.570,57.910,55.860,56.690,58.440,59.970,59.830,59.460,57.350,56.400,57.490,59.130,56.850,55.690,55.350,54.240,55.340,54.670,53.730,53.360,52.900,54.320,54.060,54.030,53.730,54.300,56.060,55.330,54.950,54.450,54.400,54.390,54.750,53.290,54.470,53.880,52.390,52.900,53.430,53.360,54.100,54.560,54.230,54.780,54.330,54.170,53.550,55.480,56.430,57.440,56.380,57.040,56.930,56.880,56.940,55.530,56.500,56.800,56.270,57.090,58.000,57.700,58.020,58.880,59.660,60.490,61.440,61.270,62.790,61.200,61.050,61.050,59.120,60.060,60.030,60.640,61.060,61.600,60.160,61.490,60.910,60.570,61.140,57.290,55.850,52.620,51.320,51.690,52.050,49.850,47.560,43.860,43.830,42.850,43.42,43.08,42.39,42.41,42.55,40.17,39.95,41.42,39.68,40.39,42.44,42.02,44.03,44.2,48.990,45.800,43.99,45.4,42.16,41.59,36.57,35.95,35.66,33.58,34.89,33.68,32.19,32.8,31.84,31.89,32.15,32.75,32.78,32.32,32.96,30.9,30.66,32.76,31.9,33.2,32.44,31.93,31.85,32.27,32.43,33.63,33.73,33.48,32.1,33.38,33.08,32.23,33.3,33.07,32.83
Daging Sapi Murni,136.910,136.410,136.320,136.720,135.770,135.720,135.420,134.830,134.830,134.830,134.830,134.250,135.130,136.090,135.460,135.130,135.130,135.460,135.130,135.460,135.720,134.830,135.420,135.460,135.130,135.130,134.540,134.210,134.540,135.130,135.130,135.130,134.830,135.130,135.460,135.720,135.140,134.870,134.870,135.460,135.750,136.120,135.750,135.160,134.530,134.530,135.160,135.130,135.110,133.940,133.570,133.940,132.950,134.510,134.190,134.530,133.940,133.940,133.810,133.940,134.530,135.410,135.110,135.110,136.260,135.700,135.700,135.700,135.110,135.700,135.700,135.030,135.030,135.030,135.030,136.560,138.100,137.500,138.970,141.410,140.140,141.290,139.530,139.530,139.530,139.500,138.930,138.620,139.220,138.660,138.660,138.060,138.660,138.660,138.580,137.980,138.93,138.93,139.53,139.51,139.53,139.53,138.93,139.19,141.51,143.49,144.68,147.92,152.91,154.33,154.920,145.790,139.96,139.26,139.02,138.25,137.82,136.56,135.49,135.75,136.34,135.79,135.5,133.69,133.69,134.57,134.38,134.03,134.66,134.38,134.65,134.6,134.22,135.21,134.66,134.65,134.66,134.66,134.66,134.39,134.07,134.07,134.67,135.0,134.37,135.0,134.7,134.7,135.29,135.29,135.29
Daging Ayam Ras,34.600,34.350,34.040,33.340,32.760,32.020,31.910,31.620,31.120,30.770,30.570,30.730,30.150,29.760,29.940,29.880,29.430,29.320,28.780,28.460,28.550,28.460,28.300,28.340,28.260,27.900,28.020,27.590,27.610,27.660,27.650,27.420,27.380,27.250,27.450,27.310,27.650,27.790,28.070,28.130,28.190,28.470,27.970,27.910,27.910,28.130,28.020,28.090,28.250,27.970,27.850,27.970,28.160,28.090,28.040,28.140,28.210,28.210,28.580,28.750,28.680,28.910,29.090,28.850,28.850,29.310,29.340,29.280,29.020,29.030,30.070,30.070,29.690,30.210,30.470,30.500,30.780,30.900,30.860,31.410,31.090,30.790,30.780,30.540,30.150,30.150,29.880,29.880,29.300,28.940,28.760,28.400,28.440,28.290,28.060,27.940,28.23,28.12,28.18,28.28,29.03,29.39,29.22,29.68,30.03,31.02,31.11,32.02,32.77,34.59,33.940,33.710,33.11,33.18,32.54,32.32,32.32,32.09,31.94,31.84,31.84,31.55,31.66,31.52,31.65,31.41,31.9,32.15,32.24,32.07,32.59,33.22,33.05,33.98,33.83,34.62,34.53,34.87,34.8,34.63,35.04,34.83,34.94,35.1,35.0,35.14,35.03,34.48,34.58,34.64,34.51
Telur Ayam Ras,28.470,28.140,28.010,27.880,27.640,27.720,27.260,27.430,27.430,27.430,27.320,27.140,27.240,27.110,26.990,27.150,27.010,26.890,26.850,26.850,27.020,27.090,26.960,26.960,26.990,26.880,26.820,26.870,26.670,26.740,26.690,26.690,26.540,26.630,26.730,26.600,26.220,26.490,26.430,26.480,26.430,26.520,26.480,26.480,26.310,26.430,26.360,26.390,26.530,26.380,25.900,26.320,26.480,26.150,26.250,26.080,25.980,26.190,25.750,25.800,25.770,25.570,25.570,25.830,25.890,25.950,26.180,26.300,26.280,26.280,26.530,26.740,27.010,27.270,27.450,27.900,27.900,28.150,28.220,28.290,28.330,28.400,28.400,28.400,28.280,28.240,28.310,28.280,28.190,28.130,27.850,28.010,27.420,27.200,27.150,27.150,27.05,27.09,27.18,27.39,27.49,27.43,27.56,27.46,27.67,27.65,28.18,28.23,28.43,28.32,28.980,28.380,28.13,28.14,27.99,28.16,27.63,27.6,27.74,27.51,27.6,27.48,27.54,27.76,27.83,27.77,28.08,28.14,28.15,28.3,28.3,28.99,28.92,29.83,29.74,29.44,29.98,30.1,30.14,30.08,30.46,30.13,30.43,30.09,29.96,29.87,29.75,29.68,29.77,29.71,29.47
