Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.390,12.600,12.320,12.360,12.440,12.430,12.370,12.500,12.490,12.470,12.490,12.480,12.570,12.510,12.500,12.500,12.450,12.480,12.480,12.560,12.410,12.510,12.510,12.550,12.540,12.550,12.590,12.610,12.590,12.660,12.680,12.610,12.580,12.680,12.600,12.680,12.830,12.950,12.960,12.980,13.060,12.980,13.000,12.980,13.050,13.020,12.970,12.960,12.940,12.950,12.940,12.920,12.900,12.860,12.910,12.870,12.790,12.820,12.750,12.770,12.780,12.730,12.700,12.710,12.710,12.670,12.690,12.660,12.700,12.710,12.720,12.770,12.680,12.720,12.730,12.710,12.800,12.830,12.770,12.780,12.890,12.770,12.790,12.810,12.800,12.790,12.790,12.790,12.760,12.800,12.810,12.870,12.850,12.800,12.780,12.810,12.77,12.78,12.73,12.83,12.81,12.84,12.84,12.82,12.83,12.83,12.86,12.87,12.87,12.88,12.42,12.49,12.85,12.81,12.87,12.91,12.88,12.87,12.86,12.88,12.87,12.84,12.81,12.83,12.87,12.93,12.84,12.84,12.8,12.79,12.81,12.75,12.81,12.76,12.8,12.82,12.8,12.85,12.82,12.77,12.85,12.81,12.81,12.78,12.76,12.82,12.79,12.76,12.79,12.81,12.77
Beras Medium,10.970,10.960,10.870,10.970,10.980,10.980,10.890,11.010,11.000,11.160,11.080,11.050,11.130,11.100,11.080,11.070,11.060,11.090,11.110,11.130,11.100,11.160,11.190,11.210,11.230,11.170,11.240,11.250,11.250,11.300,11.390,11.370,11.390,11.370,11.300,11.390,11.530,11.600,11.670,11.660,11.730,11.670,11.730,11.700,11.680,11.710,11.670,11.690,11.660,11.640,11.620,11.570,11.590,11.530,11.540,11.540,11.500,11.480,11.420,11.430,11.410,11.370,11.360,11.300,11.270,11.170,11.270,11.230,11.250,11.240,11.300,11.340,11.310,11.280,11.330,11.320,11.320,11.410,11.430,11.420,11.480,11.470,11.470,11.520,11.490,11.490,11.520,11.440,11.510,11.440,11.460,11.550,11.470,11.430,11.360,11.470,11.45,11.44,11.48,11.5,11.45,11.49,11.45,11.43,11.42,11.4,11.41,11.34,11.43,11.41,11.42,11.37,11.37,11.37,11.38,11.41,11.4,11.37,11.38,11.39,11.41,11.4,11.39,11.35,11.4,11.41,11.37,11.34,11.34,11.33,11.32,11.33,11.35,11.3,11.3,11.36,11.34,11.31,11.31,11.35,11.33,11.3,11.35,11.3,11.28,11.31,11.28,11.29,11.25,11.27,11.27
Kedelai Biji Kering (Impor),14.140,14.290,14.300,14.300,14.350,14.400,14.220,14.350,14.340,14.170,14.230,14.190,14.060,14.190,13.940,14.180,14.020,14.120,13.850,13.910,13.780,14.150,14.070,13.970,14.050,13.950,14.060,13.930,13.970,13.960,13.980,13.880,13.900,13.860,13.730,13.850,13.850,14.010,13.980,13.840,14.080,14.150,14.020,13.890,13.970,13.840,13.960,14.000,13.960,13.770,13.880,13.900,13.870,13.960,13.860,13.890,13.750,13.770,13.860,13.750,13.800,13.820,13.890,13.790,13.760,13.840,13.690,13.760,13.690,13.640,13.710,13.660,13.700,13.590,13.670,13.660,13.710,13.720,13.780,13.740,13.700,13.580,13.810,13.610,13.640,13.580,13.590,13.710,13.670,13.610,13.540,13.580,13.430,13.500,13.470,13.560,13.57,13.61,13.53,13.61,13.64,13.41,13.59,13.66,13.57,13.58,13.57,13.59,13.52,13.44,12.83,13.22,13.58,13.45,13.58,13.46,13.58,13.44,13.49,13.49,13.45,13.52,13.58,13.23,13.14,13.16,12.42,11.82,12.03,11.87,11.82,11.63,11.76,11.78,11.78,11.73,11.82,11.68,11.69,11.76,11.78,11.71,11.49,11.57,11.54,11.49,11.57,11.65,11.66,11.56,11.6
Bawang Merah,33.970,33.750,33.940,33.830,34.290,34.150,34.580,34.920,34.650,34.600,35.270,34.710,34.620,35.180,35.850,35.770,35.580,36.240,36.980,37.300,36.720,37.780,38.270,39.250,39.880,40.090,39.730,40.230,40.180,41.500,42.410,42.540,43.140,42.970,42.730,43.240,43.960,43.980,43.750,43.160,42.460,42.900,40.330,39.410,39.730,37.520,37.110,36.470,36.570,35.690,35.280,34.090,33.880,33.680,33.880,33.780,33.500,33.350,33.120,32.610,32.540,32.830,33.490,33.170,33.470,33.800,33.820,33.850,34.130,33.910,33.520,33.260,32.710,32.880,33.150,33.380,32.750,32.510,32.640,33.050,32.690,32.770,32.620,33.690,32.510,32.690,32.490,31.910,31.870,31.290,31.460,32.000,31.730,31.630,31.790,31.350,31.4,31.85,31.74,31.74,31.52,32.21,31.81,31.59,32.18,32.93,34.47,34.94,36.31,36.05,34.55,35.25,35.86,36.62,37.84,37.46,38.56,38.63,38.98,38.3,39.31,39.29,39.94,40.38,41.04,41.36,41.78,41.58,41.6,41.37,40.81,40.99,40.82,39.76,40.05,39.5,39.42,38.47,38.66,38.62,37.4,38.04,38.82,38.56,38.56,37.88,38.51,37.62,37.8,37.81,37.85
Bawang Putih Bonggol,22.330,22.510,22.290,22.490,22.450,22.420,22.240,22.720,22.340,22.510,22.640,22.660,22.960,22.790,23.140,23.370,23.460,23.310,23.170,23.640,23.700,23.800,23.700,23.950,23.860,23.840,23.420,23.890,23.930,24.590,24.450,24.710,24.460,24.570,24.330,24.680,25.080,25.300,25.110,24.940,25.010,24.820,24.860,24.900,24.720,24.770,24.770,24.950,25.400,25.260,25.330,25.880,25.790,26.030,25.830,26.230,25.910,26.150,26.450,26.410,26.330,26.610,26.690,27.290,27.410,27.760,28.020,28.390,28.750,28.460,28.820,28.660,28.640,28.380,28.320,28.400,28.170,28.170,27.950,28.500,28.660,28.360,27.800,28.380,27.850,28.060,27.480,27.880,28.660,27.520,27.660,27.580,28.060,27.830,27.620,27.810,27.6,27.76,27.54,27.6,27.24,27.73,27.39,27.05,27.32,27.4,28.44,28.52,28.56,29.35,29.09,29.28,28.59,28.17,29.16,29.27,29.31,29.19,29.2,29.55,29.18,29.04,29.42,29.62,29.75,29.82,30.02,30.28,30.45,30.59,31.1,30.84,30.9,31.68,31.03,31.06,31.12,30.92,30.87,31.0,30.99,31.21,31.46,31.27,31.33,31.14,31.1,31.82,31.95,32.3,32.3
Cabai Merah Keriting,38.020,37.600,39.250,38.600,39.050,38.610,39.340,39.500,40.180,39.330,38.670,38.250,37.150,37.350,35.550,34.760,34.540,34.740,34.510,34.500,34.380,34.400,35.590,35.580,35.420,36.290,36.780,36.480,36.370,36.870,36.640,36.800,36.940,37.420,38.330,39.290,41.200,42.030,40.670,40.360,40.800,40.640,40.280,41.030,40.800,42.100,42.450,43.440,44.460,44.180,44.160,43.380,43.410,41.620,41.350,40.390,38.680,37.730,36.780,36.510,36.790,37.100,36.920,37.230,37.250,37.540,36.680,36.560,36.880,37.040,35.980,36.380,35.560,36.060,36.160,36.560,36.490,35.860,36.190,36.890,35.530,35.950,36.790,36.700,35.290,32.230,30.600,29.030,29.730,28.490,28.900,28.580,28.070,28.000,26.960,27.510,27.4,26.88,27.22,26.93,26.72,27.17,27.16,26.99,27.77,33.49,40.25,40.27,40.24,41.11,41.66,41.63,38.11,36.33,31.28,29.67,27.37,26.82,27.1,27.07,25.41,24.11,24.19,23.52,23.54,23.74,23.99,24.74,27.12,27.66,28.26,26.62,27.43,27.36,27.01,26.1,25.72,24.54,24.93,25.0,23.9,24.25,23.7,22.95,23.12,23.96,23.38,23.88,23.91,23.16,23.31
Cabai Rawit Merah,58.130,57.170,56.590,56.910,57.550,57.240,60.140,56.730,56.550,54.420,53.720,52.610,52.480,50.100,48.090,46.660,47.420,47.830,46.370,47.210,45.570,45.980,47.440,48.870,48.410,50.030,49.120,49.480,49.880,49.500,48.470,48.600,47.280,48.270,48.610,51.060,52.130,52.560,52.810,52.270,52.410,52.610,53.760,55.010,55.940,57.990,59.520,59.640,60.160,60.390,61.420,61.140,62.030,61.350,60.510,59.700,57.580,56.700,55.560,55.910,58.330,60.090,60.770,62.120,62.930,65.440,66.000,66.660,66.920,66.250,67.700,68.190,68.110,68.330,67.340,68.320,68.360,68.420,70.390,70.490,69.870,71.000,70.290,69.490,62.540,51.550,42.780,42.750,42.960,40.120,39.280,39.790,38.670,37.190,36.310,36.210,35.26,34.49,33.23,32.55,31.39,30.16,29.83,30.03,29.64,31.35,36.56,37.89,37.62,38.86,39.72,38.86,35.44,34.71,29.46,27.7,25.55,26.59,25.48,26.27,25.21,24.74,24.61,24.12,24.77,25.63,26.32,27.27,29.1,29.46,29.21,27.59,28.45,29.18,28.88,29.48,29.8,30.33,31.48,31.44,33.16,34.35,34.93,35.01,34.5,36.04,35.57,35.78,35.86,36.69,36.89
Daging Sapi Murni,129.830,129.710,129.470,130.220,130.110,129.080,129.430,128.070,129.160,129.330,130.120,129.520,129.600,129.570,129.880,129.870,129.890,129.960,129.410,128.760,129.290,130.050,129.450,128.890,130.460,129.550,129.530,128.640,129.130,129.110,128.990,128.840,129.240,128.860,129.250,128.870,128.310,129.030,129.140,129.190,128.660,128.750,128.820,128.100,129.000,128.580,128.560,129.180,128.360,129.300,129.100,128.920,128.920,129.220,128.190,128.230,129.100,129.100,129.150,129.050,129.500,128.580,128.930,128.810,129.380,128.810,129.160,129.020,128.550,128.790,128.860,128.900,129.100,129.050,128.930,129.180,129.000,129.360,129.930,129.130,130.440,129.340,128.930,129.280,129.540,129.790,129.350,129.720,129.520,129.410,128.990,129.140,129.340,129.220,129.580,129.240,129.98,129.54,129.6,130.2,130.17,130.51,130.3,130.34,130.65,131.78,133.5,136.25,139.4,138.97,132.52,131.33,138.41,136.71,137.87,136.19,136.77,135.85,134.58,134.18,133.66,133.32,132.63,132.27,132.74,132.13,132.2,132.32,131.75,131.47,131.63,131.56,131.53,131.41,131.41,131.28,131.86,130.75,131.35,131.53,131.26,131.72,131.88,131.24,131.01,131.22,131.04,131.36,131.74,131.74,131.35
Daging Ayam Ras,34.440,34.470,33.850,33.380,33.780,33.840,33.650,33.500,33.420,33.150,33.170,32.580,33.310,32.710,32.750,32.790,32.840,32.710,32.380,32.790,32.350,32.670,32.780,32.110,32.060,32.030,32.110,31.900,31.890,31.840,31.840,31.790,31.940,32.210,31.670,32.170,32.440,32.390,32.710,32.430,32.850,32.590,32.590,32.470,32.470,32.550,32.540,32.500,32.940,32.520,32.380,32.320,32.290,32.380,32.340,32.500,32.450,32.390,32.430,32.240,32.090,32.190,32.140,32.020,31.960,32.200,32.200,32.320,32.190,32.410,32.630,32.560,32.900,33.030,33.010,33.360,33.240,33.480,33.490,33.810,33.810,33.400,33.380,33.300,33.000,33.070,32.780,32.590,32.690,32.930,32.960,32.750,32.570,32.750,32.660,32.770,32.84,32.63,32.88,33.03,33.23,33.51,33.37,33.57,33.66,34.06,34.81,35.93,37.79,39.17,38.14,37.95,38.3,38.23,38.42,38.09,37.85,37.4,36.94,36.67,36.09,35.63,35.12,34.16,34.11,34.09,33.75,34.22,34.23,33.97,34.68,34.87,34.89,34.91,35.07,34.89,35.25,35.76,35.81,35.98,36.03,36.34,36.52,36.62,36.52,36.44,36.45,36.06,36.12,36.8,36.87
Telur Ayam Ras,28.150,27.970,27.750,27.750,27.680,27.570,27.490,27.570,27.430,27.410,27.360,27.450,27.400,27.300,27.220,27.200,27.290,27.140,27.040,27.050,27.100,27.110,27.010,26.970,26.950,26.910,26.870,26.920,26.810,26.670,26.580,26.480,26.500,26.510,26.700,26.460,26.310,26.600,26.680,26.690,26.740,26.860,27.070,26.790,26.860,26.670,26.550,26.550,26.420,26.720,26.600,26.510,26.430,26.410,26.270,26.330,26.220,26.050,26.110,25.970,25.850,25.980,26.270,26.300,26.340,26.600,26.800,26.850,26.910,26.850,27.320,27.690,27.980,28.490,28.940,28.870,28.970,29.280,29.580,29.720,29.680,29.570,29.300,29.410,29.130,28.990,29.050,28.720,28.610,28.280,28.110,27.570,27.480,27.300,27.350,27.190,27.32,27.19,27.03,27.0,26.86,26.89,27.02,26.66,26.74,26.69,26.71,27.12,27.36,27.54,27.41,27.59,27.97,27.6,27.84,27.67,27.79,27.75,27.7,27.62,27.75,27.62,27.75,28.18,28.27,28.48,28.53,28.58,28.68,28.93,29.33,29.49,29.75,30.4,30.85,30.74,30.72,31.22,31.07,31.01,30.94,30.88,30.8,30.83,30.41,30.73,30.78,30.4,30.49,30.15,30.14
