,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,14.060,14.410,14.410,14.310,14.410,14.450,14.530,13.560,14.530,14.700,14.760,14.760,14.700,14.530,14.530,14.010,14.530,14.450,14.530,14.530,14.530,14.530,14.530,14.530,14.530,14.010,14.530,14.530,14.450,14.530,14.330,14.330,13.790,14.330,14.330,14.330,13.790,14.330,14.330,14.330,14.330,14.330,14.190,14.400,14.400,14.400,14.400,14.690,13.870,14.430,13.660,14.690,14.510,14.400,14.380,13.990,14.400,13.870,14.400,14.400,14.400,13.870,13.870,14.400,14.400,14.300,14.720,15.020,14.540,14.540,14.540,14.540,14.540,14.540,14.540,14.540,14.540,14.030,14.540,14.470,14.760,14.490,14.760,14.180,14.540,14.540,14.540,14.720,14.540,15.020,14.030,14.540,14.540,14.540,14.030,14.540,13.85,14.63,14.54,14.47,14.03,14.54,14.54,14.360,14.760,14.54,14.54,15.030,13.660,14.710,14.000,13.500,13.660,13.990,14.54,14.54,14.54,14.72,14.760,14.760,14.54,13.85,14.54,14.54,14.180,14.72,14.54,14.42,14.54,14.54,14.42,13.990,14.36,14.14,14.54,14.54,15.030,14.63,14.760,13.990,14.54,14.54,14.180,14.54,14.54,14.360,14.54,14.54,14.03,14.03,14.230
1,Beras Medium,12.980,12.910,12.990,12.820,12.990,12.980,12.990,12.650,12.990,13.070,13.160,13.160,13.070,12.990,12.990,12.980,12.990,12.980,12.990,12.990,12.990,12.990,12.990,12.850,12.550,12.630,12.680,12.680,12.980,12.680,12.520,12.520,12.450,12.680,12.680,12.520,12.450,12.520,12.520,12.520,12.520,12.450,12.120,11.690,11.970,11.970,12.120,12.140,11.980,12.140,11.970,12.300,12.260,12.260,12.200,12.500,12.490,12.140,12.260,12.260,12.260,12.140,12.140,12.260,12.260,12.140,12.300,12.700,12.260,12.260,12.260,12.260,12.260,12.260,12.260,12.260,12.260,12.140,12.260,12.140,12.580,12.260,12.580,12.500,12.260,12.260,12.260,12.300,12.260,12.700,12.140,12.260,12.260,12.260,12.140,12.260,11.97,12.22,12.26,12.14,12.14,12.26,12.26,12.620,12.580,12.26,12.26,12.620,12.330,12.500,12.500,12.500,12.330,12.370,12.26,12.26,12.26,12.3,12.580,12.580,12.26,11.97,12.26,12.26,12.500,12.3,12.26,12.26,12.26,12.26,12.26,12.370,12.07,12.17,12.26,12.39,12.990,12.37,12.820,12.490,12.46,12.46,12.780,12.46,12.46,12.990,12.46,12.46,12.37,12.46,12.750
2,Kedelai Biji Kering (Impor),14.680,14.870,15.310,15.370,15.450,14.830,14.860,14.660,15.300,15.360,15.200,15.360,15.360,15.300,15.130,14.680,15.260,15.140,15.260,15.000,15.260,15.130,15.260,15.260,15.260,14.840,15.260,15.260,15.140,15.260,15.260,15.170,14.740,15.170,15.170,15.170,14.740,15.170,15.170,15.310,15.310,15.310,15.310,15.200,15.200,15.200,15.250,15.120,14.830,15.290,14.800,15.120,15.250,15.250,15.250,15.230,15.290,14.830,15.250,15.250,15.250,14.830,14.830,14.940,15.250,15.290,15.120,15.150,15.250,15.250,15.250,15.250,15.250,15.250,15.250,15.250,15.250,14.800,15.290,15.290,15.640,15.160,15.640,15.100,15.160,15.160,15.160,15.000,15.160,15.550,14.650,15.160,15.160,15.160,14.650,15.160,14.94,15.3,15.25,15.25,14.75,15.25,15.25,14.980,15.750,15.25,15.25,15.680,15.300,15.750,16.000,14.000,15.300,15.230,15.25,15.25,15.25,15.1,15.750,15.750,14.91,14.75,15.36,15.36,15.380,15.25,15.36,15.36,15.36,15.28,15.28,15.090,15.19,14.33,15.16,15.14,15.540,15.0,15.520,15.090,14.36,14.6,14.490,14.6,14.6,14.130,14.72,14.6,14.1,14.6,12.900
3,Bawang Merah,41.710,42.170,42.700,41.210,41.560,43.460,43.310,39.660,41.470,40.820,43.240,43.240,41.210,42.760,41.470,40.910,41.290,41.360,40.790,42.890,41.970,42.330,41.970,41.790,41.790,39.980,41.660,41.280,41.490,41.470,40.480,40.880,39.080,40.480,40.480,40.290,38.870,40.290,40.290,39.900,40.290,40.290,38.940,38.470,38.470,38.940,38.650,38.700,37.880,37.640,34.830,34.950,35.530,35.530,36.930,37.580,36.930,34.950,36.540,36.540,36.420,35.210,35.210,36.210,36.420,35.920,35.580,38.190,35.920,35.920,35.500,35.500,35.820,35.820,35.670,35.520,35.660,33.210,35.080,35.280,37.640,34.790,37.280,35.150,34.790,34.600,34.300,35.190,35.060,37.740,32.710,34.760,34.760,34.440,31.680,34.560,32.59,34.35,33.36,33.95,31.04,32.96,32.96,33.900,35.820,33.27,33.84,36.430,33.990,36.490,35.000,34.000,34.330,36.730,32.83,33.0,33.0,33.7,35.880,35.880,32.58,31.99,33.38,33.51,34.930,34.29,33.75,33.75,33.67,34.07,33.9,36.180,33.08,33.69,32.83,33.56,35.930,32.4,35.570,35.130,33.64,34.18,34.480,33.64,33.48,34.830,33.44,33.84,32.73,33.68,37.030
4,Bawang Putih Bonggol,25.100,28.030,26.630,25.900,26.120,25.810,26.120,22.800,27.280,26.490,27.340,28.980,26.250,26.150,27.120,24.030,25.920,25.210,25.920,24.870,25.920,26.660,26.450,26.450,26.170,24.550,26.370,26.170,26.200,26.170,26.170,26.170,24.390,26.010,26.010,26.010,23.240,26.010,26.010,25.860,25.860,25.860,25.600,25.600,25.600,25.600,25.600,26.060,23.770,25.540,23.170,25.710,25.260,25.260,25.260,24.660,25.260,23.400,25.260,25.260,25.260,23.400,23.400,25.310,25.170,25.190,25.770,27.470,25.210,25.210,25.210,25.210,25.300,25.300,25.300,25.300,25.610,24.230,25.760,25.400,26.630,25.760,27.340,25.340,25.760,25.800,25.800,26.300,25.800,28.380,23.810,25.640,25.640,25.370,23.620,25.460,23.17,25.37,25.46,25.37,23.47,25.33,25.04,25.480,26.810,25.98,25.87,28.380,24.650,27.860,26.000,24.000,24.650,25.220,26.06,25.78,25.78,26.41,27.710,27.710,26.06,23.57,26.31,26.9,26.930,27.78,27.98,28.47,28.8,29.19,30.48,32.370,31.88,30.98,31.07,32.69,31.790,31.53,33.930,35.320,33.16,32.64,33.430,32.64,32.48,33.520,31.39,33.0,32.48,32.72,36.070
5,Cabai Merah Keriting,62.870,67.560,71.620,71.170,67.660,60.320,63.040,52.140,64.480,67.960,68.660,69.320,68.770,65.710,66.940,61.770,61.400,63.290,64.840,63.900,64.910,63.640,63.640,64.270,63.760,57.660,61.810,63.810,68.580,69.460,71.280,71.280,63.700,67.940,67.940,71.560,63.730,68.820,68.490,68.490,68.490,68.820,65.080,64.190,64.190,64.190,62.600,65.190,59.620,66.130,61.440,69.160,66.440,66.930,66.930,64.240,67.440,63.510,70.610,70.610,69.130,64.680,64.190,66.300,66.300,63.300,65.500,67.830,65.600,65.920,63.740,65.110,64.420,63.390,63.770,63.760,64.280,58.700,63.180,65.410,67.110,64.940,65.810,60.030,62.430,62.380,61.660,64.980,61.230,66.370,55.420,58.580,58.210,58.210,49.710,55.990,50.14,59.5,54.23,51.97,51.97,56.3,54.68,58.140,59.790,55.43,55.98,65.090,49.660,64.780,48.000,44.000,52.880,60.400,59.57,55.98,60.88,64.03,58.900,60.720,55.13,43.8,51.35,51.35,50.320,58.98,53.34,53.34,52.95,53.29,53.66,48.370,47.93,52.08,54.23,51.08,59.580,52.17,56.130,45.390,48.44,45.14,44.570,46.49,47.13,50.880,45.94,43.95,38.33,47.16,37.420
6,Cabai Rawit Merah,69.490,73.200,77.440,76.450,73.500,81.090,76.420,69.210,72.530,74.220,74.960,74.960,75.830,74.180,72.780,71.450,71.060,74.170,72.850,70.440,72.120,72.730,72.530,70.950,70.390,68.060,70.390,68.790,70.130,74.890,73.130,73.130,69.490,72.430,70.150,71.990,69.270,73.000,73.000,73.000,73.000,73.000,73.840,72.530,72.530,70.250,69.010,57.030,68.230,73.010,73.620,76.570,74.800,74.120,71.090,71.820,73.390,72.340,74.030,74.030,73.700,71.970,71.970,73.060,73.060,72.770,74.780,75.780,73.300,73.300,73.300,73.300,74.490,74.490,75.620,76.320,76.470,75.080,75.330,75.920,75.600,74.200,74.920,73.110,73.600,76.570,76.720,76.640,74.000,78.040,72.000,71.790,70.660,69.920,64.300,68.680,67.35,67.23,66.05,65.05,65.17,67.1,66.1,72.640,69.610,65.56,66.06,74.040,66.980,73.630,68.000,68.000,71.790,75.960,70.19,69.26,67.86,68.35,74.110,72.670,69.77,59.59,63.19,61.21,65.840,63.97,63.05,62.33,60.5,60.21,61.2,59.820,56.51,57.42,59.47,55.8,61.080,55.44,60.550,55.820,58.88,58.88,59.470,60.07,59.62,59.340,58.63,60.67,57.23,60.95,58.140
7,Daging Sapi Murni,152.800,153.810,153.810,154.460,153.810,158.180,153.810,159.790,153.810,146.120,152.800,152.800,151.270,153.810,153.810,152.800,153.810,158.180,153.810,149.320,153.810,153.810,153.810,153.810,153.810,152.800,148.150,158.180,158.180,153.810,156.420,156.420,155.830,156.420,155.150,155.150,155.830,155.150,156.420,155.070,155.070,155.070,155.070,155.070,155.070,155.070,151.420,147.110,150.030,159.700,159.640,147.110,151.420,151.420,151.420,148.110,151.420,150.030,151.420,151.420,151.420,150.030,150.030,151.420,151.420,159.700,147.110,144.660,151.420,151.420,151.420,151.420,151.420,151.420,151.420,151.420,151.420,150.030,151.420,159.700,150.030,151.420,159.640,148.110,151.420,151.420,151.420,147.110,151.420,144.660,150.030,151.420,151.420,151.420,150.030,151.420,159.64,151.65,151.42,159.7,150.03,151.42,151.42,141.070,150.030,153.71,157.85,162.280,179.460,169.210,170.000,170.000,170.000,156.390,150.12,150.12,147.11,148.61,154.240,151.550,152.73,159.64,156.42,156.42,153.150,152.8,156.42,158.09,158.09,158.09,158.09,159.550,163.69,144.66,152.73,152.73,145.550,153.19,151.550,159.550,156.42,156.42,153.150,156.42,156.42,147.080,156.42,156.42,154.27,156.42,154.920
8,Daging Ayam Ras,42.320,42.270,42.270,43.030,42.270,40.780,41.980,40.900,41.670,40.960,42.320,42.320,40.960,41.520,41.980,41.980,40.700,39.320,40.700,40.410,40.700,40.870,40.870,40.590,40.590,40.680,40.590,40.590,39.030,40.440,39.300,39.300,39.010,39.150,39.150,39.280,39.160,39.150,39.150,39.150,39.150,39.150,39.150,39.150,39.150,39.150,39.150,38.400,39.010,37.590,36.920,38.220,39.000,39.000,39.700,40.890,39.700,38.840,39.000,39.000,38.870,38.840,38.840,39.870,39.870,38.770,39.930,40.330,40.490,40.360,40.360,40.040,40.500,40.520,40.520,40.520,40.670,40.780,40.670,39.780,41.110,40.670,41.110,41.150,40.180,40.180,40.470,39.910,40.620,41.190,40.730,40.620,40.490,40.620,40.730,40.620,39.09,40.9,40.62,39.24,40.73,40.62,40.62,41.490,41.650,39.74,39.87,39.490,41.600,41.360,40.000,40.000,41.600,40.410,39.74,39.74,39.74,38.9,41.470,41.470,39.59,37.71,39.59,39.59,41.760,38.9,39.59,39.59,39.59,39.59,39.59,40.190,38.79,38.89,39.74,39.74,42.030,39.86,41.470,39.710,39.47,39.61,42.000,39.88,39.88,41.760,40.16,40.16,42.16,41.38,39.950
9,Telur Ayam Ras,31.070,31.470,31.560,31.170,31.470,31.840,32.760,31.240,32.070,31.630,32.360,32.360,31.630,31.820,31.980,31.070,31.990,33.110,32.240,31.490,31.870,31.870,31.870,31.870,31.870,31.200,31.710,31.710,32.480,31.710,31.470,31.470,30.890,31.350,31.350,31.350,30.780,31.350,31.350,31.330,31.330,31.330,31.280,31.280,31.280,31.280,31.020,30.330,29.760,31.170,30.250,29.870,29.960,29.960,29.960,29.190,29.790,29.260,30.020,30.020,30.020,29.200,29.200,30.320,30.430,31.010,29.320,30.230,28.770,29.390,29.740,29.740,30.760,30.400,30.150,30.400,30.400,29.600,30.370,31.170,30.330,30.370,30.330,29.480,30.370,30.450,30.620,30.520,30.620,30.510,29.940,30.690,30.690,30.690,30.030,30.520,30.73,30.87,30.57,31.4,29.69,30.57,30.4,29.100,30.560,30.57,30.65,31.660,30.140,31.550,28.800,28.800,30.140,30.970,30.6,30.69,30.69,30.41,30.700,30.700,30.6,30.78,30.56,30.56,29.730,30.29,30.66,30.66,30.41,30.41,30.41,30.640,30.78,29.21,30.02,30.02,29.040,31.22,29.930,30.490,30.32,30.32,29.750,30.32,30.32,28.990,30.47,30.47,30.57,30.91,30.050
