Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.340,12.240,12.290,12.070,12.250,12.290,12.300,12.620,12.270,12.270,12.330,12.290,12.220,12.120,12.200,12.150,12.250,12.300,12.050,12.110,12.110,12.060,12.160,12.170,12.240,12.180,12.130,12.170,12.340,12.200,12.260,12.350,12.230,12.300,12.240,12.240,12.220,12.240,12.330,12.330,12.430,12.360,12.430,12.290,12.440,12.360,12.300,12.290,12.390,12.320,12.580,12.420,12.400,12.450,12.480,12.360,12.570,12.580,12.650,12.780,12.560,12.930,12.820,12.960,12.750,13.020,12.980,13.150,12.980,12.950,13.060,13.240,13.200,13.270,13.270,13.270,13.350,13.360,13.320,13.440,13.610,13.530,13.670,13.670,13.610,13.770,13.690,13.810,13.780,13.620,13.620,13.600,13.710,13.560,13.630,13.630,13.62,13.46,13.35,13.35,13.51,13.4,13.56,13.46,13.49,13.43,13.43,13.42,13.43,13.39,13.75,13.38,13.65,13.24,13.51,13.42,13.39,13.36,13.32,13.4,13.22,13.16,13.23,13.24,13.36,13.36,13.12,13.35,13.28,13.32,13.21,13.17,13.14,13.07,13.17,13.24,13.18,13.19,13.21,13.32,13.41,13.25,13.43,13.27,13.28,13.36,13.26,13.39,13.28,13.33,13.27
Beras Medium,11.040,11.140,10.950,10.810,10.750,10.940,10.940,11.090,10.950,10.840,10.930,10.900,10.930,10.840,10.930,10.890,11.090,11.110,10.840,11.020,10.860,10.860,10.930,10.890,10.900,10.870,10.790,10.820,10.880,10.850,10.870,10.880,10.770,10.820,10.780,10.840,10.820,10.820,11.060,10.920,11.030,10.960,11.010,10.920,11.000,11.020,10.860,10.910,11.000,11.040,11.290,11.120,11.150,11.160,11.310,11.130,11.390,11.460,11.450,11.620,11.400,11.600,11.560,11.740,11.630,11.740,11.700,11.870,11.790,11.760,11.910,12.020,12.030,12.170,12.170,12.170,12.170,12.180,12.180,12.160,12.250,12.250,12.090,12.130,12.040,12.260,12.100,12.170,12.270,12.130,12.110,12.080,12.230,12.090,12.060,12.080,12.03,11.94,11.82,11.82,12.01,11.9,11.98,11.95,11.99,11.95,11.95,12.06,12.06,12.06,12.79,12.04,12.22,11.86,12.05,12.05,12.05,12.01,11.92,12.02,11.94,11.87,11.93,11.91,12.0,11.97,11.8,11.97,11.8,11.95,11.76,11.69,11.69,11.89,11.81,11.9,11.8,11.83,11.87,11.94,11.94,11.65,11.86,11.77,11.75,11.8,11.73,11.8,11.71,11.83,11.73
Kedelai Biji Kering (Impor),14.740,14.930,14.520,14.440,14.440,14.690,14.780,14.740,14.770,14.950,14.950,14.620,14.950,14.780,14.740,14.950,15.480,15.170,15.210,15.500,15.210,15.250,15.390,15.330,15.760,15.390,15.560,15.330,15.640,15.210,15.950,15.610,15.240,15.610,15.420,15.210,15.420,14.950,14.740,15.210,15.210,15.210,15.610,15.210,15.610,15.170,15.420,14.810,14.810,14.810,15.170,14.740,14.740,14.740,14.670,14.780,14.740,14.620,14.670,14.670,15.100,15.010,14.930,15.340,14.980,14.980,14.980,14.980,14.980,14.980,14.980,15.100,15.270,15.100,15.100,15.100,14.980,15.100,15.100,15.120,15.100,15.100,15.100,15.100,15.060,15.200,15.170,14.930,15.200,15.170,15.170,15.170,15.200,15.100,15.220,15.380,15.17,15.17,15.1,15.1,15.5,15.1,15.12,15.1,15.1,15.1,15.1,15.1,15.1,15.1,14.97,14.52,14.85,15.17,14.85,15.17,15.1,14.87,14.87,14.87,14.87,14.87,15.16,14.94,14.86,14.86,14.98,15.24,14.98,14.9,14.91,15.05,14.98,15.05,14.98,14.98,14.79,15.2,15.05,15.05,14.78,14.78,14.49,14.55,14.79,14.43,14.5,14.43,14.36,14.65,14.43
Bawang Merah,41.740,42.850,42.330,40.920,41.250,41.440,40.920,39.610,41.880,41.740,41.740,41.210,42.010,40.970,40.230,41.960,43.250,42.720,42.180,42.590,41.800,41.030,40.590,41.560,41.730,41.420,41.660,41.400,41.520,41.520,42.420,41.600,41.460,41.640,42.200,41.930,42.540,43.520,43.810,43.100,42.880,42.460,43.550,42.890,43.790,43.750,42.120,42.410,42.700,41.510,42.520,42.120,41.600,41.820,41.920,42.370,41.610,40.620,39.830,40.950,40.290,39.090,39.570,38.750,39.200,38.540,38.630,38.030,39.000,38.680,38.600,39.070,39.910,39.240,39.240,38.970,37.980,37.940,38.900,38.420,39.240,39.070,39.400,39.400,39.430,38.630,38.820,37.520,38.840,38.850,37.710,37.270,37.550,36.970,36.030,36.460,37.43,36.6,36.0,36.87,37.2,37.06,36.92,37.25,37.01,36.89,36.17,36.43,37.3,37.7,38.65,37.7,36.95,37.15,36.97,37.33,37.63,37.99,38.18,37.36,37.84,37.49,37.89,38.51,38.76,39.61,40.83,41.87,40.95,41.71,40.8,40.68,40.69,41.93,42.32,43.62,41.61,42.51,42.41,42.9,41.59,40.88,41.85,41.68,41.32,41.52,41.49,41.09,40.9,40.69,40.25
Bawang Putih Bonggol,33.200,34.120,32.990,31.990,32.060,32.330,32.580,29.890,33.370,32.460,32.770,32.190,33.950,33.180,32.190,33.690,33.910,33.580,33.440,33.610,33.480,33.930,33.070,33.730,33.650,33.180,33.540,33.250,32.910,33.250,33.610,33.370,33.610,33.560,34.260,33.780,34.170,33.810,33.060,32.980,32.370,32.180,33.320,33.350,33.990,34.890,33.810,33.410,33.770,33.450,33.920,33.480,33.180,33.740,34.290,35.650,34.990,34.950,35.370,36.190,36.050,35.370,35.750,35.850,35.980,36.270,36.610,35.890,36.860,36.800,36.060,37.060,37.190,36.670,36.790,36.670,36.670,36.670,36.810,36.230,36.990,36.540,37.130,37.170,37.430,37.050,37.290,37.220,36.390,36.960,36.200,35.810,36.060,36.010,36.120,36.210,36.52,36.06,35.64,36.52,35.86,35.15,34.93,35.2,35.2,36.17,36.39,35.52,36.74,36.83,38.65,37.63,37.54,36.82,37.2,37.19,37.39,37.47,37.63,36.95,37.85,37.51,38.04,38.42,38.28,38.36,39.08,39.3,38.95,38.08,38.43,37.73,38.3,38.7,39.94,41.8,40.51,40.34,39.95,40.81,40.86,39.7,41.36,40.71,40.17,40.47,40.38,40.7,40.51,40.32,41.01
Cabai Merah Keriting,34.940,35.930,36.390,34.250,35.640,34.880,35.000,28.150,35.380,35.630,36.780,33.600,36.860,36.200,35.300,36.880,38.300,37.230,36.340,37.080,35.930,33.570,34.910,34.230,35.300,34.480,35.020,34.440,35.230,35.300,35.460,34.460,34.200,32.950,32.760,32.750,33.600,32.350,35.340,32.560,32.940,30.660,34.290,34.010,35.920,37.990,35.870,34.630,36.600,35.410,40.070,38.340,38.020,37.300,38.570,44.930,43.970,44.870,46.060,47.190,48.760,47.940,48.020,51.850,50.230,50.380,51.590,51.790,53.900,53.030,53.620,53.430,55.230,54.580,55.100,56.070,55.340,56.310,56.300,56.850,57.340,58.490,58.290,57.910,57.630,54.700,52.150,51.140,51.700,49.690,46.920,44.320,44.110,42.460,43.420,43.560,42.53,43.33,41.88,41.5,41.53,41.77,41.7,42.17,42.17,42.8,45.08,43.83,51.54,57.04,49.53,53.59,54.32,55.32,55.98,55.44,56.55,54.16,51.45,50.27,47.84,44.88,45.83,45.17,45.63,45.19,45.03,45.47,44.88,43.7,43.7,42.92,43.45,44.93,44.73,47.07,48.22,50.15,49.45,46.57,46.52,46.78,48.93,49.16,48.65,48.91,47.37,49.01,48.76,48.17,47.39
Cabai Rawit Merah,46.080,47.350,49.350,49.580,49.310,49.000,48.790,46.540,51.350,51.970,52.780,51.470,52.080,50.980,48.010,50.100,48.640,47.740,46.100,43.670,46.160,43.890,42.990,45.740,46.280,45.580,44.930,44.580,39.460,40.180,40.170,39.430,39.540,38.150,39.620,37.320,37.940,36.100,35.860,35.750,35.930,33.000,36.100,36.960,35.720,38.310,37.780,35.330,37.220,32.460,32.760,33.150,34.720,35.780,35.810,38.120,38.840,39.050,41.840,42.050,43.400,45.210,43.140,49.880,51.930,51.850,51.210,50.390,50.720,51.230,57.190,55.280,57.420,55.110,57.370,57.330,56.420,57.200,58.390,58.310,57.310,56.180,57.630,56.360,58.090,52.660,51.610,55.030,49.540,48.420,45.000,41.690,35.850,35.050,36.200,35.850,35.89,35.89,34.67,34.36,32.83,33.57,32.83,34.76,34.59,34.81,35.74,32.75,39.82,40.98,41.69,37.89,37.19,41.32,43.44,38.6,38.77,36.08,34.69,35.73,33.86,34.38,32.84,33.23,34.06,34.49,34.15,32.2,34.16,31.49,33.0,35.02,34.21,33.87,34.33,32.72,32.13,32.4,32.55,30.26,32.85,32.49,30.23,29.76,29.66,30.86,29.22,31.12,29.22,28.79,29.98
Daging Sapi Murni,132.520,131.450,131.900,132.520,133.080,133.080,133.080,135.350,132.720,132.720,132.720,135.930,132.070,132.890,136.600,132.720,132.970,132.530,132.890,132.970,132.890,132.890,133.130,133.080,133.340,133.340,131.020,133.080,137.810,133.080,133.940,133.340,133.340,133.340,132.720,132.710,132.320,133.500,136.190,132.890,132.720,132.890,133.130,134.030,133.130,136.600,132.320,132.510,132.300,133.030,132.970,133.650,133.260,133.870,133.410,132.720,133.120,133.540,133.260,133.260,132.720,132.510,133.260,133.540,133.650,133.650,133.650,133.420,133.650,133.650,133.260,133.650,133.130,133.650,133.650,133.650,133.650,133.650,133.650,136.060,136.020,135.620,135.620,135.620,136.100,136.100,135.620,135.550,136.890,136.350,136.350,136.350,136.890,136.350,136.610,136.890,136.05,136.35,137.97,137.97,137.53,136.35,136.89,136.35,136.74,138.26,138.99,139.73,140.08,140.39,144.91,142.02,142.02,138.81,139.88,138.2,138.19,139.04,139.04,137.14,139.04,136.53,138.16,137.52,138.16,138.16,136.53,137.61,136.41,136.96,136.41,135.33,135.33,136.41,136.41,136.35,136.11,136.96,136.41,136.96,136.96,134.91,136.21,136.01,136.21,136.53,136.53,136.53,135.69,136.53,136.01
Daging Ayam Ras,34.260,35.440,34.240,34.610,34.360,34.300,34.270,34.000,34.610,34.410,34.290,33.980,35.030,34.550,34.020,34.390,34.410,35.980,35.210,35.090,35.130,33.340,34.480,34.410,34.440,34.380,34.360,34.280,34.450,34.050,35.000,34.010,33.870,32.930,33.520,33.310,33.520,33.290,32.470,32.800,33.790,31.890,32.780,33.020,32.980,32.580,32.310,32.730,33.250,31.370,32.630,33.040,32.460,33.670,33.910,32.660,33.840,32.700,32.740,32.940,33.210,34.090,32.220,32.370,32.540,32.040,32.040,32.100,32.040,32.270,32.850,32.370,32.640,32.720,32.590,32.590,32.900,32.960,33.260,33.920,34.340,33.560,33.980,34.240,34.140,33.580,33.870,34.540,34.020,34.250,34.100,34.100,34.040,33.150,33.560,33.560,34.25,33.93,33.85,33.66,33.83,34.12,33.9,33.97,34.09,34.43,35.59,34.49,36.81,36.55,40.21,36.67,37.13,35.22,35.66,35.81,35.47,35.14,35.24,35.03,34.59,33.84,34.32,34.13,34.84,34.74,33.93,34.39,34.44,34.12,34.17,33.43,33.33,34.11,34.11,34.71,33.45,34.46,34.34,34.46,34.26,33.89,35.32,35.04,35.75,35.81,35.11,35.66,35.21,35.22,35.15
Telur Ayam Ras,30.130,29.470,29.720,29.620,29.810,30.090,29.880,29.690,29.370,29.490,29.380,29.440,29.480,29.600,29.540,29.200,29.120,29.430,29.280,28.830,29.230,29.610,29.020,28.980,29.110,28.860,28.680,29.050,28.480,28.600,28.870,29.060,28.850,28.820,28.050,28.350,28.140,28.410,28.170,28.710,28.780,28.480,28.380,28.280,28.250,28.530,27.740,27.940,28.020,28.120,28.090,28.720,28.650,28.290,28.790,28.330,28.750,28.420,28.410,28.350,28.120,28.480,28.430,28.720,28.430,28.120,28.080,27.870,27.950,27.960,27.960,28.000,27.600,28.060,28.470,28.660,28.700,28.790,29.010,29.420,29.580,29.410,29.780,29.940,29.810,29.710,29.590,29.970,29.480,29.440,29.350,29.420,29.040,29.510,29.180,29.120,29.58,29.08,29.13,29.13,29.27,29.15,29.23,29.26,29.26,29.33,29.45,29.62,29.58,29.83,30.48,30.2,30.03,29.75,30.75,30.48,30.89,30.99,30.72,29.81,29.87,29.51,29.98,29.77,30.07,29.75,29.36,29.86,29.65,29.57,29.56,29.37,29.32,29.76,29.79,30.24,30.22,30.83,30.59,30.9,31.15,30.66,30.97,31.49,31.13,31.16,31.07,31.16,31.18,31.39,31.43
