,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,15.280,15.430,15.390,15.390,15.500,15.360,15.370,15.750,15.380,15.500,15.480,15.330,15.520,15.430,15.480,15.320,13.230,13.240,13.250,13.250,13.210,13.390,13.670,13.420,13.450,13.410,13.420,13.420,13.400,13.300,13.360,13.480,13.520,13.520,13.520,13.480,13.500,13.460,13.540,13.540,13.540,13.480,13.500,13.540,13.570,13.570,13.520,13.530,13.530,13.540,13.590,13.540,13.610,13.600,13.630,13.550,13.590,13.600,13.580,13.580,13.590,13.540,13.540,13.570,13.610,13.530,13.610,13.570,13.590,13.610,13.660,13.650,13.680,13.620,13.620,13.540,13.560,13.600,13.660,13.660,13.700,13.700,13.720,13.760,13.640,13.830,13.830,13.830,13.820,13.680,13.710,13.810,13.830,13.830,13.830,13.730,13.82,13.76,13.8,13.8,13.92,13.93,13.92,13.92,14.01,14.01,14.03,14.03,14.03,13.94,14.01,14.03,13.98,14.03,13.98,14.02,14.02,14.06,14.04,14.06,14.03,14.07,14.04,14.08,14.08,14.05,14.08,14.08,14.04,14.02,13.93,14.02,14.02,13.93,14.01,14.01,14.01,13.97,14.14,13.87,13.97,13.93,13.97,13.95,13.95,13.92,13.92,13.83,13.93,13.94,13.82
1,Beras Medium,13.440,13.470,13.380,13.380,13.470,13.410,13.340,14.000,13.510,13.470,13.510,13.460,13.650,13.460,13.510,13.220,10.700,10.940,10.820,10.940,10.900,11.150,11.270,11.110,11.230,11.190,11.130,11.130,11.080,11.060,11.040,11.080,11.080,11.080,11.150,11.000,11.060,11.020,11.110,11.130,11.040,11.250,11.130,11.120,11.100,11.100,11.060,11.210,11.210,11.100,11.090,11.090,11.060,11.220,11.080,11.030,11.110,11.080,11.130,11.090,11.310,11.210,11.010,11.280,11.180,11.180,11.090,11.250,11.080,11.150,11.120,11.120,11.090,11.060,11.130,11.300,11.160,11.170,11.320,11.170,11.080,11.170,11.360,11.300,11.060,11.290,11.290,11.290,11.490,11.280,11.170,11.290,11.290,11.370,11.370,11.230,11.37,11.5,11.33,11.61,11.74,11.74,11.92,11.74,11.74,11.75,11.76,11.76,11.76,11.66,11.64,11.94,11.93,11.79,11.64,11.82,11.75,11.79,11.83,11.83,11.8,11.98,11.73,11.98,11.99,11.71,11.74,11.74,11.74,11.7,11.59,11.75,11.74,11.63,11.8,11.98,11.87,11.83,11.98,11.88,11.79,11.79,11.79,11.98,11.73,11.98,11.98,11.7,11.89,11.81,11.86
2,Kedelai Biji Kering (Impor),14.470,14.570,14.490,14.560,14.510,14.540,14.510,14.250,14.340,14.490,14.420,14.310,14.700,14.450,14.500,14.410,14.270,14.280,14.340,14.680,14.330,14.210,14.350,14.210,14.640,14.260,14.100,14.110,14.390,14.480,14.420,14.450,14.450,14.450,14.260,14.490,14.170,14.560,14.270,14.330,14.410,14.820,14.640,14.500,14.540,14.640,14.560,14.910,14.900,14.500,14.410,14.530,14.430,14.770,14.490,14.470,14.500,14.480,14.560,14.560,14.610,14.720,14.470,14.710,14.360,14.650,14.400,14.730,14.420,14.520,14.440,14.480,14.470,14.470,14.520,14.630,14.390,14.370,14.230,14.350,14.470,14.350,14.710,14.630,14.350,14.460,14.460,14.360,14.730,14.730,14.260,14.320,14.280,14.380,14.380,14.300,14.34,14.71,14.46,14.38,14.46,14.46,14.62,14.28,14.5,14.5,14.5,14.42,14.5,14.41,14.4,14.75,14.63,14.39,14.33,14.42,14.34,14.25,14.33,14.35,14.31,14.5,14.43,14.59,14.59,14.43,14.35,14.35,14.35,14.31,14.3,14.31,14.31,14.24,14.31,14.54,14.35,14.39,14.59,14.55,14.34,14.31,14.31,14.5,14.34,14.45,14.4,14.19,14.21,14.27,14.49
3,Bawang Merah,29.380,29.710,30.110,30.530,30.630,31.380,32.230,30.550,36.780,36.860,36.030,36.560,37.890,37.030,36.790,37.040,36.090,35.030,36.070,36.180,36.050,35.240,37.640,36.050,35.930,35.330,36.440,36.200,36.220,35.380,34.960,34.780,35.510,36.550,36.640,37.090,35.980,36.600,36.980,36.910,36.830,35.950,35.780,36.550,36.320,35.840,35.790,35.230,35.810,35.840,35.570,35.720,34.850,35.420,34.900,35.100,33.800,34.030,33.960,33.490,34.190,33.510,34.230,33.330,32.000,33.250,33.120,32.800,32.240,32.790,33.180,32.840,32.480,32.660,32.790,33.260,33.230,33.740,33.110,33.730,33.520,33.590,33.100,32.880,32.860,32.310,31.950,31.900,31.540,30.990,31.440,30.990,30.150,30.070,30.010,30.280,30.98,30.63,30.6,29.88,29.99,30.77,30.51,31.16,29.85,30.51,29.45,30.13,31.86,33.53,32.86,32.13,32.75,32.87,32.83,32.43,32.28,32.73,32.39,33.35,33.83,33.72,33.65,33.99,33.6,33.93,32.97,33.13,33.54,33.03,34.06,32.72,32.48,32.91,32.36,31.25,30.83,30.79,30.93,32.06,31.54,31.11,31.7,30.52,30.97,30.33,30.21,30.77,30.84,31.02,31.34
4,Bawang Putih Bonggol,25.060,25.130,25.100,24.870,24.870,25.050,25.020,24.980,25.470,25.330,25.130,25.380,25.610,25.510,25.350,25.470,25.420,25.310,25.420,25.600,25.790,25.700,25.410,25.890,25.800,26.140,25.660,25.740,25.570,25.410,25.410,24.480,25.410,26.000,25.740,25.550,25.840,25.920,25.760,25.600,25.810,25.940,25.940,25.960,25.860,25.970,25.860,26.210,26.210,26.140,26.140,26.290,26.420,26.530,26.570,27.240,27.100,27.630,27.240,27.660,28.220,27.380,27.190,27.380,28.230,27.700,27.930,28.680,29.260,28.980,29.380,30.050,30.250,29.540,29.580,29.900,29.500,29.360,29.330,29.240,29.440,29.550,29.420,29.360,28.690,29.410,29.770,30.060,29.700,29.140,28.950,29.190,29.030,28.940,28.900,28.800,28.9,28.4,28.88,29.09,29.37,29.17,29.23,29.2,29.36,28.99,29.07,29.41,30.4,29.84,29.92,30.59,30.52,30.35,30.24,31.0,30.27,31.32,31.17,30.95,31.94,32.1,31.59,32.45,32.0,30.84,31.15,32.37,32.97,32.32,33.46,33.1,32.39,32.75,33.18,33.79,33.62,32.91,33.39,34.79,35.36,34.98,35.15,34.89,35.84,36.26,36.26,35.56,35.77,35.43,36.21
5,Cabai Merah Keriting,42.910,47.620,49.040,48.720,47.340,47.200,46.890,44.930,46.490,46.350,46.240,47.380,46.870,46.150,44.950,45.050,45.210,44.890,44.420,44.650,46.390,47.220,47.580,47.990,48.370,46.110,47.680,49.410,57.720,57.000,57.980,55.080,55.970,58.480,58.110,57.820,54.780,54.100,54.230,53.440,53.150,52.510,51.390,50.110,48.890,49.220,48.740,50.750,50.010,52.210,52.060,54.280,56.930,54.030,55.490,55.920,56.140,56.290,55.520,55.590,54.470,54.770,53.010,51.210,50.230,48.610,48.240,48.460,47.930,49.040,48.910,48.670,49.660,47.700,47.940,48.820,46.970,46.910,46.870,48.190,46.830,46.680,46.300,48.210,45.870,44.250,43.210,42.740,38.430,36.680,37.120,37.150,36.310,35.570,35.360,35.440,35.02,36.22,35.33,34.35,34.43,34.81,33.91,35.52,35.93,36.47,36.26,38.14,39.15,39.59,39.12,39.24,39.91,39.9,38.21,37.37,35.0,32.5,31.25,32.12,29.92,29.57,31.05,28.87,28.68,29.01,28.5,29.31,28.58,28.25,28.78,27.98,28.37,27.55,27.78,28.1,28.29,28.23,26.8,28.08,28.49,27.55,27.07,27.82,27.65,26.78,27.15,27.56,28.27,28.43,27.71
6,Cabai Rawit Merah,56.960,56.620,62.690,62.690,64.540,62.140,64.150,-,67.240,64.310,65.070,68.920,62.450,60.090,55.930,55.930,55.930,55.930,55.180,50.000,53.130,55.930,57.740,58.090,52.920,58.090,60.370,66.040,69.520,62.140,62.140,58.480,59.310,62.140,62.960,59.250,53.180,49.320,52.850,54.850,56.460,54.770,57.210,52.840,52.880,52.410,52.410,60.000,55.500,62.860,59.600,61.480,61.360,54.230,61.480,56.620,46.880,54.430,56.960,60.000,58.280,60.000,52.410,60.000,55.670,59.330,58.210,56.460,58.210,53.050,60.000,60.000,57.010,63.090,63.090,66.040,64.470,61.730,56.460,62.670,61.730,63.090,64.150,62.790,64.150,61.730,63.090,61.020,61.360,54.710,54.790,55.700,55.440,58.260,55.440,53.130,52.84,54.51,51.6,51.6,50.97,51.6,54.51,56.09,56.09,53.35,51.8,54.47,52.68,54.47,54.47,54.29,56.46,56.09,53.91,52.68,49.82,44.5,44.5,45.83,44.5,43.8,42.81,43.8,41.89,48.49,43.78,44.69,42.95,41.7,41.51,42.27,42.81,42.81,45.01,45.01,44.09,45.27,40.39,44.98,44.09,42.81,42.81,45.79,41.4,47.62,45.79,42.29,42.29,42.29,43.09
7,Daging Sapi Murni,146.530,146.420,146.420,146.420,146.250,145.920,146.660,154.920,145.920,146.250,146.250,146.720,147.460,145.680,147.210,147.210,149.820,148.060,148.060,147.880,148.060,148.060,148.060,148.060,147.460,148.060,148.060,148.060,147.730,147.260,147.260,146.420,147.260,146.420,146.420,145.240,146.420,146.420,146.420,146.010,146.010,146.560,146.010,146.010,146.010,146.010,146.100,146.560,146.220,146.010,146.010,146.010,145.650,146.560,146.010,144.800,146.010,146.010,146.010,146.010,146.560,146.560,145.650,146.560,146.010,146.220,146.250,146.840,145.920,146.420,146.250,146.250,145.920,145.070,146.250,146.840,147.160,147.160,148.010,150.150,150.640,149.830,148.880,148.690,147.740,148.440,148.440,148.440,149.150,148.190,147.430,149.240,149.240,149.240,149.240,148.300,149.24,150.11,149.24,149.24,149.24,149.24,150.11,149.24,149.24,151.9,154.28,155.88,159.23,162.99,158.46,155.0,154.91,156.21,154.21,154.69,152.57,150.07,150.07,149.26,150.12,148.87,149.81,149.2,148.87,146.85,148.16,148.16,146.91,146.5,145.33,146.07,146.07,145.33,148.14,147.1,146.5,147.1,147.1,145.87,147.34,146.5,146.5,147.1,147.1,147.1,147.1,146.24,147.34,147.34,146.88
8,Daging Ayam Ras,35.190,35.050,35.030,33.680,34.300,34.670,33.520,38.540,33.970,33.240,33.060,33.360,33.190,32.690,31.290,30.700,30.780,30.820,30.480,30.130,29.730,29.100,29.160,28.830,28.390,28.460,27.490,27.620,27.710,27.730,27.770,27.810,27.870,27.660,27.500,27.320,27.880,27.710,28.030,27.990,27.990,28.490,28.120,28.480,28.670,28.910,28.780,29.260,29.160,29.290,28.960,29.430,28.790,29.240,28.820,28.980,28.710,28.910,28.890,28.660,29.090,28.790,29.080,29.790,29.040,30.030,29.750,29.930,28.520,29.220,29.420,29.930,29.530,29.860,30.450,30.710,30.190,30.220,30.760,31.410,30.970,30.720,31.050,31.050,31.130,29.970,30.270,30.110,30.350,30.130,29.130,28.940,28.650,28.580,28.260,27.610,27.95,27.96,26.43,26.8,26.96,27.19,28.19,27.77,27.3,27.88,28.8,28.96,29.98,30.3,28.4,31.24,31.43,30.37,30.53,30.58,30.3,30.65,30.85,30.66,30.57,30.78,30.86,30.36,30.53,29.92,29.99,31.06,30.76,31.36,32.18,32.2,32.27,33.11,34.18,35.0,33.71,34.79,34.93,35.82,35.41,36.04,36.31,36.57,36.45,36.68,37.12,37.1,36.98,36.84,37.25
9,Telur Ayam Ras,27.790,27.680,27.790,27.750,27.680,27.480,27.680,26.790,27.540,27.710,27.710,27.920,27.870,28.000,27.830,27.260,27.310,27.290,27.200,26.920,26.970,26.920,26.830,26.800,26.590,26.760,26.420,26.440,26.510,26.670,26.550,26.560,26.590,26.510,26.400,26.660,25.920,25.940,25.920,25.720,25.940,25.670,25.710,25.710,25.640,25.590,25.540,25.570,25.380,25.160,25.090,25.050,25.060,24.950,25.030,25.280,25.030,24.910,24.910,25.020,25.040,24.880,25.160,24.620,24.320,24.590,24.740,24.810,24.780,24.870,25.100,25.270,25.050,25.460,25.080,25.060,25.450,25.540,25.700,25.930,25.940,25.850,25.890,26.130,27.150,26.350,26.240,26.280,26.140,26.630,26.240,26.210,26.290,26.290,26.170,26.570,26.16,26.18,25.95,25.99,25.81,25.93,25.89,25.82,25.8,25.87,25.82,25.86,26.12,26.6,26.43,26.19,25.96,26.09,26.32,25.83,25.93,25.9,25.86,25.82,25.54,25.62,25.72,25.6,25.6,25.7,25.54,25.52,25.52,25.55,25.88,25.85,25.91,26.74,26.58,26.73,26.79,27.45,27.37,28.06,27.73,29.07,29.32,29.07,29.25,28.79,28.88,29.08,28.83,28.92,29.22
