,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,12.860,12.860,12.860,13.040,12.860,12.860,12.480,-,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.300,12.300,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.780,12.560,12.560,12.560,12.480,12.480,12.480,12.560,12.560,12.560,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.480,12.560,12.680,12.480,12.480,12.650,12.480,12.800,12.650,12.650,12.650,12.650,12.730,12.730,12.880,12.730,13.060,13.060,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.730,12.870,12.870,12.870,12.610,12.870,12.870,12.870,12.870,12.870,12.870,12.870,12.870,12.870,12.870,12.870,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.8,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.65,12.65,12.57,12.24
1,Beras Medium,10.600,10.600,10.600,10.730,10.600,10.600,10.600,-,10.600,10.600,10.600,10.480,10.480,10.480,10.480,10.480,10.480,10.480,10.650,10.650,10.650,10.650,10.650,10.650,10.650,10.650,10.650,10.650,10.650,10.680,10.970,10.820,10.820,10.820,10.730,10.730,10.730,10.820,10.820,10.820,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.820,10.780,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.880,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.870,10.870,10.870,10.620,10.870,10.870,10.870,10.870,10.870,10.870,10.870,10.870,10.870,10.870,10.870,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.87,10.73,10.62
2,Kedelai Biji Kering (Impor),12.680,12.960,12.960,12.630,12.960,12.960,12.960,-,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.960,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.630,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.47,12.47,12.47,12.47,12.47,12.47,12.47,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79,12.0
3,Bawang Merah,41.160,41.160,43.570,44.780,43.940,43.940,39.570,-,40.360,42.680,42.680,42.680,42.680,42.340,43.180,43.530,41.940,41.940,44.000,42.740,42.740,43.580,42.940,43.580,44.030,41.600,43.270,43.530,45.180,48.410,48.310,49.920,51.530,51.530,50.720,49.400,50.920,49.390,50.370,50.200,47.430,46.510,49.050,47.260,47.260,46.430,46.430,46.430,45.800,44.890,44.910,44.910,44.030,43.870,44.030,42.340,42.340,43.180,43.180,43.180,43.870,43.650,43.870,43.870,42.430,43.270,42.430,43.270,42.430,42.430,42.430,42.430,42.430,42.430,41.900,42.430,41.600,42.430,42.430,40.790,40.790,41.600,41.600,41.600,40.000,41.600,40.690,40.340,39.880,38.550,39.560,38.550,39.900,40.450,40.790,40.330,40.33,40.33,40.33,40.79,40.79,40.79,40.79,41.13,41.13,40.79,43.87,43.87,43.87,45.3,45.3,44.03,45.53,43.94,43.94,44.65,48.19,45.7,48.27,49.13,48.9,48.8,48.09,48.09,48.64,48.64,47.79,46.29,46.29,46.42,48.17,45.39,46.29,45.39,45.61,47.26,47.26,46.94,47.87,47.87,49.24,49.24,49.58,48.71,47.87,46.29,46.13,47.11,47.02,42.7,41.89
4,Bawang Putih Bonggol,29.860,29.860,29.860,31.370,29.860,29.860,30.780,-,30.430,30.080,30.430,29.320,29.500,29.840,29.840,30.180,28.770,28.770,30.180,28.770,28.770,29.520,29.520,29.180,30.430,29.180,30.570,30.410,30.220,30.430,29.140,31.450,31.450,31.450,31.450,31.920,31.450,31.070,31.070,31.070,30.760,30.760,31.070,30.760,30.430,30.760,30.430,30.760,30.430,30.000,31.110,30.780,31.110,31.110,31.110,31.110,31.810,31.810,31.400,31.880,32.440,31.780,32.160,31.740,31.740,31.540,32.530,33.330,33.160,33.160,33.160,33.160,33.330,33.660,34.760,34.590,35.040,35.040,35.660,34.760,35.660,37.420,36.470,36.470,36.000,37.420,36.470,33.610,34.880,34.960,33.710,34.580,33.400,33.400,34.270,33.940,34.82,35.15,35.15,34.8,34.48,34.82,34.82,35.15,34.82,34.82,36.16,36.59,36.47,36.47,36.47,38.26,37.42,36.59,36.59,37.32,36.89,37.42,36.59,36.59,36.59,36.59,36.59,36.45,35.66,35.83,36.37,34.88,34.88,35.96,35.79,36.78,36.59,36.77,37.76,37.76,38.11,37.93,37.93,38.11,38.11,38.87,38.79,39.66,40.45,38.79,38.79,38.79,37.93,36.97,38.19
5,Cabai Merah Keriting,53.390,52.680,53.200,54.620,57.420,54.460,55.130,-,51.660,53.620,50.920,51.420,49.880,50.870,50.290,49.010,47.360,46.340,49.010,47.770,47.770,46.340,46.340,46.340,48.860,48.090,49.730,48.760,49.150,50.330,48.500,48.090,48.090,48.090,47.600,46.340,49.920,49.920,49.130,49.130,47.340,48.270,49.920,48.800,48.270,52.280,53.890,56.370,59.140,54.710,55.650,54.850,56.540,55.650,55.650,54.680,57.220,53.890,52.280,50.650,49.760,48.560,47.950,47.340,46.510,46.510,48.270,49.760,48.800,49.580,48.090,47.260,47.160,51.000,49.650,47.160,47.910,47.910,49.830,48.090,48.860,50.460,48.950,48.170,50.000,47.110,44.600,43.830,43.750,43.750,42.230,42.230,41.300,42.230,40.600,41.410,40.6,40.6,40.79,39.12,39.12,38.26,38.26,39.9,39.12,40.79,44.74,49.76,51.61,52.28,53.82,51.46,52.28,49.13,49.13,48.17,44.72,44.72,43.18,43.18,43.94,41.52,40.79,35.54,34.76,35.54,35.14,35.93,36.64,37.06,38.74,39.32,38.26,38.26,39.12,38.44,37.42,37.42,37.42,37.42,39.02,40.44,38.34,37.59,35.95,36.08,36.08,36.87,36.0,35.77,38.04
6,Cabai Rawit Merah,71.020,73.300,75.560,70.040,72.620,73.070,70.760,-,69.250,65.820,67.550,68.330,66.750,65.820,66.080,63.140,59.650,62.100,65.150,63.660,62.810,59.650,59.540,59.650,62.040,60.520,66.130,64.130,64.130,64.930,64.010,63.090,63.090,61.420,63.040,62.160,64.860,64.500,65.540,64.870,61.020,64.870,64.810,65.680,63.350,68.900,71.270,72.230,75.530,73.770,70.570,72.110,73.970,71.990,71.990,73.870,74.780,74.030,72.150,71.330,73.840,74.630,75.390,72.740,72.050,73.930,75.390,77.090,79.740,81.080,77.750,76.800,77.580,71.990,78.650,83.250,84.100,84.100,85.710,85.710,85.710,83.720,83.720,84.630,84.520,79.530,71.340,71.220,68.840,69.430,62.870,65.310,59.140,60.740,61.380,58.280,54.85,53.82,54.77,50.56,50.24,48.71,43.53,44.85,46.34,45.61,51.26,51.26,53.21,53.92,54.59,53.21,52.88,50.65,51.54,49.13,46.51,45.61,44.03,43.18,43.94,43.94,43.94,39.9,39.71,40.5,40.5,41.3,40.5,41.3,42.34,44.03,42.43,43.27,42.43,44.03,43.18,42.43,42.43,43.74,48.71,46.72,47.26,48.19,47.26,47.87,46.84,48.54,48.27,47.35,47.32
7,Daging Sapi Murni,139.860,139.860,139.860,134.910,137.800,137.800,137.800,-,137.800,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,141.950,139.860,139.860,139.860,139.860,139.860,139.860,139.820,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,139.860,140.840,140.840,140.840,140.840,140.840,139.860,138.770,140.840,141.950,141.950,140.840,139.760,140.840,140.840,140.840,140.840,140.840,140.840,140.840,139.860,139.860,139.860,139.860,139.86,139.86,139.86,139.86,139.86,139.86,139.86,140.84,142.67,139.86,141.8,145.51,154.87,157.85,153.82,151.5,148.85,145.84,141.8,139.82,143.92,143.92,143.92,143.92,143.92,143.92,143.92,143.92,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,141.95,140.0
8,Daging Ayam Ras,35.980,35.200,35.590,34.150,35.200,35.200,35.200,-,35.200,35.590,35.390,35.390,35.390,35.390,35.390,35.390,35.390,36.350,38.330,37.670,37.670,37.670,38.330,38.330,38.760,37.490,38.160,37.170,36.770,35.960,35.960,35.960,35.960,35.960,35.960,35.960,36.930,36.960,36.960,36.960,36.960,37.120,37.120,36.780,36.780,36.960,37.120,37.120,36.780,36.350,36.620,36.780,36.780,36.780,36.620,36.930,36.930,36.620,36.620,36.460,36.620,36.950,36.620,36.440,35.640,36.120,35.950,35.950,35.950,35.950,35.950,35.950,35.950,36.280,36.120,36.280,36.120,38.000,38.170,38.520,39.110,38.580,37.550,36.280,36.190,37.830,36.280,36.780,36.780,36.600,36.920,36.920,36.420,35.620,35.620,36.420,36.59,36.59,37.42,36.59,36.28,36.59,37.1,37.1,37.1,37.61,38.6,39.58,39.88,40.34,40.34,38.67,37.67,38.14,38.14,39.2,38.24,38.57,37.75,37.75,37.58,37.58,37.58,37.58,36.42,37.24,37.24,37.72,37.72,37.24,37.07,37.24,37.24,37.24,36.75,37.58,37.75,37.75,37.75,37.59,38.43,37.84,39.64,39.04,39.38,38.87,38.69,38.69,38.87,38.6,38.23
9,Telur Ayam Ras,29.570,29.400,29.400,29.270,29.050,29.050,29.050,-,28.970,28.970,28.970,28.540,28.460,28.460,28.460,28.290,27.830,27.820,28.450,27.980,27.980,27.820,27.820,27.820,27.820,28.290,27.980,27.980,27.660,27.500,27.330,27.330,27.330,27.330,27.330,27.330,27.500,27.500,27.150,27.150,27.150,27.150,27.320,27.320,27.320,27.320,27.320,27.160,27.160,26.990,27.160,27.160,27.160,26.820,26.490,26.490,26.490,26.490,26.490,26.490,26.490,26.590,26.480,26.480,26.480,26.980,26.980,27.150,27.150,27.150,27.150,27.470,27.790,27.470,28.110,28.810,28.980,28.980,29.310,29.310,29.400,29.830,29.830,29.830,29.750,29.660,29.830,29.150,29.150,28.990,28.650,28.480,28.480,28.480,28.320,28.480,28.15,28.14,27.66,27.66,27.48,27.32,27.16,26.82,27.16,27.16,27.31,27.32,27.48,27.31,27.48,27.81,27.48,27.64,27.48,27.66,27.66,27.81,27.98,28.15,28.16,27.99,27.99,28.32,28.48,28.65,28.65,28.65,28.65,28.47,29.14,29.98,29.98,31.11,30.14,30.96,31.82,31.82,31.98,31.98,31.49,31.66,31.66,31.66,31.49,31.57,31.57,31.57,31.23,31.32,31.12
