,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,12.060,12.130,12.150,12.140,12.170,12.180,12.260,12.090,12.240,12.220,12.290,12.310,12.280,12.260,12.310,12.350,12.370,12.370,12.420,12.400,12.380,12.400,12.440,12.450,12.510,12.520,12.480,12.510,12.530,12.510,12.560,12.590,12.590,12.630,12.600,12.650,12.670,12.690,12.650,12.670,12.690,12.730,12.760,12.770,12.610,12.750,12.810,12.800,12.690,12.740,12.740,12.720,12.720,12.670,12.710,12.730,12.620,12.630,12.560,12.560,12.580,12.520,12.510,12.550,12.530,12.510,12.560,12.480,12.450,12.520,12.600,12.580,12.640,12.520,12.620,12.570,12.560,12.500,12.490,12.480,12.440,12.570,12.500,12.510,12.570,12.580,12.580,12.580,12.600,12.630,12.630,12.620,12.640,12.580,12.660,12.650,12.68,12.66,12.6,12.57,12.53,12.54,12.58,12.64,12.61,12.65,12.6,12.63,12.59,12.67,12.65,12.62,12.66,12.7,12.68,12.67,12.63,12.67,12.67,12.65,12.66,12.63,12.66,12.64,12.6,12.61,12.63,12.64,12.64,12.64,12.63,12.62,12.61,12.6,12.62,12.63,12.63,12.57,12.58,12.62,12.56,12.57,12.55,12.53,12.57,12.56,12.57,12.53,12.55,12.5,12.54
1,Beras Medium,10.730,10.780,10.690,10.660,10.660,10.680,10.800,11.020,10.720,10.770,10.800,10.770,10.750,10.760,10.780,10.780,10.850,10.850,10.910,10.870,10.950,10.910,10.980,10.960,10.970,10.970,10.950,11.040,11.080,11.080,11.160,11.190,11.140,11.180,11.120,11.230,11.230,11.240,11.310,11.280,11.280,11.330,11.300,11.360,11.320,11.290,11.260,11.300,11.280,11.290,11.300,11.310,11.310,11.270,11.300,11.310,11.290,11.300,11.220,11.260,11.210,11.210,11.150,11.150,11.070,11.170,11.120,11.280,11.120,11.130,11.150,11.210,11.200,11.130,11.170,11.180,11.120,11.130,11.140,11.140,11.060,11.110,11.140,11.140,11.140,11.140,11.150,11.160,11.170,11.160,11.100,11.120,11.140,11.090,11.090,11.140,11.14,11.13,11.06,11.14,11.1,11.04,11.07,11.1,11.1,11.13,11.13,11.12,11.07,11.11,11.17,11.14,11.13,11.17,11.16,11.2,11.15,11.11,11.17,11.09,11.14,11.14,11.16,11.14,11.1,11.17,11.1,11.14,11.18,11.14,11.09,11.12,11.11,11.1,11.12,11.08,11.1,11.16,11.04,11.13,11.08,11.09,11.13,11.09,11.09,11.08,11.12,11.07,11.08,11.0,11.05
2,Kedelai Biji Kering (Impor),14.950,15.010,14.970,15.070,15.060,14.950,15.150,15.370,15.010,14.990,15.090,15.040,15.070,15.080,15.070,15.030,15.030,15.070,15.060,14.950,15.060,15.000,15.080,15.020,14.970,14.870,14.980,14.840,14.830,14.800,14.810,14.860,14.810,14.790,14.840,14.790,14.920,14.950,14.970,14.890,14.940,15.160,15.040,14.990,14.990,15.080,15.000,14.930,14.990,14.990,15.000,15.030,15.000,15.030,15.070,15.000,14.980,14.990,14.830,14.960,14.920,14.930,14.800,14.980,14.900,14.950,14.940,14.820,14.790,15.100,14.920,14.870,14.890,14.750,15.010,14.970,15.050,15.090,15.000,14.960,14.980,14.920,14.920,15.010,14.870,14.910,14.950,14.910,14.790,14.920,14.850,14.870,14.830,14.850,14.780,14.730,14.61,14.64,14.75,14.76,14.63,14.62,14.78,14.68,14.87,14.9,14.91,14.85,14.86,14.88,15.0,14.8,15.02,14.76,14.86,14.53,14.62,14.57,14.49,14.72,14.81,14.81,14.83,14.83,14.81,14.65,11.63,11.49,11.37,11.28,11.24,11.26,11.22,11.23,11.2,11.13,11.19,11.16,11.1,11.35,11.11,11.06,11.17,11.09,11.09,11.01,10.99,11.02,11.17,11.02,10.95
3,Bawang Merah,31.750,33.230,33.290,33.650,33.760,33.420,33.710,32.480,34.110,34.060,34.280,34.200,34.350,34.480,35.060,34.760,35.240,35.620,35.450,35.670,35.650,36.170,36.380,36.750,37.080,37.930,38.110,38.450,40.020,40.390,41.040,40.870,40.790,40.710,40.910,40.610,41.800,41.470,41.750,40.840,40.840,41.810,39.300,38.500,38.830,38.760,37.720,36.950,36.260,35.950,35.730,35.540,35.170,34.780,34.140,34.620,34.920,34.430,34.790,34.920,34.560,34.800,35.350,36.120,35.720,35.350,34.840,34.610,34.770,34.390,34.390,33.700,34.270,33.610,33.980,34.230,34.310,34.890,35.340,35.290,34.780,34.960,34.750,34.560,34.970,34.510,34.370,33.780,33.410,33.240,32.720,33.190,33.140,33.680,33.350,32.910,33.06,32.77,33.09,33.21,32.87,32.3,32.4,32.55,32.42,34.46,36.1,37.38,38.04,39.85,38.62,38.15,38.4,37.48,39.21,38.4,38.32,39.37,38.81,38.54,38.24,38.39,39.56,39.16,38.4,38.97,38.97,39.0,39.36,38.39,38.89,39.07,38.97,38.85,39.09,39.11,39.86,39.0,39.22,39.99,39.73,39.86,39.79,39.13,38.99,39.04,39.09,39.04,39.02,39.77,39.15
4,Bawang Putih Bonggol,25.590,25.680,25.560,25.720,25.530,25.730,25.220,24.610,25.940,26.070,25.870,25.860,25.870,25.880,26.460,26.350,26.420,26.580,26.450,26.540,25.970,26.590,26.720,26.900,26.640,26.770,27.160,26.960,26.930,27.090,27.290,27.480,27.100,28.030,27.490,27.180,27.700,27.680,28.060,27.910,28.160,27.890,27.800,28.210,28.120,28.200,28.170,27.570,27.930,28.370,28.810,28.700,28.800,28.860,29.070,29.470,29.340,29.310,29.300,28.940,29.100,28.990,29.200,30.360,30.740,30.360,30.560,31.020,30.970,31.260,30.890,30.620,30.900,30.370,31.190,30.860,31.010,31.380,31.520,31.340,31.230,30.960,31.200,31.190,31.020,30.480,30.370,31.290,30.980,30.720,30.950,30.940,30.070,30.890,30.970,30.520,30.82,30.55,30.67,30.79,30.81,30.5,30.33,30.32,30.19,30.87,31.76,31.36,31.95,33.5,34.01,32.83,32.8,32.9,32.82,32.82,32.65,32.6,32.12,32.38,32.4,32.21,33.31,33.52,33.17,33.14,33.65,33.39,33.31,33.82,33.93,34.28,34.57,34.24,34.5,34.6,34.69,34.72,34.72,34.83,34.95,34.91,34.67,34.87,34.73,35.11,34.82,34.92,35.87,35.23,35.29
5,Cabai Merah Keriting,39.670,41.850,42.280,43.260,42.570,41.840,43.290,38.400,43.920,44.190,42.760,43.380,43.270,44.010,41.780,41.980,40.940,40.510,39.920,40.200,41.070,40.260,42.340,42.280,42.230,41.860,41.590,41.780,42.180,41.850,42.140,39.390,40.960,41.120,40.820,41.190,40.840,41.480,42.890,42.590,41.990,42.010,42.090,41.850,41.420,44.160,45.830,46.000,46.450,45.890,47.810,47.760,47.310,46.590,46.080,46.070,44.370,44.350,42.670,41.460,41.530,41.310,42.120,41.420,40.790,40.960,40.430,40.460,40.390,40.730,40.800,41.360,40.790,40.450,40.620,40.650,41.540,41.800,42.360,42.500,42.450,42.680,43.020,43.220,42.600,40.900,39.020,37.650,37.420,37.910,38.020,37.040,36.220,35.430,34.710,34.970,36.02,35.29,35.3,34.76,34.29,34.59,34.92,34.53,35.88,39.34,44.31,46.37,47.86,50.46,51.12,50.3,49.6,46.8,42.8,38.72,37.01,36.1,36.74,35.82,36.22,34.66,34.99,34.91,33.08,32.49,34.12,34.01,32.98,32.11,32.67,32.74,32.73,33.02,34.04,33.55,33.97,33.14,32.58,33.07,33.77,34.18,34.3,33.46,33.64,33.72,33.54,32.99,32.55,32.51,32.55
6,Cabai Rawit Merah,63.740,68.200,68.450,66.590,66.870,64.790,67.400,68.080,67.260,66.370,65.060,64.400,63.640,62.380,58.070,57.500,57.110,57.740,57.120,56.170,55.390,57.840,58.790,58.440,57.520,57.390,57.330,57.720,57.850,57.250,56.860,57.740,56.960,55.270,58.090,59.320,58.840,58.910,59.120,58.950,58.790,59.840,60.800,60.040,63.110,63.290,63.830,63.870,62.940,67.780,69.300,68.360,68.170,68.630,68.970,68.970,66.290,66.830,67.290,66.400,66.250,65.390,66.970,68.600,69.490,70.430,68.850,68.860,70.060,70.190,71.080,70.520,71.840,71.170,73.600,73.620,73.640,76.860,79.480,79.620,78.860,77.400,77.860,78.040,74.550,67.140,62.880,57.640,57.350,57.870,58.150,54.840,53.330,50.960,49.820,49.300,49.75,47.2,44.4,42.57,42.58,42.27,41.51,41.25,41.35,42.63,44.98,45.49,43.39,47.76,46.82,46.0,47.97,44.9,43.59,41.62,38.81,38.02,38.24,36.61,37.34,35.4,35.56,35.99,34.87,34.05,35.36,34.96,35.24,35.52,36.36,36.44,36.27,35.08,36.32,36.34,36.53,36.64,37.72,37.73,40.89,43.19,42.99,42.93,42.9,43.27,42.63,43.06,42.4,43.87,41.06
7,Daging Sapi Murni,134.630,133.170,133.170,133.500,133.480,133.220,132.800,135.360,132.910,133.030,133.170,132.910,133.170,133.220,133.170,133.030,132.950,132.910,132.950,132.460,132.670,132.670,132.730,133.110,132.910,132.450,132.610,132.980,132.610,132.250,132.540,132.290,132.510,132.450,132.330,132.790,132.420,132.680,132.680,132.640,132.630,132.540,132.160,132.200,132.920,132.950,132.920,132.580,132.290,132.660,132.580,132.650,132.650,132.650,132.580,132.580,132.900,132.880,133.100,133.360,133.300,133.360,133.470,133.610,132.970,133.500,133.380,133.110,133.780,133.630,133.180,133.620,133.580,133.460,133.630,133.920,133.760,134.650,135.940,138.890,139.480,137.750,137.200,137.200,136.100,134.760,134.650,134.150,134.120,134.330,133.820,133.870,133.730,133.720,133.960,133.880,133.58,133.93,134.5,134.52,134.78,134.57,134.75,135.16,136.01,138.54,141.18,143.58,151.27,154.74,154.55,152.26,149.36,145.03,142.85,141.23,138.79,138.29,138.77,135.36,136.23,136.37,135.84,136.3,136.17,135.33,135.34,135.33,134.89,135.21,135.08,135.05,135.27,135.44,135.01,135.12,135.27,133.59,135.08,134.69,134.87,134.85,134.16,135.43,134.7,134.51,134.72,134.9,134.9,134.49,134.95
8,Daging Ayam Ras,35.940,35.800,35.600,35.210,34.830,34.790,34.580,34.830,33.820,33.580,33.520,33.690,34.020,34.080,33.970,33.740,33.760,33.920,33.960,33.750,33.440,33.670,33.520,33.190,33.120,33.080,33.100,32.890,33.240,32.840,33.270,33.250,33.120,33.410,33.420,33.730,33.810,33.920,33.900,33.840,33.520,33.440,33.700,33.570,33.740,33.810,33.610,33.670,33.550,33.480,33.350,33.280,33.300,33.300,32.970,33.060,33.510,33.400,33.470,33.260,33.320,33.470,33.080,33.230,33.460,33.200,33.410,33.200,33.670,33.830,33.770,34.010,34.380,34.400,34.540,34.650,34.010,34.940,35.680,36.310,36.160,35.570,35.620,35.370,34.640,34.570,34.270,33.800,33.730,33.770,33.540,33.730,33.700,33.680,33.740,33.760,33.97,33.9,34.27,34.35,34.38,34.55,34.65,34.93,34.9,35.45,36.17,36.99,39.09,41.41,40.49,39.92,40.26,38.89,39.14,38.78,37.86,38.3,37.25,37.06,36.69,36.09,35.65,35.38,35.55,34.83,35.22,35.13,35.33,35.57,35.62,35.74,35.81,35.95,36.28,36.86,36.85,36.32,36.85,37.02,37.56,37.74,37.58,38.37,38.08,38.0,38.06,37.77,37.38,37.53,37.43
9,Telur Ayam Ras,28.830,28.650,28.760,28.690,28.610,28.520,28.370,28.140,28.330,28.340,28.020,28.160,28.140,28.330,28.150,28.090,28.110,28.030,28.090,27.930,28.010,27.980,28.000,28.030,28.030,27.950,27.950,27.830,27.860,27.800,27.930,27.810,27.760,27.690,27.550,27.610,27.680,27.680,27.770,27.830,27.850,27.730,27.830,27.760,27.640,27.610,27.520,27.890,27.480,27.320,27.320,27.280,27.460,27.130,27.320,27.290,27.180,27.360,27.000,26.910,27.480,26.920,26.930,27.070,27.090,27.340,27.450,27.640,27.600,27.520,27.860,28.220,28.510,28.940,29.130,29.470,29.490,29.900,30.020,30.160,30.320,30.230,30.120,30.300,30.160,29.930,29.940,29.940,29.630,29.610,29.290,28.940,28.870,28.680,28.530,28.570,28.35,28.19,28.47,28.41,28.1,28.4,28.05,28.19,27.86,27.5,27.87,27.98,28.25,28.67,28.44,28.35,28.48,28.33,28.34,28.2,28.31,28.24,28.25,28.39,28.27,28.16,28.4,28.58,28.66,28.69,29.17,29.34,29.46,29.67,30.02,30.12,30.54,31.28,31.59,31.92,31.86,31.71,31.91,31.97,31.92,31.86,32.07,32.04,32.0,31.98,32.02,31.93,31.83,32.02,31.75
