Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.600,12.600,12.500,12.500,12.500,12.500,12.500,12.380,12.500,12.500,12.500,12.500,12.500,12.760,12.500,12.520,12.500,12.600,12.600,12.610,12.610,12.610,12.610,12.620,12.610,12.620,12.620,12.620,12.620,12.620,12.620,12.730,12.730,12.730,12.730,12.730,12.750,12.750,12.750,12.750,12.750,12.750,12.540,12.750,12.750,12.750,12.670,12.650,12.670,12.740,12.740,12.780,12.780,12.780,12.780,12.780,12.690,12.780,12.640,12.620,12.620,12.620,12.640,12.640,12.640,12.640,12.610,12.610,12.610,12.610,12.800,12.610,12.610,12.610,12.610,12.610,12.510,12.610,12.610,12.610,12.610,12.580,12.580,12.580,12.580,12.580,12.650,12.650,12.670,12.670,12.670,12.670,12.670,12.600,12.600,12.600,12.45,12.6,12.6,12.5,12.5,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.45,12.6,12.5,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.77,12.77,12.77,12.590,12.77,12.67,12.67,12.48,12.48,12.48,12.5,12.5,12.5,12.5,12.5,12.5
Beras Medium,11.390,11.340,11.410,11.410,11.410,11.210,11.410,11.270,11.410,11.420,11.420,11.420,11.420,11.520,11.420,11.440,11.440,11.370,11.420,11.420,11.440,11.440,11.440,11.440,11.460,11.460,11.460,11.440,11.460,11.460,11.460,11.560,11.660,11.660,11.660,11.660,11.680,11.670,11.670,11.750,11.650,11.750,11.760,11.710,11.750,11.750,11.650,11.650,11.650,11.740,11.740,11.740,11.740,11.740,11.740,11.740,11.740,11.740,11.600,11.500,11.500,11.500,11.500,11.480,11.480,11.480,11.440,11.440,11.440,11.440,11.550,11.550,11.550,11.500,11.550,11.550,11.610,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.460,11.500,11.550,11.550,11.550,11.550,11.550,11.550,11.550,11.550,11.550,11.550,11.44,11.55,11.55,11.45,11.45,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.44,11.55,11.44,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.62,11.62,11.62,11.640,11.62,11.51,11.51,11.45,11.45,11.45,11.53,11.53,11.53,11.53,11.53,11.53
Kedelai Biji Kering (Impor),14.270,14.190,14.270,14.080,14.120,14.120,14.120,14.250,14.020,13.970,13.700,13.700,13.800,13.390,13.680,13.780,13.780,13.730,13.840,13.620,13.620,13.510,13.530,13.510,13.510,13.510,13.550,13.550,13.460,13.400,13.400,13.400,13.400,13.230,13.230,12.920,12.920,12.920,12.920,12.920,12.920,12.920,12.890,12.870,12.870,12.870,12.920,12.920,12.920,12.850,12.850,12.850,12.750,12.750,12.750,12.750,12.750,12.790,12.790,12.790,12.790,12.790,12.750,12.790,12.790,12.790,12.790,12.790,12.790,12.790,12.750,12.750,12.750,12.750,12.750,12.750,12.690,12.730,12.730,12.730,12.790,12.780,12.780,12.780,12.780,12.680,12.780,12.520,12.510,12.670,12.670,12.560,12.750,12.750,12.390,12.390,12.36,12.39,12.28,12.28,12.35,12.35,12.31,12.31,12.31,12.31,12.36,12.19,12.24,12.29,12.36,12.29,12.19,12.15,12.15,12.15,12.54,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.09,12.09,11.98,12.09,12.09,11.92,11.92,11.49,11.34,11.34,11.34,11.34,11.34,11.34,10.950,11.06,11.06,11.0,10.8,10.8,10.8,10.8,10.8,10.8,10.7,10.7,10.7
Bawang Merah,32.660,33.090,32.870,33.660,33.060,32.680,32.680,32.850,32.480,31.880,32.290,32.820,33.040,35.780,34.450,35.430,35.430,36.470,36.960,36.960,38.370,38.930,38.930,39.330,39.330,39.470,39.380,39.630,40.660,40.320,40.320,40.400,40.570,41.100,41.370,42.040,41.850,41.850,41.400,41.580,40.530,40.700,39.690,40.780,39.680,38.580,38.300,38.470,38.140,38.060,36.900,36.980,34.560,34.060,33.460,33.460,32.870,32.710,33.920,34.430,34.430,33.520,33.330,34.420,35.100,35.450,35.450,35.280,33.740,33.360,32.490,32.480,32.640,32.450,32.640,32.040,31.790,32.640,33.060,32.480,32.680,33.140,32.550,33.140,33.140,32.780,32.780,32.360,32.780,32.780,32.780,32.780,32.780,31.420,31.750,31.750,29.97,32.93,32.79,31.26,32.93,32.93,32.36,32.36,32.36,34.4,34.4,34.4,32.2,35.69,34.6,35.69,35.69,35.69,36.65,36.26,37.07,37.61,37.61,37.21,37.04,37.04,37.67,37.08,36.28,35.91,36.13,36.88,37.89,37.43,37.43,37.43,37.43,38.24,38.41,38.02,38.02,37.59,37.010,37.43,37.07,36.69,36.0,35.91,35.91,36.32,36.32,36.35,36.35,35.95,35.95
Bawang Putih Bonggol,21.610,20.190,21.240,21.450,21.240,21.240,21.240,21.560,20.340,21.400,22.280,21.550,21.740,22.440,22.160,23.940,23.940,24.230,24.330,24.330,23.960,23.580,23.990,23.990,24.380,24.380,24.770,24.580,24.190,24.740,25.410,25.490,25.690,25.690,25.200,24.180,24.950,25.710,24.950,24.950,24.200,24.200,24.250,24.590,24.780,24.570,24.980,24.980,25.380,25.380,25.190,25.190,25.790,25.800,25.800,25.800,25.990,25.990,25.980,25.980,25.980,26.160,26.160,26.970,26.970,27.370,27.370,27.170,27.700,27.700,27.680,27.280,26.930,26.930,28.150,28.150,28.450,28.360,28.550,28.550,28.550,27.910,27.720,27.720,27.720,27.150,27.150,26.960,26.960,26.960,27.380,27.380,27.770,27.180,27.390,27.180,27.49,27.39,27.39,27.39,27.39,27.39,27.18,27.18,27.18,27.56,27.56,27.18,27.49,27.77,26.98,27.56,27.56,27.77,27.94,27.94,27.56,27.37,28.87,29.08,28.73,28.73,28.13,28.13,29.29,29.51,29.4,29.29,29.29,29.51,28.73,28.89,28.52,29.51,29.92,30.1,30.1,30.68,30.610,29.69,29.69,29.89,29.87,29.87,29.87,29.67,29.67,29.67,29.67,30.03,30.03
Cabai Merah Keriting,39.640,38.410,39.280,39.740,39.740,39.690,39.900,40.160,38.130,39.080,37.000,37.000,37.380,36.000,35.800,35.690,36.650,35.860,35.800,35.980,35.950,35.580,35.950,35.950,36.350,35.580,35.370,35.580,37.130,38.950,37.920,38.950,39.330,39.900,40.950,40.460,38.950,38.950,40.750,43.050,43.110,42.910,43.600,43.680,46.110,46.940,47.280,47.280,46.480,47.720,48.010,47.100,48.540,47.160,47.550,44.040,43.490,40.590,40.410,40.820,40.190,39.450,37.510,36.800,37.920,37.920,37.920,39.020,38.820,38.820,38.480,38.670,37.650,37.280,36.920,37.100,36.630,33.940,33.940,33.940,34.570,35.310,34.240,33.800,32.770,32.770,29.830,31.910,31.910,30.770,29.660,29.660,25.570,27.730,24.460,25.570,21.66,23.12,22.11,23.12,23.12,23.32,24.24,24.24,26.29,30.32,36.65,37.63,41.73,39.04,35.91,40.1,40.1,35.77,31.6,25.12,21.95,22.03,22.11,22.3,22.0,22.0,22.0,22.27,22.27,22.73,23.65,24.17,25.07,25.72,25.72,25.97,25.97,25.07,23.97,23.97,23.97,23.58,23.720,22.68,22.68,21.24,20.48,19.33,19.71,20.34,23.75,23.25,22.87,23.02,22.02
Cabai Rawit Merah,55.290,63.830,59.980,57.620,57.450,57.610,56.790,58.630,53.050,50.940,49.160,51.170,52.390,44.610,45.430,42.470,42.470,44.400,44.890,44.890,45.960,46.160,47.840,49.900,50.120,51.440,51.650,51.650,47.110,49.260,49.260,51.400,51.750,52.360,51.470,51.210,53.310,53.310,52.930,54.390,55.000,54.390,55.250,56.440,58.640,61.100,62.090,63.090,61.110,62.610,61.610,61.790,62.500,61.760,55.250,58.480,55.210,52.390,53.510,54.540,54.340,55.760,58.800,63.240,65.510,65.510,65.700,64.260,66.960,66.760,65.890,64.920,65.890,66.970,70.810,70.710,69.910,69.550,70.970,70.970,63.820,71.960,70.970,68.180,59.690,47.990,44.250,46.450,44.080,41.400,40.220,40.220,35.800,32.990,31.470,31.820,27.66,29.77,29.57,29.17,29.14,29.14,28.6,28.76,28.76,30.94,38.01,35.69,37.42,39.65,39.56,39.49,35.0,33.76,28.93,24.48,21.12,20.48,21.69,22.11,22.0,20.77,20.77,20.91,21.06,21.82,22.39,24.6,27.89,27.66,27.66,27.66,27.66,26.89,26.13,27.1,27.1,28.36,30.750,34.86,34.86,36.39,34.86,35.07,35.16,36.49,36.12,37.63,37.34,37.44,36.96
Daging Sapi Murni,135.950,133.690,135.950,135.950,135.950,135.950,135.950,134.950,135.950,135.950,135.950,135.950,135.950,137.480,135.950,135.950,135.950,134.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,136.190,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,135.950,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,136.190,134.930,134.730,134.730,134.730,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,134.930,133.69,134.93,134.93,134.93,134.93,134.93,134.93,134.93,135.88,136.91,138.84,143.81,143.09,144.44,141.88,144.86,141.91,139.82,139.86,140.84,139.82,137.91,136.91,136.91,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,136.190,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95,135.95
Daging Ayam Ras,33.980,33.980,33.790,32.790,32.580,32.790,32.990,32.730,32.190,32.400,32.200,31.590,31.590,30.980,31.590,31.160,31.180,31.460,31.570,31.380,31.380,30.970,30.970,30.770,30.570,30.570,29.990,29.990,29.580,29.380,29.380,29.780,29.590,29.590,29.590,30.190,30.380,30.180,31.570,31.570,31.370,31.570,31.210,32.400,31.980,31.980,31.380,31.380,31.580,31.580,30.790,30.990,30.590,30.380,30.380,30.770,30.970,30.570,30.970,30.590,30.990,30.590,30.390,30.780,30.390,30.590,30.180,30.180,30.580,30.780,30.970,31.380,31.380,31.570,32.530,32.360,32.740,33.600,33.600,33.790,33.400,33.400,32.770,33.190,32.560,32.390,32.390,32.400,32.190,31.570,31.980,32.190,31.990,31.380,31.380,31.380,30.98,30.78,31.18,31.58,31.58,31.39,32.57,32.37,32.56,33.14,33.35,34.77,36.91,36.66,35.87,37.76,37.53,39.01,40.12,39.74,38.15,37.55,35.93,35.34,34.36,32.99,33.19,32.98,33.19,33.19,32.99,32.58,32.97,33.35,33.92,33.35,33.53,34.79,34.79,34.79,34.58,35.79,35.750,36.99,37.39,37.8,37.8,37.6,37.19,37.39,37.37,35.97,35.97,35.78,35.98
Telur Ayam Ras,28.180,28.000,27.600,27.600,27.280,27.280,27.080,27.110,27.080,27.390,27.320,27.320,27.230,26.890,27.010,27.100,27.300,27.500,27.290,26.910,27.110,26.200,26.390,26.330,26.380,26.530,26.480,26.280,26.190,26.600,26.400,26.190,25.990,25.990,26.100,26.450,26.640,26.690,26.640,26.640,26.650,26.590,26.590,26.670,26.350,26.450,26.450,26.470,26.280,26.240,26.080,26.190,25.780,25.820,25.820,25.870,25.980,26.020,25.850,25.890,25.640,25.890,26.040,26.290,26.690,26.880,26.880,26.880,27.280,27.280,27.170,27.890,28.380,29.140,29.380,29.480,29.350,29.860,30.480,30.780,30.680,30.680,30.680,30.090,29.690,28.700,28.700,28.500,28.400,28.080,27.890,27.480,26.690,25.990,25.580,25.580,25.48,25.48,25.29,25.29,25.76,25.77,26.2,26.2,25.89,26.08,26.58,26.39,27.25,26.87,26.59,26.98,27.35,27.46,27.87,27.87,27.87,27.87,27.69,27.58,27.98,27.98,27.89,28.17,28.56,28.96,29.07,29.07,29.8,29.8,30.19,30.18,29.98,31.37,31.56,30.78,30.78,30.79,30.870,31.7,31.7,31.18,31.18,31.18,31.18,30.59,30.79,30.99,30.79,30.39,30.29
