,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,12.450,12.520,12.370,12.450,12.420,12.510,12.600,12.610,12.500,12.400,12.530,12.320,12.440,12.510,12.580,12.390,12.620,12.500,12.780,12.660,12.540,12.590,12.680,12.690,12.760,12.700,12.640,12.610,12.720,12.710,12.930,12.820,13.140,13.160,13.330,12.980,13.030,13.170,13.180,13.100,13.170,13.280,13.420,13.610,13.680,13.860,14.030,14.140,14.070,13.850,14.040,13.880,14.080,14.130,14.240,14.130,14.320,14.340,14.500,14.600,14.720,14.680,14.740,14.760,14.730,14.760,14.680,14.640,14.490,14.630,14.850,14.930,14.790,14.770,14.990,14.730,14.870,14.800,14.870,14.700,14.740,14.650,14.610,14.550,14.710,14.690,14.650,14.670,14.560,14.560,14.520,14.530,14.520,14.560,14.510,14.460,14.62,14.64,14.57,14.54,14.54,14.51,14.43,14.57,14.49,14.41,14.54,14.49,14.37,14.32,14.51,14.43,14.34,14.2,14.42,14.34,14.41,14.23,14.26,14.24,14.25,14.32,14.14,14.2,14.18,14.28,14.22,14.1,14.1,14.08,14.05,14.19,13.95,13.98,14.11,14.05,14.06,13.95,14.0,14.02,13.89,13.98,13.93,13.95,13.9,14.21,13.89,13.86,13.84,13.81,14.04
1,Beras Medium,10.720,10.720,10.790,10.850,10.760,10.820,10.860,10.760,10.660,10.640,10.710,10.920,10.660,10.890,10.730,10.690,10.700,10.690,10.790,10.830,10.730,10.910,10.810,10.890,10.800,10.830,10.840,10.890,10.810,10.900,10.970,10.870,11.070,11.150,11.380,11.320,11.260,11.310,11.260,11.090,11.490,11.670,11.460,11.660,11.650,12.080,12.220,12.300,12.290,12.100,12.200,12.300,12.260,12.430,12.480,12.420,12.510,12.690,12.780,12.820,12.990,12.720,12.810,12.940,13.120,13.100,13.170,13.330,13.150,13.150,13.310,13.360,13.250,13.230,13.230,13.180,13.300,13.290,13.210,13.140,13.110,13.230,13.110,13.030,13.100,13.150,13.070,13.100,12.930,12.950,12.840,12.880,12.830,12.900,12.920,12.960,12.99,12.96,12.89,12.95,12.87,12.91,12.89,12.97,12.97,12.73,12.91,12.88,12.89,12.75,12.87,12.84,12.77,12.67,12.69,12.67,12.66,12.69,12.56,12.54,12.52,12.59,12.51,12.42,12.4,12.37,12.4,12.41,12.41,12.23,12.33,12.4,12.2,12.16,12.23,12.3,12.24,12.22,12.24,12.24,12.23,12.29,12.1,12.27,12.18,12.26,12.05,12.07,11.91,11.9,12.04
2,Kedelai Biji Kering (Impor),15.800,15.850,15.990,16.280,15.950,15.920,15.920,16.550,16.220,16.090,15.940,16.050,16.050,15.850,16.240,16.010,15.980,15.940,16.260,15.760,16.190,16.140,15.900,16.260,16.050,15.850,16.050,15.960,15.820,15.860,15.910,15.860,15.910,16.020,16.250,15.850,15.840,15.790,15.630,15.790,16.040,15.910,15.730,15.980,15.770,15.910,16.000,16.190,16.020,15.890,15.810,15.660,15.680,15.880,16.050,15.750,15.890,15.790,15.790,15.670,16.080,16.090,16.130,15.880,15.990,16.130,16.080,16.460,16.250,16.360,16.190,16.060,16.190,16.190,16.280,16.110,15.990,15.840,15.940,15.920,16.370,16.080,16.080,16.210,16.090,16.090,15.770,15.870,15.930,16.030,15.900,16.000,15.590,15.670,15.850,15.670,15.73,16.02,15.84,15.67,15.67,15.55,15.67,16.13,15.78,15.62,15.89,16.07,15.99,15.75,15.89,15.95,15.93,16.01,15.65,15.65,16.11,16.0,15.94,15.99,15.56,15.81,15.76,15.48,16.06,16.09,15.85,16.0,16.0,16.15,15.91,15.9,15.83,16.1,16.09,15.56,16.0,15.78,15.6,16.19,15.45,15.55,15.57,15.29,15.43,15.39,15.5,15.41,15.47,15.5,15.89
3,Bawang Merah,37.250,38.500,38.500,39.570,38.610,38.640,38.310,38.830,38.330,37.920,37.880,37.720,39.700,39.830,38.000,37.800,38.190,37.050,37.590,38.400,36.970,37.930,36.720,36.320,36.580,36.230,37.110,36.380,36.510,36.850,36.610,36.070,36.890,37.140,37.720,37.820,36.530,38.040,37.730,38.120,38.280,38.130,37.480,37.480,37.930,38.460,38.240,38.180,39.100,38.370,38.620,38.500,38.770,38.960,38.700,38.960,38.130,38.100,38.130,37.460,37.820,37.240,37.220,36.750,37.060,37.280,36.790,37.540,37.420,36.750,37.080,36.900,37.200,36.830,38.260,37.250,36.580,36.160,36.160,36.510,36.960,36.280,36.780,37.180,37.090,37.340,37.410,37.740,36.940,36.850,37.060,36.990,36.140,36.980,37.340,37.180,36.79,38.64,37.29,36.51,36.51,36.22,37.09,36.44,36.19,36.83,36.91,37.03,36.96,37.52,37.34,37.62,37.93,37.06,37.49,37.73,38.35,38.69,37.5,37.34,37.59,37.82,37.7,37.73,37.3,39.08,38.54,38.39,37.94,37.55,38.15,38.4,38.61,38.19,38.61,38.39,37.82,37.83,37.68,37.57,39.17,39.23,38.75,37.83,38.37,39.2,39.26,38.9,38.37,37.61,39.03
4,Bawang Putih Bonggol,34.720,35.480,35.060,34.810,33.830,34.220,34.530,33.030,33.300,33.810,34.170,33.650,33.610,34.340,32.950,33.010,32.790,32.460,33.570,32.840,32.760,33.270,33.150,33.560,33.380,32.690,32.830,32.600,33.490,33.420,33.520,33.340,33.120,32.890,32.490,32.700,32.960,32.960,32.640,32.960,33.410,33.530,32.940,33.310,33.260,33.260,33.310,33.000,33.410,33.380,33.890,33.740,33.680,34.130,33.860,34.130,34.200,33.790,34.620,34.350,34.540,33.570,33.710,34.090,34.140,34.550,34.270,35.260,35.100,34.860,35.180,35.080,35.270,35.160,36.260,35.140,35.150,35.900,36.130,36.490,36.240,36.230,36.460,36.900,37.030,36.790,36.780,36.760,36.170,36.220,35.860,36.460,35.110,35.260,35.530,35.330,36.44,36.97,35.9,35.76,35.99,35.17,35.06,35.1,34.5,35.17,35.23,36.18,36.58,36.88,36.97,36.7,36.76,36.76,36.73,36.96,36.82,37.44,35.89,36.5,36.9,37.16,37.27,37.5,37.31,37.49,38.7,38.57,37.79,37.54,37.47,37.34,37.63,37.6,38.33,38.17,37.04,36.65,38.14,37.69,39.65,39.1,38.88,39.15,38.84,38.95,39.06,39.35,39.67,39.9,39.25
5,Cabai Merah Keriting,58.530,58.960,60.960,58.180,59.050,61.270,65.180,57.900,58.770,55.400,56.590,54.560,55.870,59.240,55.190,53.090,51.850,50.500,49.790,52.340,55.130,54.440,52.250,49.690,49.430,50.460,51.740,52.680,49.830,49.440,50.530,48.380,51.160,49.260,53.940,51.550,49.970,54.130,52.620,52.680,51.410,54.780,52.670,51.140,54.320,53.720,54.100,54.050,57.790,54.440,55.280,54.920,56.580,56.410,55.320,57.460,61.390,63.720,65.770,66.880,67.870,64.100,66.790,64.870,65.240,65.650,66.820,69.240,65.320,68.030,64.240,65.980,63.120,63.510,65.550,65.410,63.120,66.170,65.030,64.780,62.710,63.410,63.580,63.310,63.250,64.250,64.740,65.650,64.490,60.890,64.280,60.470,60.850,63.910,63.100,62.210,62.43,63.05,62.36,58.48,58.2,55.81,56.52,57.92,56.6,56.38,60.18,61.39,58.31,57.76,59.83,59.52,57.16,58.03,58.66,57.93,57.26,55.97,58.21,61.14,58.27,58.87,57.36,55.44,59.53,58.95,54.34,55.97,53.68,53.2,52.77,53.78,58.63,53.18,56.19,55.63,60.08,60.24,59.06,60.06,60.76,62.4,59.25,57.89,56.7,58.76,56.93,57.08,57.66,56.23,56.56
6,Cabai Rawit Merah,60.230,61.100,61.690,60.720,60.860,64.300,62.160,69.720,63.560,61.310,63.030,64.320,65.300,65.130,66.370,65.450,66.150,65.480,67.350,67.130,67.220,63.000,63.100,61.880,61.500,60.690,62.530,61.180,61.620,61.230,59.700,58.630,61.410,59.710,61.730,61.110,62.980,64.740,65.340,63.230,64.640,64.730,64.280,59.980,65.290,61.700,64.350,63.060,65.920,65.560,66.970,65.590,67.020,65.400,63.870,64.780,64.780,67.220,69.140,69.550,67.370,69.790,69.000,65.800,68.020,67.550,70.470,73.380,73.060,72.160,70.740,75.380,74.690,73.290,76.570,71.350,69.540,73.850,71.840,71.000,71.510,70.830,71.020,69.820,65.480,71.570,71.330,73.320,68.390,67.490,71.540,66.090,70.470,66.600,66.440,67.310,68.03,64.61,67.25,68.51,65.97,63.22,70.47,66.29,63.81,65.56,66.9,66.15,62.43,62.79,63.0,64.64,59.48,62.54,62.04,62.86,60.7,58.41,61.95,59.61,60.75,61.55,59.21,57.21,61.94,59.92,58.43,60.91,59.78,63.94,61.88,63.96,60.7,62.24,64.62,66.79,65.52,62.15,63.0,61.25,62.34,61.24,62.29,60.73,61.39,63.32,61.92,62.18,60.76,60.76,63.21
7,Daging Sapi Murni,115.860,116.570,116.810,116.010,115.130,115.290,115.820,118.260,117.330,115.950,115.580,114.500,114.890,116.860,114.790,114.790,114.780,116.620,115.310,113.160,112.950,115.680,115.000,115.850,115.790,116.560,114.730,115.620,115.500,114.390,115.970,113.960,115.500,114.540,115.360,115.470,113.880,115.120,115.160,114.620,114.580,116.030,114.370,116.180,116.300,115.930,115.900,114.040,117.020,115.950,114.840,114.540,114.810,115.660,114.320,115.560,115.470,115.250,115.260,115.000,115.950,113.140,115.040,114.540,114.060,113.570,114.060,114.760,113.120,112.510,114.520,114.230,114.020,113.360,113.230,114.250,114.870,113.280,114.780,114.780,114.390,114.260,113.360,113.250,114.750,113.330,113.070,112.760,112.170,113.200,111.990,112.600,110.760,112.200,113.110,112.920,112.95,113.71,113.82,114.14,114.14,114.61,112.64,114.36,115.74,113.52,114.42,115.5,114.15,112.87,114.58,114.02,113.76,112.81,112.38,112.62,113.54,113.86,112.36,114.14,113.27,113.47,113.72,115.23,113.8,113.15,114.12,112.92,113.89,113.68,113.62,114.61,112.32,113.35,114.63,114.11,114.44,112.87,113.57,113.57,113.76,113.76,113.57,113.57,112.54,114.52,113.02,112.45,112.58,113.85,113.0
8,Daging Ayam Ras,43.500,44.600,43.660,43.980,43.310,45.160,46.620,44.880,44.650,45.180,45.840,47.220,45.900,46.670,46.770,45.730,45.810,44.710,46.840,45.080,46.110,43.900,44.160,44.900,46.010,44.980,45.070,45.090,44.610,44.180,45.810,44.510,46.820,45.870,46.230,45.550,44.250,45.950,45.270,44.360,44.200,44.470,44.270,44.730,44.610,44.830,45.490,45.750,46.500,44.070,44.730,45.390,44.370,43.970,45.060,44.130,43.270,43.250,43.980,44.380,43.940,43.850,45.970,44.100,43.800,43.840,44.090,44.490,43.900,43.610,43.300,44.300,43.020,42.260,43.430,42.680,43.830,43.100,41.910,41.690,41.290,42.260,41.830,42.880,40.820,41.560,42.550,42.320,42.280,41.540,42.690,41.410,41.720,41.640,41.750,42.810,42.61,42.62,41.92,41.79,41.51,41.42,40.79,40.99,42.03,41.11,42.29,42.46,41.29,42.28,43.72,42.7,41.4,40.27,41.32,41.77,41.74,42.06,42.78,41.57,41.37,41.86,41.95,40.98,42.28,43.37,42.62,40.26,40.49,40.5,41.04,42.09,41.96,40.53,41.23,41.82,42.77,40.59,40.66,41.54,40.68,41.98,41.67,40.83,41.02,42.2,41.54,41.64,41.63,42.05,42.0
9,Telur Ayam Ras,33.910,34.630,33.960,34.970,34.490,35.560,36.270,34.520,34.300,34.050,34.800,34.590,33.770,33.880,34.070,34.020,33.700,32.260,33.860,33.910,34.090,33.710,33.940,33.600,33.690,32.730,33.280,32.280,32.660,32.710,32.890,32.870,32.860,33.170,32.710,32.430,32.080,32.030,31.090,31.890,31.690,31.690,31.440,30.990,31.700,30.740,30.920,31.220,30.860,30.750,30.910,30.850,30.970,30.840,31.020,31.210,31.070,31.320,31.290,31.150,30.370,31.440,31.790,30.570,31.260,31.490,30.990,31.380,31.040,30.560,31.080,30.980,31.600,30.670,31.540,31.360,30.610,31.250,30.580,31.510,30.920,31.470,31.680,31.650,31.010,31.940,31.830,32.130,32.240,32.370,32.250,32.030,32.140,32.490,32.390,32.680,32.85,33.22,32.65,32.71,32.44,31.88,32.59,32.27,32.29,32.09,32.59,32.69,32.65,32.81,32.85,33.11,32.27,32.23,33.07,32.46,32.38,32.38,32.35,32.59,32.23,32.07,32.24,31.7,32.54,33.31,32.55,32.29,32.13,31.83,32.27,32.17,32.92,32.25,32.5,32.45,32.18,31.8,32.51,32.8,32.74,33.27,32.98,32.55,33.13,32.63,33.24,32.88,33.12,33.17,33.24
