,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,15.340,15.340,15.340,15.340,15.340,15.340,15.400,15.340,15.470,15.470,15.470,15.410,15.410,15.290,15.520,15.520,15.480,15.480,15.560,15.480,15.480,15.480,15.480,15.480,15.480,15.480,15.520,15.530,15.560,15.520,15.520,15.520,15.380,15.410,15.410,15.410,15.460,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.550,15.480,15.480,15.480,15.480,15.480,15.480,15.480,15.480,15.480,15.480,15.520,15.520,15.520,15.520,15.520,15.520,15.480,15.520,15.520,15.720,15.720,15.720,15.700,15.700,15.740,15.630,15.600,15.600,15.630,15.630,15.790,15.630,15.630,15.630,15.630,15.630,15.630,15.630,15.630,15.630,15.630,15.630,15.630,15.63,15.63,15.63,15.63,15.63,15.63,15.84,15.63,15.63,15.71,15.71,15.71,15.71,15.71,15.49,15.49,15.71,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.62,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.58,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61
1,Beras Medium,12.580,12.580,12.580,12.580,12.580,12.570,12.570,12.550,12.600,12.600,12.600,12.600,12.600,12.500,12.600,12.600,12.680,12.680,12.650,12.680,12.680,12.680,12.680,12.680,12.680,12.680,12.680,12.680,12.660,12.720,12.720,12.720,12.580,12.580,12.580,12.580,12.580,12.610,12.610,12.610,12.610,12.610,12.610,12.540,12.540,12.540,12.460,12.540,12.540,12.540,12.500,12.540,12.500,12.430,12.430,12.470,12.470,12.470,12.470,12.400,12.580,12.620,12.540,12.540,12.620,12.620,12.620,12.620,12.620,12.620,12.620,12.620,12.690,12.690,12.720,12.740,12.740,12.700,12.670,12.670,12.670,12.670,12.670,12.660,12.670,12.670,12.730,12.730,12.730,12.730,12.650,12.730,12.730,12.730,12.730,12.730,12.73,12.69,12.73,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.88,12.88,12.96,12.73,12.88,12.81,12.81,12.73,12.81,12.81,12.81,12.81,12.81,12.81,12.81,12.88,12.82,12.81,12.81,12.81,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.89,12.81,12.81,12.81,12.89,12.89,12.89,12.89,12.89,12.73,12.89,12.89,12.72
2,Kedelai Biji Kering (Impor),15.190,15.190,15.190,15.190,15.190,15.190,15.190,15.350,15.190,15.190,15.190,15.190,15.190,15.190,15.190,15.190,15.190,15.400,15.460,15.400,15.400,15.400,15.400,15.400,15.400,15.400,15.400,15.400,15.460,15.400,15.400,15.400,15.470,15.470,15.470,15.470,15.470,15.600,15.600,15.600,15.600,15.600,15.670,15.670,15.670,15.670,15.600,15.670,15.670,15.670,15.670,15.670,15.670,15.670,15.670,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.600,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.600,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.730,15.73,15.59,15.59,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.0,15.97,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.33,15.33,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.37,14.6,14.0,14.0,14.0,14.0,13.94,13.94,13.88,13.88,13.88,13.86,13.86,13.86,13.86
3,Bawang Merah,39.430,39.320,39.470,39.470,39.350,39.280,39.280,39.940,39.390,40.690,39.530,40.390,41.290,41.730,41.200,41.200,41.200,41.470,41.970,41.660,41.530,41.220,41.220,40.340,39.970,40.450,40.300,40.350,40.380,40.500,40.760,40.680,41.040,41.040,41.040,41.290,41.990,42.340,42.490,42.330,42.570,42.730,42.950,42.950,42.940,42.560,42.920,42.770,42.410,41.890,40.920,41.910,40.900,40.900,40.780,40.690,40.470,39.140,38.590,38.030,38.030,38.270,38.330,38.390,38.300,38.400,38.190,38.140,38.660,38.680,38.630,38.830,38.970,38.850,38.810,38.670,38.670,38.810,38.810,37.700,37.700,37.700,38.100,38.070,37.370,37.960,37.580,37.330,36.500,36.500,36.580,36.740,36.880,36.980,36.870,36.090,36.38,36.22,35.83,35.79,35.51,35.89,36.21,36.21,36.28,36.39,36.95,37.36,37.93,38.17,35.0,35.0,38.14,37.91,37.74,37.46,37.82,38.32,39.21,39.03,40.5,42.1,42.88,42.34,42.7,43.32,43.63,43.82,44.12,43.76,44.06,43.87,43.36,43.82,43.62,43.97,44.04,44.04,44.31,44.25,44.24,43.93,42.77,43.43,43.13,43.05,43.43,43.2,43.16,42.96,42.88
4,Bawang Putih Bonggol,29.190,29.190,29.190,29.190,29.510,29.370,29.370,30.260,29.370,29.240,29.240,29.580,29.690,30.130,29.660,29.660,29.660,29.340,29.290,29.340,29.200,28.920,28.920,29.430,29.210,29.210,29.210,29.210,29.400,29.590,29.590,29.440,29.590,29.590,29.510,29.750,30.150,29.530,30.230,30.230,30.120,30.120,30.250,30.230,30.230,30.230,30.230,30.230,30.130,30.610,30.610,30.910,30.990,30.920,30.790,30.950,31.050,31.120,31.050,31.360,31.280,31.360,31.580,32.060,32.720,33.270,33.340,33.510,33.510,33.570,33.810,33.810,33.810,33.810,33.960,33.960,34.040,34.110,34.040,34.320,33.730,33.730,33.810,33.560,33.440,33.910,33.970,33.900,33.270,33.270,33.650,33.640,33.570,33.790,33.990,33.610,33.76,33.68,33.79,33.67,33.8,33.87,33.84,34.16,34.17,34.57,34.19,34.72,34.64,35.09,34.5,32.95,35.08,34.94,35.02,34.76,34.76,34.97,35.36,35.36,35.77,37.02,36.81,36.57,36.81,37.33,37.4,37.05,37.25,37.41,37.65,37.64,37.43,37.65,37.5,38.09,38.24,38.31,38.38,38.24,38.38,38.15,37.87,37.65,37.85,37.92,38.0,37.93,37.93,37.87,37.66
5,Cabai Merah Keriting,53.540,52.550,51.710,53.120,53.810,54.590,54.590,56.040,54.530,53.500,52.490,51.500,51.590,52.250,50.200,50.760,50.760,49.900,48.070,48.840,48.220,49.460,49.460,49.090,49.220,47.750,47.890,47.750,45.720,46.970,47.130,47.250,48.000,48.200,48.200,48.200,46.730,48.740,48.740,49.380,49.400,49.330,50.620,51.490,50.670,50.300,50.630,51.110,52.040,51.840,51.380,50.940,50.870,51.160,50.440,50.270,51.010,52.570,54.060,54.490,54.830,56.630,56.790,57.260,61.360,61.550,62.340,61.550,61.880,61.920,62.490,63.140,61.850,62.850,60.670,59.970,60.570,59.650,59.990,61.940,63.290,63.030,62.480,63.250,60.580,58.930,60.440,60.170,58.550,58.610,57.910,55.740,56.160,56.280,56.710,58.150,57.4,57.79,57.49,56.82,57.25,57.74,56.93,56.6,56.79,58.21,58.22,59.56,64.05,71.36,66.33,60.28,68.38,69.25,68.33,66.99,67.31,64.72,63.59,63.25,60.6,60.4,60.25,57.67,59.39,58.0,57.54,56.06,55.8,56.18,56.26,55.25,55.94,55.71,57.62,58.02,59.32,59.32,59.32,58.87,58.18,58.08,58.46,59.39,59.08,58.74,58.98,59.61,59.35,57.87,58.1
6,Cabai Rawit Merah,70.240,71.610,71.610,72.730,72.710,73.400,73.170,75.870,73.150,72.370,69.130,71.350,71.350,70.390,69.060,67.710,66.350,66.120,63.550,65.930,64.930,64.060,63.270,62.290,63.680,62.980,62.980,62.980,60.780,62.280,61.690,60.860,61.800,61.640,61.870,61.920,60.820,61.810,62.520,61.350,62.120,62.400,64.620,64.760,65.160,66.930,66.500,67.420,67.420,66.550,67.810,69.450,70.590,71.380,72.620,73.030,75.090,74.700,74.590,75.990,75.340,74.870,74.020,74.910,77.190,77.860,77.990,79.460,79.610,81.210,81.040,81.880,81.550,81.150,81.360,82.050,82.250,79.990,79.900,79.590,78.270,78.090,76.390,77.240,75.390,74.080,73.120,69.970,67.600,66.180,65.740,62.140,63.070,61.070,60.620,60.140,59.76,59.51,59.01,58.01,58.01,58.11,58.07,58.62,58.18,58.31,59.3,62.11,66.67,72.37,73.48,71.9,70.66,69.22,65.36,63.45,61.03,61.31,59.89,59.89,58.62,57.37,56.65,54.91,56.87,56.47,56.02,55.02,54.12,54.12,53.9,55.92,55.98,55.74,56.64,56.04,57.26,58.14,59.29,59.73,59.69,59.69,59.23,60.17,60.17,58.57,58.32,59.07,58.63,58.01,57.01
7,Daging Sapi Murni,159.420,158.730,158.730,158.350,158.350,158.350,158.350,159.760,158.350,158.350,158.350,158.350,158.350,158.220,158.350,158.350,158.350,157.700,156.790,157.700,157.020,157.020,157.020,157.020,157.020,157.020,157.020,157.020,156.790,154.910,154.910,154.910,155.620,155.620,155.620,155.620,155.620,155.620,155.620,155.620,155.620,155.620,156.300,156.300,156.300,156.300,156.300,156.300,156.300,156.300,156.300,155.580,155.580,155.580,155.580,155.580,155.580,155.580,155.580,155.580,155.580,155.580,155.580,156.300,156.300,156.300,156.300,156.300,156.300,156.300,156.300,156.650,157.290,157.640,157.290,157.290,157.290,157.290,157.290,157.290,157.290,157.290,157.290,156.850,157.290,157.290,157.290,157.290,157.290,157.290,157.290,158.620,158.620,158.620,158.620,158.620,158.62,158.62,158.62,158.62,158.62,158.97,158.97,159.66,159.66,159.71,161.1,162.23,164.42,166.77,164.92,159.84,164.46,160.01,159.64,158.88,158.53,158.53,158.53,158.53,158.53,158.53,158.53,156.99,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88,157.88
8,Daging Ayam Ras,43.680,43.520,42.700,42.610,42.530,42.490,42.220,42.870,42.860,43.080,43.080,43.080,42.770,42.680,43.340,42.350,41.980,42.100,41.500,41.730,41.350,40.810,40.810,41.110,40.970,40.970,41.020,40.810,40.500,40.630,40.460,40.250,40.040,39.870,40.040,40.300,40.540,41.410,41.140,41.990,42.290,42.570,41.700,41.980,42.080,41.870,42.300,41.900,41.680,41.530,41.370,41.140,40.920,40.640,40.420,40.010,39.720,39.590,39.820,39.820,39.680,39.860,39.860,40.260,39.430,39.620,39.740,40.250,40.530,40.530,41.260,41.640,41.920,41.830,41.430,41.510,41.590,41.520,41.520,41.490,41.490,41.480,41.580,41.610,41.580,41.200,41.030,40.680,40.130,39.780,39.420,39.570,39.220,39.010,38.780,38.700,38.48,38.9,38.94,38.79,39.86,40.49,40.76,40.99,41.14,41.14,41.54,42.66,43.14,44.1,42.43,42.43,44.03,42.73,42.42,42.57,42.22,41.31,41.24,41.16,41.13,40.78,40.94,40.14,40.66,40.81,40.72,40.67,40.75,41.02,41.1,41.9,41.98,42.28,42.41,42.49,42.78,42.99,43.2,43.33,43.65,43.98,44.06,44.61,44.91,45.19,47.16,49.03,50.1,50.47,50.53
9,Telur Ayam Ras,31.460,31.460,31.500,31.600,31.600,31.670,31.730,31.560,31.920,31.920,31.920,31.920,31.920,32.000,31.740,31.740,31.680,31.680,31.730,31.470,31.370,31.290,31.170,31.090,31.090,31.090,31.090,31.090,31.030,31.030,31.090,31.030,31.100,30.950,30.800,30.800,31.420,30.590,30.590,30.590,30.520,30.590,30.590,30.590,30.590,30.670,30.660,30.590,30.590,30.450,30.450,30.450,30.520,30.450,30.380,30.380,30.380,30.460,30.460,30.460,30.460,30.460,30.380,30.520,30.450,30.450,30.600,30.600,30.600,30.670,30.670,30.810,31.160,31.270,31.340,31.340,31.370,31.520,31.520,31.740,31.740,31.670,31.740,31.530,31.810,31.810,31.960,31.960,31.960,31.960,32.100,32.100,32.030,31.900,31.900,31.900,31.83,31.83,31.96,31.75,31.75,31.68,31.68,31.73,31.8,31.93,31.93,31.93,31.93,31.93,33.99,31.93,31.8,31.71,31.66,31.66,31.39,31.46,31.46,31.53,31.59,31.51,31.51,31.4,31.51,31.51,31.51,31.59,31.36,31.71,31.71,31.79,31.79,31.9,31.97,32.33,32.33,32.33,32.33,32.33,32.55,32.49,32.34,32.41,32.48,32.48,32.7,32.7,32.74,32.74,32.77
