,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,14.330,14.330,14.330,14.330,14.280,14.330,14.330,14.330,14.330,14.330,14.330,14.330,14.330,14.350,14.360,14.360,14.360,14.360,14.390,14.360,14.360,14.360,14.320,14.360,14.360,14.360,14.390,14.360,14.390,14.360,14.390,14.360,14.390,14.390,14.420,14.340,14.390,14.460,14.550,14.460,14.460,14.460,14.460,14.460,14.450,14.490,14.530,14.490,14.490,14.490,14.490,14.560,14.560,14.560,14.560,14.560,14.560,14.580,14.580,14.600,14.580,14.480,14.580,14.580,14.580,14.550,14.580,14.620,14.590,14.620,14.630,14.620,14.620,14.670,14.690,14.690,14.690,14.690,14.690,14.710,14.680,14.710,14.680,14.680,14.680,14.720,14.720,14.720,14.720,14.720,14.720,14.790,14.790,14.790,14.780,14.79,14.79,14.79,14.79,14.82,14.77,14.8,14.8,14.77,14.8,14.8,14.82,14.81,14.81,14.81,14.650,14.8,14.66,14.84,14.81,14.81,14.8,14.81,14.84,14.81,14.78,14.79,14.79,14.86,14.83,14.82,14.83,14.81,14.83,14.81,14.8,14.82,14.83,14.83,14.85,14.96,14.83,14.83,14.85,14.9,14.9,14.93,14.97,14.93,14.97,14.91,14.95,14.93,14.93,14.93,15.010
1,Beras Medium,12.500,12.500,12.500,12.540,12.500,12.540,12.540,12.540,12.540,12.540,12.540,12.540,12.540,12.580,12.570,12.570,12.530,12.530,12.620,12.530,12.530,12.540,12.430,12.530,12.530,12.530,12.540,12.530,12.580,12.530,12.580,12.530,12.570,12.570,12.630,12.580,12.530,12.600,12.620,12.570,12.570,12.570,12.690,12.630,12.570,12.630,12.640,12.570,12.570,12.570,12.570,12.600,12.580,12.580,12.580,12.580,12.580,12.580,12.620,12.610,12.620,12.590,12.620,12.620,12.620,12.590,12.620,12.620,12.590,12.620,12.630,12.620,12.620,12.560,12.620,12.620,12.620,12.580,12.620,12.630,12.600,12.620,12.560,12.560,12.560,12.590,12.620,12.620,12.620,12.650,12.620,12.690,12.690,12.710,12.690,12.71,12.71,12.71,12.71,12.81,12.71,12.71,12.71,12.71,12.71,12.71,12.73,12.71,12.71,12.71,12.350,12.77,12.89,12.8,12.7,12.74,12.69,12.78,12.72,12.74,12.74,12.74,12.74,12.71,12.77,12.76,12.74,12.77,12.77,12.77,12.78,12.82,12.8,12.8,12.98,12.85,12.83,12.83,12.83,12.8,12.83,12.87,12.92,12.91,12.92,12.89,12.91,12.91,12.91,12.91,13.050
2,Kedelai Biji Kering (Impor),15.710,15.780,15.780,15.780,15.760,15.780,15.780,15.780,15.780,15.780,15.940,15.940,15.940,15.860,15.940,15.940,15.940,15.940,15.940,15.940,15.940,15.940,16.030,15.940,15.940,15.940,15.940,15.940,15.860,15.940,15.860,15.940,15.980,15.940,16.190,16.190,16.060,16.060,16.200,16.020,16.290,16.140,16.210,16.210,16.160,16.210,16.070,16.140,16.140,16.140,16.140,16.120,16.120,16.120,16.120,16.200,16.120,16.120,16.120,15.970,16.200,16.390,16.200,16.120,16.120,16.130,16.120,16.120,16.130,16.120,15.970,16.120,16.120,16.050,16.120,16.120,16.120,16.040,16.040,16.040,16.040,15.970,15.970,15.970,16.050,16.050,16.050,16.050,16.050,16.050,16.050,16.050,16.050,15.860,15.770,15.86,15.86,15.78,15.78,15.77,15.7,15.82,15.82,15.7,15.82,15.82,15.89,15.82,15.82,15.82,16.490,16.32,15.7,15.81,15.82,15.82,15.73,15.82,15.89,15.82,15.82,15.82,15.82,15.82,15.82,15.81,15.75,15.67,13.16,13.02,13.07,13.22,13.21,13.15,13.16,13.31,12.93,12.96,13.21,12.96,12.75,12.75,12.76,12.77,12.68,12.8,12.73,12.73,12.73,12.71,12.680
3,Bawang Merah,42.040,41.890,42.640,42.530,42.510,44.310,44.350,44.610,44.730,45.430,44.220,45.760,45.270,45.860,47.270,47.760,47.220,47.220,47.440,47.190,47.130,47.130,45.980,47.060,46.060,46.060,47.140,46.200,46.820,45.540,44.360,44.410,44.690,44.500,44.600,44.020,44.330,43.940,43.230,42.710,42.180,41.970,41.070,40.630,40.140,40.330,40.320,40.000,39.440,39.730,39.370,38.950,38.600,38.470,38.650,38.330,38.040,37.960,38.160,37.440,37.670,37.290,37.330,37.200,37.250,37.240,37.800,37.830,36.680,37.250,38.730,37.900,37.980,37.210,36.910,37.720,37.640,37.560,37.400,37.690,36.820,37.540,37.590,37.460,36.960,37.340,37.160,36.730,37.020,37.170,37.030,36.880,36.580,37.070,36.650,36.6,36.99,37.19,36.91,37.32,36.98,36.87,36.87,36.89,36.52,36.52,36.98,36.62,36.62,36.76,37.420,36.33,35.83,36.85,36.76,37.41,37.16,37.36,37.06,36.91,36.78,36.43,36.89,37.05,37.21,37.56,37.3,37.0,36.69,36.68,36.3,37.01,36.5,36.8,36.95,36.72,37.13,37.04,37.19,37.85,38.14,38.28,38.39,38.29,38.54,38.34,38.17,38.61,38.45,38.7,39.730
4,Bawang Putih Bonggol,25.190,25.380,25.380,25.380,25.260,25.380,25.260,25.420,25.420,25.610,25.690,25.750,26.110,26.340,26.330,26.870,27.000,27.000,26.950,27.100,28.280,27.130,26.800,26.770,27.280,27.570,27.610,27.500,27.620,27.230,27.160,27.080,27.380,27.240,27.020,27.790,27.610,27.310,27.360,27.470,27.330,26.990,27.210,27.370,27.290,26.810,27.010,26.880,26.670,26.800,26.530,26.740,26.740,26.890,27.030,27.030,27.110,27.030,27.030,27.300,27.480,27.440,27.480,27.750,27.960,28.090,28.080,28.390,29.250,29.160,29.030,29.110,29.180,28.870,29.090,29.090,29.090,29.240,29.240,29.780,29.770,29.650,29.750,29.460,29.460,29.600,29.340,29.380,28.900,29.330,29.330,29.160,29.160,29.230,28.080,29.47,28.36,29.09,29.36,29.7,29.49,29.42,29.27,29.49,29.41,29.41,29.37,29.36,29.49,29.49,29.130,28.05,30.55,29.58,29.31,29.45,29.74,29.77,29.68,30.06,29.57,29.76,29.75,29.98,30.05,30.21,28.37,30.98,31.61,31.98,32.88,33.95,34.09,35.5,36.8,36.92,37.34,37.26,38.29,37.54,37.54,37.24,37.63,36.93,37.62,37.35,37.65,37.1,37.33,37.18,39.320
5,Cabai Merah Keriting,61.240,62.280,58.340,56.780,56.150,55.160,56.500,56.240,55.510,55.090,55.100,53.060,54.430,54.930,54.750,53.520,50.650,49.500,48.600,50.050,50.280,52.190,50.780,49.870,52.040,51.750,53.330,53.030,52.930,51.620,52.220,51.530,51.100,52.610,55.610,53.430,54.860,53.750,52.870,54.650,54.750,55.110,54.790,52.680,51.050,51.900,50.620,50.290,52.010,52.070,51.680,52.670,51.880,52.280,54.360,56.490,55.580,54.430,55.390,54.340,57.810,57.500,56.930,57.400,61.090,58.490,60.720,59.900,63.040,65.470,64.320,60.950,59.620,58.150,61.570,65.410,64.560,64.060,63.280,64.600,63.330,64.270,64.150,62.240,61.530,60.780,59.840,57.480,56.980,56.640,56.360,51.650,53.320,51.730,49.790,51.45,53.36,52.13,51.79,54.34,51.44,50.12,51.65,51.06,50.84,51.54,57.15,53.67,53.77,54.29,48.470,54.13,53.41,56.25,54.05,53.58,50.64,50.81,50.97,49.69,50.21,50.81,52.28,50.55,49.28,49.09,48.38,45.6,46.24,46.63,44.95,46.62,45.47,47.61,45.97,46.46,49.01,49.2,47.79,48.98,49.47,49.07,47.65,48.15,46.16,46.85,45.5,48.51,48.93,49.34,51.690
6,Cabai Rawit Merah,73.780,74.790,75.570,77.310,77.610,76.040,74.690,74.850,76.210,75.480,75.590,78.800,79.170,81.460,79.300,78.870,78.570,79.110,79.450,77.620,79.410,79.930,77.950,78.400,77.390,73.880,77.990,77.780,75.790,72.730,71.480,74.540,75.430,72.270,73.470,70.850,72.320,73.110,75.350,75.340,76.330,76.010,75.400,76.060,75.700,74.130,73.500,72.330,73.020,72.980,72.220,74.380,73.680,73.180,72.350,73.130,73.400,73.620,73.620,72.560,73.670,73.720,73.270,76.320,81.130,82.500,82.770,85.280,86.440,87.270,88.440,88.030,88.090,85.870,86.380,89.230,89.050,86.510,87.510,83.430,82.430,82.650,81.070,81.410,79.050,79.050,77.860,73.670,73.000,72.470,71.400,65.950,64.610,64.500,62.720,63.98,63.77,62.32,63.67,65.34,61.41,61.66,62.37,62.34,64.94,64.67,65.85,64.54,65.1,65.64,65.330,64.71,61.72,66.52,64.13,62.16,57.4,60.93,59.62,59.47,62.03,61.62,62.54,61.88,58.77,59.57,59.2,58.13,58.7,58.69,56.64,57.46,56.95,54.53,57.59,54.51,57.85,58.85,57.35,57.43,58.26,58.56,55.91,56.31,54.84,56.93,56.61,58.79,59.22,59.59,58.840
7,Daging Sapi Murni,154.770,154.770,154.770,154.420,153.650,154.770,154.770,154.770,154.770,154.770,154.770,154.770,154.770,155.140,154.770,154.770,154.770,154.770,155.560,154.050,154.050,154.050,153.980,154.770,154.770,154.770,154.370,154.770,155.140,154.770,155.140,154.770,154.770,153.680,153.920,153.210,154.350,154.350,154.100,153.680,153.680,153.680,153.680,153.680,152.700,153.910,154.370,154.050,154.050,154.050,153.680,154.050,154.050,154.050,154.050,154.050,154.050,154.050,154.050,153.520,154.050,154.370,154.050,154.050,154.770,153.650,154.770,154.770,153.650,154.770,155.140,154.770,154.770,154.010,154.770,154.770,154.770,155.130,155.130,155.490,154.430,155.490,155.850,156.200,155.480,155.480,155.480,155.830,155.830,155.480,155.480,155.140,155.140,155.520,154.750,154.36,155.91,155.91,156.64,156.99,154.95,157.38,158.12,156.38,159.27,161.73,161.85,162.06,164.41,166.16,175.000,162.77,160.55,160.54,160.5,159.41,157.88,158.38,158.26,158.38,158.38,158.38,158.38,158.38,157.7,157.52,156.97,156.97,156.97,156.97,156.01,157.91,157.33,157.33,156.29,156.83,156.55,158.4,157.91,158.4,158.4,158.4,157.91,158.4,157.91,157.34,156.94,158.4,158.28,158.28,156.800
8,Daging Ayam Ras,44.010,44.480,44.400,44.330,44.050,43.780,43.420,43.860,43.860,43.610,43.460,43.850,43.850,43.600,43.480,43.200,42.970,42.840,42.760,42.930,42.770,42.690,42.110,41.960,42.080,41.970,42.960,41.600,41.410,41.150,41.160,40.840,41.050,41.050,40.620,40.190,40.680,40.890,40.690,40.910,40.990,41.030,41.030,41.050,40.670,41.510,41.680,41.700,41.780,41.610,41.700,41.860,41.780,41.590,41.550,41.440,41.440,41.500,41.570,41.320,41.250,41.410,41.230,41.050,41.040,40.230,40.740,40.740,40.220,40.920,40.720,41.080,41.080,41.240,40.790,40.950,40.950,40.600,40.440,40.870,40.760,41.150,41.010,40.820,40.330,40.030,39.950,39.860,39.510,39.540,39.550,39.400,39.250,38.790,38.630,38.81,39.56,39.76,39.74,40.38,41.49,40.1,40.24,41.8,40.45,41.3,42.0,42.42,42.92,43.08,45.000,39.36,45.54,42.82,42.46,41.83,42.39,42.06,41.6,41.71,42.05,41.83,42.05,41.63,41.5,42.74,41.09,41.17,41.03,41.02,40.55,42.58,40.99,41.36,41.2,40.42,41.83,41.75,42.27,42.1,42.22,42.37,42.64,42.63,42.89,43.56,43.81,44.2,44.74,43.78,46.870
9,Telur Ayam Ras,33.200,33.090,32.870,32.740,32.630,32.430,32.430,32.130,32.130,32.050,32.350,32.350,32.620,32.690,32.640,32.650,32.540,32.290,32.390,32.290,32.290,32.120,32.050,31.970,31.760,31.760,31.780,31.760,31.900,31.690,31.830,31.700,31.700,31.700,31.750,31.650,31.820,31.820,31.830,31.660,31.720,31.580,31.420,31.310,31.380,31.160,31.180,31.020,31.020,30.940,30.870,30.870,31.040,30.920,30.920,30.920,30.850,30.740,30.770,30.890,30.960,30.880,30.880,30.840,30.990,30.830,30.910,30.990,30.910,30.910,30.710,30.580,30.580,30.530,30.650,30.730,30.810,30.810,31.130,31.130,31.070,31.250,31.250,31.140,31.560,31.780,31.890,31.860,31.940,32.010,32.010,32.010,32.010,32.290,32.290,32.39,32.69,32.69,32.61,33.01,32.82,33.1,33.16,33.49,33.44,33.51,33.75,33.37,34.17,34.18,32.620,33.99,34.85,33.96,33.53,33.18,32.76,32.87,32.74,32.39,32.45,32.35,32.26,32.26,32.26,32.35,32.04,31.96,31.94,32.2,32.02,32.26,32.17,31.92,32.07,31.74,32.33,32.29,32.48,32.52,32.41,32.52,32.56,32.6,32.84,32.94,32.67,32.87,32.87,32.87,33.280
