Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,16.360,16.960,17.030,17.160,17.550,17.880,17.590,20.000,17.630,17.570,17.660,17.460,17.660,17.660,17.700,17.660,17.920,17.660,17.700,17.660,17.660,17.920,17.460,17.660,17.660,17.230,17.660,17.700,17.730,17.320,17.800,17.370,17.300,17.250,17.670,17.450,17.350,17.460,17.460,17.440,17.260,17.800,17.440,17.400,17.460,17.220,17.220,17.500,17.990,17.500,17.460,17.460,17.270,17.380,17.460,17.600,17.460,17.320,17.510,17.510,17.090,17.550,17.510,17.510,17.510,17.490,17.510,17.510,17.510,17.510,17.490,17.300,17.300,17.250,17.440,17.440,17.250,17.490,17.490,17.490,17.720,17.370,17.470,17.280,17.470,17.280,17.280,17.470,17.470,17.530,17.490,17.490,17.300,17.300,17.420,17.200,17.42,17.42,17.42,17.38,17.38,17.42,17.42,17.42,17.22,17.38,17.38,17.33,17.38,17.81,17.68,17.92,16.99,17.5,17.38,17.6,17.6,17.38,17.6,17.38,17.38,17.38,18.2,17.38,17.18,17.79,17.7,17.38,17.81,17.81,17.38,16.84,17.55,17.36,17.31,17.73,17.36,17.31,17.31,16.62,17.29,17.08,17.28,17.34,17.89,17.63,17.32,18.23,18.04,17.73,18.1
Beras Medium,12.930,12.870,12.870,12.900,13.080,13.080,13.050,14.000,12.890,12.810,12.850,12.880,12.890,12.890,12.890,12.890,12.830,12.890,12.890,12.890,12.890,12.830,12.790,12.890,12.890,12.820,12.890,12.890,13.000,12.900,13.120,12.940,13.050,12.940,12.850,12.830,12.900,12.830,12.900,12.780,12.960,13.000,12.980,12.980,12.980,12.860,12.780,12.870,13.160,12.860,12.860,12.860,12.890,12.770,12.790,13.130,12.770,12.800,12.770,12.700,12.700,12.750,12.750,12.750,12.770,12.770,12.770,12.770,12.770,12.770,12.770,12.900,12.910,12.900,12.770,12.750,12.790,12.780,12.780,12.780,12.680,12.680,12.760,12.800,12.760,12.890,12.800,12.760,12.780,12.700,12.780,12.780,12.680,12.910,12.780,12.590,12.78,12.78,12.78,12.74,12.74,12.78,12.78,12.78,12.91,12.74,12.74,12.64,12.74,12.94,13.59,12.85,12.82,12.96,12.67,12.68,12.68,12.82,12.81,12.75,12.7,12.7,13.12,12.7,12.71,12.75,12.95,12.7,12.85,12.8,12.79,12.84,12.7,12.89,12.59,12.83,12.71,12.68,12.68,12.54,12.68,12.58,12.68,12.58,12.86,12.57,12.68,12.81,12.85,12.67,12.9
Kedelai Biji Kering (Impor),15.880,15.670,15.670,15.670,15.900,15.900,15.640,18.000,15.650,15.960,15.710,15.650,15.780,15.780,15.780,15.780,15.880,15.900,15.900,15.900,15.900,15.880,15.900,15.900,15.900,15.900,15.900,15.900,16.220,15.680,15.640,15.680,15.910,15.680,15.640,15.680,15.710,15.680,15.580,15.470,15.680,15.640,15.680,15.470,15.470,15.180,15.470,15.470,15.460,15.680,14.740,15.370,15.660,15.470,14.840,15.610,15.470,15.470,15.470,15.470,15.660,15.520,15.220,15.470,15.470,15.470,15.470,15.470,15.470,15.470,15.470,15.660,15.660,15.470,15.470,15.470,14.840,14.840,15.350,15.350,15.270,15.390,15.350,15.350,15.350,15.520,15.330,14.720,15.350,15.270,15.350,15.350,15.230,15.390,15.230,15.230,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.39,15.34,15.34,15.52,15.34,15.38,14.64,15.38,14.97,14.9,15.34,15.26,15.26,15.34,15.52,15.29,15.34,15.26,15.3,15.23,15.23,15.45,14.52,14.56,14.51,14.67,14.45,14.47,14.39,14.47,14.5,14.54,14.33,14.81,14.5,15.14,14.44,14.55,14.5,14.51,14.05,14.27,14.51,14.25,13.99,14.13,13.97
Bawang Merah,35.120,35.030,34.730,35.270,34.910,35.410,35.000,40.000,38.050,38.720,39.920,39.490,40.780,40.420,39.820,39.690,39.550,38.840,38.540,37.870,37.530,37.160,36.660,36.380,37.010,37.030,37.850,37.850,37.610,37.690,37.590,37.620,38.070,38.040,38.460,38.700,39.510,40.800,41.010,41.430,41.550,40.050,40.930,41.300,40.980,40.900,40.450,40.620,40.390,40.610,39.800,38.880,36.660,36.540,36.980,36.830,34.830,33.950,33.950,33.580,32.560,32.910,32.660,32.930,33.120,32.830,32.760,33.040,33.090,33.170,32.290,33.050,33.340,33.060,33.060,33.060,32.590,31.840,31.810,32.250,31.250,31.520,31.060,30.360,30.720,30.710,31.060,31.160,30.980,29.780,30.320,30.260,30.900,30.820,30.890,30.870,30.82,30.79,30.63,30.85,30.76,31.05,30.86,30.86,31.34,31.88,32.26,32.04,32.3,32.84,33.31,33.46,33.69,33.14,33.25,34.12,34.5,34.61,34.44,35.86,38.72,39.09,40.12,39.98,39.56,40.65,40.9,41.02,42.56,43.58,42.6,42.81,42.06,43.42,42.6,43.07,41.99,41.91,41.96,41.61,41.87,40.73,41.78,41.69,42.21,40.45,41.39,39.82,39.12,39.3,38.87
Bawang Putih Bonggol,25.750,25.730,25.000,25.380,24.650,24.510,24.240,30.000,24.920,24.920,25.240,25.110,25.100,25.260,25.430,25.410,25.830,25.920,26.010,25.540,25.620,25.680,26.050,25.960,25.960,26.060,25.960,25.960,25.670,25.940,25.870,25.880,26.670,26.270,26.570,26.400,26.430,26.480,26.550,26.540,26.580,26.100,26.630,26.630,26.410,26.350,26.280,26.690,26.610,27.160,27.470,27.550,27.960,28.190,28.270,28.520,28.360,27.990,28.280,28.350,28.520,28.690,28.590,28.510,29.070,29.740,29.540,30.580,30.740,30.600,31.270,31.530,31.480,31.340,31.360,31.910,31.590,31.530,31.740,31.910,31.520,31.890,31.680,30.780,30.770,31.090,31.380,31.140,31.050,30.360,31.220,31.420,30.540,31.110,30.700,30.830,30.85,30.7,30.16,30.36,30.54,30.73,30.56,30.73,30.88,30.88,31.06,30.94,30.84,31.41,31.94,31.87,31.78,31.22,31.75,32.29,32.23,32.29,31.96,32.51,33.76,33.59,34.48,34.02,33.78,35.03,34.77,35.02,35.88,37.1,36.09,36.05,36.07,36.81,36.11,35.94,36.27,37.06,36.62,36.03,36.54,36.42,36.93,36.05,36.06,35.87,36.03,35.61,35.33,35.65,35.86
Cabai Merah Keriting,28.600,29.850,29.380,29.910,25.790,26.680,26.920,30.000,28.590,29.030,28.160,29.910,27.600,27.600,26.340,27.580,25.700,25.560,24.950,25.090,25.420,23.930,24.910,24.090,24.460,25.170,25.530,25.200,23.430,22.980,23.050,24.870,25.390,26.520,25.810,27.100,28.910,29.810,32.390,30.160,32.390,31.090,30.610,32.060,32.200,31.570,31.310,33.170,33.920,31.320,32.600,31.540,33.440,33.000,32.900,34.680,34.510,35.930,34.750,36.480,39.880,39.280,38.430,39.390,41.330,43.840,43.390,45.350,45.160,44.860,46.010,47.260,45.990,44.860,44.680,44.460,44.700,43.370,45.060,44.420,44.080,43.240,42.640,45.730,43.500,47.510,45.660,43.420,43.250,43.780,42.000,41.400,41.680,41.570,43.010,43.220,41.47,42.87,40.39,41.8,43.89,45.03,44.93,44.93,44.92,47.95,50.1,48.93,50.02,52.84,54.2,52.04,51.59,50.93,53.14,52.86,51.53,50.73,49.93,45.96,45.81,45.27,46.79,45.64,47.42,45.51,46.19,46.1,48.02,47.87,47.45,47.55,48.24,53.37,51.04,53.42,52.48,50.11,50.98,54.78,51.53,54.03,53.39,53.32,53.69,53.16,52.99,50.27,50.23,50.21,49.47
Cabai Rawit Merah,52.990,57.540,56.900,58.810,60.920,60.740,60.310,60.000,58.250,59.650,57.420,59.400,59.830,60.070,58.580,58.350,57.480,56.440,56.440,56.940,55.540,53.490,52.080,50.630,52.120,51.360,51.940,52.230,49.950,56.070,55.330,54.910,52.290,53.040,51.380,53.330,56.080,57.350,52.940,55.910,58.060,56.690,53.690,53.060,57.590,59.470,53.340,58.060,60.220,59.590,61.870,63.160,64.820,65.950,65.910,66.650,65.810,68.720,66.680,67.760,64.130,66.850,65.160,66.590,66.730,66.020,66.480,68.130,71.020,70.480,72.410,70.490,69.310,68.880,69.990,69.220,71.470,70.130,68.790,67.500,64.990,63.990,63.630,65.170,63.940,63.500,64.280,58.230,57.870,57.500,54.870,53.820,49.990,47.680,49.730,50.770,51.09,52.27,49.07,46.73,51.85,50.09,49.78,48.43,46.26,46.98,50.36,51.58,55.57,59.92,66.94,61.95,58.93,57.1,54.48,50.41,49.61,50.73,49.37,49.48,50.95,48.45,51.56,49.4,51.89,51.37,47.79,48.74,50.24,49.01,48.41,47.63,48.87,49.51,52.29,52.3,51.49,49.98,49.13,46.5,50.89,53.18,53.64,43.6,49.29,48.8,47.96,49.76,45.67,47.32,48.56
Daging Sapi Murni,144.720,148.400,147.600,148.400,148.700,148.700,150.120,165.000,149.510,150.430,150.430,151.420,150.380,150.380,150.380,150.380,150.500,149.600,150.030,150.030,150.420,150.920,148.750,150.030,150.030,149.660,150.420,150.420,150.060,151.150,151.240,150.740,150.430,152.120,152.060,151.500,153.450,151.500,151.150,150.060,151.670,151.670,150.740,150.740,151.120,151.270,150.510,152.280,154.030,151.890,151.530,151.920,151.270,151.920,151.920,151.910,152.370,154.330,152.370,151.970,149.720,153.290,151.970,152.780,151.970,152.370,152.780,151.970,151.970,151.970,152.400,151.750,151.760,150.980,151.970,151.560,153.440,152.780,152.680,152.270,151.640,152.510,152.680,153.340,152.680,152.510,153.800,152.270,152.270,153.010,152.290,153.490,152.160,152.930,153.460,153.240,153.81,153.81,153.81,153.46,153.1,154.28,153.46,153.82,153.31,154.5,155.33,155.79,158.4,156.64,162.58,156.33,158.24,157.4,156.59,155.87,154.71,155.11,155.09,155.11,155.45,154.7,155.19,154.7,155.99,153.32,155.99,154.26,153.4,153.4,154.7,155.63,153.31,155.2,153.88,153.87,155.63,154.7,154.7,152.86,154.7,154.26,155.09,152.91,155.2,156.2,152.4,153.87,153.32,155.11,155.99
Daging Ayam Ras,32.280,34.040,33.620,34.180,34.450,34.660,33.610,40.000,36.090,35.860,35.520,35.630,35.410,35.120,35.210,34.280,35.270,34.550,34.130,34.100,34.330,35.080,33.730,33.870,34.340,33.780,34.200,33.930,33.850,32.770,32.190,32.070,31.430,31.870,32.220,32.130,32.160,33.050,33.810,35.400,34.780,36.220,35.090,35.950,38.140,38.020,37.610,37.240,37.480,36.880,36.630,34.610,33.460,33.840,33.780,33.780,33.210,32.710,32.840,33.330,31.670,32.310,32.690,31.930,32.190,33.060,33.020,33.190,32.780,33.340,33.330,33.300,33.760,33.890,34.470,34.790,34.430,33.960,34.230,33.870,34.520,34.820,34.260,33.590,32.660,31.280,31.970,32.100,31.930,31.580,31.350,31.340,29.910,29.810,29.570,29.510,29.32,29.53,30.39,30.53,31.23,31.27,31.36,31.41,30.81,32.17,32.52,32.91,33.82,34.56,35.38,36.0,33.77,35.72,34.03,35.08,35.15,34.4,34.25,33.92,33.43,33.18,32.54,32.04,32.09,31.37,33.27,32.61,32.15,32.35,33.58,32.23,34.56,34.07,35.14,35.3,35.93,35.68,36.06,32.28,36.24,35.92,36.99,37.76,36.45,37.83,35.89,37.15,39.26,38.8,38.78
Telur Ayam Ras,30.490,30.300,30.300,30.300,30.280,30.280,30.040,30.000,30.120,30.120,30.120,29.950,30.160,30.080,30.080,29.990,29.900,29.830,30.490,29.740,29.740,29.630,29.630,29.570,29.570,29.390,29.490,29.400,29.690,29.450,29.410,29.450,29.490,29.240,29.320,29.300,29.320,29.220,28.870,29.030,28.860,29.110,28.950,28.860,28.760,28.820,28.900,28.910,28.890,28.680,28.640,28.870,28.610,28.720,28.640,28.620,28.600,28.490,28.450,28.520,28.710,28.530,29.200,28.680,28.680,28.760,28.760,29.560,28.910,28.990,28.990,29.160,29.240,29.490,28.930,30.070,29.730,29.990,30.220,30.220,30.080,30.200,30.180,30.200,30.220,30.490,30.490,30.380,30.300,30.180,30.300,30.230,30.410,30.440,30.300,30.270,30.38,30.3,30.86,30.45,30.45,30.37,30.3,30.23,30.33,30.3,30.3,30.24,30.38,30.41,30.59,30.44,30.44,30.36,30.3,30.24,30.24,30.38,30.41,30.3,30.15,30.23,30.36,29.8,30.16,30.08,30.24,30.23,30.24,30.24,30.23,30.36,30.41,30.89,30.68,30.66,30.72,30.76,30.91,31.36,31.18,30.99,31.15,31.62,31.7,31.09,31.54,31.24,31.26,31.3,31.41
