,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,13.820,13.600,13.690,13.870,13.880,14.050,14.540,13.680,14.070,13.940,13.940,13.940,14.180,14.110,14.370,14.430,14.430,14.480,14.300,13.960,14.270,14.200,14.430,14.430,14.230,14.180,14.230,13.930,14.170,14.260,14.130,14.310,14.350,14.100,14.500,14.530,14.460,14.510,14.600,14.510,14.720,14.740,14.760,14.970,14.920,14.810,14.970,14.970,15.030,14.970,14.970,15.010,14.990,14.870,15.130,14.690,15.020,14.980,15.080,15.150,14.990,14.810,15.090,14.980,15.140,14.920,15.150,15.130,15.180,15.160,15.140,15.140,15.220,15.060,15.160,15.200,15.400,15.100,15.190,15.190,15.140,15.220,15.110,15.280,15.430,15.340,15.380,15.380,15.380,15.420,15.360,15.450,15.440,15.390,15.440,15.430,15.37,15.4,15.4,15.4,15.37,15.51,15.4,15.4,15.33,15.47,15.37,15.31,15.35,15.45,-,14.99,15.29,15.34,15.08,15.21,15.19,15.19,15.11,15.24,15.24,15.24,15.33,15.24,15.26,15.09,15.09,15.1,15.11,15.19,15.03,15.11,15.19,15.14,15.14,15.15,15.14,15.14,15.17,15.17,15.11,15.12,15.11,15.11,15.27,15.0,15.16,15.13,15.01,15.15,14.62
1,Beras Medium,12.360,12.050,12.150,12.130,12.310,12.490,12.760,12.130,12.550,12.440,12.440,12.450,12.600,12.450,12.690,12.650,12.650,12.670,12.510,12.330,12.510,12.440,12.650,12.690,12.660,12.730,12.630,12.510,12.790,12.750,12.590,12.760,12.760,12.730,12.760,12.590,12.840,12.880,12.930,12.970,13.160,13.050,13.160,13.260,13.150,13.050,13.170,13.190,13.380,13.170,13.170,13.250,13.270,13.220,13.430,13.000,13.270,13.350,13.270,13.300,13.200,13.200,13.240,13.200,13.270,13.170,13.290,13.370,13.270,13.490,13.290,13.290,13.440,13.140,13.240,13.290,13.550,13.100,13.230,13.310,13.300,13.290,13.330,13.370,13.500,13.480,13.520,13.490,13.490,13.500,13.520,13.620,13.620,13.500,13.570,13.560,13.45,13.51,13.5,13.51,13.5,13.66,13.55,13.54,13.49,13.5,13.55,13.55,13.55,13.58,-,13.45,13.53,13.42,13.39,13.5,13.45,13.44,13.43,13.46,13.45,13.44,13.53,13.45,13.5,13.39,13.39,13.39,13.4,13.47,13.34,13.4,13.34,13.47,13.47,13.42,13.4,13.4,13.47,13.47,13.42,13.47,13.42,13.42,13.53,13.4,13.53,13.52,13.39,13.44,13.17
2,Kedelai Biji Kering (Impor),14.650,15.670,15.750,15.920,15.020,15.260,15.790,15.350,15.580,15.720,15.610,15.650,15.580,15.490,15.570,15.690,15.770,15.780,15.780,15.910,15.690,15.560,15.120,15.150,15.810,15.910,15.810,15.660,15.800,15.790,15.890,15.890,15.310,15.660,16.100,15.690,15.690,14.960,15.790,15.360,15.780,14.690,15.920,15.040,15.770,15.400,15.680,15.640,16.030,15.840,15.780,15.550,15.360,14.760,15.600,15.160,15.200,14.170,15.200,15.080,15.200,15.160,15.270,15.160,15.650,15.710,15.530,14.930,16.040,15.650,16.130,15.880,16.070,15.730,16.040,15.870,16.220,15.360,15.790,15.220,15.650,15.980,15.190,15.900,15.780,15.060,15.060,14.940,15.420,14.770,14.940,15.210,15.370,14.510,15.140,14.660,14.77,14.87,14.23,14.54,14.34,14.34,14.54,14.54,14.54,15.23,14.93,15.43,15.44,15.18,-,14.75,15.35,14.87,15.08,15.42,14.95,14.98,15.46,15.13,15.13,15.12,15.06,15.11,15.44,14.96,14.96,15.26,15.06,15.44,14.89,14.85,14.87,15.22,15.22,14.54,14.79,14.79,15.31,15.3,14.89,15.29,14.89,14.92,15.16,14.75,14.99,14.71,14.97,14.81,15.78
3,Bawang Merah,40.900,40.120,38.530,38.010,39.750,41.290,39.570,42.280,41.380,41.240,40.810,40.690,41.400,40.920,40.810,41.600,41.960,41.600,40.840,40.840,41.280,40.050,41.480,41.690,41.570,41.980,42.270,41.830,42.030,41.120,41.210,41.740,41.040,42.530,42.010,41.720,41.640,41.420,41.000,41.040,41.130,41.210,43.640,43.260,43.510,42.620,42.330,42.480,41.940,42.480,42.440,41.960,41.580,40.150,42.370,38.520,39.680,39.280,38.380,38.280,36.970,38.030,38.740,39.040,38.540,37.330,37.880,37.240,37.170,41.280,37.680,37.510,37.960,35.970,36.760,37.420,38.940,35.780,36.230,34.950,35.140,35.240,36.160,35.680,37.630,35.690,35.340,35.410,35.670,36.100,35.820,36.020,36.230,35.990,37.300,37.710,37.58,37.95,37.61,37.0,37.13,37.56,37.16,36.74,36.18,37.53,37.4,38.18,38.58,41.71,-,39.89,40.14,39.61,39.64,39.16,41.0,40.77,40.71,42.49,42.84,43.34,44.14,43.38,44.04,44.03,44.03,42.58,44.28,43.49,44.52,44.34,43.78,43.87,43.87,43.78,44.43,43.63,42.69,42.69,43.83,43.4,41.96,42.78,42.54,42.14,44.25,41.83,42.63,41.42,40.97
4,Bawang Putih Bonggol,29.710,27.600,27.780,27.270,29.140,29.870,30.220,27.710,29.850,29.410,28.760,29.320,29.950,29.320,30.660,30.420,30.460,30.510,29.010,28.460,29.000,29.160,29.970,29.900,30.890,31.540,31.000,29.970,31.430,31.280,29.540,31.020,30.790,30.940,31.530,31.020,31.360,30.720,30.800,30.800,30.780,29.330,31.050,31.100,31.240,31.020,32.200,31.230,31.520,32.700,31.910,32.730,32.180,30.560,32.730,31.000,33.180,32.400,32.900,33.070,30.570,32.530,32.640,32.870,33.260,31.210,33.510,32.020,32.780,33.250,33.100,33.340,33.650,32.990,34.150,34.110,34.610,34.360,33.410,35.030,35.490,35.670,34.920,34.720,35.240,34.960,34.880,34.700,34.630,34.190,33.960,34.550,34.620,34.250,34.220,34.710,35.21,33.9,34.02,33.66,33.81,33.99,33.42,33.49,32.44,33.8,33.57,33.84,34.28,35.54,-,32.74,35.47,36.55,35.92,34.44,34.64,34.53,33.33,36.13,35.97,36.94,36.91,36.59,36.86,36.38,36.75,35.71,37.64,37.95,37.64,37.05,37.62,38.23,38.87,38.17,38.75,37.8,37.5,37.79,38.45,39.25,38.68,38.59,38.89,39.01,39.08,38.34,37.67,38.48,36.85
5,Cabai Merah Keriting,36.450,31.990,29.820,30.990,35.200,39.010,38.650,34.320,38.680,36.250,35.810,34.870,36.580,31.390,33.310,35.460,33.580,31.320,28.640,27.240,28.970,31.670,33.770,32.170,30.960,31.700,30.270,29.030,32.810,30.540,29.340,33.860,33.340,32.670,33.330,34.610,36.240,34.960,35.910,35.990,34.720,35.690,36.800,37.450,35.990,35.640,36.970,37.800,38.670,37.460,39.600,40.430,38.540,35.700,40.130,37.120,42.390,41.120,42.420,42.650,39.290,46.330,47.220,51.680,50.570,50.360,51.180,49.900,47.660,52.890,54.830,55.030,53.310,47.860,50.460,51.850,54.760,58.650,54.470,53.590,55.620,55.920,55.680,55.220,50.730,52.590,51.440,48.740,47.170,46.340,43.440,43.670,43.870,39.800,42.120,41.150,40.43,39.73,40.35,38.88,40.97,41.78,43.24,45.63,44.13,50.44,50.4,49.03,50.28,51.07,-,55.43,47.76,50.4,51.07,49.74,48.51,49.35,43.06,46.49,46.25,45.63,47.72,44.39,46.47,42.6,44.23,42.82,47.55,47.86,45.63,46.94,45.75,49.12,50.81,50.94,52.42,54.77,53.04,49.65,50.51,51.55,51.65,49.94,50.83,50.92,49.45,55.1,48.58,51.48,47.36
6,Cabai Rawit Merah,59.690,55.860,57.400,56.940,59.610,66.350,70.990,56.380,64.960,55.110,60.990,60.630,61.840,57.870,61.630,60.260,59.560,54.320,55.710,46.410,50.260,46.590,50.020,49.860,51.300,47.090,47.150,45.640,47.320,48.750,45.760,49.210,49.870,50.740,51.800,51.740,51.200,49.860,49.850,50.480,50.960,51.080,52.260,49.600,51.620,56.770,55.610,57.270,54.780,58.820,61.270,60.130,60.490,55.390,69.100,64.200,70.680,71.060,69.110,70.090,68.160,69.900,68.920,70.010,68.670,63.510,68.210,67.820,63.210,79.440,77.110,78.640,79.590,73.090,75.640,74.400,79.170,77.230,74.290,72.980,76.230,72.780,72.500,71.640,71.840,71.250,65.840,64.690,62.640,58.550,57.050,55.010,55.300,50.790,49.720,58.470,51.95,49.94,51.11,47.97,48.79,48.14,48.33,46.74,43.47,52.19,51.2,57.55,58.77,59.34,-,51.61,47.78,57.63,47.71,51.87,48.96,49.59,48.49,50.92,50.56,50.53,51.44,49.02,50.42,44.99,48.02,47.1,50.17,51.04,49.31,49.16,47.13,50.91,52.1,48.78,50.26,49.51,48.46,48.28,47.49,47.22,47.44,47.51,49.78,49.39,50.38,53.33,45.21,48.56,40.59
7,Daging Sapi Murni,157.850,157.850,156.520,155.570,156.120,156.320,154.870,153.920,156.540,156.120,156.540,156.330,156.730,155.130,155.130,156.730,156.730,156.330,156.330,156.330,156.730,155.130,156.730,156.730,156.730,155.730,156.730,155.130,156.990,156.200,156.200,149.390,156.200,153.920,155.130,155.660,155.660,156.010,156.150,155.520,156.540,156.540,155.730,156.200,156.200,155.130,156.200,157.250,155.130,156.200,156.200,156.990,156.720,156.950,157.730,155.770,156.810,155.640,156.810,157.680,156.810,156.170,157.130,156.170,157.130,154.920,157.130,156.780,156.320,156.600,157.130,157.130,156.780,156.780,156.780,157.130,157.770,155.640,157.290,158.230,156.820,158.640,157.440,158.790,159.910,157.650,157.650,157.650,157.650,158.050,157.130,156.780,156.320,157.130,156.320,158.180,159.84,158.72,158.72,155.66,156.39,155.75,155.66,157.34,159.41,160.55,164.83,169.7,169.1,173.72,-,171.65,163.18,163.63,160.7,159.41,161.71,161.95,159.41,159.85,158.02,158.02,157.2,157.88,157.47,158.81,158.43,159.69,161.76,159.07,161.14,160.5,159.69,160.57,160.57,159.69,157.44,157.65,158.76,158.64,158.79,158.64,158.79,158.79,158.44,157.44,158.64,158.29,160.38,157.44,157.44
8,Daging Ayam Ras,48.270,47.030,45.190,43.800,43.630,42.540,42.870,40.760,42.660,43.800,43.760,45.660,45.030,41.920,41.570,43.490,43.640,44.080,42.490,40.090,40.930,40.800,43.180,43.560,43.730,42.790,43.870,41.200,43.500,42.980,42.220,43.760,43.340,39.920,41.040,41.940,42.160,42.630,43.210,41.810,42.870,42.680,43.430,42.750,42.990,43.110,43.580,43.580,44.120,43.430,42.970,40.350,43.350,42.830,42.230,39.720,42.160,40.640,40.670,42.050,40.470,40.710,41.590,40.510,41.500,39.400,41.650,39.290,43.670,39.160,41.610,41.500,41.350,41.260,42.820,42.650,41.640,40.260,41.370,41.390,41.670,43.490,41.730,42.380,44.520,42.190,41.670,41.720,41.770,42.320,41.910,39.930,40.720,40.570,39.840,37.540,41.11,41.11,41.22,40.47,41.47,41.0,40.7,41.08,41.08,42.47,43.22,45.95,46.2,45.57,-,44.33,42.3,43.68,43.79,41.46,42.97,42.36,38.55,41.7,40.0,39.84,40.34,39.77,38.62,38.32,39.67,38.5,42.58,40.52,42.03,42.13,42.2,41.33,41.76,43.14,43.05,41.0,42.09,41.76,43.63,43.14,44.07,44.33,44.76,43.35,44.71,42.83,45.09,45.82,45.54
9,Telur Ayam Ras,34.310,32.500,31.570,31.380,33.420,35.930,35.240,33.610,34.520,33.640,33.390,33.330,34.340,34.300,33.390,33.130,33.070,32.350,31.050,32.180,31.870,33.380,32.990,32.820,32.510,32.260,32.230,31.530,32.490,32.050,30.770,31.890,33.380,30.800,32.000,33.850,32.490,32.390,31.720,32.260,32.190,31.790,31.320,32.210,31.930,31.950,32.270,32.230,32.400,31.880,31.880,32.540,32.060,31.030,33.030,30.870,31.920,32.360,31.920,32.330,30.610,31.790,31.950,31.960,32.080,31.850,31.650,30.800,31.750,33.620,31.680,32.010,32.480,30.060,31.700,32.840,32.980,33.310,32.070,31.930,32.910,33.160,33.730,33.620,34.190,34.050,34.050,33.830,33.830,33.820,33.690,34.140,33.060,34.060,34.870,35.060,34.25,34.45,34.2,34.24,33.98,34.26,33.78,33.9,32.81,34.23,33.92,33.31,33.35,34.31,-,35.56,33.62,32.8,34.23,34.34,33.96,33.7,31.63,33.47,33.47,33.85,33.89,33.71,33.59,33.37,32.5,32.32,34.04,33.46,34.78,33.26,33.44,34.29,34.15,33.76,33.94,34.18,33.81,33.78,34.16,34.35,34.51,34.7,35.15,34.87,35.31,35.14,34.19,35.2,33.01
