Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.250,12.180,12.180,12.250,12.280,12.150,12.240,12.220,12.220,12.270,12.280,12.300,12.310,12.270,12.280,12.280,12.350,12.230,12.260,12.310,12.310,12.310,12.580,12.310,12.310,12.310,12.320,12.250,12.320,12.320,12.440,12.390,12.330,12.310,12.360,12.330,12.310,12.300,12.400,12.370,12.330,12.370,12.340,12.340,12.370,12.370,12.370,12.340,12.410,12.410,12.420,12.410,12.410,12.390,12.390,12.420,12.390,12.440,12.420,12.360,12.460,12.390,12.390,12.350,12.400,12.430,12.500,12.450,12.380,12.360,12.350,12.350,12.350,12.350,12.340,12.330,12.380,12.390,12.390,12.390,12.390,12.390,12.390,12.390,12.400,12.400,12.400,12.440,12.420,12.420,12.420,12.410,12.410,12.370,12.380,12.470,12.4,12.36,12.44,12.44,12.44,12.37,12.38,12.38,12.36,12.38,12.36,12.32,12.36,12.33,12.000,12.490,12.37,12.3,12.3,12.28,12.28,12.23,12.3,12.21,12.25,12.27,12.25,12.28,12.26,12.19,12.41,12.33,12.33,12.28,12.3,12.28,12.27,12.3,12.29,12.33,12.33,12.34,12.31,12.35,12.35,12.35,12.41,12.4,12.39,12.38,12.39,12.39,12.39,12.39,12.35
Beras Medium,11.010,10.900,10.890,11.040,11.030,11.040,10.990,11.060,11.060,11.090,11.160,11.170,11.150,11.240,11.120,11.210,11.290,11.080,11.030,11.090,11.190,11.230,11.240,11.100,11.160,11.070,11.200,11.240,11.190,11.200,11.220,11.230,11.150,11.240,11.150,11.170,11.150,11.150,11.210,11.190,11.270,11.190,11.210,11.190,11.200,11.190,11.170,11.220,11.290,11.250,11.200,11.200,11.200,11.200,11.170,11.310,11.200,11.210,11.210,11.210,11.170,11.160,11.170,11.220,11.220,11.150,11.170,11.160,11.120,11.130,11.100,11.100,11.100,11.100,11.110,11.130,11.230,11.200,11.290,11.230,11.200,11.220,11.230,11.230,11.230,11.230,11.230,11.230,11.200,11.230,11.230,11.230,11.230,11.230,11.310,11.320,11.25,11.18,11.31,11.23,11.34,11.27,11.2,11.22,11.16,11.22,11.22,11.16,11.23,11.2,11.000,11.490,11.32,11.16,11.16,11.16,11.16,11.1,11.18,11.07,11.12,11.12,11.11,11.11,11.12,11.14,11.24,11.18,11.18,11.16,11.11,11.08,11.05,11.15,11.13,11.15,11.15,11.15,11.12,11.14,11.15,11.15,11.19,11.17,11.17,11.15,11.17,11.17,11.17,11.15,11.1
Kedelai Biji Kering (Impor),14.170,14.170,14.170,14.170,14.170,14.190,14.370,14.300,14.370,14.310,14.290,14.370,14.300,14.290,14.270,14.260,14.190,14.190,14.260,14.260,14.270,14.270,14.270,14.270,14.270,14.270,14.220,14.290,14.270,14.260,14.270,14.270,14.290,14.290,14.290,14.270,14.260,14.330,14.230,14.210,14.330,14.290,14.370,14.340,14.340,14.340,14.410,14.370,14.290,14.440,14.230,13.980,13.900,13.890,13.980,14.170,14.000,13.960,13.980,13.900,13.650,14.000,13.980,13.890,13.890,13.980,13.900,13.900,13.990,13.930,13.990,14.070,14.000,13.920,14.110,13.590,13.790,13.920,13.760,13.920,13.920,13.990,13.920,13.920,13.990,13.810,13.990,13.990,13.990,13.940,14.000,13.930,14.000,14.000,13.920,13.940,13.92,13.81,13.83,13.83,13.84,13.83,13.83,13.83,13.76,13.9,13.9,13.82,13.94,13.91,14.000,14.000,13.89,13.94,13.94,13.9,13.9,13.98,13.91,13.99,13.91,13.92,13.92,13.96,13.89,13.72,12.86,12.6,12.16,12.22,12.12,12.14,12.13,12.26,12.08,12.08,12.09,12.08,11.93,12.09,12.12,12.12,12.18,12.12,12.13,12.12,12.17,12.1,12.09,12.12,12.02
Bawang Merah,32.820,33.750,33.400,33.510,33.770,33.550,33.520,33.930,34.120,35.180,35.150,34.950,35.200,34.730,34.690,34.820,35.710,34.910,36.070,35.730,36.050,35.410,36.870,37.950,38.130,38.130,37.670,37.830,38.650,38.390,39.520,40.090,40.100,40.380,40.060,41.750,40.050,41.520,40.860,39.340,39.820,40.690,41.400,40.790,38.780,38.330,38.230,38.370,38.070,37.270,35.000,34.170,33.760,33.790,33.750,33.840,32.670,33.040,32.740,33.170,32.790,32.710,32.800,32.480,32.190,32.810,33.140,33.900,32.730,33.910,33.670,33.800,33.210,32.970,32.740,33.190,34.270,33.510,33.080,32.900,33.140,32.270,32.570,32.230,31.490,31.590,31.720,31.690,31.360,31.050,31.150,31.090,31.380,30.900,30.620,31.160,30.12,29.84,30.23,31.15,31.11,31.21,31.19,31.7,31.34,32.16,31.07,32.67,34.66,35.73,35.000,33.500,34.49,35.15,35.73,34.5,41.79,44.97,43.18,42.93,42.88,42.62,42.78,40.9,40.61,38.84,40.66,40.0,40.32,39.91,40.12,39.98,41.19,39.99,38.16,38.73,38.86,37.74,38.18,38.0,37.94,37.1,37.2,37.13,37.65,36.92,37.74,37.89,37.29,38.26,37.79
Bawang Putih Bonggol,23.310,23.300,23.300,23.370,23.300,23.150,22.890,23.070,23.430,23.600,24.380,23.690,23.910,23.670,23.630,23.630,23.900,23.800,23.800,23.650,24.120,23.920,23.920,24.580,24.400,24.460,24.570,24.970,25.120,25.890,25.700,25.770,26.030,25.330,24.800,25.600,25.120,25.380,25.380,25.590,25.700,26.020,26.030,26.250,25.330,25.440,25.200,25.220,25.520,25.570,25.680,26.290,26.220,26.480,26.170,26.590,27.370,26.460,26.920,27.280,27.430,27.110,27.280,27.260,27.260,27.200,27.330,27.270,27.720,27.480,28.070,27.900,28.090,27.700,27.670,28.380,29.080,28.280,28.360,27.660,27.550,27.570,27.340,27.090,27.120,27.080,27.170,27.200,27.680,27.720,27.580,27.650,28.000,27.730,27.630,27.990,27.65,27.53,28.16,28.27,28.15,28.48,28.15,28.81,28.38,29.03,28.33,28.82,29.62,29.76,30.000,30.000,28.43,30.13,29.59,28.91,31.22,31.85,30.96,31.66,31.38,31.66,31.73,31.21,31.09,30.49,31.59,31.34,31.78,32.25,32.34,31.99,32.39,32.72,31.16,32.38,33.06,33.08,33.32,32.47,32.82,32.62,32.25,31.91,32.42,31.47,32.28,32.34,32.51,32.97,33.25
Cabai Merah Keriting,37.950,38.850,38.470,37.820,38.490,38.220,39.550,39.600,39.810,39.670,37.760,37.770,37.420,37.510,38.390,36.920,36.430,35.580,35.520,35.520,36.950,36.250,37.490,38.240,39.240,40.440,39.880,39.840,41.160,41.350,39.870,40.050,40.240,40.250,40.440,41.180,41.580,42.980,43.190,41.940,43.250,42.580,42.450,41.210,38.970,38.090,37.520,37.630,37.890,37.240,35.910,36.820,36.290,35.930,35.370,35.290,35.370,34.390,32.140,31.750,32.030,31.610,32.370,32.430,32.120,32.630,32.000,33.370,34.160,33.930,33.810,34.560,34.500,33.990,34.110,33.380,33.710,32.810,33.420,32.830,32.650,31.930,32.370,32.260,29.870,28.230,27.270,26.240,25.800,26.300,26.450,27.420,26.950,26.620,27.080,27.190,27.06,26.81,28.02,28.45,27.53,27.99,27.49,27.59,27.26,27.77,29.58,34.87,36.78,37.49,38.000,33.760,37.16,35.82,32.49,27.45,25.48,24.67,26.58,26.81,22.9,21.93,21.81,22.5,22.29,22.17,22.96,24.32,24.62,25.13,25.36,25.5,26.38,26.81,26.39,26.87,28.39,26.79,27.96,27.2,26.96,27.19,26.43,26.61,26.41,25.45,26.0,25.61,25.61,26.11,26.55
Cabai Rawit Merah,48.560,53.280,55.070,56.500,59.060,57.200,60.670,59.060,59.670,60.030,56.520,57.800,58.120,57.670,54.530,55.800,53.900,54.070,53.810,54.150,54.180,53.950,54.170,53.120,53.540,53.200,53.440,54.080,52.870,52.240,53.720,51.520,54.060,54.540,50.130,52.870,52.570,53.630,53.790,52.810,54.200,52.510,53.750,51.810,50.810,51.770,51.290,52.440,52.100,51.870,51.580,49.030,50.790,51.250,50.630,50.810,49.190,49.090,47.140,47.530,46.780,47.240,47.530,48.600,47.590,48.960,48.600,48.160,47.240,48.200,48.230,47.970,48.690,47.620,44.400,48.930,49.080,49.770,48.620,48.740,49.490,50.020,48.960,48.980,47.020,46.090,45.500,44.900,41.560,41.560,41.690,41.910,40.970,40.770,41.560,40.640,39.41,38.09,38.11,36.96,36.75,37.5,37.11,36.75,36.76,37.02,37.56,42.12,41.54,43.26,50.000,37.950,44.83,42.85,40.3,37.61,34.23,32.15,34.05,33.9,31.61,28.86,29.84,30.33,30.33,31.18,30.01,30.85,29.39,30.24,30.06,30.78,30.1,31.08,31.53,31.46,32.09,31.56,32.17,32.07,32.09,32.06,32.72,33.45,32.16,32.28,32.79,32.61,32.29,32.72,32.71
Daging Sapi Murni,136.450,135.820,136.450,136.120,136.120,135.520,135.440,135.440,135.440,135.080,134.750,133.800,134.890,135.280,134.820,134.950,134.950,134.550,134.550,134.550,134.790,135.120,134.390,134.390,134.390,134.390,135.480,134.000,134.390,135.050,134.390,134.390,134.390,134.710,134.350,134.390,134.390,134.000,134.350,134.710,134.710,134.710,134.390,134.010,134.010,134.010,134.010,135.480,134.300,135.470,134.010,134.390,134.060,134.060,134.060,134.700,134.060,134.000,134.000,135.130,135.140,134.060,134.060,135.130,133.340,134.060,134.690,134.000,134.060,133.650,134.060,134.060,134.060,134.290,134.950,134.690,134.650,134.690,135.420,136.980,136.690,135.270,135.240,134.290,133.940,134.360,134.440,135.410,135.340,135.370,135.740,135.800,135.450,135.380,135.780,135.870,135.74,134.69,135.74,135.41,135.34,136.23,135.8,135.8,136.95,138.13,138.47,141.71,143.54,145.76,130.000,139.640,136.83,140.4,137.12,136.44,136.72,136.56,136.4,136.76,136.77,137.19,137.12,136.5,136.07,136.31,135.53,135.1,134.78,134.04,134.43,134.04,134.76,134.43,135.53,134.11,134.04,134.66,134.31,133.7,134.11,134.04,133.97,134.11,134.12,134.42,134.12,134.12,134.81,134.46,134.0
Daging Ayam Ras,34.070,33.660,33.540,33.610,33.680,33.170,32.600,32.690,32.230,31.770,31.360,32.300,32.610,32.280,32.050,31.860,31.260,31.600,31.380,31.440,31.690,31.790,31.730,31.250,31.450,31.450,31.140,31.050,30.950,31.100,31.290,31.290,31.190,31.730,31.010,31.350,31.220,31.380,31.300,31.330,31.140,31.120,31.570,31.290,31.050,31.380,31.450,31.500,31.870,31.640,31.250,31.020,30.880,31.280,31.150,31.890,31.020,30.880,30.740,31.020,30.650,30.900,30.900,31.170,30.800,30.960,30.500,31.020,31.170,32.050,32.340,32.530,32.600,32.480,32.480,32.800,33.000,32.740,33.280,33.880,33.040,32.830,32.950,33.210,32.730,32.540,32.600,32.730,32.510,32.340,32.340,31.900,31.900,32.040,31.970,31.680,32.1,32.52,32.58,32.64,32.57,33.31,33.21,33.4,33.09,33.22,33.88,34.09,34.7,35.04,33.000,34.940,34.67,33.77,33.19,33.02,33.48,33.7,33.45,33.68,33.42,33.08,32.74,32.66,32.6,33.09,32.82,32.21,32.73,32.65,32.86,32.63,33.06,32.79,33.01,32.91,32.96,33.17,33.61,33.24,33.59,33.59,33.0,33.45,33.73,33.7,33.92,33.64,33.92,33.76,34.03
Telur Ayam Ras,28.720,28.520,28.210,28.480,28.550,28.330,28.080,28.110,27.980,27.980,28.080,27.800,27.850,27.950,27.910,28.010,28.040,27.840,27.770,27.610,27.710,27.710,27.740,27.770,27.780,27.710,27.800,27.840,27.780,27.710,27.820,27.750,27.620,27.730,27.590,27.470,27.320,27.350,27.420,27.420,27.350,27.420,27.400,27.460,27.390,27.330,27.400,27.460,27.460,27.530,27.360,27.390,27.360,27.260,27.260,27.180,27.190,27.140,26.990,27.060,26.910,26.940,26.820,26.880,26.810,27.090,27.220,27.270,27.190,27.200,27.450,27.520,28.110,28.120,28.370,28.390,28.370,28.390,28.560,28.720,28.650,28.630,28.520,28.520,28.460,28.660,28.790,28.590,28.520,28.390,28.610,28.460,28.520,28.590,28.420,28.690,28.59,28.45,28.56,28.42,28.43,28.28,28.33,28.26,28.42,28.45,28.72,28.84,29.25,29.19,29.000,29.000,28.99,29.02,28.89,28.76,28.79,28.78,28.49,28.45,28.59,28.66,28.59,28.81,28.59,28.53,28.38,28.25,28.39,28.42,28.66,28.71,28.45,28.82,28.68,29.17,29.25,29.52,29.6,29.58,29.52,29.58,29.62,29.62,29.55,29.48,29.55,29.48,29.55,29.62,29.72
