,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,13.000,13.000,13.000,13.000,13.000,12.890,13.000,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.090,13.090,13.090,13.230,13.090,13.090,13.090,13.090,13.090,13.090,13.090,13.110,13.090,13.120,13.210,13.390,13.250,13.270,13.360,13.260,13.360,13.510,13.510,13.580,13.580,13.580,13.580,13.680,13.580,13.580,13.580,13.580,13.510,13.580,13.550,13.550,13.580,13.580,13.550,13.550,13.580,13.550,13.550,13.550,13.550,13.550,13.580,13.550,13.550,13.550,13.550,13.620,13.670,13.760,13.760,13.760,13.900,13.800,13.760,13.720,13.760,13.760,13.760,13.960,13.720,13.900,13.920,13.900,13.900,13.920,13.900,13.920,13.920,13.920,13.93,13.92,13.92,13.91,13.92,13.9,14.03,13.95,13.95,13.94,13.94,13.95,13.95,13.84,-,13.000,13.490,14.1,13.95,13.79,13.95,13.95,13.95,13.95,13.95,13.82,13.87,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.87,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.49
1,Beras Medium,10.800,10.830,10.830,10.830,10.830,10.830,10.830,10.800,10.830,10.830,10.800,10.830,10.830,10.830,10.830,10.830,10.830,10.830,10.830,10.830,10.830,10.830,10.900,10.900,10.900,10.900,10.900,10.900,10.900,10.900,10.900,10.900,10.900,11.120,11.100,11.050,11.170,11.260,11.260,11.210,11.260,11.310,11.260,11.350,11.400,11.630,11.690,11.630,11.630,11.660,11.690,11.630,11.630,11.630,11.570,11.630,11.630,11.630,11.630,11.630,11.630,11.630,11.570,11.630,11.630,11.630,11.630,11.630,11.570,11.770,11.630,11.630,11.630,11.770,11.710,11.710,11.710,11.710,11.840,11.660,11.710,11.660,11.710,11.710,11.710,11.810,11.660,11.840,11.770,11.910,11.910,11.910,11.770,11.910,11.910,11.910,11.91,11.91,11.91,12.07,11.91,11.91,11.81,11.91,11.91,11.91,11.91,11.91,11.91,11.59,-,11.000,11.000,11.78,11.91,11.77,11.91,12.07,11.77,11.8,11.91,11.77,11.66,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.78,11.77,11.77,11.77,11.77,11.74,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.73
2,Kedelai Biji Kering (Impor),14.680,14.870,14.730,14.730,14.730,14.870,14.730,14.930,14.940,15.020,15.030,14.940,15.080,15.170,15.080,15.080,15.080,15.080,15.080,15.080,15.080,15.080,15.130,15.080,14.940,14.940,14.940,14.790,14.940,14.940,14.940,14.940,14.940,14.930,14.940,14.940,15.080,14.940,14.940,14.940,15.080,15.100,14.940,14.940,15.080,14.940,14.940,14.940,15.080,14.890,15.080,14.940,14.880,14.880,14.860,14.880,14.810,14.810,14.810,14.760,14.760,14.760,14.570,14.760,14.760,14.760,14.760,14.760,14.570,14.760,14.760,14.760,14.760,14.760,14.760,14.760,14.910,14.760,15.030,14.890,14.760,14.720,14.760,14.760,14.760,14.890,14.720,14.900,14.760,14.760,14.760,14.620,14.760,14.890,14.890,14.890,14.89,15.03,14.76,15.04,14.87,14.87,15.21,14.87,14.73,14.87,14.87,14.73,14.87,15.05,-,14.500,14.250,15.26,14.73,14.87,14.73,14.86,14.73,14.87,14.87,14.73,15.04,14.18,14.08,13.88,13.51,12.89,12.89,12.89,13.25,13.01,13.01,13.03,13.03,12.91,12.59,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,11.96
3,Bawang Merah,41.940,42.580,43.370,44.310,43.830,42.810,42.620,42.880,42.320,45.400,45.100,44.190,44.940,43.850,45.370,45.520,45.100,43.140,42.950,43.910,42.150,43.870,44.720,46.280,45.770,44.220,44.790,43.940,46.590,47.680,47.680,47.680,47.800,51.020,48.490,50.940,51.170,51.510,51.160,51.630,50.770,48.610,48.770,47.970,46.620,47.230,46.620,46.570,47.080,46.610,46.630,45.800,44.680,44.630,46.060,43.960,42.840,42.920,43.130,43.130,42.410,43.420,43.170,42.580,44.100,43.010,43.380,42.370,44.720,42.690,42.690,42.870,42.870,42.280,41.610,41.360,41.960,41.400,40.890,40.700,39.950,41.490,42.210,42.780,43.290,42.970,43.100,41.860,42.150,41.880,41.220,41.170,40.580,39.970,40.310,39.910,39.7,39.79,40.27,39.29,39.74,39.02,39.61,40.52,40.16,41.23,42.87,43.36,45.16,45.23,-,40.000,44.720,42.95,44.61,45.48,46.39,45.81,47.21,48.37,49.74,50.04,50.38,49.82,48.99,49.56,50.41,50.74,50.47,49.26,49.31,50.38,49.81,49.6,48.65,49.58,48.96,48.01,48.13,47.04,47.5,49.81,48.34,47.84,47.93,47.29,47.84,46.2,46.42,47.55,48.99
4,Bawang Putih Bonggol,26.260,26.420,26.570,26.440,26.440,26.350,26.330,26.080,26.610,26.380,26.290,27.300,27.150,26.870,27.300,26.990,27.570,27.270,27.280,27.540,26.820,27.430,29.200,27.840,27.280,27.410,26.820,27.030,27.280,27.580,27.730,27.830,27.830,27.970,27.830,27.560,28.740,28.290,28.450,28.580,28.450,27.800,27.950,27.920,27.970,27.970,27.950,28.250,27.830,29.440,28.980,29.110,28.910,29.750,29.710,29.610,30.210,30.340,31.480,30.120,30.420,30.120,30.490,31.040,31.330,31.440,31.380,31.350,32.300,31.480,31.360,31.380,31.650,31.520,31.690,31.540,31.560,32.150,32.610,32.530,31.760,31.710,31.880,32.190,32.470,31.870,31.710,31.640,30.840,31.090,30.780,31.090,31.380,30.830,30.160,31.340,30.84,31.34,31.39,30.19,31.72,30.99,31.02,30.66,31.02,31.68,31.38,31.92,31.96,31.75,-,32.000,32.000,31.72,31.74,31.95,32.49,31.38,31.68,31.89,31.78,33.7,32.93,33.78,33.3,34.05,34.56,35.89,34.97,35.49,35.18,35.64,35.33,35.33,35.41,35.91,35.14,36.4,36.09,35.55,35.12,35.55,35.64,35.09,35.12,33.92,34.67,33.98,33.88,35.55,32.19
5,Cabai Merah Keriting,51.960,50.300,52.360,53.530,51.880,51.350,51.210,57.070,55.950,56.070,55.510,55.910,54.310,54.150,55.510,55.740,55.770,56.010,53.530,53.540,51.870,50.030,52.670,49.420,48.370,51.660,48.510,49.250,49.860,48.250,47.000,48.630,50.080,48.890,55.670,56.370,60.110,58.990,55.900,54.690,54.180,47.430,49.410,45.310,39.510,39.880,42.030,43.290,47.600,48.710,48.970,47.880,48.680,49.100,51.030,52.090,49.230,53.930,49.740,49.260,50.250,49.290,54.170,59.840,57.620,55.800,53.180,52.370,49.030,47.780,46.180,47.300,46.690,47.410,47.100,46.910,45.060,49.150,47.640,47.570,46.900,47.960,47.970,46.390,46.960,40.780,40.330,38.120,39.200,39.840,40.660,42.140,42.870,44.270,45.440,41.990,41.98,41.33,47.05,45.02,44.15,44.19,40.27,42.34,42.91,45.43,45.97,48.52,54.4,56.27,-,50.000,44.720,49.31,45.27,37.75,34.23,33.56,37.4,38.3,35.92,33.06,33.01,32.12,32.47,29.88,31.35,32.4,32.79,33.17,34.01,37.23,36.41,35.61,35.45,36.21,35.35,35.92,34.79,33.15,32.18,32.86,32.86,33.56,32.3,33.34,31.9,32.15,33.34,34.82,35.0
6,Cabai Rawit Merah,71.700,79.260,79.260,79.290,80.700,79.200,80.760,83.780,82.630,85.620,85.660,83.370,82.670,81.930,79.020,80.590,78.790,72.300,69.870,66.360,68.090,64.650,63.260,64.500,67.230,69.870,68.290,71.840,74.090,72.230,71.640,69.790,70.820,70.790,71.880,68.410,69.450,69.350,69.400,67.530,65.170,66.230,63.340,62.190,60.170,62.460,60.850,64.900,68.330,77.920,80.860,82.090,82.510,82.540,82.050,80.700,84.590,85.000,83.880,83.120,83.250,82.480,84.260,85.790,85.690,88.860,86.680,86.910,80.270,79.080,76.750,78.870,75.500,73.290,68.870,67.980,64.290,64.760,64.720,65.040,66.990,66.970,68.090,67.310,70.970,61.590,62.030,53.490,56.990,55.910,55.250,59.270,57.790,57.380,56.580,58.570,58.72,59.24,55.82,58.68,59.1,58.01,53.71,57.46,57.91,57.4,55.82,59.52,61.04,59.02,-,75.000,57.010,60.93,55.88,45.94,40.95,41.32,44.41,44.57,42.99,41.91,40.83,41.92,42.61,41.9,41.41,39.27,38.53,37.96,38.61,41.39,40.6,38.67,38.59,39.19,40.0,38.53,38.38,37.46,36.88,37.2,36.31,39.09,37.75,39.48,37.88,43.31,46.94,47.01,48.84
7,Daging Sapi Murni,148.530,147.570,147.570,147.570,147.420,147.570,147.570,148.180,146.980,146.980,148.180,146.980,146.980,146.980,146.980,148.430,148.430,148.430,148.430,148.430,148.430,148.430,148.430,147.470,147.470,147.960,147.960,147.960,147.960,148.430,148.430,148.430,148.430,148.180,148.430,148.430,148.740,149.180,148.740,149.180,148.880,148.700,149.180,148.880,149.180,149.180,149.180,148.880,148.880,149.040,149.180,149.180,149.180,149.180,149.050,149.180,148.880,148.880,148.880,148.880,148.880,148.880,149.890,150.260,150.260,150.260,150.260,150.260,149.890,150.260,150.260,150.260,150.260,150.260,150.260,150.260,150.260,150.260,150.260,152.050,150.260,151.400,151.200,151.200,149.810,153.150,151.400,151.200,151.200,151.200,151.200,151.200,151.200,149.810,151.200,151.200,151.2,149.81,151.2,148.18,151.2,151.2,153.15,153.09,153.74,154.02,155.55,156.82,156.82,163.04,-,160.000,160.000,153.92,151.51,151.51,151.96,151.17,152.69,151.66,151.66,149.81,153.69,151.66,151.66,150.26,151.2,151.2,149.71,149.71,148.25,147.48,147.48,147.48,148.94,148.94,148.76,150.17,150.17,150.17,150.17,150.17,150.17,150.17,150.17,150.17,150.17,150.17,150.17,150.47,149.67
8,Daging Ayam Ras,39.920,40.750,40.030,40.090,39.550,39.560,38.440,39.360,38.350,39.270,39.680,39.140,39.100,39.100,38.620,38.150,38.300,37.830,37.890,37.460,37.340,36.880,36.610,36.120,35.490,35.960,35.540,35.080,34.710,35.000,35.070,34.270,34.270,34.480,34.560,34.390,32.840,33.290,33.340,32.450,33.450,33.210,34.200,33.970,33.630,33.840,33.840,33.960,33.630,33.160,33.820,34.270,33.820,34.030,33.840,33.880,34.200,34.060,34.050,33.910,34.340,34.280,34.740,35.080,33.700,34.480,34.480,34.020,34.540,34.020,33.700,34.660,35.100,34.880,35.510,35.030,35.350,35.700,35.520,36.550,35.380,36.050,35.600,35.440,34.850,35.290,35.560,34.690,34.980,35.030,34.690,33.750,33.990,33.360,33.360,33.360,33.36,34.44,33.87,33.24,34.38,34.71,35.83,34.49,35.44,36.2,35.9,36.95,37.83,38.33,-,32.000,35.780,36.62,37.32,36.75,35.8,34.31,35.95,35.65,36.0,36.15,37.35,36.59,36.59,36.93,37.57,37.24,36.59,36.9,37.21,38.34,37.53,38.12,37.68,39.23,38.7,39.06,38.94,38.55,39.39,39.68,39.11,39.11,39.11,38.83,39.49,38.88,39.17,39.2,34.87
9,Telur Ayam Ras,30.060,30.110,30.110,29.880,29.880,29.880,29.880,30.060,29.680,29.670,29.760,29.850,29.750,29.850,29.560,29.560,29.770,29.770,29.770,29.770,29.770,29.770,29.770,29.810,29.770,29.580,29.540,29.540,29.380,29.510,29.510,29.380,29.660,29.620,29.660,29.460,29.290,29.120,29.240,29.460,29.460,29.130,29.240,29.460,29.240,29.240,29.240,29.240,29.160,28.950,29.100,29.000,29.000,29.000,29.040,29.000,29.230,29.230,29.230,29.230,29.000,29.230,28.910,29.100,29.100,29.100,29.100,29.100,28.820,28.930,29.100,28.930,29.100,29.100,29.280,29.340,29.370,29.200,29.420,29.530,29.420,29.710,29.780,29.650,29.630,29.770,29.770,29.860,29.860,29.870,29.890,29.890,29.670,29.650,29.650,29.680,29.68,29.64,29.64,29.27,29.46,29.61,29.69,29.79,29.79,29.83,29.83,29.79,29.85,29.86,-,26.000,28.280,29.38,29.43,29.62,29.47,29.22,29.59,29.36,29.16,29.16,29.22,29.16,29.16,29.07,29.16,29.66,29.56,29.56,29.47,29.62,29.62,29.44,29.74,30.31,30.79,30.5,30.56,30.9,31.78,31.86,32.02,32.23,32.23,32.22,32.35,32.12,32.12,32.12,28.65
