,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,12.910,12.910,12.910,12.910,12.910,12.910,12.910,12.910,12.910,12.910,13.120,12.910,12.780,12.910,12.910,12.910,12.910,12.910,12.910,12.840,12.840,12.840,12.910,12.840,12.840,12.850,12.940,12.940,12.940,12.940,12.940,12.830,12.830,12.830,12.890,12.990,12.950,12.950,12.950,12.900,12.920,12.920,12.920,12.920,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.030,13.000,13.000,13.000,13.000,13.000,12.930,12.930,13.000,13.000,13.000,13.000,12.890,12.890,12.890,12.890,12.890,12.890,13.020,12.880,12.880,12.880,12.880,13.060,12.880,12.750,12.880,12.880,12.880,12.880,12.880,12.880,12.880,12.740,12.880,12.880,12.880,12.740,12.880,12.880,12.600,12.880,12.880,12.820,12.880,12.880,12.880,13.040,12.880,12.880,12.840,12.760,12.820,-,13.250,12.680,12.820,12.680,12.820,12.820,12.820,12.820,12.820,12.820,12.780,12.810,12.810,12.810,12.820,12.820,12.820,12.820,12.820,12.820,12.820,12.820,12.820,12.820,12.770,12.770,12.810,12.770,12.770,12.770,12.770,12.770,12.770,12.770,12.770,12.770,12.770,12.640,12.770,12.920
1,Beras Medium,11.240,11.220,11.230,11.270,11.270,11.270,11.270,11.270,11.270,11.270,11.370,11.270,11.300,11.270,11.380,11.380,11.390,11.390,11.280,11.210,11.310,11.210,11.390,11.220,11.260,11.380,11.400,11.410,11.420,11.420,11.420,11.420,11.420,11.420,11.480,11.590,11.480,11.590,11.590,11.570,11.460,11.570,11.510,11.570,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.460,11.400,11.400,11.510,11.460,11.350,11.380,11.380,11.300,11.310,11.200,11.310,11.300,11.300,11.330,11.330,11.230,11.340,11.380,11.310,11.310,11.310,11.390,11.390,11.200,11.200,11.310,11.310,11.200,11.330,11.330,11.330,11.330,11.120,11.260,11.290,11.300,11.310,11.330,11.330,11.390,11.330,11.330,11.330,11.330,11.330,11.330,11.450,11.330,11.330,11.340,11.270,11.310,-,12.000,11.230,11.310,11.190,11.270,11.270,11.270,11.270,11.270,11.270,11.150,11.270,11.270,11.370,11.370,11.430,11.270,11.370,11.370,11.370,11.370,11.370,11.370,11.360,11.480,11.360,11.290,11.360,11.360,11.360,11.360,11.390,11.430,11.430,11.430,11.430,11.430,11.530,11.430,11.330
2,Kedelai Biji Kering (Impor),14.380,14.120,14.120,14.120,14.220,14.220,14.220,14.220,14.080,14.220,14.220,14.280,14.230,14.260,14.220,14.220,14.220,14.220,14.220,14.220,14.220,14.230,14.320,13.990,14.080,14.010,14.200,14.170,14.170,14.170,14.170,14.170,14.080,14.310,14.310,13.990,13.990,13.820,13.880,13.990,13.900,13.900,13.870,13.870,13.370,13.350,13.690,13.350,13.350,13.350,13.350,13.350,13.350,13.250,13.270,13.360,13.360,13.240,13.360,13.360,13.450,13.340,13.240,13.240,13.370,13.470,13.470,13.470,13.470,13.560,13.470,13.470,13.470,13.470,13.470,13.780,13.560,13.760,13.760,13.560,13.780,13.560,13.560,13.550,13.550,13.560,13.470,13.380,13.380,13.470,13.460,13.380,13.380,13.380,13.460,13.260,13.380,13.460,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.630,13.320,13.460,-,14.000,13.460,13.460,13.560,13.560,13.560,13.560,13.560,13.560,13.630,13.340,13.450,13.040,13.540,13.620,12.000,12.000,12.000,12.000,12.140,12.070,12.070,12.070,11.920,11.910,12.000,12.000,12.000,11.850,11.850,11.850,11.850,11.840,11.880,11.850,11.820,11.790,11.890,11.890,11.760
3,Bawang Merah,35.190,34.890,34.690,34.580,34.170,34.730,35.460,35.830,35.830,36.140,36.120,38.000,38.360,38.320,37.670,37.670,38.170,38.220,38.030,38.030,38.030,38.300,38.760,38.580,38.690,39.090,38.980,39.590,39.650,39.570,39.650,39.020,38.060,37.820,37.470,37.750,38.250,38.490,38.060,38.490,38.190,38.020,38.810,38.910,37.760,37.570,37.570,37.160,36.770,36.670,36.670,35.750,35.650,35.800,35.800,35.410,35.410,35.710,35.750,34.990,34.940,35.510,34.500,34.190,34.190,34.730,34.730,34.730,34.730,34.520,35.160,35.060,35.510,35.510,35.510,35.890,35.060,35.070,35.250,34.970,34.430,34.820,35.160,34.180,34.560,34.380,34.200,34.200,34.500,34.120,33.340,33.700,33.700,33.900,33.200,33.380,33.150,32.400,32.920,33.010,32.560,32.660,32.470,32.730,33.360,33.030,32.650,33.250,33.410,33.540,-,36.000,35.200,34.460,35.000,35.000,35.180,35.210,35.110,35.320,35.980,36.430,36.280,36.280,36.280,36.850,36.650,36.960,36.100,36.100,36.100,36.100,35.350,35.450,35.630,35.480,35.640,35.190,35.250,34.840,34.820,34.580,35.270,35.520,35.730,35.820,34.880,34.800,34.520,34.470,33.630
4,Bawang Putih Bonggol,24.890,24.890,24.990,24.990,24.990,24.980,24.800,24.800,24.600,24.690,24.770,24.790,24.990,24.890,24.970,25.080,25.280,25.480,25.480,25.480,25.380,25.480,25.580,25.580,25.580,25.530,25.480,26.070,26.170,26.070,25.980,25.980,26.070,26.080,26.150,26.270,26.460,26.470,26.470,26.380,26.380,26.760,27.530,27.350,27.660,27.450,27.260,27.370,26.980,27.160,26.980,27.680,27.780,28.050,28.150,28.640,28.640,28.520,28.650,28.650,28.760,28.640,28.660,28.970,28.860,29.350,29.350,29.350,29.350,29.800,30.170,30.170,30.080,30.260,30.270,30.090,30.800,30.980,30.980,31.360,30.300,30.870,30.670,30.480,30.770,30.390,29.910,30.020,30.110,29.910,29.810,30.020,30.020,29.860,29.860,30.140,29.680,29.810,30.020,30.020,29.930,29.930,29.930,30.130,30.140,30.340,30.250,30.550,30.300,30.370,-,35.000,30.610,30.250,30.380,30.970,30.260,30.350,32.270,30.170,31.030,31.160,32.640,32.230,32.760,33.090,32.990,32.790,33.430,33.430,33.630,33.810,33.910,33.910,36.150,36.510,36.350,36.510,36.170,36.170,36.200,36.380,35.900,35.900,36.000,35.710,35.980,36.160,35.980,36.460,36.520
5,Cabai Merah Keriting,35.520,35.230,34.200,34.650,33.970,36.240,38.240,38.530,39.910,41.540,41.310,39.650,39.840,37.670,37.720,36.450,35.610,33.910,33.630,33.670,33.920,35.850,36.630,38.510,38.620,38.400,38.770,41.450,41.120,40.500,39.490,38.840,37.530,37.730,37.920,38.970,38.590,38.530,38.330,38.710,37.970,38.510,38.940,37.520,35.970,35.020,35.310,36.060,36.160,37.920,35.760,40.010,39.240,41.150,41.150,42.680,43.280,41.950,41.930,40.300,38.960,39.820,38.770,38.970,38.970,39.100,39.860,39.010,39.690,38.870,38.870,38.620,36.640,36.540,36.460,35.870,36.260,35.610,36.000,34.580,34.260,33.480,33.280,31.340,29.390,29.200,26.130,25.450,24.750,24.880,23.350,23.490,24.230,24.660,24.860,24.770,24.880,25.800,26.600,26.120,26.050,25.560,26.690,27.120,26.480,26.770,27.150,28.720,30.970,32.560,-,30.000,31.430,31.840,30.540,28.280,26.800,25.950,24.000,23.900,24.250,22.780,22.480,22.480,22.800,22.270,22.270,21.580,20.900,20.900,20.220,20.500,20.310,20.330,20.740,20.500,19.580,19.540,19.390,20.170,20.170,19.560,19.730,19.810,19.710,19.710,19.850,20.040,20.130,19.580,20.900
6,Cabai Rawit Merah,50.090,50.590,52.760,53.120,52.610,55.040,56.990,57.670,57.740,58.920,60.450,55.600,54.630,54.600,53.530,53.320,53.320,53.530,52.430,52.990,52.430,53.320,53.900,53.560,53.900,55.750,54.440,54.530,54.580,53.350,54.530,54.530,53.380,53.280,53.380,53.420,54.050,55.160,55.210,54.680,55.210,54.620,53.900,49.560,53.460,54.100,52.200,53.640,49.990,51.550,52.610,48.700,50.040,51.550,51.550,52.790,52.790,53.150,53.780,53.780,53.910,52.770,54.070,56.080,55.540,56.160,55.700,54.790,56.660,54.170,53.690,53.910,53.960,53.960,53.960,53.840,52.680,55.130,54.600,53.460,53.090,53.460,54.020,51.010,49.990,50.420,50.520,50.520,49.280,46.010,46.210,44.850,45.720,42.780,43.350,43.710,42.970,44.190,43.710,43.060,39.370,40.040,40.040,40.960,40.980,42.740,42.010,40.590,41.820,41.820,-,50.000,39.360,42.030,44.080,44.040,44.040,43.050,40.650,41.190,38.050,37.030,35.840,35.840,35.840,32.800,34.280,34.110,30.190,29.840,28.740,29.080,28.500,28.500,28.020,27.970,26.400,25.990,26.400,26.460,27.120,26.780,28.070,28.070,27.800,28.280,28.070,27.490,28.550,28.280,27.810
7,Daging Sapi Murni,131.650,131.410,131.850,131.410,131.850,131.410,132.730,131.410,131.410,131.850,130.820,131.650,131.410,132.730,131.410,131.410,131.650,131.410,131.850,131.650,133.080,131.650,131.410,131.850,130.970,130.970,130.970,132.690,130.970,130.970,131.470,130.970,132.390,132.070,133.130,130.970,132.070,131.840,131.450,131.840,130.310,132.670,130.950,131.650,132.370,132.370,132.370,132.050,132.370,130.950,132.050,132.370,132.050,132.370,132.050,133.110,132.910,132.050,132.370,132.050,132.370,131.650,133.620,132.670,132.670,132.930,134.900,133.300,132.670,132.930,133.460,132.670,134.580,133.270,133.810,133.660,136.320,136.490,136.560,142.330,140.500,134.910,133.500,135.960,136.720,133.500,135.980,134.220,134.570,134.220,137.370,136.100,134.220,135.980,135.760,134.930,134.920,137.990,134.920,134.920,137.080,134.920,135.550,134.920,137.920,137.320,137.680,141.750,147.700,150.780,-,150.000,136.870,136.870,137.040,134.920,136.360,134.870,136.480,134.170,134.870,138.820,134.870,134.470,133.870,137.610,133.220,134.000,135.540,133.590,135.130,133.160,136.440,134.120,134.840,137.300,135.480,136.430,135.480,137.070,135.480,135.480,136.320,134.860,134.880,135.570,136.320,135.570,135.570,137.570,136.400
8,Daging Ayam Ras,41.220,39.820,38.760,37.650,37.240,37.240,37.240,37.050,36.420,35.560,35.210,35.230,34.730,34.760,34.940,34.660,34.070,33.510,32.990,32.800,32.180,32.300,32.210,32.210,31.940,31.080,31.170,30.280,30.350,30.280,29.780,29.830,29.960,29.960,29.960,29.960,29.730,30.660,29.730,30.280,30.490,30.810,30.910,30.810,31.620,31.510,31.430,31.680,31.620,31.790,31.590,31.190,31.190,31.400,31.400,31.210,31.210,31.420,31.810,31.810,32.020,31.910,31.690,31.810,31.910,31.940,31.940,32.050,32.240,32.370,32.050,32.160,32.560,32.560,32.650,32.920,33.320,33.820,33.820,33.930,34.190,33.840,33.420,33.740,32.740,33.520,31.920,31.820,32.010,31.050,31.570,30.730,30.540,28.630,28.840,27.910,28.040,27.720,27.940,28.460,29.460,30.140,30.250,30.970,31.750,31.980,32.480,34.510,36.720,36.560,-,38.000,37.560,36.280,36.940,36.860,36.650,37.000,35.800,35.580,35.920,35.530,35.030,35.280,36.000,35.710,35.600,36.120,36.810,36.990,36.600,36.930,37.500,38.410,39.130,39.920,40.230,40.260,40.220,40.550,40.650,41.030,41.040,41.150,40.960,40.760,40.660,40.450,40.450,39.400,39.430
9,Telur Ayam Ras,27.840,27.790,27.890,27.740,27.840,27.790,27.690,27.480,27.580,27.580,27.760,27.690,27.540,27.640,27.530,27.530,27.530,27.530,27.330,27.430,27.340,27.340,27.340,27.340,27.340,27.220,27.440,27.090,27.090,27.090,27.370,27.190,27.090,26.980,27.090,27.090,26.420,26.520,26.420,26.520,26.420,26.310,27.250,26.420,26.230,26.230,26.230,26.230,26.130,25.880,25.880,25.880,25.880,25.880,25.880,25.160,25.160,25.160,24.940,24.990,24.990,24.990,24.990,24.550,24.550,24.720,24.720,24.720,24.720,24.320,24.770,24.960,25.160,25.250,25.540,25.430,26.050,26.340,26.540,27.140,26.880,27.690,27.690,27.590,27.540,27.540,27.230,27.230,27.230,27.230,27.090,26.920,27.130,27.020,26.910,26.670,26.670,26.580,26.620,26.520,26.520,26.520,26.520,26.520,26.690,26.720,26.720,27.390,27.710,27.590,-,27.930,27.270,27.340,27.380,27.190,27.080,27.080,27.080,26.990,26.780,26.870,26.780,26.780,26.830,26.930,26.930,26.630,26.580,26.580,26.680,26.580,26.580,26.920,26.970,27.470,27.420,27.540,27.530,27.630,27.630,27.630,27.810,27.810,27.810,27.810,27.760,27.710,27.760,27.810,27.740
