,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,14.680,14.630,14.680,14.770,14.710,14.630,14.800,14.490,14.630,14.650,14.700,14.540,14.760,14.780,14.780,14.660,14.660,14.690,14.760,14.760,14.800,14.730,14.700,14.760,14.660,14.690,14.760,14.730,14.660,14.760,14.780,14.950,14.960,15.060,14.950,14.770,14.950,14.960,14.960,14.760,14.900,14.940,14.850,14.950,15.000,15.000,14.900,15.000,15.010,15.090,15.090,15.100,15.090,15.090,15.090,15.130,15.090,15.100,15.000,15.090,14.940,15.090,15.110,15.110,15.090,15.060,15.060,15.160,15.120,15.060,15.140,15.210,15.140,15.160,15.200,15.010,15.130,15.230,15.140,15.140,15.140,15.160,15.120,15.140,15.120,15.120,15.380,15.180,15.130,15.030,15.200,15.260,15.390,15.280,15.260,15.360,15.28,15.28,15.28,15.26,15.3,15.3,15.28,15.18,15.31,15.28,15.26,15.23,15.18,15.2,15.19,15.02,15.2,15.11,15.18,15.18,15.26,15.28,15.17,15.18,15.3,15.04,15.43,15.37,15.43,15.38,15.5,15.45,15.5,15.45,15.51,15.5,15.59,15.5,15.55,15.59,15.710,15.55,15.74,15.61,15.55,15.59,15.59,15.56,15.61,15.85,15.71,15.83,15.85,15.62,15.57
1,Beras Medium,12.670,12.760,12.490,12.760,12.490,12.400,12.730,11.970,12.330,12.380,12.470,12.710,12.600,12.820,12.680,12.600,12.600,12.600,12.710,12.710,12.890,12.650,12.770,12.690,12.690,12.720,12.660,13.000,12.660,12.550,12.690,13.000,12.780,12.870,13.000,12.610,12.730,12.950,12.950,12.700,12.910,13.040,12.730,12.930,13.050,12.950,12.920,12.930,13.250,12.890,12.890,12.890,12.890,12.980,12.980,13.250,13.020,13.410,13.030,13.070,13.060,13.020,13.210,13.340,13.020,12.920,12.920,13.190,13.190,13.260,13.240,13.240,13.240,13.170,13.280,13.250,13.280,13.500,13.300,13.180,13.180,13.180,13.180,13.110,13.280,13.260,13.600,13.450,13.560,13.510,13.510,13.600,13.790,13.560,13.600,13.740,13.56,13.56,13.56,13.6,13.6,13.6,13.56,13.56,13.56,13.6,13.6,13.45,13.56,13.44,13.85,13.44,13.51,13.35,13.35,13.35,13.52,13.55,13.42,13.44,13.6,13.42,13.58,13.58,13.62,13.53,13.73,13.7,13.73,13.76,13.76,13.73,13.79,13.67,13.76,13.68,13.640,13.76,13.81,13.73,13.65,13.79,13.79,13.76,13.8,13.82,13.8,13.8,13.71,13.77,13.74
2,Kedelai Biji Kering (Impor),16.090,16.080,16.080,16.080,16.740,16.740,16.740,16.000,16.740,16.740,16.740,16.800,16.800,16.740,16.740,16.740,16.800,16.800,16.790,16.800,16.790,16.900,16.740,16.800,16.010,16.010,16.010,16.010,16.010,16.740,16.010,16.010,16.010,16.010,16.010,16.740,16.010,16.010,16.010,16.740,16.010,16.010,16.740,16.010,16.010,16.010,16.010,16.010,16.010,16.010,16.010,15.390,16.010,16.010,16.010,16.010,16.010,16.010,16.010,16.010,16.740,16.010,16.010,16.010,16.010,16.010,16.010,16.010,16.110,16.110,16.100,15.920,16.010,16.010,16.110,16.810,16.810,16.060,16.010,16.060,16.110,15.460,16.110,16.090,16.060,16.060,16.340,16.340,16.340,16.340,16.340,16.340,16.340,16.340,16.340,16.340,16.34,16.34,16.34,16.34,16.34,16.34,16.34,16.34,15.82,15.82,16.34,16.34,16.81,16.34,17.23,16.34,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.81,16.06,16.06,16.06,16.06,15.7,15.68,15.68,15.59,15.32,15.32,15.32,15.32,15.32,15.32,15.160,15.32,15.16,15.23,15.6,15.6,15.6,15.6,15.28,15.35,15.66,15.28,15.5,15.71,15.48
3,Bawang Merah,46.620,46.160,46.040,46.860,47.300,46.280,46.010,49.540,45.910,45.110,45.450,46.090,45.610,46.020,46.020,47.020,47.820,46.370,45.930,46.840,44.800,44.860,46.300,44.860,47.320,45.330,46.050,46.580,47.470,45.930,45.960,46.670,46.400,47.220,46.760,46.090,46.530,47.050,47.050,47.030,47.530,47.000,47.180,47.300,47.300,46.300,47.040,46.150,45.710,46.600,46.150,46.280,46.150,46.600,46.600,44.750,46.330,46.420,46.070,45.970,44.620,45.770,44.640,44.380,45.450,46.390,44.740,44.770,44.260,45.100,44.990,44.530,44.910,42.920,44.710,44.640,43.350,43.970,44.890,45.080,46.780,46.390,46.220,46.120,47.520,47.650,47.650,48.160,46.330,45.020,45.070,45.190,45.510,44.000,45.550,43.720,43.36,43.79,44.0,44.77,44.56,44.35,43.78,43.87,42.7,43.6,43.84,44.36,43.71,45.77,45.39,44.25,43.17,41.73,43.08,43.51,43.17,42.45,42.37,42.34,42.51,42.41,44.52,43.73,44.57,44.63,47.72,50.51,50.66,49.01,48.73,50.13,49.1,49.68,51.98,53.31,50.890,52.75,50.2,52.84,51.61,53.8,53.44,53.6,53.18,52.1,52.31,52.28,53.05,49.03,52.51
4,Bawang Putih Bonggol,35.160,35.180,36.080,35.550,34.680,34.980,32.910,32.460,34.740,35.320,33.650,35.150,35.150,34.230,34.070,35.900,36.760,36.160,35.090,37.630,34.830,35.370,35.320,34.770,37.030,36.930,35.560,36.090,36.770,35.980,36.940,35.960,35.870,35.980,35.410,34.780,35.000,36.030,36.030,35.480,36.760,35.870,36.550,35.570,36.990,35.140,36.320,35.920,35.170,36.270,35.800,35.690,35.630,36.070,36.070,34.540,36.070,35.880,36.480,36.230,35.020,36.230,35.040,35.040,36.050,36.600,36.290,35.930,37.340,36.780,36.270,37.980,37.390,37.200,37.970,37.970,37.610,39.210,38.780,38.290,39.020,40.320,39.020,38.890,39.710,41.280,42.240,43.410,40.700,40.900,40.230,40.770,41.060,39.400,39.550,38.720,38.93,39.3,39.58,39.43,39.28,39.41,39.13,39.72,39.32,39.93,39.1,38.66,38.28,39.37,38.79,36.72,36.84,36.46,37.58,38.41,38.09,37.84,38.26,39.1,39.32,39.15,39.62,40.16,40.29,40.16,41.23,41.59,41.76,40.68,41.03,40.86,40.51,40.62,41.75,40.95,40.300,40.56,41.95,40.7,43.84,43.61,44.35,44.01,45.34,45.32,44.38,46.61,45.23,46.22,44.18
5,Cabai Merah Keriting,53.030,49.020,51.690,44.050,51.160,44.780,44.710,65.300,45.810,46.130,47.510,51.050,50.910,43.170,46.560,49.790,53.930,51.900,49.160,52.460,43.250,49.160,43.110,49.970,51.220,51.410,47.820,49.000,51.140,47.750,49.310,46.520,49.470,50.530,45.460,47.810,47.560,50.040,48.980,48.860,48.050,47.540,49.060,49.620,48.380,46.800,47.940,49.990,42.340,48.760,47.870,47.290,47.940,53.590,53.020,47.870,52.430,50.650,50.570,51.630,44.590,52.450,48.070,49.930,57.490,59.850,57.260,58.460,62.180,53.860,57.140,56.720,56.530,55.370,59.020,56.240,55.390,58.920,59.460,58.830,59.700,60.380,59.770,59.210,60.850,61.050,63.550,67.610,62.240,59.740,59.880,63.960,64.270,56.720,56.420,54.130,54.75,53.69,57.88,58.22,55.8,55.65,54.53,54.42,57.24,60.37,58.54,61.5,58.1,56.0,56.58,51.07,51.36,52.05,55.5,51.99,54.31,52.13,53.64,53.96,55.9,50.14,55.64,56.3,58.12,50.59,55.27,53.25,51.8,53.81,54.28,51.93,56.88,50.89,52.1,57.33,51.820,56.11,60.92,64.15,64.84,67.54,67.65,66.41,65.43,67.91,64.29,67.11,69.7,68.2,63.66
6,Cabai Rawit Merah,93.250,84.960,83.940,85.300,89.250,79.510,87.610,103.320,79.860,84.010,89.700,90.440,89.750,82.770,76.800,86.400,92.690,88.120,82.790,88.460,67.790,73.900,68.650,74.030,82.770,78.770,75.360,78.740,86.110,73.520,74.990,68.950,73.930,71.380,51.940,71.700,67.910,72.060,59.080,67.520,67.610,64.650,67.260,68.330,67.960,57.710,58.640,60.320,52.210,60.470,57.620,57.970,60.920,60.200,61.590,54.870,62.550,61.410,58.350,60.050,51.990,61.380,53.160,54.940,65.210,70.280,65.360,68.380,69.330,64.500,69.340,70.120,68.610,63.450,74.150,69.020,66.320,68.410,69.150,71.120,71.520,74.760,74.120,77.010,61.680,75.250,75.450,78.270,68.180,63.300,63.440,71.470,68.670,62.250,67.430,55.560,61.46,60.22,65.28,63.2,63.03,61.34,58.17,59.16,55.6,60.24,59.5,69.26,63.35,63.88,70.56,63.47,52.9,51.4,56.45,54.12,57.49,49.12,48.96,46.48,51.15,43.15,47.94,49.92,53.58,45.92,54.06,46.87,42.53,49.13,48.79,42.89,52.59,42.75,48.5,53.8,38.340,51.56,51.22,58.75,64.76,61.42,62.21,60.51,63.17,68.73,55.55,39.27,72.84,73.96,64.15
7,Daging Sapi Murni,116.330,114.200,119.830,113.070,121.180,119.970,117.580,131.770,119.970,121.720,122.870,119.750,119.750,114.910,114.890,116.710,114.080,116.710,119.750,115.140,115.240,124.180,109.860,120.860,118.560,120.770,120.860,119.180,118.560,120.770,120.770,116.590,120.770,120.860,116.590,120.770,120.860,120.770,120.770,120.770,119.980,114.350,121.050,121.050,120.060,120.070,118.870,120.060,112.950,120.060,120.060,122.830,120.060,120.060,120.060,116.140,121.050,117.920,118.870,121.980,115.680,121.980,117.620,117.620,121.980,121.020,120.200,123.570,122.510,118.870,121.050,122.510,121.050,121.180,119.980,117.360,119.970,121.050,121.050,121.050,121.980,123.980,121.980,124.090,120.060,120.060,120.060,118.870,115.830,113.930,118.710,120.060,120.070,120.070,120.060,114.470,122.23,122.23,123.57,121.98,121.98,121.98,122.23,117.92,126.32,126.42,123.17,122.34,123.78,120.96,123.48,117.8,117.8,115.45,120.84,120.84,122.83,123.19,116.89,118.84,122.83,114.66,121.86,117.55,121.65,119.47,121.65,119.53,119.47,121.65,121.86,114.66,121.65,114.66,119.53,121.65,120.230,117.55,122.87,118.68,120.65,121.65,121.65,118.57,119.47,120.12,113.18,115.3,120.12,120.12,108.28
8,Daging Ayam Ras,46.960,46.550,47.530,47.190,47.370,46.500,46.290,46.530,46.500,46.000,46.480,47.420,47.420,46.250,46.250,45.940,46.020,45.930,46.570,46.020,46.630,47.360,43.960,46.570,46.570,46.420,46.570,46.810,46.570,45.640,46.420,46.250,46.570,47.290,46.240,45.360,46.730,46.570,46.570,45.490,46.260,46.850,46.030,46.590,46.590,46.750,46.170,46.500,45.860,46.500,46.500,45.730,46.500,46.500,46.500,46.870,46.500,46.170,46.170,46.500,45.650,46.500,46.300,46.300,46.500,46.870,46.660,46.980,47.040,46.440,46.750,46.900,46.750,46.930,47.600,45.910,47.080,47.160,47.160,47.360,47.550,46.860,47.550,48.020,47.140,47.550,47.550,47.810,47.310,46.520,47.070,47.570,48.060,47.720,47.460,48.500,47.95,48.11,48.22,47.82,47.82,47.62,47.88,47.79,47.6,47.33,48.2,48.29,48.01,48.13,47.52,47.66,47.39,46.69,47.14,47.14,47.81,48.1,48.27,47.39,47.79,46.13,47.7,47.58,47.79,47.92,48.24,47.62,47.92,47.62,48.58,47.66,48.5,47.66,47.89,48.5,48.610,48.8,49.79,48.01,49.13,48.54,48.54,48.11,48.9,50.19,47.46,50.21,50.19,48.79,49.86
9,Telur Ayam Ras,36.360,38.390,37.090,38.060,36.260,37.170,35.270,33.970,36.520,36.800,35.640,35.550,35.550,35.270,35.290,36.390,36.730,36.050,35.780,36.970,35.550,35.630,36.560,36.280,37.240,36.520,36.470,35.790,37.240,36.910,36.530,35.780,36.530,37.260,35.880,36.100,36.490,36.530,36.530,36.910,36.610,35.900,36.380,36.000,35.950,36.080,37.080,36.310,35.910,36.160,36.370,36.030,36.370,36.310,36.270,34.920,36.370,35.800,36.840,36.370,36.350,36.370,35.000,35.460,35.990,36.410,35.950,35.310,35.840,36.300,35.570,34.950,35.370,35.210,36.470,37.460,36.860,35.830,35.940,36.040,36.040,35.660,36.040,36.340,35.970,35.970,36.180,36.810,35.680,36.260,37.610,37.420,37.240,36.980,37.190,36.740,36.98,36.98,36.93,37.1,37.06,37.06,36.75,36.04,36.24,36.2,37.56,37.48,37.08,36.94,38.53,37.32,37.85,36.15,37.77,37.08,36.64,36.2,35.77,35.5,36.27,36.73,36.9,35.71,36.47,36.71,36.39,36.85,36.83,36.97,36.21,36.2,36.16,36.14,37.28,36.9,37.790,36.18,35.84,35.58,37.69,37.04,36.83,36.39,38.14,38.41,36.62,36.98,38.41,38.38,38.7
