Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.040,12.040,12.120,12.040,12.170,12.170,12.090,-,12.010,12.010,12.010,11.820,12.010,11.820,12.010,12.020,12.020,12.020,11.970,11.970,11.970,11.970,11.970,12.050,11.970,12.000,11.970,11.970,11.960,11.960,11.960,11.960,11.960,11.960,12.040,11.950,12.040,12.040,12.060,12.190,12.190,12.190,12.190,12.250,12.380,12.380,12.370,12.440,12.110,12.470,12.540,12.550,12.540,12.540,12.540,12.540,12.490,12.500,12.500,12.500,12.530,12.530,12.530,12.470,12.470,12.340,12.340,12.310,12.250,12.240,12.240,12.260,12.260,12.380,12.440,12.470,12.470,12.470,12.470,12.540,12.470,12.470,12.470,12.470,12.430,12.430,12.500,12.580,12.410,12.490,12.460,12.460,12.530,12.390,12.390,12.390,12.56,12.56,12.56,12.39,12.56,12.56,12.56,12.56,12.48,12.56,12.56,12.56,12.56,12.56,13.000,13.000,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.63,12.63,12.630,12.66,12.66,12.71,12.71,12.71,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56
Beras Medium,10.900,10.910,10.990,10.900,11.070,10.980,10.980,-,10.980,10.980,10.980,10.980,10.980,10.980,10.980,11.030,11.030,11.030,10.590,10.780,10.760,10.760,10.760,10.700,10.400,10.190,10.090,10.090,10.110,10.110,10.050,10.040,10.170,10.030,10.040,10.100,10.090,10.010,10.010,10.340,10.340,10.470,10.470,10.430,10.360,10.280,10.020,10.550,10.550,10.580,11.130,11.130,11.130,10.220,11.140,11.170,11.080,11.090,10.530,11.070,10.850,10.770,11.170,11.120,10.570,10.570,10.480,10.440,10.440,10.840,10.840,10.810,10.820,11.000,11.120,11.120,11.200,10.960,11.050,11.260,11.190,11.260,11.190,11.170,11.160,11.160,11.600,11.380,11.210,11.290,11.300,11.300,11.360,11.550,11.550,11.550,11.39,11.39,11.34,11.5,11.34,11.34,11.31,11.31,11.29,11.31,11.31,11.31,11.31,11.31,12.000,11.490,11.31,11.31,11.31,11.31,11.31,11.31,11.34,11.34,11.34,11.31,11.31,11.340,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.48,11.48,11.51,11.48,11.48,11.48,11.3,11.48,11.39,11.48,11.48,11.48,11.48
Kedelai Biji Kering (Impor),16.000,16.000,16.000,16.000,16.000,16.000,16.000,-,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,16.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-,-,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.000,14.0,14.0,13.49,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.98,12.98,12.98,12.38,12.38,12.38,12.38,12.38,12.23,12.38,12.38,12.38,12.38
Bawang Merah,35.650,33.520,34.980,34.980,34.980,34.790,34.980,-,34.980,34.860,35.630,35.630,35.310,34.420,34.830,36.020,35.710,35.390,36.260,35.170,34.360,34.860,33.950,31.920,32.930,33.530,34.570,34.490,34.790,34.640,34.490,34.490,34.790,35.690,35.690,36.770,36.990,36.770,36.770,38.070,38.270,38.120,38.640,38.310,37.930,37.930,37.100,37.740,37.740,36.810,36.810,35.590,36.000,35.770,35.460,35.460,35.460,34.900,33.820,33.820,33.820,33.590,33.560,33.180,33.560,32.980,31.270,31.480,31.340,31.770,32.390,32.390,32.030,32.870,31.430,31.130,31.530,30.920,31.100,30.670,31.110,30.940,30.410,30.780,30.780,30.570,30.400,30.050,29.880,29.710,29.710,29.000,29.390,29.560,28.990,29.030,30.07,29.05,29.31,29.48,29.87,29.87,29.73,29.73,30.21,29.9,30.08,30.78,31.22,31.58,37.500,32.400,31.22,31.22,31.22,31.58,31.22,32.09,31.72,31.72,32.81,35.15,35.15,35.150,35.9,36.11,36.48,36.05,35.71,38.6,38.97,39.53,40.4,39.92,39.15,39.15,39.15,39.15,39.15,39.72,39.8,40.14,40.14,39.66,39.66,39.15,37.31,38.46,37.72,36.33,36.33
Bawang Putih Bonggol,27.110,28.440,26.800,27.110,26.940,26.940,26.780,-,26.780,26.780,26.780,27.600,27.600,26.780,26.780,26.610,27.300,27.300,27.450,27.820,27.820,28.160,27.450,27.270,27.760,27.430,27.430,27.430,27.600,27.430,27.750,27.750,27.750,27.750,27.600,28.220,28.220,28.220,28.000,28.480,28.480,29.060,28.480,28.480,28.840,28.840,27.940,28.630,29.380,29.540,29.540,28.610,28.460,28.610,28.780,28.780,28.960,28.790,29.730,29.900,31.220,30.860,30.860,30.860,30.900,31.040,31.400,31.580,31.400,31.250,31.250,31.250,31.250,31.430,31.430,31.600,31.750,31.750,31.750,31.750,31.750,31.750,31.750,31.750,31.750,31.120,31.770,31.300,30.660,31.280,31.110,30.780,30.780,30.630,30.630,31.470,30.63,30.78,30.63,30.78,30.56,30.56,30.78,30.95,30.95,30.95,31.12,31.48,31.48,31.65,37.500,33.540,31.12,30.95,30.95,31.31,31.31,32.15,31.44,31.44,31.77,32.49,32.49,32.490,33.01,33.17,34.04,34.04,34.04,34.92,34.92,35.27,35.27,36.1,36.1,36.46,36.46,37.14,37.79,37.41,38.5,37.93,37.93,37.1,37.27,37.11,35.37,37.44,37.44,36.49,36.49
Cabai Merah Keriting,22.880,22.200,22.000,22.000,21.850,21.850,21.640,-,21.840,21.190,21.390,21.920,21.920,21.120,22.060,23.840,23.330,23.330,23.050,22.870,22.870,22.870,22.840,23.140,23.580,22.830,22.830,22.830,23.200,22.980,23.020,22.180,22.180,23.240,22.750,22.590,22.600,22.540,23.580,25.890,25.890,25.130,26.940,26.430,25.990,26.330,25.990,26.980,27.090,28.660,27.100,27.810,27.620,27.670,28.340,28.340,28.140,28.870,30.060,29.820,31.950,33.470,32.620,32.970,33.490,33.470,35.400,36.520,37.830,37.650,37.590,38.870,39.620,40.430,41.960,41.760,43.300,44.540,45.000,46.310,45.990,49.440,50.390,50.220,50.050,49.430,45.670,44.810,41.300,39.450,34.530,34.220,32.820,30.660,31.050,32.560,32.81,32.17,31.83,31.92,32.26,31.18,25.86,27.27,29.53,29.29,30.64,32.56,34.16,36.29,47.500,30.820,36.22,35.13,33.72,33.67,29.05,29.97,28.66,28.13,27.36,25.3,24.92,25.130,25.63,25.42,24.92,25.53,26.02,25.53,26.12,26.17,26.35,27.1,28.43,27.63,28.83,29.46,30.75,31.13,31.22,30.92,30.92,32.09,31.27,32.75,30.97,31.92,32.06,32.9,32.38
Cabai Rawit Merah,36.640,36.250,36.250,36.250,39.600,40.390,40.870,-,40.390,37.930,37.750,38.910,38.730,38.730,40.830,39.790,39.100,39.460,41.550,40.440,39.410,40.040,39.030,36.660,36.470,35.830,36.080,35.690,36.160,35.740,35.660,35.280,34.390,34.580,34.580,35.320,35.700,35.700,35.700,35.320,35.320,35.320,35.140,34.700,34.280,34.280,34.420,35.290,35.900,35.160,36.250,36.250,36.450,36.370,37.590,37.590,37.850,38.700,40.330,40.330,41.340,45.820,45.820,46.150,46.360,46.360,48.160,47.790,51.140,50.520,52.410,54.390,55.840,56.490,56.490,54.720,55.490,56.410,56.410,60.110,59.070,57.680,56.300,55.660,55.410,55.270,50.690,49.280,46.060,42.480,40.360,41.000,39.120,37.380,37.900,37.820,36.73,36.73,37.69,35.86,35.86,35.18,32.31,31.92,31.99,30.53,31.65,32.57,32.57,32.59,37.500,33.540,33.79,35.24,35.24,34.76,32.29,32.07,31.47,31.47,29.56,27.02,26.82,26.200,25.35,26.82,25.3,24.86,25.63,25.63,25.63,25.39,25.39,26.5,24.34,24.67,25.73,25.28,24.28,24.89,24.6,24.17,24.45,24.7,24.89,24.74,24.49,25.51,25.51,25.36,25.36
Daging Sapi Murni,127.480,127.480,127.480,127.480,127.480,127.480,127.480,-,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,127.480,126.180,126.180,126.180,126.180,126.180,126.180,126.180,126.180,126.180,126.180,126.180,127.420,127.420,126.180,127.420,127.420,126.180,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.420,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,128.980,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.940,127.94,127.94,127.94,127.94,127.94,127.94,127.94,127.94,127.94,128.57,130.0,131.94,139.86,137.8,130.000,130.000,130.0,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.980,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,128.98,127.94,127.94,127.94,127.94,127.94,127.94,127.94
Daging Ayam Ras,30.080,30.420,30.600,30.600,30.420,30.420,30.420,-,30.240,30.240,30.410,30.410,30.410,30.410,30.410,30.410,30.410,30.410,30.240,30.430,30.430,30.240,30.240,30.240,30.240,29.900,29.900,29.900,29.900,29.710,29.190,29.190,29.530,29.190,29.530,29.370,29.370,29.370,29.460,29.370,29.370,29.370,29.370,29.370,29.540,29.540,29.450,29.730,29.730,29.370,29.370,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.170,29.170,29.170,29.170,29.080,29.620,29.630,29.520,29.520,29.720,29.890,29.890,30.210,30.210,30.210,30.210,30.210,29.890,30.240,31.070,30.890,30.890,30.890,30.570,30.370,30.210,30.280,30.280,29.900,29.900,30.070,29.900,30.070,29.380,29.380,29.210,29.55,29.21,29.21,29.37,29.21,29.37,29.39,29.21,29.38,29.73,30.08,31.25,33.28,33.06,30.000,30.980,33.06,32.59,32.59,32.59,32.07,32.07,31.82,32.07,31.15,31.31,31.31,31.310,31.31,31.62,31.28,31.44,31.12,31.02,30.98,30.95,30.95,30.78,30.95,30.83,30.48,30.83,30.76,30.65,30.93,30.93,30.93,30.93,31.26,31.09,30.94,30.94,31.11,31.11,31.11
Telur Ayam Ras,27.260,27.920,27.260,27.260,27.260,27.110,27.260,-,27.230,26.920,26.920,27.240,27.240,27.020,27.020,27.020,27.020,27.020,26.860,26.860,26.860,27.030,26.700,26.700,26.700,26.610,27.190,27.190,27.190,27.400,27.570,27.350,27.350,27.530,27.150,27.380,27.200,27.200,27.290,27.130,27.130,27.130,27.130,27.130,27.750,26.830,27.110,26.920,26.840,27.660,27.010,26.830,26.900,26.400,26.400,26.370,26.540,26.540,26.180,26.180,25.840,25.630,25.570,25.470,25.630,25.500,25.670,26.110,25.970,25.970,26.490,26.730,26.540,27.010,27.700,27.880,27.880,28.050,28.110,27.940,27.940,27.940,27.940,27.940,27.640,27.370,27.690,27.600,27.270,27.020,27.020,27.090,27.260,27.260,27.260,27.260,27.26,27.21,27.52,27.39,27.47,27.47,27.47,27.5,27.42,27.33,27.5,28.02,27.66,27.66,27.500,26.220,27.84,28.03,28.03,28.03,27.78,27.69,27.69,27.69,27.64,27.64,27.64,27.940,27.94,27.94,27.94,27.5,27.67,27.91,28.15,28.15,28.15,28.68,28.31,29.58,29.58,29.77,29.73,29.73,30.16,30.35,29.95,30.7,30.65,30.87,29.75,30.46,30.3,30.13,30.29
