Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.870,12.880,12.870,12.870,12.880,12.770,12.880,13.000,12.770,12.770,12.880,12.880,12.880,12.870,12.880,12.940,12.940,12.930,12.940,12.940,12.940,12.940,12.940,12.880,12.910,12.910,12.910,12.910,13.010,12.950,12.950,12.990,13.010,13.030,13.030,13.060,13.020,13.140,13.190,13.190,13.190,13.190,13.190,13.190,13.300,13.470,13.610,13.630,13.630,13.630,13.630,13.580,13.490,13.550,13.550,13.500,13.320,13.130,13.130,13.130,13.130,13.030,13.030,13.030,13.030,13.020,12.970,13.020,13.020,12.970,13.080,13.080,13.080,13.020,13.190,13.190,13.080,13.220,13.180,13.000,13.160,13.220,13.220,13.220,13.220,13.330,13.330,13.330,13.330,13.330,13.330,13.330,13.410,13.410,13.410,13.360,13.3,13.36,13.36,13.36,13.24,13.24,13.35,13.24,13.28,13.35,13.35,13.41,13.41,13.35,13.35,13.33,13.22,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.33,13.25,13.37,13.21,13.33,13.22,13.33,13.27,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.33,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.33,13.33
Beras Medium,11.800,11.720,11.680,11.680,11.630,11.550,11.720,12.000,11.600,11.600,11.720,11.720,11.720,11.680,11.720,11.830,11.830,11.870,11.830,11.830,11.770,11.830,11.830,11.770,11.860,11.860,11.860,11.860,11.870,11.930,11.930,11.960,11.990,12.060,12.060,12.050,11.910,11.970,12.020,12.080,12.080,12.080,12.080,12.080,12.300,12.460,12.430,12.580,12.580,12.580,12.470,12.350,12.330,12.380,12.330,12.270,12.270,12.240,12.080,12.080,12.080,11.850,11.850,11.850,11.910,11.740,11.740,11.740,11.740,11.740,11.710,11.820,11.770,11.880,11.940,11.960,11.910,12.110,12.120,12.000,12.110,12.160,12.160,12.160,12.160,12.110,12.050,12.050,11.990,11.990,12.110,12.050,12.110,12.110,12.110,12.110,12.11,12.11,12.05,12.05,12.0,12.11,12.05,12.05,12.12,12.11,12.22,12.22,12.22,12.22,12.22,12.22,12.11,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.22,12.12,12.24,12.16,12.22,12.11,12.11,12.11,12.05,11.99,11.99,12.21,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.16,12.1,12.16,12.16
Kedelai Biji Kering (Impor),14.850,15.020,14.790,15.520,14.920,15.020,14.920,15.870,14.900,15.040,15.130,15.130,15.130,14.920,15.130,14.940,14.940,15.050,14.940,14.120,14.990,14.940,15.040,15.480,14.510,15.420,15.460,15.420,15.350,15.350,14.870,15.020,15.040,15.140,15.040,14.960,14.990,14.760,14.880,14.990,14.940,14.940,15.050,15.050,15.050,15.110,15.050,14.940,15.050,15.050,15.050,15.050,14.940,15.050,15.160,15.050,15.160,15.160,14.920,14.920,14.920,14.810,14.810,14.920,14.920,14.920,14.920,14.920,14.920,14.920,14.920,14.920,14.980,14.920,14.920,14.920,14.980,14.980,14.740,17.000,14.980,14.760,14.500,14.700,14.470,14.950,14.810,15.070,14.940,14.940,15.070,15.200,15.310,15.200,14.870,15.100,15.1,15.31,15.2,15.2,15.31,15.2,15.3,15.3,15.22,15.2,15.2,15.2,15.2,15.2,14.96,15.01,14.95,14.95,14.95,14.9,14.77,14.48,14.59,14.59,14.59,14.68,14.57,15.08,14.96,14.96,13.74,13.6,13.6,13.46,13.43,13.05,12.42,12.69,12.83,12.69,12.45,12.59,12.34,12.34,12.2,12.2,12.2,12.27,12.27,12.27,12.27,12.51,12.51,12.52,12.51
Bawang Merah,31.330,31.180,31.690,31.330,30.960,30.720,31.540,34.640,31.560,32.450,32.870,32.210,32.210,31.230,30.460,31.980,32.210,32.780,32.210,32.210,31.980,31.570,31.370,32.330,32.780,32.790,32.840,32.830,32.880,33.170,33.060,32.850,32.910,34.070,34.630,34.470,34.610,35.720,35.860,35.560,36.150,36.030,34.840,33.540,33.780,32.510,30.960,31.070,30.960,30.970,31.070,31.770,31.590,31.440,30.780,30.710,29.530,29.400,28.560,28.550,28.660,28.590,29.080,28.860,29.190,29.820,29.750,30.270,30.300,30.650,30.540,30.320,30.380,29.750,30.290,30.400,29.940,29.710,30.320,30.000,29.990,29.760,29.860,30.090,29.960,29.620,30.290,29.940,29.240,29.470,29.700,29.240,29.320,29.320,29.190,29.130,28.89,28.89,28.89,28.56,28.43,28.66,28.66,28.79,28.46,28.05,28.05,27.48,27.48,28.2,28.44,28.67,27.97,27.58,27.61,27.87,27.64,27.15,26.93,27.4,26.82,27.54,27.73,27.07,27.0,27.0,26.74,26.41,27.54,27.65,27.82,27.58,28.34,27.91,28.82,27.92,28.49,28.41,29.34,28.8,28.63,28.42,28.14,27.82,27.94,27.82,27.82,27.33,27.43,28.02,28.11
Bawang Putih Bonggol,21.970,21.970,21.600,21.600,21.410,21.090,21.200,21.490,21.830,22.740,22.760,22.970,22.970,22.840,22.740,23.090,23.190,23.100,23.190,22.980,22.980,22.630,22.780,23.210,23.500,23.560,23.680,23.680,23.640,23.910,24.250,23.960,24.280,24.570,24.570,24.330,24.340,24.450,24.450,24.400,24.510,24.280,24.100,24.100,23.880,23.870,23.990,24.100,24.100,23.990,24.210,24.540,25.360,25.240,24.910,25.370,25.840,25.810,26.830,26.460,26.460,26.560,26.450,26.750,27.160,27.710,27.900,28.230,28.560,28.770,30.330,30.470,29.920,30.280,30.200,30.420,29.860,30.090,30.230,30.000,30.200,30.120,28.700,28.950,27.910,27.480,28.980,28.540,27.750,27.400,27.180,27.080,27.270,27.370,27.160,27.210,27.3,27.31,27.31,26.87,26.97,26.98,26.95,26.95,27.45,26.85,26.85,27.61,27.61,28.08,27.97,28.86,28.3,28.07,28.52,28.18,28.18,27.51,27.19,27.97,27.72,28.46,28.98,29.54,29.09,29.09,30.16,30.53,31.23,31.23,31.52,31.72,32.18,32.77,32.29,32.96,32.51,32.85,32.52,32.63,32.6,32.82,33.06,32.6,32.82,32.7,32.7,32.63,32.7,32.47,33.14
Cabai Merah Keriting,30.490,30.190,30.820,31.290,31.290,29.720,29.720,-,28.230,32.930,32.930,35.540,35.540,37.610,34.820,34.820,34.220,34.220,31.850,30.430,29.450,30.380,30.380,31.940,32.700,32.510,33.130,32.930,33.130,35.330,39.390,36.610,34.250,36.040,36.900,41.540,41.810,41.960,43.470,44.030,44.030,44.030,45.470,45.470,44.030,44.720,44.720,44.720,44.720,43.030,43.880,43.300,43.480,44.850,43.840,43.840,45.650,44.610,44.040,43.200,44.040,42.720,42.720,41.060,46.000,40.400,40.400,40.840,40.840,40.890,43.470,43.470,43.700,40.540,40.750,38.720,40.320,40.320,38.970,45.000,40.400,41.700,41.360,41.360,40.950,40.540,40.540,40.540,36.580,37.570,39.800,37.220,36.000,33.680,31.730,31.730,29.83,30.77,32.4,32.4,30.96,30.96,30.77,30.77,29.79,31.91,30.8,31.72,33.1,36.58,36.99,36.99,34.47,33.33,34.47,35.2,36.75,34.38,33.08,31.83,32.46,32.46,29.13,28.84,28.84,28.84,30.27,27.97,30.84,30.67,30.84,30.84,29.03,28.56,28.56,29.33,29.03,30.85,30.85,30.85,31.51,31.81,32.8,31.81,30.97,30.67,30.97,30.71,29.9,29.37,29.37
Cabai Rawit Merah,76.610,71.330,71.850,69.090,69.120,65.220,62.730,57.010,59.250,60.270,60.190,58.900,57.820,54.970,47.920,45.260,44.560,44.040,45.020,43.850,43.990,45.590,46.300,47.020,48.980,49.290,48.390,51.040,50.240,50.240,49.750,49.010,49.440,50.700,50.520,52.500,52.790,53.490,53.810,54.050,57.590,57.610,60.060,59.010,60.050,61.460,63.270,63.630,62.380,63.490,63.060,62.620,62.940,62.340,62.570,61.520,60.460,59.060,58.180,59.110,62.210,63.080,63.490,70.320,72.220,73.350,73.530,74.200,73.510,74.100,73.100,72.850,72.250,74.600,75.810,76.510,77.140,78.740,79.830,70.000,80.410,78.250,76.710,76.350,66.450,54.660,56.670,52.820,49.730,43.800,42.940,41.000,37.700,35.600,33.620,33.640,30.65,31.82,32.09,28.94,28.53,27.65,27.95,27.39,27.66,27.28,27.16,27.82,28.07,28.1,28.78,29.83,29.18,29.44,27.63,26.92,26.05,25.83,26.13,25.59,25.42,23.98,23.87,22.43,23.08,22.51,23.41,22.37,23.86,24.8,25.36,25.2,24.91,25.31,26.8,28.58,27.07,30.46,31.77,32.82,35.99,37.64,37.87,35.98,36.05,35.91,36.53,35.52,34.59,33.76,34.36
Daging Sapi Murni,114.080,113.490,112.440,114.080,113.490,112.090,112.090,110.000,113.050,112.090,112.090,113.490,113.490,112.440,113.490,113.490,113.490,112.440,113.490,113.500,113.390,113.390,113.390,113.390,113.390,113.350,113.390,113.350,113.390,113.970,113.390,113.510,113.970,113.390,113.390,113.490,113.490,113.490,113.490,113.490,113.490,113.490,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,112.020,114.210,114.940,114.940,116.380,115.670,115.670,114.940,115.670,115.670,115.670,114.540,114.540,114.540,115.970,115.310,120.000,115.970,115.970,115.970,115.970,115.970,115.970,115.970,115.600,116.310,116.310,116.310,116.680,116.680,115.970,115.970,115.230,116.68,115.97,116.68,117.39,117.39,117.83,117.83,117.83,117.47,120.56,120.56,120.56,120.56,120.56,120.56,119.24,118.55,118.55,118.55,118.55,118.55,118.55,118.55,118.55,118.55,118.31,118.31,118.55,118.55,117.83,118.52,117.83,117.77,117.09,117.36,117.09,117.09,117.09,117.09,117.09,117.09,117.09,117.09,115.94,115.94,116.64,117.09,117.09,117.09,117.09,117.09,117.09,116.38,116.38,116.38
Daging Ayam Ras,39.560,40.170,39.330,39.050,38.920,38.710,39.010,42.430,39.410,39.310,39.650,39.700,39.650,38.870,38.780,37.560,37.450,38.320,37.320,37.440,37.280,36.970,37.070,37.090,36.670,36.720,36.350,36.280,36.270,36.160,35.450,35.570,35.150,35.740,35.740,35.810,36.050,35.850,35.980,35.980,35.980,36.080,36.040,35.840,36.200,36.200,36.000,36.230,36.350,36.000,36.040,36.040,36.040,36.040,36.000,36.000,36.140,36.250,36.140,36.040,35.920,36.000,36.000,36.150,36.150,36.420,36.420,36.660,36.310,35.980,36.010,36.010,36.010,36.010,36.330,36.330,36.330,36.800,36.410,40.000,36.560,36.680,37.010,37.010,37.140,37.160,37.160,37.050,36.710,36.930,36.930,36.490,36.150,35.930,35.840,36.170,35.96,36.17,35.55,36.5,36.5,36.5,36.5,36.5,36.29,36.73,36.85,37.49,37.49,37.82,38.15,38.15,38.33,38.27,39.8,40.03,39.81,38.81,38.81,38.6,39.37,40.48,39.53,40.1,39.8,39.54,38.91,38.06,38.27,38.48,37.83,37.7,38.15,38.38,38.19,38.51,38.36,38.54,38.49,38.49,39.79,39.96,39.96,40.56,40.79,40.79,40.79,40.96,40.59,40.63,40.4
Telur Ayam Ras,27.770,27.790,27.940,27.810,27.600,27.260,27.160,26.980,27.600,27.710,27.600,27.840,27.720,27.810,27.460,27.370,27.600,26.680,27.290,26.940,26.940,26.940,26.900,27.270,27.160,27.030,26.920,26.920,26.800,27.030,26.910,27.150,26.620,26.050,25.940,25.860,25.830,25.830,25.830,25.830,25.470,25.360,25.380,26.020,25.450,25.560,25.450,25.320,25.320,25.320,25.680,25.560,25.780,25.780,25.590,25.590,25.590,25.830,25.890,25.890,25.780,25.790,25.720,25.720,25.640,25.640,25.700,25.800,26.830,25.580,25.690,25.740,25.750,25.750,25.980,26.210,26.100,26.310,26.200,28.000,26.390,26.390,26.680,26.570,26.950,27.170,27.170,27.120,27.170,27.010,27.010,27.330,27.260,29.560,27.260,27.200,27.01,26.95,26.89,27.2,27.53,27.75,27.76,27.51,27.57,27.4,27.54,27.65,27.54,27.66,27.54,27.66,27.77,27.77,27.46,27.34,27.34,27.12,27.12,27.12,26.87,26.92,27.27,27.14,27.08,27.03,27.32,27.38,27.16,27.21,27.21,26.91,27.02,27.12,27.24,29.34,27.9,27.81,28.02,29.05,28.14,28.22,28.16,28.33,28.11,28.11,28.0,27.99,28.22,28.42,28.18
