Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,11.490,11.420,11.550,11.490,11.560,11.580,11.550,11.710,11.820,11.790,11.890,11.840,11.840,11.820,11.880,11.910,11.960,11.910,11.910,11.910,11.910,11.960,11.910,12.100,12.190,12.390,12.390,12.390,12.390,12.490,12.380,12.530,12.530,12.530,12.480,12.530,12.630,12.730,12.730,12.840,12.840,12.840,12.840,12.840,12.840,12.840,12.840,12.940,12.990,12.940,12.740,12.640,12.540,12.430,12.320,12.320,12.190,12.230,12.180,12.020,11.920,12.020,11.920,11.820,11.820,11.860,11.960,12.050,12.170,11.950,11.870,11.960,12.010,12.010,12.310,12.220,12.430,12.190,12.190,12.280,12.430,12.280,12.280,12.280,12.280,12.280,12.310,12.280,12.280,12.280,12.280,12.180,12.180,12.180,11.990,12.180,12.09,12.18,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,-,12.28,12.28,12.28,12.25,12.23,12.25,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.42,12.23,12.18,12.2,12.2,12.2,12.2,12.2,12.39,12.2,12.09,12.07,12.08,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.13,12.13,12.13,12.18,12.18,12.18,12.18
Beras Medium,10.350,10.260,10.290,10.230,10.260,10.350,10.270,10.350,10.350,10.430,10.430,10.620,10.620,10.580,10.580,10.620,10.670,10.620,10.530,10.620,10.620,10.630,10.620,10.570,10.610,11.020,10.850,10.850,10.850,10.850,10.750,10.850,10.850,10.850,11.020,10.850,10.950,11.040,11.130,11.050,11.130,11.130,11.230,11.200,11.200,11.200,11.200,11.300,11.370,11.300,11.060,10.970,10.920,10.910,10.750,10.690,10.770,10.720,10.720,10.560,10.400,10.360,10.190,10.170,10.170,10.170,10.260,10.310,10.460,10.350,10.370,10.510,10.310,10.310,10.680,10.470,10.520,10.580,10.580,10.580,10.650,10.580,10.680,10.680,10.680,10.680,10.760,10.680,10.640,10.480,10.480,10.480,10.500,10.500,10.350,10.500,10.5,10.5,10.59,10.5,10.5,10.5,10.5,10.5,10.53,10.53,10.53,10.53,10.53,10.53,-,10.53,10.61,10.53,10.51,10.48,10.53,10.48,10.48,10.48,10.48,10.42,10.42,10.42,10.53,10.58,10.53,10.47,10.47,10.47,10.36,10.47,10.36,10.47,10.53,10.43,10.47,10.43,10.43,10.36,10.34,10.34,10.34,10.34,10.53,10.49,10.49,10.63,10.53,10.53,10.53
Kedelai Biji Kering (Impor),15.530,15.800,15.450,15.630,15.910,15.650,15.940,15.650,16.090,16.060,16.200,16.080,16.080,16.110,16.090,16.080,16.080,16.080,15.280,16.080,16.080,15.820,16.080,16.240,16.080,16.240,16.080,16.080,16.080,16.080,16.240,16.080,16.080,16.080,15.630,16.080,15.940,16.210,16.210,16.210,16.210,16.080,16.080,16.080,16.080,16.080,16.080,16.080,15.630,15.950,16.200,15.910,15.910,15.190,15.190,15.190,15.250,15.390,15.390,15.390,15.390,15.390,15.050,15.390,15.390,15.390,15.530,15.530,15.210,15.930,15.920,15.810,15.810,15.810,15.520,15.810,15.520,15.810,15.810,15.810,15.520,15.920,15.870,15.870,15.870,15.870,15.870,15.870,16.000,16.000,16.000,16.000,16.210,16.210,16.000,16.210,16.21,16.21,16.1,16.1,16.1,16.1,16.05,16.05,16.05,16.05,16.18,16.18,16.18,16.18,-,16.18,15.85,15.85,15.83,15.85,15.71,14.85,15.85,15.97,15.97,15.97,15.97,15.97,15.82,15.5,15.63,15.84,15.84,15.84,15.71,15.84,15.84,15.84,15.71,15.63,15.58,15.76,15.76,15.71,15.63,15.63,15.76,15.76,15.76,15.76,15.76,15.76,15.75,15.75,15.75
Bawang Merah,38.440,37.500,35.280,36.860,36.000,35.780,36.700,36.300,36.300,36.470,37.310,36.640,36.160,36.290,36.770,36.030,35.930,35.930,35.730,35.730,36.100,36.680,36.500,35.850,35.760,35.470,35.470,35.950,35.950,35.950,34.680,34.690,34.690,34.690,35.280,36.610,37.100,37.780,38.370,37.780,36.770,36.770,36.280,35.770,36.250,34.580,34.870,34.580,33.340,33.650,32.360,31.980,31.530,30.700,30.380,30.380,30.600,30.130,29.790,29.880,29.940,31.180,29.810,31.050,31.960,31.890,32.480,31.890,32.660,33.230,32.960,32.960,31.790,31.010,31.270,32.120,31.310,31.870,32.370,32.370,32.640,33.190,33.190,33.020,32.580,33.320,33.000,34.160,33.390,33.840,33.840,33.470,33.470,33.470,33.880,34.230,34.23,34.45,34.55,34.55,34.55,34.55,34.86,34.86,35.64,36.99,36.66,36.66,37.23,37.41,-,36.94,37.33,37.33,37.48,37.23,37.93,37.63,37.92,39.2,39.0,38.95,39.28,38.82,38.44,38.69,37.97,38.31,38.39,38.39,37.89,37.4,37.4,37.24,37.61,37.18,37.25,36.45,36.45,36.48,35.67,34.95,34.37,33.28,33.23,33.23,33.19,32.13,31.87,31.87,31.87
Bawang Putih Bonggol,26.050,25.530,25.570,25.000,25.240,25.510,25.000,25.510,24.880,25.350,25.470,25.470,25.470,25.430,25.870,26.090,25.790,25.790,25.470,26.010,26.010,26.240,25.790,26.120,25.820,25.820,25.820,25.820,25.820,26.020,25.910,25.910,25.910,25.910,25.650,26.600,26.600,26.490,26.610,26.490,26.940,26.830,27.140,26.830,26.830,26.830,26.830,26.830,26.800,27.140,27.730,28.150,28.150,28.400,28.400,28.400,28.680,28.060,28.050,28.870,28.870,29.200,29.580,29.400,29.400,30.150,30.060,30.530,31.080,30.780,32.110,31.050,30.930,30.040,30.830,30.190,31.070,30.520,31.160,31.580,31.490,31.360,32.240,32.050,31.700,30.800,30.890,30.600,30.600,30.130,30.600,30.600,30.600,30.390,30.150,31.190,31.49,31.49,30.2,31.08,30.66,31.14,30.86,30.86,30.75,30.49,31.17,31.17,31.04,31.04,-,31.04,31.04,31.04,31.58,31.49,32.42,32.24,32.24,32.74,32.67,32.25,31.4,33.19,32.83,33.19,33.7,33.07,32.74,32.74,33.2,33.2,33.2,32.85,33.7,33.53,34.7,33.63,33.37,32.96,35.22,34.61,34.61,34.68,34.68,34.68,34.68,34.9,34.9,35.01,35.01
Cabai Merah Keriting,36.610,36.150,36.610,38.510,36.840,36.970,36.290,36.690,35.530,36.690,36.690,36.210,35.730,35.810,37.460,36.630,36.220,35.670,35.670,36.220,36.220,36.990,36.710,36.080,36.710,36.460,36.460,36.460,36.890,36.400,36.890,36.890,36.890,36.460,37.800,39.560,41.320,41.320,41.960,42.710,41.600,42.660,42.120,43.320,44.470,43.190,45.360,44.520,45.440,42.830,41.070,41.460,39.490,41.540,40.930,40.710,37.090,38.620,39.000,39.150,37.860,38.700,40.930,38.960,38.450,37.860,37.020,38.450,41.570,39.810,40.570,40.330,39.840,39.260,41.060,39.790,40.460,37.780,40.760,40.290,39.580,39.420,40.140,39.790,39.530,39.530,37.780,38.000,37.840,38.000,36.100,31.250,29.050,29.110,27.780,28.810,28.43,28.81,28.14,28.14,28.14,28.28,27.85,27.85,27.85,30.38,31.42,33.8,35.32,34.78,-,34.78,33.5,32.98,31.87,33.33,32.66,33.85,32.6,33.33,33.33,32.54,33.72,34.24,33.49,33.72,33.63,32.18,32.98,32.98,32.18,32.98,31.63,32.74,36.51,35.8,37.25,35.8,35.15,35.91,39.89,37.57,36.93,37.38,37.13,36.7,35.84,36.22,36.89,36.07,36.5
Cabai Rawit Merah,79.140,80.210,66.570,72.220,66.980,69.680,71.570,67.780,65.780,65.310,67.140,64.980,63.050,62.930,63.320,61.420,61.660,59.850,58.440,57.930,57.150,56.470,55.240,56.450,51.840,54.640,54.170,56.150,56.200,55.260,56.480,54.730,54.730,55.360,54.720,57.370,58.110,60.310,60.890,60.970,61.950,61.460,65.110,68.000,69.780,69.930,71.430,71.430,73.000,72.360,71.890,70.900,69.370,68.170,67.650,68.140,65.630,67.410,66.380,68.210,65.110,71.250,71.980,74.870,74.870,75.550,76.820,79.840,80.250,80.910,78.950,79.780,80.220,82.980,82.790,82.500,83.300,82.980,85.270,84.040,82.570,83.280,85.670,84.850,83.220,81.940,74.950,80.730,77.560,74.360,66.230,56.280,50.710,50.180,47.910,48.480,46.26,44.54,40.43,39.42,37.98,36.38,36.33,36.81,35.92,35.65,35.95,37.19,38.43,38.95,-,38.95,39.3,38.78,36.68,38.01,36.87,38.01,37.7,37.36,36.63,35.83,35.55,34.54,34.16,34.57,33.92,35.17,35.39,35.14,35.74,35.74,35.55,37.19,38.4,37.34,37.9,38.35,40.04,41.66,47.38,45.12,42.09,43.9,45.97,46.04,45.55,44.7,44.46,45.18,45.01
Daging Sapi Murni,121.830,122.090,121.830,122.450,122.090,121.620,121.830,121.620,122.500,122.250,122.250,122.250,122.750,123.050,123.050,122.750,122.450,122.750,122.270,121.770,122.270,121.640,121.980,122.200,121.480,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.850,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.980,121.850,121.980,121.980,121.980,121.980,121.640,121.640,121.640,121.980,121.480,121.480,121.480,121.980,121.480,121.640,121.980,121.980,121.980,122.470,122.470,121.640,122.750,122.470,122.470,122.470,122.470,122.200,122.470,122.200,121.980,121.980,122.450,122.180,121.980,122.450,121.980,121.980,121.980,122.200,121.980,121.980,121.980,121.980,121.980,121.980,121.980,122.200,121.980,121.98,121.98,122.27,122.27,122.27,122.27,122.27,122.27,122.77,122.77,122.77,122.75,123.71,124.14,-,124.65,124.36,124.36,122.18,123.85,124.83,123.72,123.85,123.85,123.85,122.94,122.94,122.94,122.45,122.94,122.45,122.73,122.73,122.73,122.73,122.73,122.73,122.73,122.18,122.45,122.18,122.45,122.45,121.64,122.45,122.45,122.45,122.45,122.45,122.45,122.45,122.45,122.45,122.45,122.45
Daging Ayam Ras,42.470,41.980,43.550,42.350,43.770,44.220,44.070,44.170,42.530,43.220,43.050,43.050,43.050,43.160,43.030,42.500,42.300,42.300,42.300,42.090,42.300,42.560,41.850,42.290,41.580,41.580,41.450,41.450,41.450,41.450,41.180,41.180,41.180,41.180,41.480,40.700,40.160,40.160,40.160,40.570,40.330,40.550,41.010,41.120,40.900,40.900,40.900,40.210,40.270,40.420,40.090,40.090,39.970,39.440,39.240,38.850,38.710,38.710,38.710,37.940,37.830,37.830,37.600,37.830,37.830,37.410,37.570,37.570,38.160,38.450,39.250,39.170,38.850,39.480,39.530,39.580,40.120,41.230,41.430,42.060,42.680,42.670,42.890,42.890,41.940,41.940,41.130,41.500,41.160,41.160,41.160,40.410,41.020,40.740,40.820,41.220,41.22,40.63,39.81,41.37,41.46,41.8,42.02,42.02,42.02,42.36,42.57,42.78,43.37,44.41,-,43.89,43.6,43.6,44.01,44.38,44.53,45.12,44.58,43.79,43.79,42.96,42.57,42.57,41.55,42.42,42.42,42.14,41.9,42.09,42.14,42.48,42.48,40.21,42.77,42.27,43.41,43.06,42.85,42.71,43.36,43.94,43.73,44.04,43.95,43.75,43.37,43.96,43.96,43.96,43.72
Telur Ayam Ras,30.280,30.050,30.930,30.280,30.520,30.470,30.280,30.470,30.250,30.420,30.420,31.540,30.420,30.050,30.050,31.070,30.420,30.420,30.420,31.070,30.420,30.470,30.420,30.830,30.420,31.000,30.450,30.450,30.450,30.450,30.130,30.130,30.130,30.130,29.690,29.970,29.540,29.380,29.380,29.270,29.110,29.110,29.380,29.270,29.510,29.820,29.430,29.630,28.840,29.540,29.540,29.650,29.490,29.120,29.120,29.120,29.210,29.210,29.100,29.100,29.210,29.210,29.920,28.240,29.190,28.970,29.120,29.230,29.250,29.160,29.540,29.540,29.600,29.680,29.640,29.910,29.900,30.010,30.460,30.420,30.470,30.300,30.630,30.460,30.630,30.570,30.210,30.670,31.210,31.260,31.260,31.260,31.100,30.890,31.230,31.060,31.06,31.06,31.06,30.95,32.14,30.73,30.0,30.0,30.77,30.0,30.0,30.52,30.64,30.65,-,30.56,30.65,30.65,32.28,30.54,30.5,30.56,30.56,30.56,31.21,30.65,30.97,30.98,30.77,30.81,30.81,30.69,30.69,30.56,30.69,30.69,30.69,30.69,30.86,30.81,30.96,30.92,30.92,31.14,31.28,31.38,31.44,31.5,31.6,31.54,31.44,31.69,31.88,32.42,31.78
