,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,14.270,14.450,14.480,14.480,14.360,14.380,14.410,14.230,14.430,14.270,14.320,14.250,14.250,14.250,14.360,14.430,14.320,14.320,14.250,14.360,14.280,14.480,14.430,14.430,14.430,14.490,14.540,14.480,14.480,14.440,14.550,14.610,14.560,14.550,14.560,14.560,14.450,14.450,14.600,14.600,14.510,14.560,14.620,14.740,14.970,14.630,14.690,14.750,14.850,14.390,14.690,14.850,14.830,14.860,14.740,14.740,14.850,14.580,14.850,14.710,14.740,14.710,14.950,14.800,15.270,14.740,15.010,15.000,14.970,14.650,15.130,15.030,15.030,15.470,15.300,15.100,15.300,15.470,15.470,15.560,15.420,15.470,15.560,15.580,15.610,15.610,15.520,15.440,15.580,15.520,15.520,15.190,15.410,15.520,15.580,15.370,15.44,15.53,15.47,15.52,15.58,15.61,15.41,15.58,15.61,15.75,15.36,15.47,15.49,15.26,15.58,14.880,15.56,15.47,15.41,15.42,15.47,15.29,15.52,15.52,15.58,15.47,15.58,15.5,15.47,15.78,15.62,15.66,15.66,15.53,15.68,15.54,15.66,15.72,15.8,15.58,15.69,15.62,15.410,15.41,15.86,15.62,15.62,15.86,15.75,15.62,15.75,15.86,15.94,16.05,15.8
1,Beras Medium,12.820,12.980,12.980,12.980,12.860,12.980,12.840,12.980,12.980,12.840,12.930,12.820,12.820,12.820,12.930,12.980,12.930,13.030,12.930,12.930,12.860,13.100,12.990,13.040,13.040,12.990,12.990,12.990,12.930,13.020,13.080,13.210,13.140,13.140,13.060,13.160,13.050,13.050,13.140,13.140,13.060,13.160,13.240,13.240,13.140,13.180,13.140,13.060,13.370,12.940,13.140,13.180,13.210,13.370,13.370,13.240,13.160,13.080,13.210,13.100,13.080,13.100,13.180,13.280,13.460,13.280,13.320,13.360,13.370,13.070,13.460,13.380,13.380,13.480,13.430,13.360,13.440,13.710,13.710,13.690,13.730,13.710,13.690,13.710,13.730,13.730,13.730,13.690,13.680,13.710,13.710,13.590,13.640,13.710,13.680,13.680,13.69,13.64,13.61,13.65,13.61,13.51,13.51,13.57,13.73,13.93,13.61,13.61,13.94,13.59,13.76,13.190,13.82,13.54,13.49,13.59,13.54,13.49,13.59,13.59,13.54,13.54,13.5,13.8,13.5,13.57,13.65,13.57,13.57,13.57,13.95,13.61,13.61,13.69,13.65,13.65,13.65,13.69,13.610,13.61,13.99,13.69,13.69,13.99,13.68,13.65,13.72,13.99,13.69,13.69,13.98
2,Kedelai Biji Kering (Impor),14.840,14.720,14.890,14.720,14.870,14.840,14.670,15.050,14.720,14.580,15.440,15.700,15.520,15.520,14.720,15.440,15.440,15.440,15.700,15.350,15.640,15.160,15.440,15.440,15.440,15.520,15.420,15.700,15.350,15.540,15.440,15.350,15.840,15.440,15.640,15.350,15.520,15.520,15.640,15.640,15.700,15.930,16.040,16.220,15.890,16.270,15.890,15.870,15.560,16.480,15.890,15.870,16.270,15.870,15.560,16.220,15.890,15.670,15.890,16.040,16.040,15.670,15.890,16.040,15.870,16.040,16.270,15.890,15.890,16.120,16.220,15.870,16.050,15.870,15.870,16.050,16.270,15.870,15.870,15.870,15.890,15.560,15.560,15.890,15.890,15.890,15.890,16.040,15.870,15.890,15.890,16.120,16.050,15.890,15.870,16.040,16.04,15.47,15.89,15.89,15.87,16.27,16.48,16.39,16.19,16.4,15.74,16.05,16.11,16.22,16.05,16.150,16.05,16.05,16.27,16.04,16.05,16.27,16.04,16.04,16.05,15.74,16.05,16.27,15.56,15.39,15.62,15.86,15.86,15.89,15.89,15.86,15.86,15.52,14.9,15.29,14.95,15.1,15.350,15.11,15.1,15.11,15.11,15.1,15.1,15.11,15.1,15.1,14.95,14.95,15.45
3,Bawang Merah,52.120,53.990,53.990,53.990,53.200,53.670,50.320,52.770,51.280,50.320,50.610,51.950,50.910,49.140,50.850,50.860,51.710,51.100,51.230,51.770,51.380,51.500,50.660,50.660,51.150,50.950,51.440,52.330,52.880,51.500,51.200,52.220,51.080,52.140,52.000,52.940,53.500,54.020,54.590,54.080,53.900,53.460,53.070,54.300,53.610,53.320,53.610,55.430,53.900,53.960,54.120,54.020,53.840,55.200,54.550,54.550,54.590,53.320,54.240,53.200,52.330,51.320,51.990,50.150,52.000,50.830,51.320,51.050,51.770,51.750,50.910,48.770,51.910,52.740,51.820,50.880,51.320,51.170,51.770,52.690,53.100,55.190,52.690,53.700,53.460,53.550,53.180,53.280,53.070,52.220,51.800,49.930,50.300,52.530,51.300,49.680,49.76,51.25,50.97,50.82,51.16,51.15,47.23,47.7,49.41,48.05,50.37,49.21,50.55,49.94,51.46,49.900,51.02,50.91,51.92,52.34,52.61,51.75,52.34,52.8,53.39,52.56,54.48,54.73,54.74,55.99,56.17,55.25,55.25,56.6,57.28,56.66,56.03,57.26,56.42,56.42,56.97,57.35,58.010,58.6,57.06,57.62,57.06,57.06,56.31,55.92,54.82,53.23,54.9,56.02,54.06
4,Bawang Putih Bonggol,39.440,40.760,40.760,40.760,40.760,40.390,40.190,41.780,40.680,39.520,40.610,41.210,40.150,40.220,40.970,41.830,41.450,41.150,40.750,41.830,41.450,42.060,42.410,42.410,41.910,41.450,40.310,41.830,42.680,40.840,40.610,42.380,40.870,42.130,42.060,41.750,41.210,42.130,41.370,41.640,41.450,41.280,41.230,41.490,42.180,42.010,41.960,43.060,41.720,41.390,42.090,42.380,42.400,43.030,42.060,41.780,41.850,40.760,42.060,42.400,42.130,41.450,42.410,41.510,43.030,41.700,41.700,41.850,42.060,42.470,42.290,40.750,41.830,43.030,42.680,43.120,43.760,43.250,43.890,43.760,44.000,43.580,44.050,44.470,44.470,48.730,48.710,51.020,51.280,49.700,49.700,47.640,50.050,49.510,50.040,48.880,50.24,49.76,49.56,49.61,49.45,48.09,47.0,47.53,49.36,47.43,48.62,47.21,49.18,49.48,50.1,46.820,49.36,47.47,47.68,49.27,49.76,48.37,48.8,48.23,47.74,47.53,47.74,49.18,47.53,47.23,47.83,47.93,47.68,50.23,50.23,52.15,52.15,51.24,51.28,52.33,51.77,52.11,52.960,52.27,53.64,52.33,53.07,52.33,51.59,51.23,50.57,49.91,51.76,53.39,52.68
5,Cabai Merah Keriting,39.470,43.830,43.830,44.680,48.420,43.240,42.200,43.940,45.770,40.820,42.140,43.250,40.640,40.640,43.250,41.340,41.370,41.580,40.730,41.760,41.980,40.830,41.330,41.330,41.580,36.590,37.630,40.610,36.720,39.700,39.230,39.150,36.610,40.120,40.050,40.040,40.040,37.360,40.310,40.310,38.400,40.040,38.200,41.660,42.760,43.830,43.880,47.620,44.790,42.430,43.090,43.660,43.530,41.320,42.840,42.990,43.090,42.430,43.300,40.180,40.470,41.030,40.830,39.750,39.860,43.200,44.310,43.220,43.910,43.350,44.350,42.640,40.300,42.960,46.810,45.380,48.840,52.250,51.480,56.960,59.660,60.520,66.640,70.370,68.280,72.660,69.990,66.060,63.430,68.200,67.300,61.270,62.680,61.960,61.580,61.050,61.43,59.14,60.05,55.24,53.05,54.58,47.61,49.21,51.04,47.0,49.12,55.14,63.41,62.17,65.76,58.060,65.16,59.65,59.81,58.87,60.59,56.89,54.48,54.4,54.05,52.82,52.97,49.04,52.21,53.98,49.26,47.81,53.74,56.93,53.81,59.58,57.36,55.53,57.95,57.81,60.87,57.65,55.320,58.86,59.36,58.79,58.17,57.29,53.41,51.67,54.97,54.86,53.13,56.29,56.2
6,Cabai Rawit Merah,72.060,73.300,74.990,74.990,74.870,79.500,71.880,72.740,73.380,69.380,69.910,68.870,67.850,67.850,68.340,66.460,65.140,61.800,61.560,64.860,65.200,62.220,64.010,64.010,61.400,56.630,59.580,59.630,56.340,58.280,57.900,53.780,51.020,59.180,55.810,59.490,55.500,57.670,59.560,59.040,54.120,58.800,57.460,58.020,59.320,61.040,59.950,66.330,60.820,56.820,58.340,60.680,64.710,62.280,59.410,59.870,58.530,58.930,56.840,56.380,54.260,58.930,58.450,54.970,58.320,56.630,58.280,59.530,58.850,58.630,59.830,58.040,56.540,62.880,65.100,65.590,68.810,74.850,77.280,77.340,75.950,78.750,81.050,82.590,75.520,72.130,70.270,71.130,70.850,71.100,72.640,67.860,67.610,67.040,67.070,60.280,63.45,61.71,61.86,53.46,56.84,55.5,49.27,50.35,52.52,51.42,54.38,53.84,55.7,54.32,60.83,56.850,56.65,62.31,58.73,58.51,61.2,56.36,54.08,54.92,51.93,53.21,48.7,48.61,53.29,58.07,54.3,49.08,52.47,56.02,53.01,59.17,60.32,57.06,59.12,57.39,59.26,58.54,56.660,54.85,53.92,54.66,53.52,50.35,52.03,49.61,50.21,50.08,51.22,46.92,42.77
7,Daging Sapi Murni,130.750,131.250,127.590,127.590,131.250,132.230,132.940,128.900,131.110,130.750,127.890,130.040,129.050,132.570,127.240,131.250,127.890,125.000,132.570,128.490,130.040,127.590,131.110,127.890,126.500,131.300,127.460,128.630,126.500,134.470,126.500,127.890,131.800,127.890,130.040,127.890,132.570,129.050,127.890,131.110,129.050,132.570,128.900,130.040,127.890,129.050,131.110,128.300,132.940,127.320,131.110,127.890,129.050,131.250,128.900,130.040,127.890,134.470,126.240,127.320,132.570,130.630,131.110,129.050,131.250,125.480,124.680,129.850,124.680,136.720,127.880,127.460,127.040,127.590,131.110,129.050,130.040,127.890,131.110,131.250,126.990,131.110,127.590,131.680,127.890,131.110,128.120,129.050,132.280,129.170,132.280,128.830,133.900,128.540,128.540,133.250,130.63,132.57,127.7,132.28,129.17,128.15,133.9,129.17,132.57,130.75,133.72,131.57,136.26,131.99,127.78,126.180,130.33,128.54,126.98,127.56,131.71,129.81,130.49,127.56,131.71,127.89,129.17,134.47,126.71,133.22,128.12,133.9,130.54,127.7,132.57,130.54,133.9,128.12,132.28,129.17,129.17,131.0,127.700,133.22,127.89,133.46,130.47,129.17,131.0,131.09,130.91,129.17,133.46,129.17,128.83
8,Daging Ayam Ras,43.180,45.330,45.330,44.790,45.330,41.930,44.090,47.790,45.820,45.370,46.430,46.050,46.050,46.050,45.560,45.560,46.430,46.430,46.050,45.560,45.040,44.500,46.430,46.430,46.430,45.040,45.040,46.050,45.560,45.640,45.990,45.080,44.370,45.990,44.500,45.080,45.560,46.050,46.430,45.990,44.500,46.050,45.040,45.040,46.430,45.040,46.430,45.040,45.640,45.580,46.430,45.560,45.040,44.500,45.640,45.040,46.430,46.180,47.760,47.490,46.050,46.180,47.580,46.050,44.500,47.490,45.040,46.430,47.760,43.200,45.580,46.140,43.770,44.500,45.220,45.040,45.040,45.560,46.050,45.040,46.610,46.790,45.850,45.760,45.620,45.140,45.560,44.570,45.140,46.480,46.480,45.740,45.100,46.480,45.620,46.110,45.1,45.7,47.62,46.04,45.14,43.25,44.57,45.14,45.62,44.52,43.61,42.65,45.12,43.85,45.02,41.430,44.57,42.65,41.81,43.75,42.65,41.81,43.33,43.33,42.2,45.67,44.67,43.25,45.14,44.04,45.61,44.04,44.04,46.77,44.57,44.04,44.04,45.61,44.67,45.14,44.67,45.61,44.570,44.57,45.14,45.14,45.14,45.14,45.61,45.62,45.61,45.14,44.67,44.67,42.22
9,Telur Ayam Ras,37.070,36.540,36.540,36.540,34.570,37.080,35.510,35.160,34.520,35.050,35.090,34.270,34.210,34.150,34.040,34.770,34.760,34.640,34.580,34.090,33.570,33.970,34.210,33.800,33.700,33.840,35.860,34.010,33.230,33.500,30.270,32.420,32.370,32.720,32.000,32.300,32.420,32.420,32.470,32.860,33.290,32.420,32.480,32.440,32.590,32.290,32.530,32.990,32.920,31.600,32.530,32.260,32.290,32.560,33.470,32.180,32.320,31.810,32.130,31.570,31.830,31.350,32.040,31.410,31.810,31.100,31.430,31.930,31.830,32.870,31.830,29.540,31.980,32.570,30.730,30.600,31.230,32.730,31.660,33.040,32.780,32.880,33.060,31.970,33.520,33.900,33.360,33.650,33.720,34.060,33.960,33.540,32.140,34.150,33.910,33.700,34.18,33.76,34.2,34.35,34.26,35.21,33.88,34.41,34.8,35.09,34.27,34.61,34.67,34.27,35.26,33.070,34.81,34.41,34.59,34.2,34.09,33.87,34.12,33.92,33.56,33.71,33.61,33.52,33.57,34.48,33.7,33.97,33.15,33.07,33.94,33.15,33.29,33.88,33.98,33.56,33.77,34.34,34.210,35.02,34.69,33.89,33.82,34.44,34.5,34.23,35.18,34.33,34.84,34.56,35.29
