,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,16.060,16.340,15.750,15.660,15.660,15.750,15.880,15.140,15.660,15.660,15.660,15.750,15.660,15.880,15.120,15.770,15.530,15.530,15.610,14.880,14.960,15.610,15.440,15.440,15.520,15.610,15.710,15.710,15.490,15.490,14.920,15.610,15.530,15.710,15.710,15.630,15.530,14.980,15.530,15.610,14.970,14.970,15.530,15.530,15.580,15.140,15.100,15.120,15.140,15.100,15.100,15.100,15.140,15.100,15.100,15.120,15.100,15.100,15.100,15.100,15.100,15.220,15.120,15.100,15.120,15.120,15.140,15.120,15.000,15.120,15.120,15.120,15.140,15.140,15.140,15.280,15.280,15.240,15.370,15.420,15.420,15.420,15.590,15.490,15.370,15.490,15.370,15.490,15.560,15.490,15.740,15.490,16.080,16.060,16.140,16.190,16.06,16.19,16.4,16.17,16.17,16.29,16.26,16.33,15.91,16.33,16.6,16.58,15.97,16.3,16.62,16.38,16.93,15.78,16.27,16.31,16.28,16.28,16.72,16.33,16.51,16.24,16.24,16.28,16.24,16.19,16.24,16.12,16.04,16.03,15.53,15.99,15.4,15.49,15.99,16.25,16.25,15.99,16.16,16.16,16.18,16.43,16.25,16.24,16.25,16.25,16.25,15.91,16.11,16.27,17.24
1,Beras Medium,13.440,13.310,13.410,13.230,13.260,13.160,13.530,13.190,13.260,13.260,13.260,13.300,13.260,13.530,13.160,13.410,13.260,13.260,13.160,12.920,13.310,13.160,13.050,13.050,13.160,13.160,13.030,13.030,13.050,13.050,12.750,13.160,13.100,13.150,13.190,13.220,13.100,12.980,13.100,13.160,13.030,13.240,13.100,13.100,13.050,13.120,13.100,13.160,12.860,13.010,13.010,13.060,12.760,13.060,13.060,12.930,13.060,13.060,13.100,13.100,13.100,13.060,12.930,13.100,13.100,13.100,13.160,13.100,13.440,13.140,13.100,13.100,13.260,13.110,13.260,13.160,13.300,13.260,13.330,13.330,13.490,13.490,13.690,13.570,13.420,13.420,13.420,13.420,13.490,13.420,13.470,13.420,13.400,13.300,13.420,13.550,13.55,13.64,13.74,13.62,13.62,13.56,13.58,13.73,13.49,13.58,13.66,13.71,13.53,13.52,13.54,13.53,13.79,13.53,13.52,13.59,13.58,13.65,13.69,13.76,13.64,13.58,13.58,13.64,13.58,13.74,13.58,13.58,13.61,13.59,13.54,13.71,13.66,13.56,13.62,13.66,13.74,13.62,13.83,13.83,13.68,13.78,13.68,13.74,13.68,13.68,13.68,13.58,13.55,13.56,14.0
2,Kedelai Biji Kering (Impor),15.940,16.430,16.130,16.730,16.130,16.430,15.700,16.730,16.730,16.130,16.130,15.700,16.130,15.700,16.130,15.700,15.430,15.430,15.540,15.430,14.800,14.850,15.430,15.430,14.530,14.530,14.370,15.940,15.160,15.430,15.540,14.530,15.160,15.210,14.370,14.530,15.680,15.680,15.680,15.150,15.150,15.150,15.680,15.910,16.430,15.700,16.130,15.700,16.430,16.340,16.130,16.130,16.430,16.130,16.130,16.430,16.130,16.130,16.130,16.130,16.130,16.130,16.430,16.130,16.130,16.130,15.700,16.130,15.700,16.130,16.130,16.130,16.130,16.430,16.130,16.430,16.130,16.130,16.340,16.130,16.130,16.130,15.700,16.130,16.130,16.130,16.130,16.130,16.130,16.130,15.000,16.130,15.700,16.130,15.700,16.130,16.13,15.7,15.7,16.13,16.13,15.7,16.13,15.94,15.7,16.13,15.7,16.13,16.13,16.13,16.94,16.43,15.7,16.13,16.13,16.13,16.13,16.13,15.94,15.7,15.7,16.13,16.13,15.7,16.13,15.94,15.34,15.34,15.43,15.34,15.34,15.54,15.34,15.54,15.54,14.98,14.98,15.54,16.7,16.95,16.12,16.7,16.32,16.29,16.12,16.12,16.12,15.68,16.12,16.7,16.43
3,Bawang Merah,57.530,59.580,55.580,55.750,55.120,55.580,57.330,52.710,55.510,56.330,56.330,59.970,54.800,57.510,52.630,55.220,54.160,54.160,54.780,53.580,56.430,57.700,55.670,55.940,55.380,57.700,54.870,55.960,54.090,54.090,50.250,58.090,56.270,54.170,59.370,57.930,56.000,53.210,56.000,58.090,54.140,54.140,56.270,56.780,55.440,57.730,55.960,57.730,53.870,55.590,55.590,55.590,52.440,55.840,55.590,55.190,56.090,55.830,56.220,55.140,55.140,55.380,54.750,55.180,54.350,54.480,56.120,52.850,56.010,53.400,53.680,53.680,54.660,56.110,54.970,53.770,57.500,56.920,57.200,57.040,56.810,56.650,60.120,57.700,57.250,57.560,56.930,57.030,55.960,53.040,52.330,54.750,54.780,51.570,52.760,51.430,51.43,52.06,53.63,50.58,51.75,53.85,54.03,55.02,54.4,53.98,52.7,49.47,48.21,50.08,50.51,48.6,52.1,46.85,50.81,48.46,48.15,48.81,51.54,49.96,53.16,55.34,58.77,56.96,59.89,56.77,58.35,53.89,56.57,57.64,57.31,56.61,53.44,54.33,56.08,56.78,56.78,57.18,58.01,58.01,58.45,59.83,60.64,63.09,60.39,59.6,59.6,57.34,59.63,62.04,61.36
4,Bawang Putih Bonggol,44.440,45.620,43.420,43.380,43.130,43.150,44.350,41.620,43.010,43.130,43.010,44.290,43.010,44.180,42.760,43.890,43.350,43.350,43.850,42.720,45.620,45.150,43.460,43.460,43.980,45.150,44.690,44.690,43.460,43.460,42.040,45.150,43.460,42.040,45.570,43.570,43.080,42.550,43.080,45.010,43.870,44.440,43.460,43.460,42.200,44.290,43.990,45.150,44.690,44.470,45.130,45.130,44.210,45.130,45.130,44.730,45.130,45.490,44.580,44.580,44.350,44.620,44.010,44.580,44.800,44.760,44.440,43.860,44.620,44.470,44.470,44.230,44.140,44.870,43.190,43.970,43.970,44.920,45.030,45.630,45.030,45.300,46.280,44.690,44.270,44.920,47.120,47.160,47.480,44.220,45.590,46.310,45.470,44.730,43.660,45.430,45.43,45.33,46.08,45.47,46.67,48.07,47.26,49.95,46.46,48.29,47.95,45.78,43.11,44.87,48.18,45.81,48.22,41.43,44.7,43.74,43.54,44.66,46.29,45.74,47.79,48.98,51.3,49.64,51.34,50.55,50.15,46.76,48.01,49.65,48.32,50.26,47.43,46.08,48.55,50.72,49.55,50.13,51.96,51.96,51.8,52.25,53.45,54.77,53.31,52.38,52.38,49.76,52.3,54.44,59.44
5,Cabai Merah Keriting,67.010,68.880,69.560,67.780,66.720,66.720,65.150,68.220,66.760,65.300,65.020,65.900,65.020,65.900,63.750,66.880,67.380,62.360,61.170,59.820,58.300,63.360,60.430,59.720,60.660,61.250,59.220,57.930,58.440,58.440,52.530,59.650,57.890,55.710,58.080,60.010,56.170,53.730,56.480,59.860,60.470,58.560,57.940,59.190,56.410,61.190,58.030,60.170,54.250,58.800,58.800,58.800,53.330,59.020,59.270,56.790,59.510,59.510,58.760,58.230,58.230,60.370,58.780,57.000,58.500,57.530,60.420,58.330,69.550,59.970,60.050,59.630,61.220,58.350,59.930,56.720,61.770,59.020,60.040,65.470,60.710,62.090,69.540,68.610,60.810,61.180,62.210,62.210,58.570,58.000,67.010,57.680,56.710,56.820,56.170,54.480,54.48,52.63,56.34,53.06,53.95,56.94,50.65,46.7,53.48,51.12,48.49,53.82,54.97,52.74,51.11,50.52,57.98,51.18,51.22,50.32,49.77,51.85,53.05,52.1,54.73,52.2,52.81,54.95,53.59,53.35,54.3,53.59,59.79,62.8,62.71,64.43,64.45,64.72,65.19,70.66,69.73,67.55,72.44,66.16,63.39,70.05,66.08,71.43,66.17,65.31,66.17,67.18,65.75,71.74,64.03
6,Cabai Rawit Merah,87.400,84.510,81.660,78.330,76.940,76.790,82.010,79.610,79.070,79.350,78.410,78.660,76.390,81.350,72.920,76.730,72.750,76.370,73.490,73.490,75.840,74.600,74.010,73.090,73.540,74.600,74.540,71.290,74.440,74.440,70.240,72.980,72.600,76.710,69.130,74.490,70.800,67.940,70.530,72.980,74.060,73.910,72.510,70.510,72.310,73.490,71.860,71.890,66.720,70.810,70.100,70.340,66.790,70.220,71.380,70.230,71.380,71.230,57.360,71.970,71.970,72.480,71.470,71.070,71.810,70.720,72.840,70.160,82.440,71.100,70.810,71.340,75.860,68.970,72.810,64.260,68.720,67.070,68.640,70.790,72.010,71.550,79.360,78.630,71.720,70.080,72.060,71.370,71.520,67.050,67.210,66.340,66.780,60.660,62.980,56.330,57.63,54.39,59.27,53.89,56.96,58.4,56.19,54.26,58.82,56.27,56.16,58.14,57.69,56.09,57.49,56.08,64.85,55.08,57.91,56.31,55.33,55.33,57.53,57.27,59.92,55.86,56.49,60.24,58.86,59.08,59.56,58.86,59.5,59.67,55.98,60.37,58.9,55.78,60.0,66.19,65.24,61.74,65.2,59.88,59.6,64.85,62.59,67.01,63.99,61.92,62.67,63.66,63.35,64.81,71.14
7,Daging Sapi Murni,135.810,141.530,138.780,138.780,138.780,141.360,140.340,138.920,140.710,140.620,140.620,140.750,140.620,140.750,140.620,140.750,139.020,139.020,143.170,139.020,143.970,138.820,139.020,139.020,138.820,138.820,133.980,139.280,139.020,139.020,135.160,138.820,139.020,135.160,143.970,138.820,138.680,138.680,138.680,138.410,138.020,138.410,138.680,138.680,138.860,138.410,138.680,138.410,142.750,138.680,138.680,138.680,134.770,138.680,138.680,134.770,138.680,138.680,138.680,138.680,138.680,138.680,134.770,138.680,138.680,138.680,138.410,138.680,138.020,138.680,142.770,141.130,141.130,145.790,141.130,137.640,141.360,141.130,141.130,141.360,141.130,141.130,141.700,141.360,141.130,141.130,141.130,141.130,141.130,141.130,142.280,141.130,141.360,141.130,141.360,141.960,141.96,142.36,142.95,141.96,142.77,141.36,144.42,141.7,143.33,144.42,141.49,145.32,145.32,143.67,151.65,149.87,144.17,144.42,144.42,144.42,144.42,144.42,149.83,143.33,143.33,144.42,142.87,143.33,142.77,149.83,144.42,144.42,141.49,142.77,142.77,142.77,142.77,142.77,142.77,141.36,141.36,142.77,143.33,143.33,142.77,143.33,142.77,142.28,142.77,142.77,142.77,139.55,144.42,143.33,138.56
8,Daging Ayam Ras,48.200,46.640,47.430,46.500,47.120,46.720,48.500,45.810,46.500,46.500,46.370,47.110,46.370,47.470,45.680,47.810,46.750,46.750,45.400,45.320,44.350,47.260,46.170,46.430,47.430,46.960,46.470,47.650,46.430,46.430,44.580,47.260,46.990,46.100,46.820,47.430,46.430,45.320,46.360,47.260,46.730,46.300,46.360,47.200,46.410,48.340,47.200,48.250,44.950,47.540,47.720,47.720,45.960,47.500,47.540,47.200,47.500,47.500,47.170,47.200,47.200,47.200,46.820,47.020,47.020,47.350,47.980,46.120,50.070,46.330,46.430,46.430,46.820,45.410,46.730,46.480,47.390,46.830,47.310,48.120,47.980,47.330,49.800,47.890,46.890,46.890,46.750,46.890,46.900,46.510,49.370,46.730,47.650,46.100,47.260,46.560,46.5,47.09,47.81,46.07,46.16,47.16,46.05,48.37,46.98,46.77,47.96,46.5,45.16,45.25,44.42,43.75,49.22,43.59,41.44,44.9,44.9,44.96,45.06,45.87,46.42,46.28,46.02,46.76,45.93,45.62,45.61,45.56,45.04,45.88,44.59,45.8,44.43,44.38,45.8,46.29,46.31,45.72,47.4,47.59,45.62,46.44,44.97,48.58,45.11,44.9,45.06,44.66,44.95,46.73,53.28
9,Telur Ayam Ras,39.500,39.890,38.630,37.670,39.090,38.070,38.710,36.130,37.800,37.610,37.600,37.390,37.360,38.270,36.510,37.660,37.180,36.730,36.700,35.820,35.410,36.560,37.000,37.000,37.290,37.660,37.290,37.660,37.130,37.130,36.320,37.110,37.130,37.870,36.960,37.450,37.130,36.130,36.850,36.790,34.570,35.310,36.610,36.460,36.550,36.670,37.620,36.340,36.570,37.300,38.160,37.530,35.480,37.660,38.860,36.570,37.660,37.380,37.080,37.140,37.140,36.980,36.200,36.790,36.800,36.570,36.740,36.660,37.220,36.730,36.660,36.660,36.900,36.760,36.900,35.670,36.810,36.660,36.840,37.350,37.170,37.510,38.460,38.490,36.980,37.230,36.080,37.230,38.040,37.650,38.040,37.910,37.810,37.990,38.150,38.870,38.78,38.44,38.39,39.19,38.1,38.24,37.74,39.81,37.28,38.15,39.07,39.05,37.45,38.28,38.99,38.72,39.92,37.64,38.15,38.32,36.51,36.51,37.36,35.96,36.66,38.92,36.97,36.57,36.97,36.61,36.97,36.84,37.41,36.93,37.34,37.34,36.19,36.02,37.04,37.57,37.57,36.91,37.29,37.29,37.74,37.58,37.46,37.49,37.74,36.84,36.82,36.1,36.57,36.72,39.12
