Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,15.500,15.420,15.530,15.560,15.560,15.440,15.640,15.570,15.350,15.410,15.500,15.500,15.500,15.530,15.670,15.610,15.540,15.560,15.650,15.640,15.630,15.380,15.590,15.660,15.700,15.730,15.650,15.890,15.630,15.720,15.710,15.760,15.760,15.570,15.600,15.590,15.780,15.780,15.710,15.770,15.690,15.760,15.630,15.840,15.920,15.950,15.780,15.760,15.840,15.790,15.860,15.800,15.790,15.860,15.650,15.820,15.840,15.950,15.860,15.820,15.700,15.830,15.810,15.810,15.780,15.880,15.920,15.860,15.710,15.810,15.860,15.840,15.820,15.800,15.800,15.770,15.600,15.760,15.750,15.690,15.770,15.740,15.640,15.700,15.670,15.650,15.660,15.610,15.630,15.710,15.630,15.650,15.670,15.630,15.680,15.670,15.7,15.67,15.77,15.77,15.75,15.73,15.71,15.68,15.67,15.74,15.73,15.67,15.64,15.76,15.7,15.76,15.63,15.67,15.72,15.72,15.77,15.63,15.6,15.55,15.69,15.76,15.72,15.67,15.7,15.63,15.7,15.48,15.73,15.59,15.57,15.65,15.51,15.6,15.7,15.72,15.76,15.45,15.58,15.62,15.66,15.66,15.64,15.57,15.66,15.67,15.54,15.57,15.73,15.59,15.6
Beras Medium,13.610,13.590,13.600,13.680,13.640,13.570,13.630,13.490,13.490,13.550,13.630,13.520,13.550,13.580,13.640,13.660,13.720,13.650,13.660,13.650,13.640,13.620,13.650,13.730,13.680,13.740,13.660,13.760,13.670,13.680,13.730,13.730,13.690,13.580,13.650,13.670,13.660,13.740,13.730,13.780,13.300,13.370,13.370,13.460,13.460,13.430,13.710,13.340,13.400,13.400,13.460,13.670,13.460,13.400,13.320,13.490,13.400,13.270,13.240,13.250,13.100,13.160,13.180,13.240,13.100,13.190,13.290,13.210,13.160,13.210,13.140,13.040,13.070,13.050,13.110,13.010,13.010,13.170,13.130,13.080,13.140,13.110,13.000,13.130,13.040,13.270,12.970,13.000,13.030,13.030,12.970,13.060,13.110,13.060,13.060,13.070,13.07,13.11,13.11,13.04,13.11,13.11,13.06,12.95,13.01,13.11,13.13,13.01,13.01,13.31,12.95,13.06,13.09,13.06,13.11,13.15,13.09,13.06,12.98,13.18,12.98,13.06,13.15,13.05,13.01,13.06,13.15,13.45,13.49,13.39,13.45,13.42,13.39,13.39,13.42,13.42,13.51,13.38,13.44,13.23,13.45,13.45,13.42,13.45,13.45,13.43,13.31,13.41,13.45,13.42,13.51
Kedelai Biji Kering (Impor),15.210,15.170,14.660,15.270,15.150,15.100,15.010,15.140,15.190,15.260,15.240,15.270,15.220,15.080,15.360,15.270,15.260,15.250,15.210,15.390,15.070,15.300,15.170,15.230,15.260,15.360,15.490,15.490,15.430,15.330,15.370,15.440,14.780,15.590,15.150,15.360,15.110,15.370,15.420,15.020,15.270,14.950,15.380,15.320,15.250,15.320,15.080,15.410,15.150,15.240,15.240,15.130,15.240,15.030,15.140,15.110,15.480,15.430,15.120,15.240,14.990,14.980,15.070,15.430,15.120,15.140,15.470,14.840,15.030,15.070,15.280,15.050,15.020,15.110,15.360,15.050,15.020,15.310,15.220,15.220,15.400,14.490,15.280,15.060,15.410,15.120,15.000,15.270,15.010,14.880,15.060,15.140,15.180,15.120,15.160,14.940,15.2,14.85,15.02,15.26,15.06,15.15,15.01,15.1,15.01,15.19,15.19,15.01,15.01,15.01,15.1,15.1,15.15,15.01,15.01,15.19,15.1,14.96,14.96,15.23,14.75,15.06,15.19,14.97,15.06,14.92,14.22,14.17,13.68,14.1,13.98,13.84,13.77,14.1,13.9,13.75,13.85,13.8,13.34,13.79,13.96,13.73,13.72,13.81,13.83,13.82,13.71,13.67,13.71,13.83,13.78
Bawang Merah,24.910,24.970,26.410,26.540,26.970,27.770,27.960,31.630,30.860,31.290,32.060,32.410,32.050,33.640,33.540,31.160,29.800,29.280,29.290,28.810,29.680,29.610,31.220,31.520,30.940,30.620,31.030,31.520,32.280,32.550,32.260,31.110,31.500,31.060,30.800,31.840,33.020,31.500,32.040,31.530,31.130,30.320,30.490,29.660,30.570,29.120,29.130,28.870,29.160,29.440,29.640,29.610,29.880,29.620,28.810,29.560,28.920,28.440,28.710,28.760,27.700,28.880,27.780,28.150,28.660,29.020,28.630,28.800,28.300,27.760,29.350,28.500,29.070,28.820,28.560,27.970,27.490,27.940,27.590,27.370,26.840,27.350,27.290,27.810,27.270,27.640,27.350,26.020,26.710,25.920,26.170,26.090,25.740,25.070,25.120,23.890,24.0,24.15,23.34,23.44,24.15,23.72,24.07,24.15,24.07,24.15,25.02,25.15,24.86,25.24,24.15,24.82,25.1,24.53,26.41,27.05,26.14,26.62,26.65,27.06,27.73,28.6,27.8,28.36,28.28,27.55,28.83,28.64,29.5,28.63,29.08,28.77,28.18,27.3,27.6,27.48,26.98,26.36,25.35,25.65,25.5,26.05,25.53,26.76,26.45,26.17,26.75,26.57,27.15,26.32,26.43
Bawang Putih Bonggol,22.760,22.810,23.220,22.640,22.420,23.210,23.260,24.500,23.230,23.680,24.320,24.750,24.160,24.770,24.950,25.220,24.580,24.650,24.730,24.790,25.230,24.570,26.080,24.670,25.070,24.750,24.840,25.550,24.970,25.670,26.010,25.600,26.270,25.960,26.370,26.200,26.500,25.360,25.500,25.830,24.970,25.770,25.570,25.530,25.700,26.000,25.690,25.350,26.030,25.780,25.970,25.630,26.060,26.630,25.640,26.050,26.350,26.180,26.170,26.200,26.100,25.730,26.480,26.360,27.170,27.360,28.050,27.800,28.120,28.210,28.130,28.770,28.000,28.480,28.400,29.260,28.850,28.480,28.900,29.200,28.760,28.490,29.080,28.280,28.540,28.060,28.620,28.740,28.510,28.840,29.580,28.360,28.540,28.140,28.010,28.730,28.31,28.75,28.75,28.97,28.42,28.97,28.98,29.32,29.42,29.14,29.43,29.27,29.19,29.6,30.0,30.11,29.58,29.74,29.74,29.27,29.5,30.09,30.54,30.25,30.39,30.81,30.78,31.7,31.6,31.27,32.28,32.32,32.17,32.59,35.31,34.74,35.11,35.63,35.8,35.98,35.18,36.39,35.82,35.79,35.48,35.73,35.47,35.94,35.46,37.4,36.6,36.43,35.09,37.01,36.81
Cabai Merah Keriting,37.280,37.850,39.830,38.510,36.790,39.220,41.170,43.130,42.460,43.620,40.920,41.680,40.760,42.150,42.710,41.050,40.450,39.290,39.930,40.330,41.430,41.770,43.400,43.940,44.770,43.100,46.110,52.240,51.600,49.480,51.180,49.120,49.280,50.620,51.750,51.170,50.690,49.840,47.790,48.100,48.130,47.070,45.350,45.000,45.030,45.630,46.720,47.310,46.130,50.150,51.910,52.060,54.350,55.290,55.820,55.950,56.730,55.960,55.130,51.190,50.110,49.930,48.350,47.590,45.230,44.940,43.780,43.130,42.770,44.160,43.110,43.440,42.310,42.780,43.070,44.020,41.900,42.550,42.640,42.830,41.400,39.570,38.840,38.120,37.050,34.980,33.590,31.520,30.330,30.570,28.940,29.390,28.420,29.390,28.900,29.560,29.47,28.53,29.05,28.36,29.19,28.92,29.34,30.34,31.84,32.48,33.74,34.38,33.93,32.38,33.42,33.04,33.74,33.94,31.62,31.04,28.23,27.5,27.75,28.43,28.04,27.18,25.81,24.68,24.7,24.66,24.91,26.01,25.41,24.8,24.02,24.67,24.06,24.63,24.44,24.82,23.3,23.11,23.0,23.41,23.65,23.26,23.62,24.37,24.25,24.79,24.05,24.52,24.64,24.68,25.71
Cabai Rawit Merah,55.340,54.380,48.990,50.130,56.460,52.410,60.000,60.000,52.410,47.620,52.410,45.790,46.540,52.410,40.000,48.870,47.480,45.210,41.600,44.810,54.770,44.810,41.600,41.600,41.600,37.800,43.800,54.220,43.800,40.990,48.740,49.530,43.090,48.990,52.920,54.220,35.500,48.250,43.800,49.530,50.950,46.860,48.990,48.250,43.990,48.650,48.200,50.130,54.860,52.140,52.520,48.200,52.440,43.990,51.360,48.800,45.550,50.130,41.410,45.550,43.800,43.800,43.800,43.800,32.400,34.640,41.890,41.890,45.830,39.790,34.760,33.000,30.000,32.400,41.890,45.830,45.830,40.660,39.790,42.080,39.790,39.790,39.790,41.890,44.100,41.890,39.790,37.740,41.890,37.440,45.830,37.440,38.890,39.790,30.000,45.060,39.34,36.44,39.34,39.34,39.34,38.42,38.42,44.27,44.27,39.34,41.89,40.16,50.89,41.89,40.94,41.89,41.89,48.79,41.21,36.94,33.14,41.83,40.99,42.66,37.94,35.7,35.7,22.8,37.94,42.66,33.47,43.47,36.77,43.47,35.7,43.47,44.27,44.27,36.15,41.83,32.27,40.99,40.99,40.99,37.44,34.37,34.37,38.42,33.56,43.47,27.0,26.0,25.98,42.66,37.94
Daging Sapi Murni,141.750,141.750,142.000,141.750,142.530,141.650,142.210,143.200,142.690,142.250,141.840,142.690,142.250,142.250,143.010,142.670,141.210,142.130,143.010,141.590,142.400,141.390,142.830,142.130,142.250,142.830,142.400,142.950,142.250,142.830,142.130,142.130,143.010,142.740,142.560,143.210,142.560,141.680,141.580,142.400,142.560,142.250,143.010,142.130,141.680,141.780,142.250,142.200,141.680,141.680,142.250,141.780,141.580,142.830,140.690,141.500,141.780,142.400,141.680,141.580,142.400,141.780,141.860,141.780,142.400,141.780,141.680,142.250,142.400,142.130,142.400,143.210,141.900,142.400,143.010,142.040,141.140,142.830,144.540,144.540,143.410,146.310,146.090,144.580,146.090,145.130,144.870,144.870,144.870,144.000,144.000,144.580,144.880,144.580,144.000,145.500,144.87,144.62,144.58,144.87,145.17,144.03,144.36,144.91,145.47,145.21,145.8,147.27,148.15,149.28,149.27,147.55,145.59,146.69,146.88,146.31,146.49,145.86,145.54,146.07,146.17,145.51,144.64,144.92,144.92,143.75,144.2,144.92,144.92,144.61,144.61,144.61,144.09,144.92,145.51,145.23,144.92,145.28,144.53,144.64,145.51,145.75,145.51,145.2,145.75,144.5,144.58,144.56,145.51,144.33,143.61
Daging Ayam Ras,33.450,31.710,33.070,32.560,32.250,32.200,32.390,33.620,31.100,31.390,31.800,31.760,31.420,32.220,32.510,31.390,30.220,31.750,30.630,29.960,30.820,29.480,30.180,29.930,30.390,30.150,29.230,30.580,30.270,29.610,29.330,29.310,28.690,28.360,27.990,29.040,29.030,28.260,28.740,28.570,27.370,28.680,28.670,28.460,28.800,29.020,28.600,26.680,27.860,27.940,28.200,28.430,28.570,28.520,26.840,28.220,28.300,27.940,27.610,29.050,27.430,28.310,27.650,28.020,27.900,27.480,28.810,28.500,28.220,28.050,29.530,28.650,28.820,29.750,28.350,29.250,28.590,29.120,29.210,29.440,29.750,29.290,29.750,29.460,29.630,28.070,27.970,28.930,28.000,28.430,28.520,28.390,27.620,27.890,28.920,28.010,27.75,27.39,28.33,27.95,26.91,27.66,27.33,27.62,28.1,27.83,29.09,29.54,30.44,29.26,30.28,30.1,29.43,30.0,29.92,30.02,29.75,29.76,29.64,30.61,29.76,30.22,30.5,30.06,30.15,29.81,30.79,30.17,30.34,30.19,30.13,31.17,31.03,31.44,31.41,31.97,31.71,31.41,32.31,31.87,31.99,31.77,32.25,32.48,32.33,30.79,33.6,33.83,33.31,33.46,33.31
Telur Ayam Ras,28.580,28.220,28.590,28.450,28.160,28.460,28.570,28.870,28.560,28.290,28.180,28.090,28.220,28.160,28.220,28.300,28.080,28.010,27.990,28.010,27.990,27.880,27.630,27.840,27.650,27.640,27.640,27.720,27.860,27.970,27.750,27.690,27.710,27.400,27.300,27.360,27.590,27.350,27.820,27.170,27.180,27.170,26.950,27.350,27.780,27.410,26.850,27.010,26.950,26.990,26.800,26.640,26.760,27.080,26.630,26.910,26.820,26.720,26.850,26.710,26.620,26.720,26.570,26.540,26.630,26.940,26.510,26.620,26.460,26.620,27.040,27.060,27.420,27.490,27.380,27.450,27.110,27.430,27.460,27.410,27.400,27.400,27.450,27.450,27.600,27.540,27.520,27.660,27.850,27.790,27.350,27.630,27.550,27.790,27.960,27.630,27.6,27.5,27.53,27.62,27.53,27.52,27.52,27.32,27.35,27.53,27.73,27.57,27.4,27.53,27.31,27.42,27.27,27.41,27.47,27.47,27.47,27.31,27.54,27.59,27.63,27.26,27.34,27.38,27.24,27.08,27.35,27.4,27.3,27.25,27.38,27.41,27.44,27.42,28.07,28.11,27.98,28.19,27.91,28.37,28.53,28.68,28.94,28.99,29.02,28.51,28.99,29.17,29.33,29.22,29.11
