,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,12.410,12.410,12.410,12.410,12.410,12.410,12.420,12.410,12.460,12.460,12.470,12.470,12.470,12.470,12.420,12.420,12.430,12.450,12.420,12.420,12.420,12.390,12.320,12.300,12.250,12.250,12.250,12.190,12.190,12.190,12.190,12.190,12.190,12.190,12.190,12.170,12.170,12.170,12.070,12.060,12.060,12.100,12.050,12.050,12.050,12.050,12.050,12.050,12.010,12.050,12.240,12.240,12.240,12.240,12.240,12.240,12.240,12.240,12.240,12.260,12.260,12.670,12.670,12.670,12.840,12.910,12.910,12.910,12.940,12.940,12.940,13.000,13.000,13.080,13.080,13.130,13.130,13.260,13.260,13.260,13.260,13.260,13.290,13.290,13.290,13.290,13.320,13.410,13.410,13.410,13.410,13.410,13.410,13.540,13.540,13.610,13.610,13.610,13.610,13.610,13.650,13.540,13.540,13.540,13.540,13.540,13.470,13.470,13.470,13.470,13.470,13.420,13.470,13.470,13.470,13.390,13.390,13.390,13.390,13.390,13.390,13.390,13.470,13.560,13.56,13.56,13.56,13.56,13.56,13.56,13.57,13.56,13.52,13.52,13.52,13.52,13.52,13.52,13.43,13.5,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.5
1,Beras Medium,11.180,11.180,11.180,11.180,11.180,11.180,11.190,11.190,11.310,11.310,11.280,11.280,11.310,11.280,11.260,11.260,11.260,11.260,11.260,11.260,11.260,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.250,11.240,11.240,11.240,11.180,11.150,11.150,11.170,11.150,11.150,11.150,11.150,11.190,11.150,11.150,11.150,11.330,11.310,11.310,11.440,11.400,11.400,11.380,11.370,11.400,11.400,11.400,11.860,11.860,11.860,11.900,12.040,12.030,12.030,12.030,12.030,12.030,12.050,12.050,12.080,12.130,12.190,12.190,12.230,12.230,12.230,12.250,12.250,12.260,12.260,12.260,12.360,12.380,12.470,12.440,12.510,12.510,12.540,12.540,12.610,12.610,12.550,12.620,12.550,12.550,12.550,12.550,12.620,12.550,12.550,12.570,12.570,12.570,12.570,12.570,12.570,12.570,12.580,12.570,12.570,12.570,12.510,12.510,12.510,12.510,12.510,12.480,12.450,12.480,12.530,12.53,12.53,12.53,12.36,12.53,12.53,12.54,12.53,12.53,12.53,12.53,12.54,12.53,12.54,12.53,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.47
2,Kedelai Biji Kering (Impor),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.12,15.38,15.54,13.54,13.74,13.77,13.42,13.76,13.85,13.77,13.54,14.15,13.54,13.69,13.74,13.52,13.54,13.25,13.22,13.02,12.86,13.02,12.93,12.36,12.26,12.3,12.0
3,Bawang Merah,37.520,36.710,37.620,38.340,38.100,40.900,41.480,41.040,41.500,42.050,42.870,43.680,43.690,39.460,40.610,41.100,41.020,40.390,40.570,39.950,40.380,40.380,39.520,39.840,39.890,39.760,39.990,41.230,41.080,40.540,40.540,40.810,40.540,41.560,42.930,45.360,44.050,44.180,43.720,44.070,44.860,45.460,44.580,44.290,45.090,42.510,41.980,41.620,42.230,41.290,36.660,36.300,35.140,34.570,34.410,35.560,35.890,34.630,33.580,33.410,32.870,32.880,32.650,33.920,34.850,34.590,34.890,36.150,35.890,36.320,37.740,37.470,38.260,36.740,36.530,36.800,36.490,35.670,34.720,36.200,36.050,37.740,37.290,37.330,36.870,36.410,35.600,36.390,34.850,33.220,35.700,34.690,34.980,34.400,33.580,33.030,34.350,34.690,35.380,34.570,34.680,33.580,33.730,35.550,35.550,36.290,38.600,39.390,40.920,40.860,40.530,41.170,41.470,40.950,41.900,44.840,45.970,45.970,46.510,46.670,44.860,46.260,47.320,47.040,45.54,46.07,45.88,46.43,45.98,45.89,47.58,47.26,47.33,48.02,44.01,45.42,44.45,44.29,41.73,41.74,41.16,40.01,39.9,39.38,39.1,38.09,38.06,37.89,38.51,39.43,38.06
4,Bawang Putih Bonggol,33.310,33.370,32.770,32.860,32.470,32.350,32.960,32.520,32.660,32.660,33.030,33.010,33.570,33.970,32.930,32.430,32.200,32.630,32.880,33.030,34.410,33.240,33.240,33.420,32.680,32.400,32.050,32.860,32.800,33.610,34.850,34.040,33.040,32.660,34.380,32.940,32.990,33.380,33.390,33.640,33.460,33.490,33.760,35.890,36.300,34.550,34.320,33.820,35.140,34.490,34.870,35.630,34.920,34.720,35.240,34.750,35.170,35.410,35.710,36.000,35.710,36.140,35.300,36.290,36.600,36.100,36.550,37.070,35.850,36.240,37.520,37.250,37.540,39.800,39.450,40.620,40.700,41.710,39.480,40.040,39.380,40.330,41.060,41.790,42.530,42.920,43.100,41.860,41.550,41.380,41.760,39.850,38.660,38.230,38.410,38.210,38.860,38.970,39.340,38.360,38.240,37.580,37.180,37.800,38.670,38.420,38.360,38.830,39.530,40.400,40.090,39.760,40.240,39.320,40.460,40.470,40.240,40.240,40.310,40.310,39.980,40.550,40.770,40.540,40.9,41.9,41.36,41.58,42.41,43.35,43.32,44.49,44.94,43.94,43.23,42.81,42.91,42.39,40.81,40.24,39.89,41.04,40.48,40.56,40.21,39.42,40.21,40.69,40.59,40.35,41.08
5,Cabai Merah Keriting,22.100,22.630,21.540,21.820,22.840,22.660,23.730,24.560,23.360,21.310,21.540,23.700,24.220,23.360,23.550,22.930,23.120,23.250,22.940,22.940,23.840,23.900,24.100,24.580,23.700,23.620,23.540,23.820,24.340,24.480,23.560,26.080,28.390,36.010,35.530,34.730,34.670,31.830,31.650,31.070,32.740,31.910,30.690,31.820,31.820,30.980,29.350,29.350,29.200,28.320,30.300,31.760,34.740,33.350,36.340,33.410,32.480,34.610,33.650,33.350,34.770,38.330,38.380,38.380,37.570,38.340,37.300,36.690,35.970,38.590,39.490,39.800,41.120,45.830,45.880,50.710,53.230,52.650,56.270,58.660,58.070,58.240,56.750,44.680,41.740,42.380,42.170,40.450,36.390,36.510,32.190,29.290,33.320,32.820,31.160,29.700,30.010,30.010,28.120,26.160,26.080,24.930,24.580,27.480,27.880,33.600,38.380,41.420,43.560,44.210,42.130,37.990,39.550,38.440,38.490,39.520,40.790,40.590,39.410,37.330,38.440,38.570,37.310,37.020,36.62,36.12,36.32,37.7,38.27,37.98,38.28,36.59,40.62,41.86,41.89,42.38,41.76,40.77,39.61,40.74,40.74,37.98,37.36,36.54,37.81,37.75,37.78,40.01,36.99,39.15,40.81
6,Cabai Rawit Merah,48.560,48.890,47.800,48.820,47.430,50.110,49.270,46.930,41.000,37.550,41.740,42.700,40.850,38.690,36.200,38.890,37.630,37.170,34.470,33.190,31.060,30.480,30.910,29.930,30.780,31.020,31.230,31.590,30.950,32.170,32.500,41.250,33.180,35.590,33.990,38.170,39.410,39.170,39.160,38.230,42.340,44.270,47.030,48.450,50.370,49.460,48.250,47.720,47.870,50.550,51.490,58.380,65.440,64.310,68.020,66.020,66.330,63.940,63.780,64.090,64.090,68.560,68.350,68.610,68.340,68.630,69.680,70.690,72.560,71.800,79.030,75.530,76.540,84.490,86.500,91.530,90.760,83.600,74.090,63.730,62.920,63.660,73.610,65.380,57.610,51.600,47.900,41.610,38.910,36.550,33.030,34.720,35.810,35.500,34.970,33.900,32.340,31.470,31.100,30.640,28.190,27.710,25.640,27.660,28.370,27.760,31.460,32.850,39.890,38.720,39.370,37.370,37.110,30.050,29.040,26.840,27.030,27.310,29.360,31.590,32.890,36.100,34.620,37.030,35.62,35.65,33.22,34.97,35.99,34.7,36.53,35.1,34.07,32.15,30.72,30.47,31.6,31.21,29.52,29.87,30.04,29.03,29.04,27.16,28.56,25.67,24.6,25.15,23.78,24.01,21.59
7,Daging Sapi Murni,137.600,137.600,137.600,137.600,137.600,137.600,137.600,138.730,136.270,136.270,135.050,134.640,135.860,135.860,134.860,134.860,134.860,134.030,134.030,134.030,134.030,134.030,134.850,134.030,134.030,134.030,134.030,134.030,134.850,134.030,134.030,134.030,134.030,134.030,134.030,134.030,134.030,134.030,134.030,134.030,134.030,134.850,134.030,134.030,133.160,133.740,133.740,134.030,134.030,134.030,134.030,134.030,133.810,133.810,134.030,134.030,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.520,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,132.600,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,133.810,134.910,134.910,134.910,135.910,133.810,134.910,134.910,134.910,134.910,134.910,134.910,134.910,134.910,134.910,134.910,134.910,134.91,134.91,134.91,134.91,134.91,134.91,135.91,134.91,134.91,134.91,134.91,135.91,134.91,135.91,134.91,134.91,134.91,134.91,134.91,134.91,134.91,134.91,134.91,134.91,136.86,136.86,136.58
8,Daging Ayam Ras,31.700,31.590,31.510,31.570,31.570,31.190,30.930,30.670,29.840,29.840,29.720,29.720,29.800,29.730,29.740,29.150,29.300,29.480,29.440,29.440,29.330,29.330,29.170,29.040,29.450,28.660,28.960,28.750,28.860,28.610,28.610,28.590,28.540,28.540,28.550,28.360,28.360,28.290,27.460,27.770,27.690,28.370,27.950,27.300,27.300,26.920,26.590,26.470,26.560,26.530,26.270,26.250,26.210,26.140,26.250,26.110,26.660,26.310,26.310,26.560,26.800,26.180,26.210,26.360,26.470,26.760,26.970,26.880,27.040,27.370,27.510,28.120,28.170,28.690,28.540,28.990,29.360,29.350,29.800,30.160,30.570,30.560,30.490,30.560,31.000,30.240,30.670,30.770,31.010,31.010,30.770,30.890,30.890,30.750,30.750,30.700,30.670,30.550,30.430,30.210,30.210,29.800,29.760,29.760,29.530,29.530,28.690,28.970,28.980,28.980,29.170,29.950,29.410,31.090,31.470,31.450,31.570,31.570,32.080,32.020,32.550,32.550,32.150,32.530,32.3,32.3,32.07,32.07,32.07,32.07,32.13,32.4,32.04,32.13,31.62,31.49,31.4,31.42,31.38,31.68,31.82,31.82,31.82,31.82,31.8,31.89,31.89,31.17,30.87,30.87,30.3
9,Telur Ayam Ras,31.260,31.250,30.950,31.100,31.040,30.920,30.970,30.510,30.410,30.410,30.250,30.230,30.200,30.180,30.350,30.060,30.310,30.160,30.080,30.110,29.870,29.950,29.910,29.880,29.770,29.750,29.500,29.240,29.360,29.360,29.360,29.330,29.330,29.290,29.260,28.680,28.680,28.450,28.700,28.420,28.440,28.410,28.560,28.310,28.370,28.040,28.110,28.100,28.060,27.970,27.800,27.800,27.800,27.800,27.560,27.500,27.420,27.400,27.160,27.180,27.180,27.050,27.030,27.030,27.040,27.040,27.530,27.680,27.560,27.560,27.710,27.790,27.720,28.340,28.440,28.100,28.140,28.410,28.600,28.960,28.960,28.900,29.510,29.450,30.090,30.150,30.150,30.190,30.470,30.570,30.690,30.760,30.420,30.830,30.830,30.910,30.760,30.780,30.820,30.810,30.810,30.800,30.800,30.750,30.520,30.640,30.640,30.910,31.260,31.260,31.450,30.950,31.560,32.140,32.640,32.640,32.640,32.640,32.810,32.810,32.610,32.480,32.740,32.740,32.63,32.52,32.52,32.57,32.57,32.45,32.4,32.4,32.47,32.47,32.24,32.03,32.05,31.98,32.05,32.07,32.07,32.12,32.12,32.15,31.97,32.09,32.24,32.04,31.9,31.9,31.29
