Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.520,12.060,12.240,12.240,12.320,12.320,12.320,12.420,12.390,12.450,12.450,12.630,12.270,12.500,12.420,12.580,12.580,12.560,12.560,12.520,12.520,12.530,12.440,12.520,12.520,12.520,12.520,12.290,12.520,12.520,12.520,12.520,12.610,12.670,12.450,12.610,12.610,12.650,12.670,12.670,12.580,12.620,12.710,12.710,12.750,12.830,12.910,12.910,12.780,12.910,12.990,12.990,13.020,13.040,13.040,13.050,13.050,13.120,13.250,13.290,13.310,13.310,13.280,13.280,13.380,13.380,13.300,13.300,13.300,13.300,13.460,13.460,13.460,13.460,13.280,13.460,13.460,13.270,13.410,13.380,13.460,13.410,13.510,13.510,13.410,13.410,13.410,13.460,13.370,12.980,13.370,13.370,13.370,13.450,13.450,13.450,13.26,13.46,13.61,13.61,13.26,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,12.000,13.74,13.61,13.61,13.41,13.61,13.61,13.21,13.49,13.44,13.41,13.41,13.45,13.45,13.36,13.26,13.45,13.45,13.45,13.37,13.22,13.23,13.4,13.37,13.37,13.37,13.37,13.37,13.45,13.37,13.37,13.37,13.37,13.31,13.37,13.33,13.37,13.37,13.37,13.37,13.37
Beras Medium,10.870,10.590,10.720,10.720,10.840,10.830,10.830,10.910,10.870,10.930,10.950,11.010,10.780,10.930,10.760,10.930,11.010,11.100,11.090,11.050,11.050,11.020,11.050,11.100,11.110,11.020,11.100,10.990,11.100,11.100,11.110,11.100,11.140,11.150,11.110,11.220,11.220,11.250,11.240,11.260,11.330,11.180,11.230,11.180,11.330,11.500,11.500,11.500,11.420,11.500,11.580,11.540,11.580,11.580,11.660,11.720,11.730,11.800,11.790,11.960,12.020,12.020,11.870,12.130,12.090,12.120,12.120,12.120,12.050,12.090,12.170,12.170,12.140,12.100,11.950,12.060,12.060,11.890,12.060,12.060,12.060,12.000,12.110,12.060,12.090,12.050,12.070,12.150,12.030,11.780,12.030,12.030,12.060,12.080,12.120,12.040,11.93,12.08,12.23,12.19,11.88,12.19,12.19,12.19,12.19,12.19,12.19,12.19,12.13,12.19,11.000,12.2,12.19,12.13,12.14,12.19,12.19,11.97,12.06,12.22,12.2,12.2,12.2,12.2,12.12,12.06,12.2,12.2,12.2,12.2,12.06,12.13,12.3,12.2,12.2,12.2,12.2,12.2,12.23,12.13,12.2,12.2,12.2,12.15,12.21,12.21,12.21,12.21,12.21,12.21,12.21
Kedelai Biji Kering (Impor),13.840,13.840,13.840,13.840,13.980,13.980,13.980,13.980,13.980,13.980,13.980,13.980,14.140,13.980,13.980,14.090,14.090,14.090,14.090,14.090,14.090,14.990,14.090,14.090,14.090,14.090,14.090,14.300,14.090,14.090,14.090,14.090,14.090,14.480,14.090,14.090,14.090,14.090,14.090,14.090,13.980,13.980,13.980,13.980,13.980,14.140,13.980,14.320,13.980,13.980,13.980,13.980,13.980,14.350,13.980,14.140,14.100,14.180,14.180,14.180,14.360,14.360,14.110,14.720,14.360,14.360,14.360,14.360,14.360,14.360,14.360,14.360,14.360,14.360,14.720,14.360,14.360,14.580,14.360,14.360,14.360,14.360,14.720,14.360,14.360,14.250,14.360,14.360,14.360,14.580,14.360,14.360,14.360,14.360,14.360,14.180,14.18,14.18,14.18,14.18,14.35,14.18,14.18,14.18,14.18,14.18,14.18,14.18,14.18,14.18,-,14.3,14.36,14.18,14.18,14.36,14.36,14.58,14.61,14.58,14.36,14.18,14.18,14.18,14.35,14.35,13.81,14.18,14.24,14.24,14.18,14.18,14.35,14.24,14.17,14.17,14.11,14.06,14.07,13.77,14.14,14.14,14.26,14.07,14.18,14.07,14.15,14.15,14.15,13.86,14.15
Bawang Merah,41.620,39.910,41.020,40.650,41.110,41.480,41.820,42.170,43.510,42.380,41.900,42.250,41.150,42.980,41.690,42.530,42.360,40.220,41.180,41.030,41.040,40.760,40.700,40.880,40.030,40.390,40.390,39.090,38.930,39.280,38.840,39.960,40.720,40.750,39.420,40.960,41.340,41.120,42.460,42.730,42.890,43.560,43.560,43.230,42.790,42.370,42.530,43.400,41.150,41.470,41.640,42.190,41.310,41.030,41.030,40.220,38.730,39.960,38.300,37.650,38.300,37.260,36.970,38.720,36.840,37.490,37.910,37.670,37.230,37.230,38.000,37.660,38.110,38.680,37.520,38.240,37.510,35.660,36.830,36.740,36.190,36.420,35.510,35.730,35.840,36.210,35.510,34.890,35.110,34.330,34.620,34.290,34.850,35.630,35.110,35.470,34.34,34.83,35.25,35.79,34.45,35.41,36.61,35.72,35.29,36.11,36.71,37.26,36.36,36.75,25.000,37.74,37.35,36.9,36.21,37.78,37.86,37.7,37.68,39.47,38.71,38.71,39.57,40.74,41.44,40.69,40.84,42.0,43.02,44.76,44.01,44.48,45.42,44.9,44.78,45.14,45.52,45.89,45.17,44.76,45.34,44.57,44.74,44.58,44.61,44.61,44.61,43.71,43.49,42.61,41.34
Bawang Putih Bonggol,33.150,31.210,31.810,31.110,32.320,32.320,32.090,31.340,31.930,32.310,31.980,31.870,31.250,32.290,31.390,32.140,32.140,31.880,32.530,32.530,32.530,32.390,32.530,32.150,31.490,31.800,31.400,30.420,31.500,31.600,32.150,31.550,31.600,31.570,30.820,31.080,31.450,31.450,31.990,32.510,32.620,32.510,32.560,32.370,32.580,33.550,33.190,33.820,32.930,33.830,33.830,34.050,34.570,34.460,34.460,34.340,33.860,34.740,35.150,35.660,35.850,35.130,35.380,35.710,36.520,36.770,36.650,36.800,36.610,36.610,36.800,37.780,37.520,37.850,38.060,38.040,38.040,36.800,37.310,37.310,37.310,37.310,37.200,36.340,36.880,36.740,36.370,35.630,35.460,34.620,35.900,36.520,36.670,36.670,36.870,36.490,35.63,36.66,37.03,36.66,34.98,35.95,36.13,36.27,36.19,36.1,36.48,37.06,37.24,37.99,30.000,37.02,36.78,36.27,36.0,36.92,37.11,36.26,36.37,37.29,36.15,36.63,37.44,38.01,38.05,36.95,38.4,38.05,39.15,40.0,39.2,40.01,40.98,40.37,40.35,41.51,40.84,41.3,41.55,41.82,41.59,40.4,40.36,40.09,40.78,40.78,41.15,40.36,40.36,40.36,40.44
Cabai Merah Keriting,22.110,21.950,22.650,22.310,22.880,22.220,22.020,21.770,22.570,21.270,21.130,20.600,21.740,21.840,22.890,23.020,23.540,22.810,22.510,22.430,22.430,20.340,21.940,22.430,21.640,22.450,22.430,23.420,22.480,22.010,20.530,22.720,23.230,23.290,22.990,23.430,23.060,23.840,24.910,26.350,26.570,27.650,28.350,28.020,27.690,30.280,29.160,28.840,29.280,29.420,28.960,29.140,30.130,31.290,31.570,31.890,30.440,31.710,33.290,32.490,32.540,33.160,33.040,35.590,36.450,37.770,40.610,40.440,40.920,41.970,44.010,43.280,43.490,45.980,44.890,45.480,46.920,45.500,47.910,52.360,52.300,51.850,52.780,51.260,50.280,49.920,49.620,45.600,43.660,41.110,39.970,38.900,37.930,34.200,32.580,32.530,30.34,31.2,30.35,29.32,28.68,29.22,29.42,29.07,31.35,30.37,32.3,32.3,35.89,41.41,30.000,39.01,38.91,37.09,40.34,37.98,38.03,38.28,36.95,34.68,33.52,32.86,31.66,30.84,31.23,31.78,33.1,32.44,31.52,30.52,32.55,31.84,32.25,32.17,31.52,32.38,31.45,32.81,32.63,33.05,35.93,35.25,36.11,35.04,35.72,35.5,35.82,36.82,37.79,37.44,37.47
Cabai Rawit Merah,48.840,45.790,50.120,50.160,52.830,52.470,52.090,51.480,50.840,49.370,47.790,46.830,43.840,46.690,43.920,47.710,45.550,42.960,43.450,43.070,41.970,42.070,42.300,41.420,39.940,41.380,41.090,37.990,40.290,39.630,40.050,38.900,37.830,34.420,34.390,37.420,36.920,37.900,38.640,40.100,40.340,39.540,40.710,40.260,40.680,45.180,43.860,43.870,42.040,46.520,46.020,47.050,46.800,52.970,54.930,56.430,56.760,57.210,60.750,60.440,59.890,61.840,63.600,62.620,63.580,64.390,64.530,64.530,64.930,65.800,66.110,66.490,65.850,69.910,70.750,71.740,73.300,73.400,72.990,73.350,72.000,71.270,69.380,62.130,62.410,62.220,58.990,55.020,50.980,46.510,47.220,47.190,44.500,41.300,37.360,37.360,35.6,38.55,35.92,36.21,32.68,33.47,32.22,31.8,31.99,31.4,32.35,32.85,35.56,40.91,35.000,42.34,41.15,38.38,32.41,34.82,35.64,31.13,32.77,33.4,32.72,31.97,30.56,29.89,30.22,28.91,33.88,32.67,32.67,31.91,30.31,31.89,32.7,32.03,30.88,32.15,31.77,31.48,31.4,30.93,31.71,32.0,31.52,30.56,30.08,29.69,30.29,30.85,31.22,31.07,29.55
Daging Sapi Murni,136.920,136.060,137.170,137.170,136.990,136.990,136.990,137.590,137.590,137.590,137.590,138.300,135.230,136.990,135.960,136.990,136.990,137.590,136.990,136.990,136.990,136.170,136.990,137.590,138.300,136.990,136.990,134.750,136.990,136.990,137.590,137.590,136.990,136.740,135.960,136.990,136.990,136.990,136.990,136.990,136.990,136.990,136.600,136.600,137.170,135.540,136.600,137.370,135.540,136.600,136.600,137.330,136.600,136.600,136.600,135.540,136.920,137.170,137.170,136.600,136.600,137.840,138.730,136.350,137.170,136.600,136.600,136.600,137.170,136.600,136.600,136.600,136.600,135.690,135.590,136.600,136.600,135.670,137.000,137.000,137.170,136.600,138.130,137.840,136.600,137.170,137.170,136.600,136.600,134.300,136.600,136.600,137.170,137.170,137.170,136.600,135.54,136.6,136.6,136.6,134.3,136.6,135.88,135.88,136.56,135.88,135.72,137.46,139.18,141.51,130.000,140.72,138.22,136.05,135.99,136.29,136.29,135.27,135.27,135.21,136.29,136.29,136.83,137.02,136.29,134.78,137.02,137.62,137.19,137.19,134.32,138.1,137.19,137.02,136.62,136.62,136.21,136.21,135.16,136.74,136.21,136.21,137.17,135.59,136.21,136.21,136.21,136.21,136.21,136.21,136.74
Daging Ayam Ras,35.310,35.110,35.920,35.440,35.010,35.690,35.640,35.180,36.040,35.910,35.910,36.380,35.960,35.680,35.690,35.630,35.010,34.720,34.460,34.900,34.900,34.430,34.810,34.810,33.960,34.390,34.390,34.770,35.040,35.090,34.800,34.720,34.390,33.910,34.320,34.220,33.840,33.710,32.340,33.950,34.230,34.180,34.180,34.180,33.990,34.810,33.590,33.120,33.490,33.800,33.740,33.350,33.560,33.430,33.860,33.970,32.960,33.610,33.690,33.530,32.880,32.340,32.720,32.980,32.980,33.520,33.630,33.200,33.200,33.260,33.550,33.650,33.550,34.010,33.730,34.280,34.280,32.940,33.860,34.250,34.490,33.800,32.720,33.960,34.110,35.230,34.900,33.600,32.680,32.730,32.630,32.720,32.720,32.720,33.270,34.300,34.19,34.61,34.32,34.72,34.74,34.77,34.25,34.25,34.01,34.38,34.86,34.94,35.54,38.28,28.500,38.83,35.79,34.72,35.81,35.85,35.78,35.99,35.12,35.38,34.48,34.48,34.14,34.7,35.55,35.37,34.9,34.69,34.64,34.85,35.31,35.39,34.5,34.14,34.54,33.82,34.12,33.72,35.58,34.35,35.01,35.26,35.26,35.15,35.04,35.04,35.11,35.16,35.16,35.16,35.16
Telur Ayam Ras,29.060,28.620,29.170,29.170,29.780,29.100,29.100,29.610,29.160,29.210,29.210,30.230,29.290,29.290,28.840,28.980,29.050,29.180,28.700,28.850,28.880,29.340,28.700,28.520,28.870,28.510,28.600,28.030,28.480,28.580,28.780,28.650,28.730,28.540,28.030,28.680,28.600,28.600,28.450,28.280,28.370,28.370,28.960,28.960,29.400,28.070,28.340,28.080,27.540,28.360,28.150,27.780,28.230,28.230,28.140,27.990,27.890,28.140,28.680,28.090,27.960,28.220,27.690,27.790,28.090,28.970,27.920,27.920,27.950,28.030,27.950,27.890,27.970,27.930,26.830,27.490,27.930,27.880,28.290,28.290,28.330,28.290,28.360,29.100,28.510,29.020,28.680,28.810,28.890,28.140,28.750,28.460,28.380,28.630,28.760,28.820,28.01,28.65,28.89,28.73,28.15,28.73,28.52,28.52,28.6,28.82,28.82,28.65,28.85,29.38,25.000,28.96,28.82,28.99,28.27,28.8,28.8,28.02,28.39,28.72,28.93,29.02,28.85,29.09,27.88,27.92,28.23,28.2,28.29,28.78,28.04,28.33,28.4,28.76,29.19,29.14,29.31,29.58,28.89,29.9,30.8,30.97,31.17,31.55,31.35,31.41,31.5,31.5,31.39,31.34,31.26
Gula Konsumsi,14.990,14.900,14.910,14.910,14.910,14.910,14.910,14.900,14.910,14.910,14.840,14.990,14.790,14.910,14.980,14.910,14.990,14.900,14.910,14.910,14.910,14.690,14.910,14.910,14.900,14.910,14.910,14.810,14.910,14.910,14.900,14.910,14.910,14.820,14.820,14.830,14.830,14.830,14.830,14.830,14.870,14.870,14.870,14.910,14.900,14.740,14.830,14.740,14.820,14.910,14.910,14.980,14.910,14.910,14.910,14.780,14.850,14.870,14.950,14.950,15.030,15.030,15.090,14.990,15.080,15.070,15.070,15.070,15.070,15.070,15.070,15.070,14.940,15.030,14.850,14.950,14.950,14.840,14.910,14.910,14.950,14.910,14.810,14.990,14.910,14.910,14.870,14.870,14.870,14.760,14.870,14.870,14.950,14.950,14.980,15.060,15.07,15.11,15.11,15.11,15.04,15.11,15.11,15.11,15.06,15.06,15.11,15.06,15.07,14.98,14.000,14.98,14.98,14.98,14.98,14.98,14.99,14.99,14.89,14.99,15.06,15.06,15.06,15.06,14.99,14.99,15.06,15.15,15.03,15.03,14.94,14.94,14.95,15.03,15.11,15.11,15.11,15.11,15.04,15.12,15.11,15.11,15.11,15.08,15.11,15.11,15.11,15.11,15.11,15.11,15.11
Minyak Goreng Kemasan Sederhana,18.140,17.700,17.860,17.860,17.790,17.790,17.790,17.610,17.820,17.790,17.720,17.800,17.090,17.720,17.550,17.720,17.640,17.720,17.890,17.890,17.890,17.480,17.890,17.890,17.640,17.810,17.810,17.530,17.740,17.810,17.640,17.890,17.870,17.690,17.600,17.780,17.560,17.780,17.860,17.860,17.860,17.860,17.940,18.000,17.790,17.770,18.410,18.380,18.280,18.490,18.490,18.250,18.360,18.490,18.490,18.370,18.320,19.740,18.210,18.290,18.530,18.410,18.200,18.410,18.410,18.530,18.580,18.580,18.410,18.750,18.750,18.750,18.750,18.760,18.110,18.340,18.430,18.180,18.570,18.500,18.410,18.410,18.130,18.730,18.410,18.480,18.480,18.480,18.480,18.220,18.480,18.480,18.480,18.480,18.620,18.620,18.51,18.62,18.62,18.62,18.38,18.62,18.48,18.48,18.29,18.48,18.48,18.48,18.36,18.48,14.000,18.32,18.36,18.36,18.36,18.48,18.58,18.33,18.27,18.47,18.48,18.58,18.53,18.53,18.46,18.2,18.46,18.55,18.55,18.55,18.51,18.43,18.55,18.48,18.33,18.5,17.78,17.7,18.0,18.08,18.23,18.29,18.23,18.3,18.58,18.51,18.51,18.61,18.61,18.61,18.69
Tepung Terigu (Curah),11.090,11.140,11.200,11.200,11.170,11.200,11.200,11.310,11.200,11.200,11.290,11.540,11.190,11.200,11.180,11.320,11.320,11.440,11.320,11.320,11.320,11.400,11.320,11.320,11.440,11.320,11.320,11.080,11.320,11.280,11.390,11.280,11.280,11.390,11.220,11.150,11.280,11.280,11.340,11.340,11.340,11.340,11.300,11.300,11.410,11.130,11.220,11.380,11.210,11.270,11.270,11.220,11.270,11.270,11.270,11.100,11.290,11.300,11.420,11.300,11.370,11.490,11.130,11.500,11.500,11.380,11.370,11.370,11.380,11.630,11.380,11.440,11.440,11.450,11.550,11.450,11.450,11.370,11.450,11.490,11.490,11.490,11.780,11.780,11.490,11.410,11.410,11.310,11.500,11.280,11.460,11.490,11.570,11.570,11.490,11.490,11.39,11.44,11.44,11.44,11.22,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.56,11.44,10.000,11.2,12.06,11.56,11.39,11.52,11.44,11.22,11.25,11.28,11.8,11.44,11.4,11.44,11.26,11.22,11.44,11.44,11.56,11.02,11.27,11.44,11.61,11.48,11.06,11.48,11.44,11.06,11.18,11.61,11.48,11.48,11.48,11.36,11.48,11.44,11.44,11.36,11.44,11.44,11.36
Minyak Goreng Curah,14.490,14.260,14.260,14.260,14.210,14.630,14.260,15.340,14.260,14.260,14.260,14.570,14.570,14.260,14.260,14.260,14.260,14.360,14.260,14.890,14.720,14.140,14.260,14.260,14.260,14.260,14.260,14.870,14.260,14.260,14.360,14.120,13.950,14.670,14.030,14.030,14.290,14.030,14.030,14.230,14.230,14.230,14.200,14.310,14.310,14.090,14.440,14.310,14.310,14.310,15.010,14.550,14.230,14.230,14.230,13.990,14.730,14.230,14.120,14.230,14.310,14.390,14.440,14.390,14.310,14.390,14.810,14.810,14.810,14.810,14.810,14.810,15.290,14.310,14.230,14.310,14.480,14.270,14.480,14.480,15.040,14.410,14.410,14.790,14.410,14.410,14.410,14.410,14.410,14.190,14.410,14.410,14.410,14.410,14.410,14.970,14.97,14.97,14.41,14.41,14.19,14.94,14.41,14.41,14.41,14.41,14.41,14.41,14.41,14.41,12.000,14.34,14.41,14.41,14.41,14.69,14.41,14.81,14.22,14.19,14.41,14.41,14.12,14.23,14.12,14.0,14.23,14.23,14.23,14.23,14.0,14.23,14.38,14.23,14.23,14.23,14.8,14.27,14.05,14.27,14.44,14.44,14.98,14.83,14.44,14.44,14.44,14.83,14.83,14.83,14.91
Jagung Tk Peternak,5.000,5.000,5.000,-,6.390,6.390,6.390,6.220,6.300,6.370,6.370,6.220,6.410,6.300,6.300,6.300,6.300,6.220,6.300,6.390,6.300,6.460,6.330,6.810,6.630,6.670,6.670,6.920,6.670,6.670,6.510,6.560,6.560,6.560,6.560,6.570,6.570,6.550,6.550,6.520,6.520,6.520,6.650,6.520,6.460,7.140,6.730,6.730,6.730,6.730,6.730,6.550,6.680,6.680,6.680,6.930,6.590,6.570,6.700,6.570,6.650,6.610,6.820,6.680,6.740,6.650,6.750,6.650,6.750,6.750,6.750,6.750,6.750,6.750,6.750,6.750,6.750,6.980,6.750,6.750,6.750,6.750,6.730,6.690,6.710,6.710,6.750,6.750,6.650,6.870,6.650,6.650,6.650,6.650,6.580,6.650,6.61,6.61,6.61,6.61,6.81,6.61,6.61,6.56,6.56,6.56,6.56,6.56,6.74,6.56,6.000,7.04,6.56,6.52,6.56,6.61,6.61,6.81,6.76,6.81,6.61,6.61,6.61,6.71,7.03,6.93,6.71,6.71,6.71,6.71,6.93,6.79,6.71,6.71,6.71,6.71,6.71,6.71,7.34,7.03,7.2,7.2,7.2,7.12,7.2,7.2,7.2,7.2,7.2,7.2,7.2
