Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,13.040,12.910,12.870,12.860,12.860,12.920,12.920,13.230,12.960,12.950,13.030,12.940,12.890,12.830,12.900,12.900,12.920,12.870,13.000,12.860,12.820,12.970,12.900,12.900,12.930,12.970,12.950,12.950,12.950,12.910,13.110,12.980,13.180,13.060,12.930,13.040,13.060,13.060,13.230,13.080,13.090,13.130,13.070,13.240,13.240,13.280,13.220,13.280,13.220,13.280,13.280,13.290,13.310,13.360,13.470,13.340,13.390,13.590,13.590,13.680,13.650,13.690,13.740,13.650,13.680,13.680,13.590,13.590,13.590,13.480,13.590,13.590,13.550,13.590,13.720,13.660,13.590,13.630,13.700,13.620,13.620,13.620,13.690,13.690,13.650,13.690,13.760,13.690,13.700,13.620,13.620,13.590,13.670,13.620,13.620,13.710,13.62,13.67,13.63,13.62,13.62,13.69,13.69,13.7,13.73,13.73,13.66,13.73,13.74,13.77,13.810,13.95,13.790,13.73,13.73,13.73,13.79,13.73,13.82,13.73,13.73,13.73,13.73,13.73,13.73,13.65,13.79,13.73,13.73,13.73,13.73,13.73,13.73,13.73,13.64,13.73,13.63,13.73,13.73,13.73,13.77,13.77,13.77,13.77,13.77,13.68,13.61,13.67,13.67,13.67,13.53
Beras Medium,12.040,11.930,11.930,11.910,11.910,11.950,11.920,12.100,11.920,12.050,11.940,11.940,12.020,11.870,11.980,11.880,12.000,12.000,12.050,11.900,11.930,12.040,11.970,11.970,11.880,12.130,12.020,12.020,11.950,11.950,12.060,12.080,11.960,11.970,12.040,12.080,12.080,12.080,12.120,12.150,12.150,12.210,12.270,12.220,12.220,12.220,12.230,12.220,12.260,12.250,12.320,12.290,12.350,12.290,12.280,12.450,12.340,12.510,12.380,12.450,12.480,12.480,12.510,12.480,12.480,12.480,12.440,12.440,12.580,12.370,12.470,12.470,12.470,12.520,12.590,12.620,12.590,12.550,12.590,12.540,12.700,12.570,12.580,12.580,12.600,12.570,12.670,12.620,12.570,12.520,12.560,12.520,12.600,12.560,12.460,12.620,12.6,12.59,12.59,12.61,12.6,12.61,12.57,12.61,12.61,12.64,12.64,12.64,12.62,12.65,12.550,12.71,12.660,12.59,12.62,12.62,12.61,12.61,12.63,12.61,12.61,12.69,12.69,12.73,12.72,12.74,12.78,12.73,12.73,12.63,12.66,12.7,12.69,12.69,12.57,12.69,12.65,12.71,12.68,12.68,12.68,12.73,12.75,12.76,12.76,12.71,12.65,12.7,12.69,12.71,12.69
Kedelai Biji Kering (Impor),16.430,15.000,16.430,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,16.000,16.000,16.000,16.000,15.750,16.000,16.000,16.250,16.250,16.250,16.250,16.250,16.250,16.250,16.100,16.100,16.490,16.490,16.250,14.370,15.490,15.730,15.730,15.730,15.730,15.730,15.590,15.590,15.590,15.590,15.590,16.100,15.000,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,16.000,16.000,16.000,16.000,16.000,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,16.000,16.000,16.000,15.490,15.490,15.490,15.490,15.000,15.490,15.950,15.490,15.500,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.490,15.000,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,15.49,-,15.49,15.490,15.49,15.49,15.49,15.0,15.49,15.0,15.49,15.49,15.49,15.49,15.49,14.15,13.74,14.19,13.8,13.82,13.78,13.59,13.59,13.78,13.63,13.17,13.38,13.28,13.21,13.38,13.47,13.38,13.24,13.19,13.06,13.06,13.06,12.88,13.04,13.04,13.05,12.85
Bawang Merah,44.360,43.940,43.930,42.950,42.980,42.290,42.910,42.810,44.120,43.220,44.150,44.730,42.970,43.550,44.120,44.230,44.170,43.310,42.680,42.380,42.010,41.860,43.280,41.870,41.410,41.420,41.760,40.950,40.480,41.800,41.240,42.320,41.970,41.160,40.540,42.090,42.350,43.050,41.650,41.810,41.990,42.240,42.350,42.310,43.450,43.340,42.870,42.590,43.300,42.670,41.650,43.120,42.760,41.140,41.120,40.740,40.080,40.580,41.580,41.190,40.160,39.490,39.490,39.250,40.280,40.300,40.500,40.190,41.380,40.120,40.730,40.930,40.350,39.430,40.190,39.790,40.230,39.880,39.110,39.070,39.040,39.310,39.370,39.640,40.330,40.080,41.090,40.620,40.300,39.060,39.060,38.850,40.050,39.160,38.690,38.510,38.82,38.74,38.38,37.87,37.98,38.03,38.43,38.87,39.33,38.26,38.62,39.25,40.28,41.58,42.470,42.88,41.230,41.68,42.33,42.5,44.2,42.97,43.13,42.72,42.77,43.39,43.39,44.12,44.55,44.96,46.13,45.0,44.49,44.48,44.4,44.98,45.41,45.67,45.45,44.9,44.96,45.45,44.55,44.83,44.91,44.41,43.91,44.23,43.89,43.61,41.95,43.68,43.42,43.32,43.02
Bawang Putih Bonggol,32.410,32.000,31.610,32.490,31.420,31.940,31.750,33.060,32.370,32.370,32.190,32.580,33.050,32.760,32.380,32.520,32.720,32.140,31.790,31.660,32.300,31.800,32.270,32.760,32.200,32.260,32.480,32.330,32.080,32.410,32.880,32.160,32.460,32.460,32.160,32.660,33.060,33.130,33.340,32.540,32.620,32.680,33.040,32.700,32.540,32.920,32.480,32.740,32.840,33.700,33.840,34.470,35.180,34.980,35.640,35.510,36.800,36.850,36.750,36.980,36.280,35.930,36.100,36.300,36.660,36.620,36.710,36.590,36.780,36.850,36.550,36.990,38.310,38.090,38.560,38.520,38.460,39.330,39.050,39.380,39.220,41.380,40.620,40.580,41.840,40.880,42.220,41.120,40.400,40.870,40.920,41.250,40.630,39.460,39.130,39.430,38.49,38.6,38.42,37.74,37.79,37.72,38.56,39.04,38.89,38.69,38.53,38.57,39.15,39.64,39.480,40.25,38.910,39.62,39.86,39.93,40.64,40.89,41.47,40.74,40.1,40.42,40.49,41.25,41.96,42.8,42.9,42.62,42.24,42.55,41.81,42.36,42.8,42.78,42.51,42.42,42.1,42.39,42.57,42.18,42.47,42.0,41.44,41.58,41.3,41.14,41.54,41.25,40.69,40.82,40.87
Cabai Merah Keriting,27.040,26.450,27.130,26.170,24.980,25.650,25.050,27.860,24.270,23.730,21.370,22.730,22.090,23.920,23.540,23.750,23.120,21.950,22.040,22.440,21.710,21.850,23.000,22.520,21.690,23.010,22.960,22.440,23.720,22.460,23.030,23.210,23.670,23.210,21.730,24.510,26.050,25.890,26.270,26.100,25.840,27.250,27.330,27.350,28.390,29.070,29.120,29.610,30.660,30.860,30.100,30.760,32.140,33.180,34.200,32.070,32.150,33.300,34.160,35.140,35.340,33.850,34.220,34.270,35.350,35.510,35.860,34.370,35.380,36.880,36.620,36.980,39.080,40.370,40.560,40.840,41.970,44.870,44.930,44.760,45.650,47.890,48.380,48.890,45.340,46.760,44.550,45.460,44.170,43.150,41.810,40.650,40.140,38.800,38.630,38.810,39.27,39.22,36.14,35.52,34.42,33.93,33.34,33.43,33.98,32.92,33.35,35.03,39.79,42.33,44.700,42.44,42.230,41.62,40.92,40.77,39.26,38.33,39.86,38.08,37.06,37.53,37.09,37.57,37.37,39.63,39.28,40.67,37.66,38.9,39.79,39.78,40.71,39.84,39.78,40.37,40.2,40.75,40.36,41.83,43.09,42.11,43.73,42.02,42.88,41.93,41.51,42.29,43.18,42.79,40.45
Cabai Rawit Merah,51.310,51.930,49.240,49.180,48.530,49.000,49.580,48.390,47.530,46.010,45.290,45.510,44.260,44.240,42.740,40.700,40.170,40.950,40.020,38.480,36.460,35.850,34.510,36.630,34.730,34.700,33.260,33.630,33.650,34.210,35.150,36.010,35.210,36.820,35.160,38.790,39.620,39.930,39.800,40.090,41.150,43.880,46.680,48.540,48.330,48.050,47.950,50.810,50.770,52.350,52.660,55.200,59.850,60.560,62.200,64.140,62.620,65.760,67.100,65.760,64.320,65.100,66.890,69.530,69.930,71.510,70.800,70.430,72.590,72.520,73.600,78.810,79.320,81.360,84.620,85.110,88.330,87.120,83.480,74.240,78.420,89.170,89.600,89.990,69.070,65.610,59.160,54.210,49.370,47.410,44.460,44.170,44.370,43.130,41.640,39.960,39.16,38.91,35.7,33.99,34.27,33.38,32.81,34.57,35.18,33.8,34.2,36.91,39.92,41.4,42.980,43.45,38.750,36.12,37.82,37.58,34.19,34.66,36.32,34.02,36.07,37.02,35.35,36.47,36.72,36.14,36.15,36.2,36.48,36.66,36.66,36.13,37.79,35.72,35.05,34.6,34.53,35.42,35.29,34.57,33.93,33.61,32.09,31.84,32.19,31.86,30.9,30.2,27.61,27.7,29.25
Daging Sapi Murni,131.880,133.200,133.200,133.200,133.200,132.600,133.200,136.580,133.420,133.420,133.740,133.420,133.390,133.420,133.420,133.420,133.420,133.420,132.840,133.420,133.420,133.130,133.420,133.420,132.840,132.150,133.420,133.740,133.740,133.740,132.670,133.420,131.300,133.420,133.130,133.420,133.640,133.420,132.840,133.420,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.640,133.080,133.080,133.080,133.080,133.640,133.080,133.640,133.080,133.640,132.400,133.080,133.640,133.080,133.640,133.080,133.080,133.390,133.080,133.640,133.080,133.640,132.400,133.640,133.390,133.080,133.980,133.390,134.450,133.390,133.980,133.390,133.390,133.980,133.770,133.980,133.390,133.980,133.390,133.770,134.380,133.390,133.980,131.780,133.98,133.39,133.39,133.98,133.39,134.44,133.89,134.88,133.89,134.42,134.92,134.42,138.33,137.38,141.760,140.02,133.250,134.45,134.31,133.98,132.67,133.98,133.01,133.39,134.88,134.38,134.88,134.91,135.36,133.01,134.87,134.88,134.38,134.88,134.38,134.88,134.38,134.38,134.88,134.38,134.88,134.38,134.88,134.38,133.98,134.47,133.98,134.47,133.98,133.64,133.08,133.08,133.64,133.08,133.64
Daging Ayam Ras,36.980,37.100,36.810,36.720,36.550,35.130,36.390,35.340,36.000,35.940,36.240,35.430,34.500,36.330,35.040,34.520,34.930,34.520,35.430,34.870,34.970,34.380,34.510,34.360,35.350,33.580,34.540,34.730,34.380,33.930,35.970,34.530,34.200,34.380,32.310,34.230,34.300,34.300,34.800,34.380,34.380,34.470,34.240,34.460,34.320,34.380,34.100,34.530,34.510,34.530,34.370,34.310,33.940,34.310,34.560,33.520,34.010,33.910,33.910,33.910,33.910,33.780,32.620,33.780,33.740,33.930,33.930,33.700,33.600,32.760,33.920,33.920,33.990,34.060,34.920,34.000,34.140,33.900,34.140,34.560,34.290,33.880,34.360,34.290,34.360,34.260,34.130,33.920,34.050,34.050,33.920,34.430,34.150,34.060,34.420,34.250,34.06,32.92,34.06,34.06,34.06,32.73,32.52,32.66,32.66,32.72,32.66,32.72,32.75,32.62,31.960,33.85,33.790,32.55,32.73,32.84,33.6,32.8,33.8,32.94,33.09,33.01,33.15,33.01,33.14,32.91,32.87,33.01,33.26,33.15,32.94,33.22,33.22,33.15,33.15,33.15,32.86,33.24,33.24,33.24,33.04,33.24,33.41,33.31,33.32,33.32,32.29,33.25,33.31,33.7,33.47
Telur Ayam Ras,32.620,32.500,32.210,31.620,31.730,31.590,31.620,32.280,31.260,30.940,31.510,30.710,29.880,30.560,29.930,30.020,29.680,29.750,29.320,29.320,28.900,28.680,28.760,29.150,28.590,28.750,28.610,28.610,28.650,29.090,28.680,28.420,28.720,28.500,28.360,28.390,28.240,28.240,28.340,28.140,27.970,28.000,27.880,27.880,27.810,27.830,27.480,27.770,27.560,27.580,27.580,27.720,27.430,27.790,27.270,27.310,27.600,27.530,27.530,27.460,27.380,27.380,27.410,27.380,27.530,27.370,27.660,27.510,27.560,27.040,27.590,27.660,27.580,27.650,27.840,27.800,27.690,27.850,27.950,28.080,27.940,28.010,28.400,28.340,28.950,29.240,29.360,29.500,29.780,29.960,30.110,30.120,30.420,30.290,30.420,30.600,30.39,30.65,30.68,30.58,30.5,30.33,30.61,30.25,30.43,30.19,30.29,30.29,30.36,30.76,30.810,30.6,30.190,30.16,29.93,29.87,29.73,29.77,30.08,29.53,29.6,29.29,29.12,29.1,28.95,28.92,28.93,29.03,28.86,28.85,28.85,28.95,28.99,29.03,28.61,29.23,28.97,29.29,29.29,29.39,29.5,29.67,29.71,29.49,29.49,29.55,29.52,29.48,29.67,29.68,29.43
