,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,11.580,11.610,11.590,11.610,11.660,11.660,11.680,11.640,11.690,11.650,11.630,11.650,11.590,11.610,11.610,11.600,11.570,11.550,11.680,11.620,11.570,11.630,11.610,11.590,11.530,11.590,11.630,11.620,11.680,11.740,11.690,11.710,11.710,11.740,11.710,11.710,11.730,11.730,11.710,11.750,11.750,11.710,11.810,11.790,11.850,11.920,11.870,11.850,12.030,12.070,12.110,12.090,12.090,12.230,12.290,12.290,12.360,12.270,12.390,12.390,12.360,12.420,12.330,12.400,12.370,12.320,12.310,12.360,12.360,12.310,12.320,12.370,12.450,12.450,12.450,12.390,12.450,12.490,12.490,12.580,12.630,12.630,12.630,12.630,12.700,12.740,12.690,12.740,12.740,12.800,12.710,12.670,12.770,12.660,12.710,12.660,12.68,12.7,12.66,12.78,12.65,12.65,12.63,12.65,12.77,12.78,12.79,12.75,12.76,12.82,13.22,12.6,12.78,12.7,12.7,12.69,12.78,12.65,12.69,12.71,12.73,12.8,12.79,12.67,12.65,12.68,12.67,12.66,12.66,12.66,12.66,12.67,12.7,12.65,12.7,12.58,12.56,12.54,12.59,12.59,12.58,12.58,12.58,12.63,12.58,12.58,12.62,12.56,12.52,12.56,12.56
1,Beras Medium,10.230,10.240,10.210,10.240,10.250,10.190,10.260,10.210,10.310,10.290,10.280,10.270,10.320,10.320,10.350,10.350,10.280,10.340,10.330,10.310,10.280,10.350,10.340,10.320,10.250,10.270,10.270,10.270,10.290,10.310,10.340,10.320,10.290,10.370,10.340,10.340,10.310,10.380,10.440,10.410,10.410,10.400,10.530,10.440,10.480,10.470,10.460,10.470,10.560,10.670,10.710,10.670,10.710,10.910,10.930,10.940,10.970,11.000,11.010,11.000,10.940,10.970,11.010,10.980,10.940,10.900,10.830,10.890,10.940,10.890,10.980,11.000,11.090,11.090,11.090,11.060,11.090,11.110,11.110,11.220,11.220,11.180,11.180,11.180,11.220,11.260,11.240,11.280,11.260,11.300,11.300,11.210,11.330,11.270,11.270,11.220,11.27,11.29,11.27,11.27,11.26,11.26,11.33,11.24,11.27,11.33,11.34,11.31,11.31,11.38,12.0,11.19,11.29,11.26,11.26,11.26,11.25,11.21,11.21,11.29,11.27,11.3,11.34,11.2,11.15,11.11,11.15,11.19,11.19,11.21,11.19,11.16,11.21,11.26,11.21,11.16,11.14,11.17,11.19,11.19,11.19,11.19,11.2,11.24,11.18,11.19,11.24,11.19,11.13,11.13,11.13
2,Kedelai Biji Kering (Impor),15.860,15.860,15.860,15.860,15.970,15.970,15.970,15.970,15.970,15.970,16.070,15.960,16.070,16.070,16.070,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.260,16.060,16.060,16.060,16.060,15.600,16.060,16.060,16.060,16.240,16.240,16.240,16.240,16.240,16.060,16.060,15.860,15.860,15.860,15.860,15.860,15.860,15.860,15.860,15.860,15.860,16.060,15.860,15.860,16.120,15.860,15.720,15.860,15.860,15.720,15.860,15.860,15.720,15.720,15.540,15.860,15.540,15.540,15.540,15.540,15.540,15.540,15.440,15.540,15.540,15.540,15.540,14.970,15.540,15.540,15.540,15.540,15.700,15.700,15.610,15.610,15.610,15.610,15.610,15.610,15.610,15.610,15.610,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.53,15.53,15.63,15.61,15.61,15.61,14.47,14.97,15.53,15.53,15.53,15.53,15.53,15.42,15.53,15.53,15.53,15.53,15.53,15.53,15.44,15.44,14.07,13.65,13.75,13.67,13.55,13.55,13.55,13.71,13.6,13.83,13.65,13.55,13.48,13.32,13.18,13.08,12.94,12.93,12.91,12.91,13.06,13.05,13.05,13.05,13.05
3,Bawang Merah,34.840,34.050,33.830,34.460,34.550,33.890,34.340,34.790,34.130,34.440,34.500,34.170,35.200,34.950,34.730,35.010,34.870,34.650,34.970,34.920,34.420,34.440,33.690,34.860,34.330,34.780,34.550,34.670,34.550,34.580,34.470,34.520,34.530,34.280,34.240,34.760,34.950,35.330,35.530,35.890,35.970,36.630,37.660,36.890,37.200,37.030,36.280,36.600,36.010,35.570,35.810,35.560,34.650,34.460,34.590,34.590,33.980,33.340,33.910,33.730,33.980,34.060,34.400,33.990,33.710,33.920,34.200,34.400,34.300,34.130,33.630,33.250,33.540,33.270,33.190,32.710,32.970,33.080,33.570,33.710,32.940,32.880,32.970,33.380,33.270,33.750,33.890,32.780,32.570,32.590,32.240,31.990,32.090,32.190,32.070,31.960,31.82,31.71,32.38,32.44,32.59,32.47,32.2,32.16,32.12,32.47,32.6,32.55,32.97,32.92,34.76,32.95,32.96,32.45,32.49,33.09,32.52,32.36,32.53,32.77,32.48,34.23,35.59,35.07,35.29,35.66,36.3,36.99,37.85,37.7,37.53,36.34,37.25,37.59,37.97,38.26,38.27,38.48,38.56,38.39,37.63,37.59,37.75,37.83,37.55,37.84,37.7,37.02,36.44,36.07,35.85
4,Bawang Putih Bonggol,26.340,26.350,26.390,26.450,26.620,26.200,26.490,26.670,26.570,26.710,26.710,26.760,27.030,26.430,26.550,26.520,26.590,26.270,26.680,26.660,26.550,26.490,26.410,26.520,26.520,26.650,26.900,27.110,27.190,27.420,27.750,27.750,27.800,27.930,27.630,27.870,27.930,27.940,27.980,27.920,28.260,28.360,28.470,28.060,28.320,28.380,28.260,28.680,28.390,28.770,28.410,28.490,28.390,28.050,28.560,28.570,28.870,28.720,29.040,28.900,28.710,29.450,29.550,30.210,30.180,30.460,30.290,30.510,30.030,30.820,30.950,30.790,30.880,30.610,30.700,30.630,30.490,30.600,30.650,30.980,30.890,30.750,31.000,31.000,30.960,31.260,31.240,31.690,31.540,31.570,31.470,31.600,30.850,31.200,30.590,31.000,30.98,31.03,31.08,30.94,31.24,30.86,31.0,31.03,31.08,31.33,31.42,31.3,31.59,30.8,31.58,30.83,31.01,30.85,30.77,30.94,30.83,30.65,29.8,29.73,30.31,31.29,31.23,31.34,31.66,31.9,32.12,32.42,33.04,33.27,33.53,33.38,34.15,33.99,34.59,34.69,34.93,34.39,35.1,35.06,34.1,35.18,34.94,35.46,35.61,35.72,35.64,35.91,36.35,36.1,35.94
5,Cabai Merah Keriting,17.530,17.930,18.480,18.250,18.140,18.020,18.250,18.080,18.860,18.690,18.830,19.060,19.230,19.710,20.330,20.170,20.370,20.620,21.190,21.230,21.750,21.670,21.240,21.660,21.280,21.490,21.180,21.460,21.250,20.820,21.030,20.990,21.180,21.950,22.170,22.050,22.980,23.150,23.530,23.640,23.620,24.180,24.080,24.920,24.850,26.030,25.660,25.700,26.330,26.400,27.800,27.500,27.780,28.260,28.460,29.000,29.520,29.430,29.830,30.770,30.870,31.180,31.410,32.770,33.310,34.890,34.450,36.000,36.340,37.280,37.660,37.880,38.180,38.670,38.990,39.770,40.120,40.210,40.930,41.990,42.300,43.560,44.070,44.200,43.710,44.210,44.730,45.050,43.100,41.670,39.650,39.670,36.980,34.560,34.160,33.750,33.3,33.25,32.56,33.36,33.86,33.33,33.48,33.12,33.32,32.75,32.31,33.18,35.43,36.31,38.26,35.36,34.4,34.02,33.97,32.79,31.84,31.81,30.5,30.08,29.57,29.14,29.16,29.32,28.19,27.24,28.24,29.26,28.27,28.42,27.98,27.92,27.96,28.28,30.29,31.22,31.4,30.97,31.63,32.22,32.04,32.83,32.49,32.09,32.51,33.18,32.49,32.68,31.75,31.29,30.74
6,Cabai Rawit Merah,31.160,31.440,31.970,31.920,31.990,32.420,32.190,33.580,34.020,33.580,33.780,33.360,33.580,33.420,32.880,33.170,32.660,31.890,31.950,31.880,31.160,31.240,30.950,30.200,30.270,30.780,30.500,30.380,30.210,30.380,30.010,30.040,29.950,29.420,29.760,29.750,30.060,30.640,30.800,31.070,31.000,31.440,30.880,31.870,31.680,32.410,33.050,33.850,33.580,34.680,34.900,35.120,35.410,35.620,36.000,36.540,37.080,36.960,39.970,39.660,39.520,40.320,40.510,43.440,44.010,44.880,44.540,46.710,47.510,48.460,48.930,48.220,48.960,51.040,52.300,52.270,51.950,52.930,52.790,52.600,52.710,51.240,51.270,51.080,49.540,50.240,48.310,47.000,43.700,41.760,38.320,37.050,35.120,34.340,33.210,33.210,32.93,33.13,33.05,32.08,31.29,31.99,32.15,31.28,31.41,31.4,31.19,31.35,32.33,32.84,36.15,32.18,32.2,32.79,32.42,32.01,30.66,30.26,30.38,28.81,29.32,27.83,27.45,27.64,27.29,26.69,26.7,26.48,25.52,25.99,25.2,25.62,25.35,25.16,25.59,26.34,26.41,26.15,25.09,25.37,24.72,24.19,24.56,25.21,24.88,24.34,24.16,24.38,24.28,23.82,23.04
7,Daging Sapi Murni,125.860,126.530,125.820,125.840,125.840,125.840,126.030,125.840,125.840,126.450,126.270,126.270,125.880,126.450,126.270,126.270,126.450,125.770,125.770,125.770,125.970,125.770,125.840,125.970,125.770,125.770,125.770,125.770,125.770,125.770,125.770,125.770,125.770,126.080,125.970,125.770,125.770,125.970,125.770,126.080,126.080,126.270,126.140,126.080,126.270,126.080,126.080,126.080,126.270,126.080,126.080,126.270,126.080,126.430,125.550,125.770,125.550,125.040,125.770,125.550,125.550,125.550,125.770,125.550,125.550,125.770,125.310,125.550,125.550,125.770,125.550,125.550,125.770,125.550,125.550,125.310,125.770,125.550,125.550,126.940,126.080,125.550,126.080,126.270,126.080,126.430,126.040,126.080,126.080,126.080,126.270,126.080,125.910,126.110,126.160,126.190,126.61,126.78,126.61,126.61,126.78,127.11,126.43,127.11,127.51,128.08,128.36,129.78,130.51,130.51,139.64,130.01,129.07,128.36,128.01,127.87,126.25,126.06,126.76,126.34,126.21,126.52,126.08,126.08,126.54,126.27,126.08,125.55,126.27,126.08,126.08,126.43,126.08,126.08,126.08,126.27,126.08,126.08,126.08,126.27,126.08,126.08,126.27,126.08,126.08,126.08,126.61,126.08,125.8,126.01,125.8
8,Daging Ayam Ras,26.900,26.880,26.850,26.800,26.910,26.800,27.030,27.130,26.990,27.060,26.880,26.990,27.020,27.130,27.280,27.280,27.510,27.400,27.370,27.220,27.300,27.380,26.960,26.890,26.980,26.960,26.910,27.050,26.900,26.580,26.270,26.310,26.030,25.870,25.970,25.690,25.800,25.680,25.840,25.810,25.840,25.790,26.170,25.900,25.780,25.860,25.970,25.930,25.830,25.700,25.730,25.710,25.480,25.460,25.550,25.260,24.700,23.650,24.300,24.220,24.260,24.350,24.620,24.760,24.990,25.070,25.270,25.300,25.320,25.100,25.380,25.170,26.020,25.660,25.930,25.750,26.480,26.570,26.830,27.590,27.400,27.240,27.080,27.060,26.750,26.680,26.400,26.410,26.090,26.180,25.980,25.750,25.430,25.490,25.490,25.560,25.42,25.51,25.5,25.44,25.41,26.11,26.15,26.05,26.13,26.38,26.77,27.31,28.39,29.35,26.3,28.29,28.45,28.45,28.4,28.54,28.6,28.21,28.4,28.27,28.37,28.27,28.57,28.24,28.14,28.04,27.92,28.1,28.06,27.78,27.83,27.59,28.02,27.74,27.64,27.86,27.63,27.74,27.96,28.16,27.95,28.16,28.0,28.12,28.06,27.8,27.48,28.12,28.1,28.4,28.53
9,Telur Ayam Ras,26.770,26.690,26.710,26.660,26.740,26.370,26.480,26.460,26.460,26.300,26.240,26.210,26.270,26.340,26.360,26.220,26.190,26.100,26.120,26.540,26.190,26.260,26.340,26.280,26.240,26.260,26.280,26.200,26.130,26.280,26.090,26.050,25.770,25.630,25.620,25.610,25.540,25.510,25.630,25.510,25.570,25.520,25.510,25.440,25.420,25.400,25.270,25.160,25.160,25.110,24.850,24.870,24.880,24.750,24.780,24.790,24.710,24.570,24.620,24.560,24.320,24.490,24.360,24.510,24.510,24.450,24.470,24.530,24.580,24.730,25.220,25.310,25.620,25.820,26.130,26.410,26.490,26.380,26.920,27.340,27.240,27.240,27.210,27.280,26.850,26.890,26.710,26.590,26.770,26.770,26.750,26.740,26.420,26.350,26.470,26.360,26.38,26.5,26.28,26.26,26.28,26.42,26.38,26.36,26.42,26.53,26.46,26.38,26.51,26.49,26.51,26.11,26.06,26.19,26.12,25.94,25.89,25.95,25.97,25.98,25.98,26.02,26.26,26.3,26.46,26.5,26.52,26.52,26.55,26.71,26.76,26.74,27.21,27.58,28.06,28.32,28.4,28.71,28.82,28.95,28.97,29.53,29.3,29.3,29.43,29.43,29.37,29.32,29.02,28.96,29.01
