Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,15.190,15.050,15.050,15.050,15.050,15.050,15.050,16.000,15.050,15.050,15.050,15.050,15.050,15.050,15.050,15.050,15.050,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.090,15.290,15.290,15.090,15.090,15.090,15.090,15.300,15.300,15.300,15.300,15.100,15.300,15.300,15.300,15.300,15.100,15.300,15.300,15.300,14.890,15.300,15.300,15.300,15.300,15.300,15.300,15.300,15.300,15.300,15.300,15.300,15.170,15.170,15.170,15.170,15.170,15.170,15.170,15.170,15.320,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.440,15.44,15.44,15.44,15.44,15.44,15.56,15.44,15.44,15.44,15.79,15.44,15.63,15.63,16.07,16.070,16.100,15.79,15.79,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.79,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.79,15.54,15.79,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.42,15.44,15.44,15.44,15.44,15.44,15.44,15.31,15.63,15.44
Beras Medium,13.800,13.540,13.540,13.540,13.540,13.540,13.540,14.000,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.540,13.650,13.650,13.650,13.650,13.650,13.650,13.750,13.750,13.750,13.750,13.750,13.750,13.750,13.690,13.750,13.540,13.750,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.650,13.690,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.790,13.79,13.79,13.79,13.79,13.79,14.0,13.79,13.79,13.79,14.0,13.79,13.79,13.79,14.0,14.000,14.000,13.74,13.74,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,14.0,13.79,13.79,13.79,13.79,13.79,13.79,13.79,14.0,13.74,14.0,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.66,13.66,13.66,13.66,13.66,13.66,13.66,13.58,13.66,13.66
Kedelai Biji Kering (Impor),16.330,16.330,16.330,16.330,16.330,16.330,16.330,17.000,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.330,16.000,16.330,16.330,16.330,16.330,16.330,16.330,15.980,15.980,15.980,15.980,15.980,15.980,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.660,16.310,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.31,16.48,16.48,16.48,16.23,16.230,16.230,16.23,16.23,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,16.48,14.75,13.93,14.0,13.88,13.61,14.0,13.61,13.88,13.88,13.88,13.88,13.88,13.85,13.85,13.85,14.26,14.26,14.26,14.26,14.26,14.26,13.78,13.88,13.78,13.78
Bawang Merah,45.410,43.620,43.800,44.260,44.460,44.260,43.830,50.000,43.640,43.190,43.190,44.040,44.040,44.040,44.040,44.040,44.350,44.470,44.640,44.210,43.810,43.810,43.640,43.640,43.640,43.640,43.830,43.640,44.070,43.650,43.440,43.650,43.020,43.610,44.210,43.780,43.780,44.050,44.050,44.260,44.050,43.620,44.230,44.870,44.660,44.660,44.230,44.230,43.620,43.430,44.470,43.640,44.070,44.070,44.070,44.070,43.620,44.010,43.620,42.150,43.620,42.510,42.710,43.100,42.710,42.710,43.100,42.680,42.680,42.290,42.680,42.170,41.560,41.380,40.960,40.450,40.870,40.740,40.740,40.740,41.500,41.500,41.140,41.330,41.330,41.330,40.740,41.140,40.870,40.740,41.140,40.760,40.760,40.760,40.960,40.960,40.96,40.96,40.96,40.76,40.96,40.46,40.37,41.53,41.53,42.17,41.73,40.04,40.04,40.2,40.200,41.350,38.58,38.83,40.0,40.0,39.12,39.78,40.0,39.78,40.3,40.3,42.02,40.56,41.31,41.69,42.98,44.14,44.32,44.32,45.17,46.06,46.62,45.22,45.43,45.43,45.43,45.43,45.84,45.84,45.84,45.84,46.21,45.84,45.84,45.47,45.84,45.84,46.36,45.71,45.09
Bawang Putih Bonggol,33.290,32.610,32.610,32.400,32.610,32.610,32.610,40.000,32.610,32.810,32.610,32.610,33.200,32.810,32.810,32.810,33.240,33.010,33.590,33.590,33.380,32.960,31.750,32.510,32.270,32.270,31.520,31.280,32.190,32.010,31.750,32.190,31.520,31.120,31.590,31.120,31.120,31.120,31.590,31.360,31.590,31.360,31.930,32.360,32.120,32.120,32.360,32.740,32.180,31.700,32.510,32.740,33.730,33.730,34.170,36.200,34.170,34.640,33.920,31.910,33.570,33.570,33.570,36.650,34.780,34.220,36.410,34.580,34.430,34.580,34.750,34.990,34.360,34.580,35.600,36.200,36.200,35.460,35.460,35.650,35.650,35.650,35.650,35.650,35.650,35.650,35.650,35.460,35.460,35.050,35.460,35.260,35.260,35.460,35.260,35.460,35.28,35.07,35.28,34.86,35.07,36.73,35.28,35.64,35.64,37.46,35.83,35.41,35.41,36.55,36.550,38.470,35.05,35.05,35.78,35.99,36.6,35.99,35.78,35.78,35.78,35.78,37.1,36.63,35.99,35.56,35.78,35.99,35.99,36.85,37.94,36.51,37.67,35.99,35.99,35.99,36.2,36.2,35.99,36.0,36.0,36.58,36.58,36.21,35.79,36.0,36.21,36.21,36.52,36.21,36.21
Cabai Merah Keriting,56.570,56.250,56.250,57.770,58.630,58.630,58.630,80.000,56.680,56.190,56.190,54.710,54.710,54.710,55.190,55.190,57.040,55.190,58.000,58.000,58.000,56.790,55.900,54.840,54.840,54.840,54.040,54.040,53.700,53.410,52.450,51.230,51.230,47.890,49.390,48.910,50.570,50.320,51.390,51.390,51.390,52.150,51.680,52.450,49.830,49.040,50.080,51.970,51.440,54.310,54.540,53.510,54.310,54.310,54.310,55.360,54.310,54.200,55.840,53.420,56.070,55.250,55.020,61.430,63.710,64.220,63.340,64.050,61.760,61.760,63.820,64.680,63.460,63.460,65.180,65.440,64.540,65.780,64.820,67.240,69.340,68.510,68.510,67.630,65.380,65.250,65.250,65.250,62.520,62.520,57.530,54.650,61.470,59.210,59.850,58.160,57.24,58.16,59.4,59.58,59.58,62.85,59.08,59.78,58.84,65.22,63.04,66.23,71.13,76.17,75.600,84.850,72.32,68.83,63.2,61.53,63.46,62.36,62.36,62.52,58.55,57.62,59.58,58.63,58.63,57.53,57.53,58.63,59.1,58.16,57.7,56.46,57.7,60.28,60.28,62.63,59.76,59.58,60.63,57.85,59.92,60.0,61.79,60.73,59.92,59.92,60.73,64.41,61.02,59.58,61.63
Cabai Rawit Merah,77.070,75.630,75.630,76.720,78.790,79.220,79.220,100.000,81.440,83.390,83.390,79.690,78.790,78.790,79.690,77.720,77.300,74.740,77.690,77.690,78.770,77.610,74.320,71.840,73.550,72.720,71.420,71.840,72.230,71.990,72.280,72.280,70.170,68.470,65.600,65.600,66.160,67.780,67.780,66.960,66.960,68.560,68.970,68.140,67.820,68.880,70.950,74.430,74.380,76.220,76.420,77.350,78.560,79.780,83.130,86.570,88.160,89.070,90.230,90.240,91.740,90.850,92.500,90.580,96.560,97.980,98.050,100.450,96.250,101.430,103.930,107.620,107.620,105.590,103.190,106.190,107.020,106.080,106.930,101.810,102.180,97.120,98.690,100.160,95.790,93.220,90.000,88.130,82.660,81.530,75.600,69.790,69.030,72.100,71.030,69.640,69.64,70.61,71.53,70.55,70.55,74.21,72.11,71.12,71.99,79.84,75.48,78.93,78.93,80.67,83.550,91.290,71.41,71.41,69.25,71.42,75.48,74.37,74.87,73.91,70.61,70.61,69.74,70.76,69.79,73.64,73.64,73.39,73.39,73.39,72.28,70.96,66.45,67.15,68.44,67.68,65.25,64.22,66.6,64.32,63.11,64.22,64.74,64.29,65.53,68.31,67.02,66.16,72.59,68.76,68.19
Daging Sapi Murni,168.320,167.480,167.480,164.960,164.950,166.650,168.320,165.000,168.320,168.320,164.950,168.320,166.200,166.200,166.200,166.200,164.950,166.200,166.200,166.200,164.950,166.200,164.950,164.950,166.200,164.950,166.200,164.950,168.320,167.480,168.320,168.320,168.320,168.320,167.480,167.480,168.320,167.480,168.320,167.480,164.950,164.950,168.220,166.200,166.200,166.200,166.200,164.950,166.200,166.200,166.200,166.200,166.200,164.950,166.200,166.200,161.440,163.540,163.540,163.050,163.540,161.440,161.440,163.540,163.540,163.540,161.440,163.540,161.440,161.440,163.540,163.540,163.540,166.200,164.950,166.200,166.200,166.200,166.200,166.200,166.200,166.200,164.950,162.820,166.200,162.820,162.820,162.820,162.820,164.950,166.200,161.080,161.080,166.200,161.080,166.200,162.82,164.95,166.2,162.82,161.08,166.2,162.82,166.2,164.95,168.74,164.81,165.77,165.77,169.95,167.480,165.000,157.32,165.0,161.08,161.08,161.08,162.82,161.08,161.08,164.95,166.2,167.48,167.48,168.32,167.48,168.32,167.48,168.32,168.32,168.32,167.48,168.32,168.32,167.48,168.32,167.48,168.32,167.48,168.32,168.32,168.32,168.32,168.32,164.95,166.2,166.2,166.2,164.95,164.95,164.95
Daging Ayam Ras,50.910,49.030,49.030,48.400,49.430,49.030,48.400,55.000,48.220,47.780,47.780,48.220,48.000,48.000,48.030,48.030,48.030,47.600,47.840,47.840,47.840,47.840,47.840,47.840,47.410,47.410,48.030,48.030,47.600,48.030,48.030,48.030,48.030,48.030,48.030,47.410,47.410,47.410,47.840,47.180,47.410,47.840,47.450,47.020,46.800,47.450,47.020,47.630,47.020,46.600,47.020,47.020,47.020,46.130,46.130,46.130,45.470,45.280,44.870,43.670,45.280,45.280,45.310,45.720,45.720,45.720,45.720,45.090,45.530,45.530,44.920,44.510,44.920,44.920,44.920,45.130,45.540,46.360,46.360,45.940,46.340,46.340,47.230,47.230,47.020,47.230,47.230,46.800,47.020,47.020,46.790,47.410,47.410,47.780,47.780,47.780,47.78,47.78,46.25,46.25,45.5,45.62,45.5,45.5,47.84,48.73,48.32,48.32,48.32,48.11,48.110,48.630,45.94,46.78,47.41,47.41,47.41,47.41,47.41,47.41,46.21,45.79,46.25,46.21,46.21,46.21,46.21,45.54,45.54,45.13,45.68,45.41,45.41,44.92,44.92,44.92,44.92,44.72,44.31,44.31,44.93,44.93,44.72,45.71,45.53,45.73,46.7,45.73,47.3,47.02,47.78
Telur Ayam Ras,35.300,35.040,35.040,34.770,34.980,34.980,34.770,36.110,34.380,34.380,34.140,34.550,33.650,33.830,33.560,33.760,33.550,33.550,33.550,33.350,33.440,33.440,33.640,34.130,33.930,33.930,33.930,34.130,34.130,34.130,33.350,33.550,33.350,33.550,33.550,33.550,33.350,33.550,33.550,33.020,33.230,33.230,33.230,33.100,32.890,33.100,32.890,33.100,33.100,32.900,32.900,33.100,32.900,33.100,33.100,32.900,32.900,32.770,32.770,32.630,32.960,32.770,32.770,32.540,32.540,32.830,32.580,32.580,32.580,32.390,32.990,32.990,32.790,32.790,32.790,32.790,32.790,32.790,32.990,33.420,34.150,34.350,34.130,34.130,33.930,34.350,34.560,34.350,34.170,34.130,33.980,34.280,34.190,34.400,34.400,34.400,34.4,34.4,34.6,34.59,34.4,35.13,34.4,34.19,34.4,35.38,34.59,34.59,34.59,35.18,35.180,35.780,34.28,34.02,34.21,34.21,34.42,34.21,34.21,33.91,34.11,34.11,34.46,33.89,33.89,34.19,33.99,33.79,33.79,33.79,34.04,33.88,34.19,33.91,33.91,33.91,34.06,34.77,35.23,35.23,35.02,35.42,35.75,36.33,36.33,36.33,36.33,36.33,36.68,36.54,36.54
