Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
Beras Premium,12.910,12.870,12.900,12.890,12.830,12.930,12.930,12.870,12.960,12.970,12.970,13.000,13.000,13.010,13.010,13.090,13.150,13.220,13.270,13.250,13.330,13.320,13.310,13.320,13.340,13.390,13.320,13.360,13.360,13.390,13.350,13.410,13.390,13.430,13.500,13.460,13.480,13.500,13.480,13.570,13.570,13.540,13.580,13.600,13.570,13.670,13.660,13.640,13.640,13.610,13.710,13.580,13.620,13.640,13.620,13.630,13.650,13.510,13.630,13.570,13.570,13.580,13.580,13.600,13.570,13.490,13.490,13.500,13.480,13.450,13.450,13.400,13.400,13.480,13.440,13.460,13.390,13.430,13.440,13.460,13.450,13.450,13.440,13.410,13.450,13.470,13.450,13.470,13.470,13.470,13.460,13.430,13.440,13.410,13.430,13.430,13.47,13.44,13.44,13.43,13.45,13.47,13.41,13.45,13.48,13.5,13.46,13.49,13.45,13.47,13.45,13.45,13.47,13.55,13.47,13.48,13.49,13.46,13.48,13.48,13.5,13.45,13.48,13.45,13.52,13.55,13.48,13.6,13.48,13.47,13.46,13.45,13.48,13.46,13.51,13.46,13.51,13.52,13.55,13.52,13.52,13.51,13.48,13.49,13.51,13.53,13.51,13.49,13.53,13.51,13.53
Beras Medium,11.800,11.740,11.790,11.800,11.750,11.810,11.850,12.040,11.840,11.870,11.840,11.870,11.920,11.930,11.940,12.010,12.080,12.110,12.180,12.120,12.200,12.150,12.150,12.190,12.180,12.280,12.140,12.210,12.180,12.280,12.260,12.300,12.300,12.340,12.430,12.360,12.390,12.400,12.360,12.460,12.530,12.450,12.490,12.490,12.430,12.530,12.550,12.580,12.540,12.520,12.560,12.410,12.470,12.480,12.430,12.490,12.400,12.330,12.420,12.380,12.360,12.330,12.350,12.340,12.340,12.260,12.300,12.250,12.230,12.310,12.310,12.310,12.290,12.400,12.300,12.330,12.240,12.290,12.270,12.270,12.250,12.230,12.250,12.250,12.250,12.230,12.290,12.290,12.250,12.240,12.210,12.190,12.260,12.300,12.340,12.230,12.27,12.25,12.31,12.29,12.31,12.26,12.23,12.2,12.25,12.25,12.25,12.23,12.22,12.23,12.24,12.14,12.28,12.27,12.29,12.25,12.24,12.24,12.24,12.23,12.23,12.29,12.21,12.19,12.24,12.28,12.22,12.27,12.21,12.22,12.25,12.2,12.24,12.22,12.23,12.19,12.24,12.24,12.24,12.26,12.23,12.26,12.2,12.22,12.19,12.23,12.21,12.17,12.21,12.22,12.24
Kedelai Biji Kering (Impor),14.320,14.400,14.410,14.370,14.110,14.370,14.430,14.980,14.560,14.620,14.360,14.560,14.500,14.570,14.530,14.620,14.660,14.680,14.710,14.520,14.520,14.650,14.570,14.590,14.890,14.680,14.540,14.590,14.570,14.610,14.570,14.580,14.540,14.520,14.520,14.480,14.450,14.600,14.570,14.600,14.580,14.570,14.590,14.580,14.520,14.700,14.530,14.760,14.790,14.660,14.850,14.410,14.590,14.660,14.830,14.840,14.900,14.750,14.860,14.710,14.740,14.780,14.780,14.780,14.760,14.780,14.870,14.870,14.830,14.870,14.960,14.860,14.210,14.840,15.070,14.500,14.790,14.420,14.430,14.840,14.950,14.920,14.920,14.840,14.870,14.870,14.870,14.870,14.870,14.920,14.880,14.760,14.880,14.920,14.920,14.860,14.87,14.84,14.96,15.06,14.84,14.96,14.85,14.84,14.88,14.71,14.78,14.88,14.88,14.83,14.81,14.86,14.99,14.85,15.06,14.43,14.85,14.85,14.79,14.91,14.85,14.87,14.85,14.9,14.96,14.74,14.16,14.28,14.43,14.48,14.06,14.04,13.98,14.23,14.13,14.03,14.02,13.85,14.06,14.17,14.19,14.12,14.01,14.15,14.24,14.31,14.39,14.03,14.34,14.23,14.43
Bawang Merah,31.300,30.980,31.100,31.190,30.950,31.070,31.870,30.820,32.260,32.210,31.780,32.030,32.000,32.110,32.540,32.340,32.720,32.650,33.230,34.000,34.240,34.070,34.090,33.190,33.290,33.100,33.500,33.800,33.500,33.150,33.460,33.830,33.810,34.230,34.690,34.300,34.030,34.420,33.970,34.000,34.070,33.890,34.180,34.070,33.990,33.240,33.480,32.840,33.270,33.300,33.030,33.230,32.660,33.790,33.210,33.420,32.980,32.800,32.730,33.260,32.620,32.450,32.520,32.490,32.370,32.270,32.340,31.680,31.810,32.190,32.070,31.720,31.390,31.190,32.130,31.340,31.610,31.540,31.800,31.480,31.060,30.630,30.500,31.130,30.910,30.730,30.380,30.390,30.570,30.090,29.730,30.290,30.130,29.040,28.960,28.950,29.04,29.05,29.14,28.54,28.79,29.2,29.13,28.78,29.4,29.22,28.95,29.3,29.57,29.82,30.44,30.24,30.32,30.18,29.75,29.83,30.08,29.92,30.49,30.46,30.33,29.65,29.5,30.41,30.25,29.92,29.98,30.39,30.25,30.37,30.23,30.98,31.0,30.23,30.51,30.28,30.21,30.33,30.2,30.67,30.19,30.05,29.57,29.9,29.64,29.92,29.8,30.11,29.84,30.14,30.21
Bawang Putih Bonggol,26.560,25.970,26.370,26.240,26.220,25.950,26.130,27.400,26.360,26.060,25.510,25.490,25.400,25.470,25.700,25.670,25.950,26.190,26.050,25.960,26.720,26.410,26.630,26.710,26.750,26.550,26.780,26.850,26.920,26.930,26.890,26.820,26.930,27.100,27.010,27.140,26.780,26.750,26.490,26.650,26.900,27.560,27.300,27.140,27.200,27.660,27.790,27.780,27.850,27.340,27.920,28.120,28.170,28.090,28.420,28.490,28.720,28.370,28.540,28.510,28.160,28.470,28.560,28.410,28.750,28.640,28.760,28.290,28.950,28.370,28.870,28.930,28.210,28.480,28.980,28.770,29.070,29.700,29.670,29.690,29.180,29.080,29.020,29.330,29.000,28.960,28.570,28.950,29.120,29.100,28.670,29.090,28.990,28.930,28.840,28.700,29.11,28.55,28.99,28.83,28.91,29.11,28.9,28.94,29.17,28.9,28.93,29.87,29.78,29.6,30.61,29.99,30.27,30.32,30.4,30.1,30.23,30.12,30.45,30.34,30.21,30.03,30.39,30.49,31.25,31.47,31.82,32.36,32.46,32.99,33.15,33.64,34.56,34.24,34.01,33.98,34.07,34.07,34.5,34.53,34.91,35.12,35.21,34.82,34.92,35.06,35.17,35.77,35.45,35.44,35.87
Cabai Merah Keriting,41.470,39.660,37.320,35.570,32.600,34.040,34.490,36.170,36.500,37.040,36.300,36.150,36.200,37.080,38.200,37.990,37.620,37.930,37.620,38.110,39.650,40.310,40.150,39.970,40.260,39.870,41.690,43.760,44.510,44.410,44.170,43.750,44.130,45.810,45.250,44.440,42.680,43.000,42.410,42.160,42.390,42.290,40.690,40.240,40.900,40.960,41.340,41.690,41.690,41.540,42.510,43.270,45.170,45.200,43.380,42.620,43.830,43.400,43.290,42.320,42.200,41.240,40.290,39.820,39.260,38.990,37.880,37.640,36.950,36.860,35.510,35.430,35.580,35.540,34.860,33.480,34.080,33.440,32.890,32.410,31.280,30.400,30.830,30.850,28.780,27.290,25.210,24.160,25.260,25.190,24.870,24.580,24.320,24.040,24.240,24.010,25.04,24.64,24.86,24.11,24.97,25.07,24.82,24.54,25.18,25.55,25.81,25.96,25.5,25.55,26.56,26.33,25.45,24.7,23.54,22.13,21.44,20.33,21.61,21.25,21.27,19.24,18.73,18.65,19.24,18.63,18.41,18.33,19.06,19.0,19.02,18.79,18.48,18.32,18.54,18.04,18.09,18.23,18.48,17.74,18.17,18.62,18.5,19.59,19.73,20.3,19.82,20.75,21.51,22.22,21.9
Cabai Rawit Merah,51.100,50.200,50.000,62.450,53.670,53.670,53.670,-,53.270,60.000,60.000,60.000,48.280,60.000,60.000,49.320,46.420,54.770,54.770,54.770,52.440,54.770,45.000,47.430,42.460,44.810,44.050,49.460,55.000,41.600,47.430,44.050,47.430,45.000,37.800,47.430,47.430,47.430,44.810,44.810,42.430,40.170,40.440,45.000,45.000,41.000,39.740,45.000,45.000,45.000,45.000,41.600,42.280,47.430,40.720,52.440,42.940,53.480,46.430,53.480,53.480,53.480,50.000,39.660,36.400,47.030,50.990,39.660,36.060,48.370,38.820,48.370,48.370,51.960,54.770,42.730,55.860,44.370,37.950,42.150,42.150,36.990,36.260,41.600,54.770,33.900,34.340,27.350,34.340,37.340,38.620,38.260,38.260,38.260,26.830,31.750,32.76,54.77,35.09,33.02,30.65,30.65,31.21,28.36,29.49,23.17,31.21,33.74,35.78,33.31,26.28,31.15,44.72,28.46,26.83,29.47,28.46,35.78,25.87,33.47,28.19,33.47,22.41,26.17,22.81,33.47,22.02,22.68,22.68,21.69,26.03,31.3,24.5,31.3,24.5,33.47,24.5,25.61,33.47,33.47,25.61,33.47,31.3,26.03,26.03,23.74,27.22,40.0,29.47,37.95,37.95
Daging Sapi Murni,134.070,134.070,135.760,133.330,135.450,133.460,134.290,144.910,133.390,134.450,133.610,134.970,133.450,133.160,132.400,132.710,133.580,134.070,134.500,132.920,133.530,133.580,133.520,134.430,133.040,134.640,132.310,134.040,133.950,133.440,134.000,134.150,134.000,133.690,134.120,132.870,133.780,134.450,133.780,133.780,134.230,134.450,133.780,134.450,134.450,133.780,133.830,135.110,134.460,134.460,134.440,134.220,132.690,133.000,132.710,131.170,132.300,133.430,133.340,133.120,133.810,133.980,133.520,132.690,132.910,133.760,133.520,132.910,134.170,134.210,133.300,134.440,135.330,134.910,136.110,135.040,133.870,135.120,135.100,139.060,136.020,135.720,135.930,134.180,135.610,135.070,135.260,134.840,134.630,134.630,133.530,134.620,132.980,135.470,135.380,135.590,135.26,135.91,134.85,135.59,135.96,135.91,135.37,134.45,134.84,135.1,134.87,137.65,143.4,147.38,143.3,137.1,139.78,136.9,137.23,136.25,135.8,136.26,134.89,135.65,134.89,135.87,135.1,135.87,135.31,135.67,134.46,134.94,135.32,134.69,136.3,135.01,133.77,135.43,135.14,135.88,134.87,134.7,135.45,135.29,135.34,136.12,135.69,135.34,135.34,135.57,134.92,134.11,136.08,136.48,136.85
Daging Ayam Ras,35.490,35.070,35.480,35.290,35.070,35.000,35.470,36.660,35.010,34.860,34.520,34.220,34.000,33.390,33.290,33.340,33.060,32.920,32.470,32.440,32.630,32.100,31.220,31.260,31.150,31.330,30.710,30.830,30.340,31.420,30.860,31.540,31.210,31.350,31.650,31.060,31.280,31.250,31.830,31.570,31.950,31.750,31.310,31.480,30.790,31.520,31.450,30.890,30.750,30.780,30.580,30.590,30.180,30.150,29.760,30.780,29.630,29.400,30.400,30.220,30.190,30.120,30.840,30.470,30.790,30.930,31.120,31.290,31.120,31.120,31.290,31.020,30.730,31.200,31.150,31.340,30.910,31.160,31.750,32.040,31.410,31.710,31.310,30.820,30.790,30.970,30.650,29.970,29.890,29.690,29.210,28.600,28.760,28.400,29.420,28.150,28.63,28.39,28.72,28.82,29.64,29.29,30.04,30.32,31.04,30.82,31.56,31.73,32.68,33.3,32.69,33.05,32.8,32.79,33.16,33.05,32.81,33.15,33.43,33.12,32.63,32.6,32.9,32.95,33.44,33.43,33.14,33.31,33.31,33.53,33.62,33.43,33.97,33.92,34.09,34.02,34.71,34.61,34.74,35.15,35.27,35.38,35.57,35.58,35.48,35.66,36.1,36.22,36.05,36.34,36.26
Telur Ayam Ras,28.300,28.210,28.420,28.240,28.530,28.120,28.290,27.840,28.230,28.110,28.220,28.030,27.900,28.010,27.860,27.930,27.600,27.820,27.430,27.590,27.650,27.600,27.540,27.420,27.310,27.260,27.540,27.280,27.180,27.240,27.280,27.490,27.170,27.060,27.050,26.770,27.060,27.360,27.360,26.960,27.600,27.150,27.190,27.080,27.260,26.790,26.650,26.870,26.920,26.730,27.150,26.540,26.490,26.850,26.390,26.850,26.180,26.260,26.040,26.360,26.090,26.250,26.290,26.050,26.090,25.970,26.050,25.820,25.870,26.070,26.080,26.050,25.950,26.470,26.340,26.200,26.510,26.520,26.400,26.370,26.420,26.440,26.420,26.550,26.570,26.350,26.240,26.260,26.210,26.260,26.360,26.350,26.320,26.090,26.240,26.290,26.07,26.27,26.01,26.2,26.24,26.19,26.61,26.7,26.35,26.39,26.54,26.51,26.92,26.73,26.25,26.62,26.7,26.57,26.46,26.52,26.49,26.92,26.83,26.71,26.52,26.92,26.38,26.54,26.36,26.58,26.66,26.37,26.36,26.48,26.78,26.83,26.61,26.76,26.63,26.87,26.66,26.65,26.91,27.07,26.9,27.16,27.28,26.88,26.92,26.8,26.89,27.17,27.0,27.26,27.49
