,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.270,13.150,13.150,13.060,13.150,13.150,13.150,13.150,13.190,13.190,13.190,13.250,13.250,13.300,13.300,13.300,13.300,13.310,13.300,13.300,13.300,13.300,13.390,13.390,13.390,13.390,13.390,13.390,13.390,13.440,13.410,13.320,13.320,13.320,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.370,13.320,13.320,13.320,13.320,13.320,13.270,13.320,13.240,13.240,13.240,13.240,13.300,13.300,13.390,13.390,13.340,13.300,13.290,13.300,13.300,13.300,13.300,13.300,13.300,13.290,13.290,13.240,13.240,13.240,13.240,13.240,13.240,13.240,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.11,13.11,13.11,13.11,13.11,13.000,13.120,13.11,13.09,13.11,13.11,13.11,13.1,13.1,13.06,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.14,13.1,13.14,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.12,13.12,13.12,13.12,13.12,13.12,13.17,13.17,13.17,13.17
1,Beras Medium,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,11.080,10.940,10.940,11.040,10.940,10.940,10.940,10.970,10.970,10.790,10.760,10.550,10.550,10.550,10.550,10.550,10.680,10.680,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.630,10.680,10.680,10.680,10.680,10.680,10.680,10.680,10.680,10.680,10.680,10.680,10.600,10.680,10.680,10.680,10.680,10.680,10.770,10.770,10.770,10.770,10.730,10.690,10.690,10.740,10.740,10.740,10.740,10.740,10.740,10.730,10.740,10.740,10.740,10.740,10.740,10.740,10.740,10.740,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.830,10.870,10.74,10.63,10.74,10.74,10.74,10.69,10.69,10.69,10.69,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.69,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74
2,Kedelai Biji Kering (Impor),14.840,14.840,14.840,14.840,14.840,14.840,14.840,14.750,14.750,14.650,14.650,14.650,14.650,14.650,14.650,14.650,14.620,14.650,14.650,14.650,14.650,14.670,14.670,14.670,14.650,14.650,14.650,14.650,14.700,14.700,14.700,14.700,14.700,14.700,14.700,14.450,14.450,14.450,14.450,14.550,14.450,14.450,14.450,14.450,14.450,14.540,14.540,14.540,14.540,14.540,14.540,14.560,14.560,14.560,14.560,14.560,14.460,14.460,14.460,14.460,14.460,14.460,14.370,14.460,14.460,14.460,14.460,14.460,14.300,14.460,14.460,14.460,14.460,14.460,14.520,14.520,14.460,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.520,14.610,14.700,14.700,14.800,14.800,14.910,14.91,14.91,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.69,14.89,14.89,14.89,14.89,14.450,14.700,14.79,14.81,14.79,14.79,14.79,14.79,14.79,14.68,14.8,14.8,14.8,14.85,14.51,14.41,12.24,12.46,12.52,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.56,12.57,12.57,12.57,12.57,12.57,12.57,12.55,12.55,12.55,12.55,12.55
3,Bawang Merah,25.350,25.030,25.610,26.640,26.250,26.770,27.620,29.780,30.910,31.230,31.020,31.030,30.270,30.270,30.350,30.780,30.740,30.270,30.010,30.270,31.140,31.330,31.710,31.710,31.540,31.540,31.500,31.900,32.020,31.300,31.300,32.260,31.550,32.290,32.950,32.440,32.510,32.540,31.630,31.860,31.620,31.010,30.730,30.500,29.170,28.420,28.770,28.930,28.170,29.010,29.200,28.980,29.330,29.600,28.990,28.990,28.210,28.570,28.400,28.400,28.400,28.480,28.880,28.680,28.850,28.770,28.670,28.670,29.160,29.290,29.020,28.950,28.620,28.530,28.460,28.540,28.560,28.610,28.320,28.370,27.910,28.090,27.750,27.750,27.750,27.800,27.970,27.530,27.530,27.350,27.280,27.040,27.040,27.040,26.530,26.260,26.55,26.82,26.51,26.51,26.51,26.17,26.17,26.17,26.17,26.0,26.36,26.55,26.71,26.8,26.130,26.260,27.22,27.75,27.54,29.26,29.26,29.6,29.66,30.15,30.18,30.43,30.01,30.28,30.1,29.55,29.45,29.66,29.27,29.22,29.07,28.8,28.83,28.61,28.59,28.18,27.62,27.7,27.7,27.09,26.93,27.09,26.66,26.66,26.81,26.71,26.72,26.67,26.67,26.67,26.94
4,Bawang Putih Bonggol,24.250,24.160,24.160,23.730,23.820,23.710,23.930,24.310,24.570,24.400,24.400,24.580,24.490,24.310,24.580,24.670,24.840,24.860,24.580,24.580,24.370,24.280,24.280,24.280,24.870,24.780,24.820,24.820,25.040,24.780,24.780,25.250,24.960,25.120,25.560,25.410,25.840,25.740,26.570,26.500,26.320,26.230,26.380,26.050,26.050,25.870,25.820,25.870,26.130,26.140,26.510,26.420,26.860,26.590,26.960,26.960,27.050,27.410,27.500,27.490,27.860,27.690,27.580,27.680,27.870,29.140,28.810,28.910,29.130,29.210,29.600,29.700,29.700,29.400,30.100,30.100,29.920,29.910,30.270,30.270,29.610,29.620,29.620,29.620,28.950,28.770,28.950,28.530,28.830,28.830,28.630,28.540,29.040,28.850,28.850,28.850,28.65,28.65,27.49,27.67,27.67,27.67,27.67,27.67,27.67,27.97,27.99,28.49,28.97,29.27,30.020,29.090,28.97,29.05,28.8,29.16,29.16,28.99,29.34,29.69,30.23,30.54,30.57,30.4,30.94,31.1,31.75,31.25,31.27,31.45,31.84,32.18,31.74,31.85,33.71,34.11,34.5,34.53,34.62,34.44,34.24,34.63,34.24,34.16,34.19,34.01,34.1,34.47,34.47,34.47,34.93
5,Cabai Merah Keriting,36.540,38.210,36.930,33.260,32.710,36.860,38.650,40.800,41.200,40.480,38.840,38.750,38.920,40.170,38.420,35.060,34.280,34.090,35.710,35.850,36.150,37.390,39.540,38.560,39.180,39.320,40.530,42.950,41.120,39.490,42.030,42.110,42.570,44.600,43.560,41.630,41.240,42.650,40.840,41.080,38.210,38.310,36.030,36.090,37.210,38.620,38.190,37.580,39.610,40.710,44.520,46.020,45.290,44.500,43.930,44.870,39.220,40.010,40.010,38.590,38.650,38.740,37.890,36.990,36.380,36.290,36.240,36.030,35.660,35.780,36.150,36.100,38.250,36.610,35.750,34.890,35.550,34.160,33.200,33.530,31.450,37.280,34.780,32.030,28.930,26.630,25.120,23.850,25.100,25.760,25.750,24.890,25.470,25.290,25.490,26.230,25.81,24.74,25.15,25.56,25.56,24.74,25.48,25.82,26.69,28.18,28.28,28.43,30.85,37.3,35.530,35.300,32.02,27.87,27.52,23.74,24.01,23.34,22.24,21.22,19.76,19.53,19.28,18.79,17.83,18.77,18.34,18.63,18.6,18.49,18.42,18.7,18.87,18.91,18.17,18.17,18.29,18.31,18.91,19.5,19.13,19.07,19.06,18.79,19.5,20.26,19.51,18.82,19.58,19.77,19.69
6,Cabai Rawit Merah,55.420,56.890,61.750,64.720,60.860,60.720,60.810,59.840,60.340,61.590,60.130,60.940,58.580,57.950,55.000,55.770,53.150,52.880,52.880,51.890,54.450,55.140,53.960,55.130,48.820,49.890,50.150,50.940,50.930,51.510,51.640,54.070,53.860,53.430,54.250,52.400,52.970,53.530,52.540,52.540,51.240,51.240,51.190,51.740,51.730,53.890,55.250,55.600,55.390,56.240,58.320,55.620,57.280,56.990,57.330,57.120,55.210,55.670,54.720,53.310,52.930,52.610,53.230,54.040,55.080,54.710,54.710,55.160,53.500,55.200,57.520,57.220,56.200,56.020,57.500,58.590,58.590,57.300,57.300,56.600,55.640,57.100,58.000,58.000,54.110,53.540,49.640,43.100,42.650,43.300,44.750,43.980,46.430,45.150,45.330,44.080,44.08,40.78,43.24,43.86,44.19,44.15,42.8,41.4,41.8,40.84,42.58,45.17,50.74,55.23,51.470,49.980,44.39,41.13,41.81,39.49,39.94,38.87,37.96,37.56,37.74,33.45,32.64,33.31,33.33,33.33,32.04,32.04,31.79,31.82,31.92,32.72,32.47,32.47,32.15,32.15,32.7,31.51,33.14,31.92,32.47,32.47,33.03,33.03,33.03,33.91,33.81,34.11,34.25,35.48,35.13
7,Daging Sapi Murni,139.800,139.800,138.930,138.930,138.930,138.930,138.930,138.470,138.470,138.470,138.470,138.470,138.470,138.470,138.470,138.470,139.350,138.470,138.470,138.470,138.470,138.910,138.910,138.910,138.050,138.050,138.050,138.050,138.050,138.050,138.050,137.610,138.050,137.120,138.050,138.050,138.050,138.050,138.050,137.120,137.120,137.120,137.120,137.120,137.120,137.120,136.650,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.120,137.590,137.120,137.120,137.120,137.120,136.680,136.680,136.680,136.350,136.680,136.680,136.680,136.680,136.680,137.980,137.980,138.910,138.000,141.660,142.760,142.510,140.320,139.850,139.850,139.850,139.850,139.850,139.850,139.850,140.330,140.330,140.330,141.220,141.220,141.220,141.220,141.22,141.22,141.22,141.22,141.22,141.22,141.22,140.77,141.65,144.76,145.56,147.34,152.41,154.34,148.960,149.110,146.85,139.7,139.74,138.84,138.84,137.82,137.82,137.82,137.82,137.82,137.82,138.02,137.58,137.82,138.02,137.82,137.82,137.82,137.82,138.77,138.77,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,137.82,136.87,137.82,137.82
8,Daging Ayam Ras,38.600,38.260,37.690,36.600,36.500,35.620,35.530,35.050,34.550,34.310,33.280,33.000,32.890,32.890,32.410,32.410,32.340,32.040,31.840,31.950,31.660,31.550,31.090,31.180,30.540,30.540,30.640,30.530,29.870,29.460,29.460,29.660,29.460,29.660,29.660,29.490,29.490,29.390,29.580,29.680,29.930,29.650,29.750,30.260,30.170,30.170,30.480,30.680,30.580,30.790,30.970,30.970,30.480,30.400,30.650,30.830,30.480,30.570,30.570,30.670,30.570,30.480,30.480,30.270,30.380,30.380,30.290,30.290,30.130,30.410,31.300,31.470,31.380,31.500,32.240,32.500,32.840,32.750,32.670,32.320,32.320,32.150,31.760,31.670,31.850,31.150,30.960,30.440,30.150,29.360,29.470,28.960,28.320,28.200,28.280,28.180,28.03,27.9,27.82,27.95,28.14,28.85,28.69,29.51,29.42,30.07,30.35,31.52,32.5,34.11,34.730,34.320,33.8,33.2,33.41,33.99,33.84,33.23,33.13,33.14,31.46,31.39,31.58,31.95,32.01,31.85,32.76,32.76,32.95,33.12,33.66,33.89,34.07,35.04,35.38,36.9,36.59,36.88,36.88,36.69,37.36,36.81,37.0,37.04,36.43,36.34,36.6,36.34,35.81,35.62,35.7
9,Telur Ayam Ras,28.450,28.450,28.450,28.350,28.450,28.450,28.450,28.350,28.430,28.430,28.430,28.430,28.430,28.430,28.430,28.430,28.390,28.430,28.430,28.430,28.430,28.430,28.430,28.330,27.870,28.430,28.330,28.250,28.250,28.080,28.080,28.030,28.030,28.030,28.130,27.950,27.950,27.950,27.830,27.740,27.350,27.440,27.400,27.510,27.510,27.510,27.310,27.410,27.410,27.410,27.410,27.410,27.110,27.170,27.120,27.260,26.980,26.980,26.980,26.980,26.890,26.890,26.890,26.790,26.750,26.750,26.750,26.750,26.450,26.750,26.850,26.940,27.120,27.200,27.590,27.590,27.840,27.590,27.590,27.590,27.880,27.970,27.970,27.880,27.880,28.070,28.140,28.030,28.040,27.950,27.950,27.950,27.860,27.690,27.690,27.690,27.88,27.78,27.78,28.0,27.9,27.9,28.07,28.07,28.35,28.25,28.25,28.43,28.43,28.55,28.260,28.480,28.43,28.23,28.34,28.37,28.3,28.3,28.15,28.15,28.05,27.87,27.87,27.87,27.87,28.15,28.3,28.3,28.67,28.76,28.76,28.76,28.76,28.76,28.85,29.03,29.03,29.12,29.13,29.22,29.22,29.4,29.4,29.32,29.5,29.5,29.5,29.5,29.5,29.5,29.6
