,Komoditas (Rp),02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023,31/05/2023,01/06/2023
0,Beras Premium,12.340,12.380,12.380,12.380,12.360,12.360,12.330,12.440,12.440,12.470,12.490,12.510,12.490,12.490,12.560,12.560,12.570,12.540,12.580,12.570,12.550,12.570,12.590,12.670,12.680,12.680,12.630,12.570,12.710,12.930,12.730,12.770,12.760,12.760,12.690,12.830,12.810,12.770,12.810,12.810,12.800,12.820,12.860,12.850,12.820,12.810,12.810,12.720,12.720,12.810,12.800,12.850,12.820,12.810,12.760,12.800,12.780,12.810,12.800,12.770,12.790,12.770,12.720,12.680,12.690,12.720,12.720,12.700,12.630,12.700,12.690,12.670,12.620,12.560,12.670,12.650,12.650,12.650,12.650,12.660,12.630,12.660,12.630,12.600,12.660,12.640,12.620,12.640,12.570,12.560,12.630,12.640,12.630,12.680,12.620,12.620,12.620,12.620,12.630,12.590,12.580,12.610,12.610,12.610,12.620,12.660,12.660,12.620,12.660,12.640,12.300,12.570,12.710,12.620,12.640,12.670,12.700,12.740,12.690,12.700,12.750,12.720,12.700,12.720,12.760,12.720,12.720,12.720,12.720,12.720,12.760,12.690,12.720,12.76,12.720,12.730,12.720,12.730,12.760,12.750,12.720,12.690,12.71,12.710,12.700,12.710,12.660,12.660,12.670,12.67,12.790
1,Beras Medium,11.240,11.270,11.220,11.300,11.280,11.300,11.220,11.230,11.340,11.400,11.410,11.430,11.430,11.430,11.470,11.480,11.440,11.450,11.500,11.480,11.480,11.510,11.520,11.550,11.610,11.610,11.590,11.540,11.550,11.700,11.570,11.640,11.590,11.590,11.550,11.620,11.610,11.630,11.660,11.660,11.620,11.640,11.690,11.630,11.590,11.640,11.580,11.520,11.520,11.590,11.610,11.610,11.610,11.630,11.570,11.620,11.570,11.620,11.620,11.540,11.460,11.640,11.590,11.280,11.530,11.570,11.560,11.550,11.490,11.560,11.560,11.530,11.470,11.460,11.520,11.520,11.510,11.530,11.500,11.520,11.500,11.490,11.450,11.440,11.490,11.470,11.450,11.490,11.460,11.500,11.520,11.520,11.520,11.530,11.490,11.500,11.510,11.510,11.510,11.480,11.480,11.500,11.470,11.500,11.500,11.520,11.520,11.500,11.520,11.500,11.130,11.400,11.570,11.590,11.490,11.500,11.510,11.550,11.500,11.540,11.560,11.540,11.520,11.520,11.550,11.540,11.500,11.510,11.500,11.530,11.550,11.470,11.520,11.53,11.550,11.550,11.550,11.540,11.550,11.600,11.550,11.630,11.55,11.550,11.550,11.550,11.520,11.530,11.550,11.52,11.570
2,Kedelai Biji Kering (Impor),14.550,14.580,14.580,14.570,14.620,14.650,14.750,14.310,14.620,14.590,14.680,14.750,14.750,14.750,14.660,14.710,14.800,14.660,14.710,14.850,14.900,14.710,14.710,14.700,14.750,14.680,14.810,14.760,14.720,14.620,14.620,14.630,14.590,14.550,14.630,14.550,14.620,14.690,14.730,14.770,14.770,14.770,14.770,14.770,14.760,14.760,14.700,14.850,14.850,14.760,14.760,14.760,14.710,14.760,14.850,14.760,14.750,14.760,14.800,14.730,14.920,14.900,14.990,14.850,14.940,14.900,15.050,15.050,15.110,15.010,15.090,15.090,15.230,15.230,15.130,15.130,14.820,15.050,15.050,14.930,15.120,15.170,15.260,15.030,14.930,14.920,15.030,14.970,14.970,15.120,15.090,14.970,15.050,15.190,15.140,15.050,15.140,15.190,15.060,14.980,14.820,14.920,14.960,14.830,14.790,14.830,14.830,14.960,14.870,14.930,14.760,14.800,14.750,14.700,14.970,14.590,14.870,14.870,14.830,14.870,14.970,14.880,15.020,14.590,14.670,14.710,14.370,14.360,14.330,14.360,14.330,14.390,14.310,14.29,14.310,14.200,14.400,14.100,13.390,13.410,12.780,12.590,12.57,12.650,12.510,12.530,12.440,12.440,12.460,12.5,12.830
3,Bawang Merah,32.630,32.270,32.590,32.570,32.810,32.750,32.230,32.310,32.570,33.080,33.080,33.460,33.980,33.500,33.880,33.870,34.150,34.000,34.510,34.610,34.760,34.830,34.870,35.420,35.870,35.810,36.050,36.550,36.430,36.190,36.670,37.220,37.680,37.830,38.280,37.970,37.870,38.170,37.840,37.490,37.990,37.510,36.570,37.100,35.980,36.330,36.420,35.890,35.290,35.130,35.360,35.190,35.400,34.820,34.960,35.040,35.020,35.060,35.020,35.160,35.210,34.490,34.960,35.380,34.630,34.520,34.400,34.340,34.790,33.970,34.580,34.250,34.260,34.560,35.040,35.070,35.040,35.090,35.380,35.370,34.900,34.680,34.190,33.760,34.380,33.570,33.550,33.160,33.610,33.180,32.200,32.240,31.750,32.090,31.770,31.410,31.440,30.990,31.430,31.390,31.430,31.410,31.410,31.580,30.270,30.590,30.990,31.540,32.020,31.820,31.180,29.990,30.820,30.860,31.410,31.110,31.550,30.970,31.070,30.610,31.620,31.880,31.590,31.600,31.720,31.780,32.340,32.660,33.510,32.880,32.930,32.970,32.260,31.62,32.400,32.520,32.790,32.170,33.050,31.990,32.030,32.670,32.08,32.300,32.430,32.810,31.950,31.760,31.970,31.88,31.090
4,Bawang Putih Bonggol,25.040,25.160,25.050,25.190,24.870,24.910,24.970,24.300,25.070,24.850,24.800,24.950,24.950,24.760,24.960,25.080,25.240,25.180,25.400,25.470,25.560,25.680,25.600,25.400,25.420,25.770,25.940,25.880,26.090,26.240,25.680,26.390,26.520,26.780,26.640,26.660,26.850,27.090,27.350,27.270,27.280,27.240,27.070,27.110,27.110,27.210,26.440,26.570,26.260,26.550,26.460,26.340,26.720,27.120,27.120,27.260,27.560,27.400,27.620,27.850,27.870,28.150,28.300,28.670,28.780,28.740,28.650,28.790,28.830,28.830,29.720,29.660,29.900,29.770,29.880,30.100,30.100,30.910,31.080,31.150,30.710,30.660,31.050,30.240,30.170,30.150,29.610,29.880,29.880,29.580,29.190,29.650,29.490,29.780,30.110,30.040,29.860,29.810,29.570,29.820,29.520,29.630,29.400,29.310,28.570,29.260,29.370,29.500,29.520,29.740,29.590,29.660,29.990,29.050,29.390,30.120,29.770,29.360,29.680,29.880,30.800,30.910,30.610,30.590,30.680,30.930,32.520,32.300,33.390,33.560,33.680,33.390,33.780,33.72,34.750,34.720,34.650,34.390,34.550,34.370,34.740,34.540,35.27,34.790,34.890,35.430,34.900,35.450,35.980,35.98,35.880
5,Cabai Merah Keriting,31.320,32.510,31.620,31.010,30.570,30.780,30.800,30.700,32.360,33.050,33.120,32.870,33.550,34.350,34.790,34.680,34.660,34.940,35.290,36.190,36.210,37.990,36.930,38.470,37.870,37.500,38.310,38.630,40.860,41.250,41.460,42.390,44.380,44.990,45.210,45.870,44.870,43.030,41.790,42.420,42.160,41.920,40.210,40.440,39.270,38.810,39.160,40.250,40.200,40.900,40.900,39.140,40.920,42.160,41.720,42.140,41.590,41.470,40.670,41.040,40.850,41.230,40.840,39.580,39.440,39.940,39.990,39.930,39.490,39.050,39.570,38.750,38.670,38.280,37.760,36.820,37.140,37.220,38.180,37.530,36.050,35.880,34.690,34.440,32.890,31.620,28.580,28.030,27.570,26.440,26.650,26.290,25.900,26.580,25.630,25.420,25.300,25.420,25.570,25.560,26.700,25.200,25.070,25.310,24.890,26.040,27.140,28.680,31.140,31.150,30.270,29.840,28.990,28.520,28.710,28.140,26.810,27.180,25.270,26.250,24.680,23.440,21.660,22.130,22.860,22.240,21.970,22.060,21.430,21.250,22.260,22.530,21.800,21.1,21.050,20.870,21.190,20.540,21.410,20.330,19.920,20.280,20.39,20.950,21.740,22.210,22.620,23.810,23.440,25.85,25.240
6,Cabai Rawit Merah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.000,-,-,-,38.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,-,-,-,-,-,-,-,-,20.0,-,-,-,-,-,-,20.0,-
7,Daging Sapi Murni,152.210,152.590,152.590,153.120,152.590,152.590,152.210,154.160,152.590,152.590,152.590,152.590,152.830,152.830,152.830,153.360,152.470,153.360,152.830,151.980,152.470,152.370,152.830,152.500,152.370,152.830,152.470,152.830,153.020,153.330,153.330,153.330,152.860,152.860,152.860,153.330,153.020,152.860,152.860,152.860,152.860,152.860,152.860,152.860,152.860,152.860,153.330,152.500,152.990,152.860,152.860,153.330,153.330,152.860,152.990,153.170,153.510,152.800,153.330,152.570,152.860,153.330,152.990,153.510,153.330,153.330,153.330,152.860,152.990,153.820,153.330,153.330,152.990,152.990,154.230,154.730,158.240,163.360,174.540,169.950,157.090,156.550,156.740,156.020,156.210,155.270,154.530,154.800,154.300,154.000,154.300,154.300,153.800,154.560,153.800,154.000,153.800,153.800,153.480,154.000,154.530,153.800,153.800,154.300,154.300,155.300,155.620,160.900,173.980,176.140,159.550,159.550,156.720,153.580,154.390,155.250,154.720,154.440,153.920,154.220,153.540,153.360,152.530,152.900,153.050,152.130,153.390,152.900,152.530,152.900,153.050,152.130,152.900,153.22,153.390,153.570,153.390,153.220,153.390,154.660,153.390,153.570,153.89,153.890,153.390,154.100,153.570,153.390,153.700,154.06,155.210
8,Daging Ayam Ras,33.180,33.330,32.960,32.620,32.670,32.530,32.360,32.890,32.360,32.400,32.580,32.310,32.340,32.340,32.250,32.100,31.440,31.420,30.970,30.960,31.010,30.940,30.800,30.840,30.860,30.640,30.750,30.500,30.810,30.250,30.270,30.360,30.240,30.330,30.140,30.120,30.140,29.760,30.020,30.140,30.090,29.940,29.630,29.590,29.990,29.850,29.870,30.020,30.130,29.840,29.670,29.550,29.550,29.450,29.460,29.150,29.600,29.220,29.250,29.410,29.200,29.030,29.140,28.690,28.930,28.970,29.090,29.220,28.940,29.300,29.390,29.430,29.560,29.540,29.610,29.450,29.780,30.010,30.620,31.200,30.430,30.170,30.330,29.950,29.740,29.750,29.780,29.880,29.250,29.190,29.220,29.140,29.190,29.680,29.140,28.980,28.970,28.870,28.860,28.510,28.360,28.760,28.930,28.970,28.930,29.010,29.640,30.040,31.660,31.480,30.370,31.180,31.310,30.900,30.780,30.730,30.720,30.400,30.590,30.710,30.860,30.790,31.140,31.150,30.910,31.300,31.110,31.270,31.530,31.530,31.290,31.200,31.290,31.19,31.630,31.500,31.310,31.900,31.520,31.870,31.870,31.350,31.79,31.790,31.990,32.300,32.560,32.690,32.490,33.01,32.880
9,Telur Ayam Ras,27.210,27.110,27.010,27.070,27.050,26.890,27.000,26.850,26.870,26.750,26.770,26.380,26.380,26.290,26.000,26.000,25.970,25.920,25.900,25.960,25.960,25.920,25.990,25.920,25.690,25.620,25.610,25.630,25.460,25.320,25.310,25.270,25.090,25.030,24.940,24.790,24.640,24.630,24.540,24.480,24.480,24.200,24.480,24.460,24.330,24.300,24.040,24.200,24.140,24.110,23.960,24.020,23.880,23.740,23.740,23.710,23.880,23.660,23.640,23.670,23.600,23.570,23.580,23.220,23.380,23.410,23.590,23.740,23.560,23.650,23.780,24.100,24.220,24.280,24.270,24.380,24.690,24.780,24.570,25.040,24.670,25.110,24.990,24.850,24.750,24.810,24.710,24.720,24.710,24.600,24.640,24.610,24.510,24.540,24.580,24.600,24.530,24.480,24.460,24.320,24.280,24.310,24.220,24.240,24.320,24.270,24.460,24.440,24.610,24.520,24.720,24.490,24.370,24.520,24.660,24.770,24.390,24.390,24.560,24.230,24.050,24.180,24.320,24.380,24.510,24.660,24.790,25.040,25.260,25.310,25.430,25.320,25.450,25.73,25.780,25.930,26.430,26.300,26.270,26.400,26.370,26.460,26.58,26.610,26.610,26.650,26.650,26.730,26.650,26.78,26.720
