,Date,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Provinsi
0,2023-01-06,36.59,33.47,35.0,Nusa Tenggara Barat
1,2023-01-07,39.79,30.86,44.72,Nusa Tenggara Barat
2,2023-01-08,41.6,31.58,44.72,Nusa Tenggara Barat
3,2023-01-10,3.0,4.96,770.0,Nusa Tenggara Barat
4,2023-01-11,42.43,35.33,40.0,Nusa Tenggara Barat
5,2023-01-12,45.0,35.33,40.0,Nusa Tenggara Barat
6,2023-01-13,41.35,36.15,40.0,Nusa Tenggara Barat
7,2023-01-14,41.35,36.15,40.0,Nusa Tenggara Barat
8,2023-01-15,45.0,36.15,40.0,Nusa Tenggara Barat
9,2023-01-16,45.0,39.69,40.0,Nusa Tenggara Barat
10,2023-01-17,45.0,39.69,40.0,Nusa Tenggara Barat
11,2023-01-18,45.0,39.69,40.0,Nusa Tenggara Barat
12,2023-01-19,45.0,39.69,40.0,Nusa Tenggara Barat
13,2023-01-20,45.0,39.69,40.0,Nusa Tenggara Barat
14,2023-01-21,45.0,39.69,40.0,Nusa Tenggara Barat
15,2023-01-22,45.0,38.06,40.0,Nusa Tenggara Barat
16,2023-01-23,45.0,38.06,40.0,Nusa Tenggara Barat
17,2023-01-24,40.0,36.15,40.0,Nusa Tenggara Barat
18,2023-01-25,40.0,38.06,40.0,Nusa Tenggara Barat
19,2023-01-26,37.42,34.26,40.0,Nusa Tenggara Barat
20,2023-01-27,37.42,34.26,40.0,Nusa Tenggara Barat
21,2023-01-28,37.42,34.26,40.0,Nusa Tenggara Barat
22,2023-01-29,37.42,34.26,40.0,Nusa Tenggara Barat
23,2023-01-30,36.59,32.17,40.0,Nusa Tenggara Barat
24,2023-01-31,36.59,8.23,40.0,Nusa Tenggara Barat
25,2023-02-01,38.06,29.81,40.0,Nusa Tenggara Barat
26,2023-02-02,39.9,33.16,42.9,Nusa Tenggara Barat
27,2023-02-03,40.75,31.68,42.9,Nusa Tenggara Barat
28,2023-02-04,40.8,29.38,41.91,Nusa Tenggara Barat
29,2023-02-05,40.12,29.66,43.09,Nusa Tenggara Barat
30,2023-02-06,38.53,32.05,43.09,Nusa Tenggara Barat
31,2023-02-07,41.56,31.42,43.59,Nusa Tenggara Barat
32,2023-02-08,40.88,32.17,43.09,Nusa Tenggara Barat
33,2023-02-09,40.88,32.17,43.09,Nusa Tenggara Barat
34,2023-02-10,39.69,32.17,43.09,Nusa Tenggara Barat
35,2023-02-11,40.88,32.17,40.0,Nusa Tenggara Barat
36,2023-02-12,40.88,31.19,43.09,Nusa Tenggara Barat
37,2023-02-13,41.79,30.76,41.21,Nusa Tenggara Barat
38,2023-02-14,42.73,29.63,20.77,Nusa Tenggara Barat
39,2023-02-15,42.73,32.45,41.21,Nusa Tenggara Barat
40,2023-02-16,42.1,33.9,39.49,Nusa Tenggara Barat
41,2023-02-17,40.4,32.45,41.29,Nusa Tenggara Barat
42,2023-02-18,40.4,32.35,41.29,Nusa Tenggara Barat
43,2023-02-19,40.4,32.35,41.29,Nusa Tenggara Barat
44,2023-02-20,40.4,31.73,41.29,Nusa Tenggara Barat
45,2023-02-21,38.33,31.73,40.0,Nusa Tenggara Barat
46,2023-02-22,39.53,29.59,40.0,Nusa Tenggara Barat
47,2023-02-23,39.53,29.59,40.0,Nusa Tenggara Barat
48,2023-02-24,39.53,29.59,40.0,Nusa Tenggara Barat
49,2023-02-25,39.53,30.18,40.0,Nusa Tenggara Barat
50,2023-02-26,39.53,29.99,40.0,Nusa Tenggara Barat
51,2023-02-27,39.53,29.59,40.0,Nusa Tenggara Barat
52,2023-02-28,42.13,29.22,40.0,Nusa Tenggara Barat
53,2023-03-01,44.81,33.73,40.0,Nusa Tenggara Barat
54,2023-03-02,41.6,33.83,40.0,Nusa Tenggara Barat
55,2023-03-03,42.86,33.94,40.0,Nusa Tenggara Barat
56,2023-03-04,42.86,33.26,40.0,Nusa Tenggara Barat
57,2023-03-05,40.75,31.59,40.0,Nusa Tenggara Barat
58,2023-03-06,40.75,30.7,40.0,Nusa Tenggara Barat
59,2023-03-07,41.32,31.12,40.0,Nusa Tenggara Barat
60,2023-03-08,39.97,30.92,40.0,Nusa Tenggara Barat
61,2023-03-09,37.37,32.63,40.0,Nusa Tenggara Barat
62,2023-03-10,35.74,32.63,40.0,Nusa Tenggara Barat
63,2023-03-11,35.74,32.63,40.0,Nusa Tenggara Barat
64,2023-03-12,35.74,32.63,40.0,Nusa Tenggara Barat
65,2023-03-13,37.06,29.87,40.0,Nusa Tenggara Barat
66,2023-03-14,37.53,29.87,12.65,Nusa Tenggara Barat
67,2023-03-15,37.01,29.66,40.0,Nusa Tenggara Barat
68,2023-03-16,38.17,30.21,40.0,Nusa Tenggara Barat
69,2023-03-17,39.53,30.05,40.0,Nusa Tenggara Barat
70,2023-03-18,36.95,30.72,40.0,Nusa Tenggara Barat
71,2023-03-19,39.53,29.28,40.0,Nusa Tenggara Barat
72,2023-03-20,38.33,33.18,40.0,Nusa Tenggara Barat
73,2023-03-21,42.86,31.19,40.0,Nusa Tenggara Barat
74,2023-03-23,22.91,30.99,40.0,Nusa Tenggara Barat
75,2023-03-24,38.7,29.55,40.0,Nusa Tenggara Barat
76,2023-03-25,38.7,29.55,40.0,Nusa Tenggara Barat
77,2023-03-26,38.7,29.26,40.0,Nusa Tenggara Barat
78,2023-03-27,39.69,29.91,40.0,Nusa Tenggara Barat
79,2023-03-28,39.87,31.22,38.97,Nusa Tenggara Barat
80,2023-03-29,39.87,30.82,38.97,Nusa Tenggara Barat
81,2023-03-30,40.82,30.82,40.53,Nusa Tenggara Barat
82,2023-03-31,40.27,31.51,40.53,Nusa Tenggara Barat
83,2023-04-01,40.27,31.51,38.77,Nusa Tenggara Barat
84,2023-04-02,40.27,31.83,38.97,Nusa Tenggara Barat
85,2023-04-03,41.7,30.54,38.97,Nusa Tenggara Barat
86,2023-04-04,41.7,31.3,38.26,Nusa Tenggara Barat
87,2023-04-05,40.27,32.53,38.97,Nusa Tenggara Barat
88,2023-04-06,40.27,32.53,38.97,Nusa Tenggara Barat
89,2023-04-07,40.27,32.19,38.97,Nusa Tenggara Barat
