Ikan Bandeng,Ikan Tongkol,Ikan Kembung,Provinsi
36.797817,37.468464,46.63169,Aceh
36.797817,37.468464,46.63169,Sumatera Utara
30.023937,37.259754,42.68895,Sumatera Barat
41.39541,42.570923,51.187553,Riau
43.422516,38.44422,44.08604,Jambi
29.50503,33.48394,40.03867,Sumatera Selatan
29.400698,28.833817,37.2373,Bengkulu
45.95468,32.18489,44.791428,Lampung
29.36009,31.16483,37.142612,Kepulauan Bangka Belitung
37.34163,37.792374,47.712517,Kepulauan Riau
37.394714,24.015661,34.19106,DKI Jakarta
39.464783,35.968853,36.01456,Jawa Barat
37.690502,37.189457,42.032295,Jawa Tengah
33.51111,33.162014,33.507774,D.I Yogyakarta
38.17983,36.643475,38.89678,Jawa Timur
32.89725,32.91563,33.272892,Banten
36.381218,34.930546,38.741543,Bali
35.182682,26.674582,41.290394,Nusa Tenggara Barat
35.919914,33.262665,45.667927,Nusa Tenggara Timur
50.171402,39.91313,38.643723,Kalimantan Barat
32.422222,37.920822,43.092865,Kalimantan Tengah
31.172855,40.238552,46.048927,Kalimantan Selatan
30.768013,36.28207,40.51567,Kalimantan Timur
33.618717,36.502506,39.7585,Kalimantan Utara
30.750101,35.04193,43.15231,Sulawesi Utara
44.68193,37.615513,32.857666,Sulawesi Tengah
29.50867,33.379288,36.267475,Sulawesi Selatan
35.864952,42.998596,44.010853,Sulawesi Tenggara
35.351597,34.997803,37.224697,Gorontalo
32.02675,30.898142,30.191458,Sulawesi Barat
33.363094,38.216084,42.278484,Maluku
38.287373,35.648533,27.869839,Maluku Utara
46.397114,34.254078,40.626713,Papua Barat
40.956207,48.83664,43.693462,Papua
