Date,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Provinsi
2023-01-06,46.15,42.22,37.07,Aceh
2023-01-07,44.79,40.73,37.0,Aceh
2023-01-08,44.93,41.03,38.05,Aceh
2023-01-09,46.52,41.68,36.77,Aceh
2023-01-10,46.05,40.15,35.24,Aceh
2023-01-11,46.01,40.52,36.73,Aceh
2023-01-12,45.79,40.57,36.63,Aceh
2023-01-13,45.42,40.5,37.2,Aceh
2023-01-14,46.88,40.38,36.41,Aceh
2023-01-15,45.942857142857136,40.06,35.96,Aceh
2023-01-16,45.07,39.64,36.42,Aceh
2023-01-17,46.15,39.43,36.370000000000005,Aceh
2023-01-18,47.1,39.9,35.2,Aceh
2023-01-19,46.66,40.27,35.7,Aceh
2023-01-20,45.7,40.24,35.7,Aceh
2023-01-21,45.44,40.53,36.46,Aceh
2023-01-22,45.33,40.6,35.97285714285714,Aceh
2023-01-23,45.52,40.62,35.73,Aceh
2023-01-24,45.8,40.28,36.52,Aceh
2023-01-25,45.03,39.53,36.06,Aceh
2023-01-26,45.24,40.71,35.42,Aceh
2023-01-27,46.36,40.15,35.67,Aceh
2023-01-28,46.46,40.94,36.26,Aceh
2023-01-29,47.05,41.72,35.81,Aceh
2023-01-30,47.55,40.25,35.9,Aceh
2023-01-31,47.49,40.6,37.49,Aceh
2023-02-01,47.19,41.03,38.2,Aceh
2023-02-02,47.11,40.92,37.67,Aceh
2023-02-03,47.05,41.99,37.26,Aceh
2023-02-04,47.08,41.31,36.88,Aceh
2023-02-05,48.19,41.13,37.07,Aceh
2023-02-06,47.39,40.79,37.3,Aceh
2023-02-07,47.25,40.76,38.73,Aceh
2023-02-08,47.46,40.14,37.08,Aceh
2023-02-09,47.08,39.59,36.75,Aceh
2023-02-10,46.86,40.75,36.69,Aceh
2023-02-11,46.73,39.32,35.57,Aceh
2023-02-12,46.93,39.51,36.04,Aceh
2023-02-13,46.93,40.12285714285714,35.81,Aceh
2023-02-14,46.97,38.62,38.11,Aceh
2023-02-15,46.25,39.07,36.18,Aceh
2023-02-16,46.93,39.18,36.59,Aceh
2023-02-17,48.27,40.8,37.51,Aceh
2023-02-18,47.69,39.56,36.41,Aceh
2023-02-19,47.02,39.22,35.67,Aceh
2023-02-20,45.88,38.32,35.19,Aceh
2023-02-21,45.84,39.1,35.14,Aceh
2023-02-22,46.77,39.29,35.4,Aceh
2023-02-23,46.03,39.25,35.51,Aceh
2023-02-24,45.47,38.66,35.88,Aceh
2023-02-25,45.62,39.17,35.82,Aceh
2023-02-26,44.72,38.04,36.2,Aceh
2023-02-27,46.05,39.92,36.03,Aceh
2023-02-28,46.23,38.88,36.09,Aceh
2023-03-01,46.67,38.9,35.17,Aceh
2023-03-02,46.89,39.09,36.17,Aceh
2023-03-03,46.89,40.57,36.62,Aceh
2023-03-04,46.4,38.91,36.72,Aceh
2023-03-05,46.5,38.98,36.52,Aceh
2023-03-06,47.24,39.96,35.7,Aceh
2023-03-07,45.67,39.71,36.32,Aceh
2023-03-08,44.91,39.39,36.22,Aceh
2023-03-09,45.48,39.48,35.91,Aceh
2023-03-10,45.06,39.42,36.03,Aceh
2023-03-11,45.96,38.81,35.12,Aceh
2023-03-12,44.76,38.45,35.81,Aceh
2023-03-13,45.0,38.32,36.76,Aceh
2023-03-14,45.11,38.19,35.76,Aceh
2023-03-15,44.94,38.28,35.94428571428571,Aceh
2023-03-16,45.44,38.3,35.09,Aceh
2023-03-17,45.25,38.27,35.34,Aceh
2023-03-18,45.208571428571425,37.02,35.68918367346939,Aceh
2023-03-19,44.71,36.79,35.770495626822154,Aceh
2023-03-20,44.87,37.88,35.7648521449396,Aceh
2023-03-21,45.96,39.34,36.01,Aceh
2023-03-22,45.1969387755102,39.25,35.65840245135955,Aceh
2023-03-23,45.233644314868805,38.93,35.31,Aceh
2023-03-24,45.20416493127863,38.64,35.61,Aceh
2023-03-25,45.36,38.08,35.68756198522725,Aceh
2023-03-26,45.14,39.18,35.07,Aceh
2023-03-27,47.89,40.3,35.91,Aceh
2023-03-28,46.81,39.37,35.23,Aceh
2023-03-29,46.32,38.74,35.44,Aceh
2023-03-30,47.39,39.53,36.03,Aceh
2023-03-31,46.05,39.04,36.19,Aceh
2023-04-01,46.05,38.5,35.68,Aceh
2023-04-02,46.62,39.0,35.9,Aceh
2023-04-03,46.96,38.47,35.61,Aceh
2023-04-04,44.94,38.16,35.33,Aceh
2023-04-05,46.332857142857144,37.24,35.27,Aceh
2023-04-06,44.75,36.75,35.71571428571429,Aceh
2023-04-07,45.95755102040817,37.41,35.67,Aceh
2023-04-08,46.85,37.5,35.69,Aceh
2023-04-09,46.76,37.06,35.58,Aceh
2023-04-10,45.63,37.05,36.26,Aceh
2023-04-11,45.49,37.31,36.42,Aceh
2023-04-12,46.69,37.18857142857143,35.82,Aceh
2023-04-13,45.34,37.181224489795916,36.42,Aceh
2023-04-14,45.69,36.73,36.83,Aceh
2023-04-15,45.65,36.87,36.29,Aceh
2023-04-16,45.43,37.07,36.83,Aceh
2023-04-17,44.98,37.0571137026239,36.58,Aceh
2023-04-18,44.85,37.058129945855896,35.28,Aceh
2023-04-19,45.29,37.02214850954959,35.6,Aceh
2023-04-20,46.27,37.64,35.89,Aceh
2023-04-21,47.01,37.01,37.07,Aceh
2023-04-22,47.29,38.86,36.19,Aceh
2023-04-23,47.29,38.86,36.19,Aceh
2023-04-24,48.97,42.43,38.23,Aceh
2023-04-25,47.27,39.36,36.84,Aceh
2023-04-26,46.47,37.67,35.62,Aceh
2023-04-27,46.58,37.33,35.55,Aceh
2023-04-28,46.4,37.09,35.79,Aceh
2023-04-29,45.73,37.71,36.01,Aceh
2023-04-30,47.8,38.39,36.54,Aceh
2023-05-01,47.1,38.49,36.36857142857143,Aceh
2023-05-02,48.43,39.21,37.87,Aceh
2023-05-03,46.95,38.53,36.39,Aceh
2023-05-04,45.65,38.03,36.47,Aceh
2023-05-05,46.3,37.35,37.17,Aceh
2023-05-06,46.44,37.08,37.48,Aceh
2023-05-07,46.58,37.53,38.04,Aceh
2023-05-08,47.31,37.51,38.19,Aceh
2023-05-09,47.53,37.89,38.43,Aceh
2023-05-10,47.57,37.53,37.85,Aceh
2023-05-11,47.93,37.51,37.58,Aceh
2023-05-12,47.42,37.48571428571429,38.72,Aceh
2023-05-13,47.45,37.34,38.81,Aceh
2023-05-14,47.95,38.04,39.31,Aceh
2023-05-15,47.24,37.61510204081633,37.69,Aceh
2023-05-16,48.16,38.03,37.8,Aceh
2023-05-17,47.62,37.13,38.04,Aceh
2023-05-18,48.3,37.51,38.25,Aceh
2023-05-19,47.01,37.09,37.54,Aceh
2023-05-20,46.42,37.73,37.81,Aceh
2023-05-21,45.72,38.17,38.28,Aceh
2023-05-22,46.17,37.73,37.95,Aceh
2023-05-23,46.37,36.88,38.14,Aceh
2023-05-24,45.44,37.462857142857146,38.1,Aceh
2023-05-25,46.07,37.5104081632653,37.78,Aceh
2023-05-26,45.86,37.51046647230321,37.32,Aceh
2023-05-27,45.39,37.570533111203666,37.7,Aceh
2023-05-28,46.88,37.5477521270899,35.86,Aceh
2023-05-29,46.93,37.45885957381704,36.55,Aceh
2023-05-30,46.57,37.420125227219465,36.86,Aceh
2023-05-31,46.16285714285714,37.4972859739651,37.167142857142856,Aceh
2023-06-01,44.89,37.5022043784091,35.91,Aceh
2023-06-02,45.87,37.501032409143924,37.06,Aceh
2023-06-03,45.36,37.499684685835454,36.63,Aceh
2023-06-04,46.25,37.48956348221143,36.9,Aceh
2023-06-05,46.0,37.48125081865736,36.37,Aceh
2023-06-06,46.94,37.26,36.64,Aceh
2023-06-07,46.44,36.73,36.73,Aceh
2023-06-08,46.74,36.99,36.93,Aceh
2023-01-06,46.15,42.22,37.07,Sumatera Utara
2023-01-07,44.79,40.73,37.0,Sumatera Utara
2023-01-08,44.93,41.03,38.05,Sumatera Utara
2023-01-09,46.52,41.68,36.77,Sumatera Utara
2023-01-10,46.05,40.15,35.24,Sumatera Utara
2023-01-11,46.01,40.52,36.73,Sumatera Utara
2023-01-12,45.79,40.57,36.63,Sumatera Utara
2023-01-13,45.42,40.5,37.2,Sumatera Utara
2023-01-14,46.88,40.38,36.41,Sumatera Utara
2023-01-15,45.942857142857136,40.06,35.96,Sumatera Utara
2023-01-16,45.07,39.64,36.42,Sumatera Utara
2023-01-17,46.15,39.43,36.370000000000005,Sumatera Utara
2023-01-18,47.1,39.9,35.2,Sumatera Utara
2023-01-19,46.66,40.27,35.7,Sumatera Utara
2023-01-20,45.7,40.24,35.7,Sumatera Utara
2023-01-21,45.44,40.53,36.46,Sumatera Utara
2023-01-22,45.33,40.6,35.97285714285714,Sumatera Utara
2023-01-23,45.52,40.62,35.73,Sumatera Utara
2023-01-24,45.8,40.28,36.52,Sumatera Utara
2023-01-25,45.03,39.53,36.06,Sumatera Utara
2023-01-26,45.24,40.71,35.42,Sumatera Utara
2023-01-27,46.36,40.15,35.67,Sumatera Utara
2023-01-28,46.46,40.94,36.26,Sumatera Utara
2023-01-29,47.05,41.72,35.81,Sumatera Utara
2023-01-30,47.55,40.25,35.9,Sumatera Utara
2023-01-31,47.49,40.6,37.49,Sumatera Utara
2023-02-01,47.19,41.03,38.2,Sumatera Utara
2023-02-02,47.11,40.92,37.67,Sumatera Utara
2023-02-03,47.05,41.99,37.26,Sumatera Utara
2023-02-04,47.08,41.31,36.88,Sumatera Utara
2023-02-05,48.19,41.13,37.07,Sumatera Utara
2023-02-06,47.39,40.79,37.3,Sumatera Utara
2023-02-07,47.25,40.76,38.73,Sumatera Utara
2023-02-08,47.46,40.14,37.08,Sumatera Utara
2023-02-09,47.08,39.59,36.75,Sumatera Utara
2023-02-10,46.86,40.75,36.69,Sumatera Utara
2023-02-11,46.73,39.32,35.57,Sumatera Utara
2023-02-12,46.93,39.51,36.04,Sumatera Utara
2023-02-13,46.93,40.12285714285714,35.81,Sumatera Utara
2023-02-14,46.97,38.62,38.11,Sumatera Utara
2023-02-15,46.25,39.07,36.18,Sumatera Utara
2023-02-16,46.93,39.18,36.59,Sumatera Utara
2023-02-17,48.27,40.8,37.51,Sumatera Utara
2023-02-18,47.69,39.56,36.41,Sumatera Utara
2023-02-19,47.02,39.22,35.67,Sumatera Utara
2023-02-20,45.88,38.32,35.19,Sumatera Utara
2023-02-21,45.84,39.1,35.14,Sumatera Utara
2023-02-22,46.77,39.29,35.4,Sumatera Utara
2023-02-23,46.03,39.25,35.51,Sumatera Utara
2023-02-24,45.47,38.66,35.88,Sumatera Utara
